model_make_id,model_name,model_trim,model_year,model_body,model_engine_cc,model_engine_cyl,model_engine_fuel,model_transmission_type
Acura,ILX,4dr Sedan,2016,Large Cars,,,Regular Unleaded,Unknown
Audi,A3,4dr Hatchback (Turbodiesel),2016,Not Available,,,Not Available,Unknown
Audi,A5,2dr Coupe AWD,2016,Not Available,,,Premium Unleaded (Required),Unknown
Audi,A6,4dr Sedan AWD,2016,Midsize Cars,,,Premium Unleaded (Required),Unknown
Audi,A7,4dr Sedan AWD,2016,Midsize Cars,,,Premium Unleaded (Required),Unknown
Audi,Q1,4dr SUV (1.8L 4cyl Turbo 6AM),2016,Sport Utility Vehicles,1800,4,Regular Unleaded,Automated Manual
Audi,Q7 e-tron,4dr SUV AWD (gas/electric hybrid),2016,Standard Sport Utility Vehicles,,,Diesel,Unknown
Audi,TT,2.0T quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6AM),2016,Subcompact Cars,2000,4,Premium Unleaded (Recommended),Automated Manual
BMW,2 Series Active Tourer,218i 4dr Hatchback (1.5L 3cyl Turbo gas/electric hybrid 6A),2016,Compact Cars,1500,3,Premium Unleaded (Required),Automatic
BMW,X7,xDrive50i 4dr SUV AWD,2016,Sport Utility Vehicles,4400,8,Premium Unleaded (Required),Automatic
Buick,Envision,4dr SUV (2.5L 4cyl 6A),2016,Sport Utility Vehicles,2500,4,Regular Unleaded,Automatic
Cadillac,ATS,4dr Sedan (2.0L),2016,Compact Cars,2000,4,Premium Unleaded (Required),8 speed automatic
Cadillac,ATS-V,4dr Sedan (3.6L 6cyl Turbo 6M),2016,Compact Cars,3600,6,Premium Unleaded (Required),Manual
Cadillac,ATS-V,2dr Coupe (3.6L 6cyl Turbo 6A),2016,Compact Cars,3600,6,Premium Unleaded (Required),Automatic
Cadillac,CT6,Premium 4dr Sedan (3.6L 6cyl Turbo 8A),2016,Midsize Cars,3600,6,Premium Unleaded (Required),Automatic
Cadillac,CTS-V,4dr Sedan (6.2L 8cyl S/C 7M),2016,Midsize Cars,6200,8,Premium Unleaded (Required),Manual
Cadillac,ELR,2dr Coupe (gas/electric hybrid),2016,Compact Cars,,,Electric,Unknown
Chevrolet,Camaro,LS 2dr Coupe w/1LS (3.6L 6cyl 6M),2016,Compact Cars,3600,6,Regular Unleaded,Manual
Chevrolet,Cruze,LS 4dr Sedan (1.5L 4cyl 6A),2016,Midsize Cars,1500,4,Regular Unleaded,Automatic
Chevrolet,Volt,4dr Hatchback,2016,Compact Cars,,,Electric,Unknown
Chrysler,100,4dr Sedan,2016,Compact Cars,,,Regular Unleaded,Unknown
Chrysler,Town and Country,4dr Minivan,2016,Minivan,,,Regular Unleaded,Unknown
Dodge,Grand Caravan,SXT Plus,2016,Minivan,3600,6,Flex-Fuel (Unleaded/E85),Automatic
FIAT,500X,4dr SUV,2016,Sport Utility Vehicles,,,Regular Unleaded,Unknown
Ford,Explorer,4dr SUV (3.5L 6cyl 6A),2016,Sport Utility Vehicles,3500,6,Flex-Fuel (Unleaded/E85),Automatic
Ford,Explorer,4dr SUV AWD (3.5L 6cyl 6A),2016,Sport Utility Vehicles,3500,6,Flex-Fuel (Unleaded/E85),Automatic
Ford,Explorer,XLT 4dr SUV (3.5L 6cyl 6A),2016,Sport Utility Vehicles,3500,6,Flex-Fuel (Unleaded/E85),Automatic
Ford,Explorer,XLT 4dr SUV AWD (3.5L 6cyl 6A),2016,Sport Utility Vehicles,3500,6,Flex-Fuel (Unleaded/E85),Automatic
Ford,Explorer,Limited 4dr SUV (3.5L 6cyl 6A),2016,Sport Utility Vehicles,3500,6,Flex-Fuel (Unleaded/E85),Automatic
Ford,Explorer,Limited 4dr SUV AWD (3.5L 6cyl 6A),2016,Sport Utility Vehicles,3500,6,Flex-Fuel (Unleaded/E85),Automatic
Ford,Explorer,Sport 4dr SUV AWD (3.5L 6cyl Turbo 6A),2016,Sport Utility Vehicles,3500,6,Regular Unleaded,Automatic
Ford,Explorer,Platinum 4dr SUV AWD (3.5L 6cyl Turbo 6A),2016,Sport Utility Vehicles,3500,6,Regular Unleaded,Automatic
Ford,Taurus,4dr Sedan,2016,Large Cars,,,Regular Unleaded,Unknown
