Year,Make,Model,Trim,Body Style
1899,"Packard","Model A","NoName",""
1900,"Packard","Model B","NoName",""
1901,"Oldsmobile","Model R","NoName",""
1901,"Packard","Model C","NoName",""
1902,"Franklin","Runabout","NoName","Coupe"
1902,"Oldsmobile","Model R","NoName",""
1902,"Packard","Model F","NoName",""
1903,"Franklin","Runabout","NoName","Coupe"
1903,"Cadillac","Model A","NoName",""
1903,"Ford","Model A","NoName","Convertible"
1903,"Oldsmobile","Model R","NoName",""
1903,"Packard","Model F","NoName",""
1903,"Packard","Model K","NoName",""
1903,"Studebaker","Model A","NoName",""
1904,"Auburn","Model A","NoName","Convertible"
1904,"Franklin","Type A","NoName","Coupe"
1904,"Franklin","Type C","NoName","Coupe"
1904,"Franklin","Type E","NoName","Coupe"
1904,"Franklin","Type B","NoName","Coupe"
1904,"Franklin","Type D","NoName","Coupe"
1904,"Franklin","Type F","NoName","Sedan"
1904,"Cadillac","Model A","NoName",""
1904,"Cadillac","Model B","NoName",""
1904,"Ford","Model A","NoName","Convertible"
1904,"Ford","Model B","NoName","Regular Cab Pickup"
1904,"Ford","Model C","NoName",""
1904,"Oldsmobile","Model LT","NoName",""
1904,"Oldsmobile","Model R","NoName",""
1904,"Oldsmobile","Model TR","NoName",""
1904,"Packard","Model L","NoName",""
1904,"Studebaker","Model A","NoName",""
1904,"Studebaker","Model B","NoName",""
1904,"Studebaker","Model C","NoName",""
1905,"Auburn","Model B","NoName","Convertible"
1905,"Franklin","Type A","NoName","Coupe"
1905,"Franklin","Type C","NoName","Coupe"
1905,"Franklin","Type E","NoName","Coupe"
1905,"Franklin","Type B","NoName","Coupe"
1905,"Franklin","Type D","NoName","Sedan"
1905,"Buick","Model C","NoName",""
1905,"Cadillac","Model D","NoName",""
1905,"Cadillac","Model E","NoName",""
1905,"Cadillac","Model B","NoName",""
1905,"Cadillac","Model F","NoName",""
1905,"Ford","Model C","NoName",""
1905,"Ford","Model F","NoName",""
1905,"Oldsmobile","Model B","NoName",""
1905,"Oldsmobile","Model LT","NoName",""
1905,"Oldsmobile","Model TR","NoName",""
1905,"Packard","Model N","NoName",""
1905,"Studebaker","Model 9503","NoName",""
1905,"Studebaker","Model 9502","NoName",""
1906,"Auburn","Model C","NoName","Convertible"
1906,"Franklin","Type E","NoName","Coupe"
1906,"Franklin","Type G","NoName","Sedan"
1906,"Franklin","Type D","NoName","Coupe"
1906,"Franklin","Type H","NoName","Sedan"
1906,"Buick","Model G","NoName",""
1906,"Buick","Model F","NoName",""
1906,"Cadillac","Model H","NoName",""
1906,"Cadillac","Model L","NoName",""
1906,"Cadillac","Model K","NoName",""
1906,"Cadillac","Model M","NoName",""
1906,"Ford","Model F","NoName",""
1906,"Ford","Model N","NoName",""
1906,"Ford","Model K","NoName",""
1906,"Oldsmobile","Model B","NoName",""
1906,"Oldsmobile","Model L","NoName",""
1906,"Oldsmobile","Model S","NoName",""
1906,"Packard","Model 24","NoName",""
1906,"Packard","Model S","NoName",""
1906,"Studebaker","Model E-20","NoName",""
1906,"Studebaker","Model F-284","NoName",""
1906,"Studebaker","Model G-304","NoName",""
1907,"Auburn","Model D","NoName","Convertible"
1907,"Franklin","Model D","NoName","Sedan"
1907,"Franklin","Model G","NoName","Coupe"
1907,"Franklin","Model H","NoName","Sedan"
1907,"Buick","Model D","NoName",""
1907,"Buick","Model G","NoName",""
1907,"Buick","Model H","NoName",""
1907,"Buick","Model F","NoName",""
1907,"Buick","Model K","NoName",""
1907,"Buick","Model S","NoName",""
1907,"Cadillac","Model G","NoName",""
1907,"Cadillac","Model H","NoName",""
1907,"Cadillac","Model K","NoName",""
1907,"Cadillac","Model M","NoName",""
1907,"Ford","Model N","NoName",""
1907,"Ford","Model R","NoName",""
1907,"Ford","Model S","NoName",""
1907,"Oldsmobile","Model H","NoName",""
1907,"Oldsmobile","Model A","NoName",""
1907,"Oldsmobile","Model F","NoName",""
1907,"Packard","Model 30","NoName",""
1907,"Packard","Model U","NoName",""
1907,"Studebaker","Model G","NoName",""
1907,"Studebaker","Model H","NoName",""
1907,"Studebaker","Model L","NoName",""
1907,"International","A","Auto Wagon","SUV"
1908,"Auburn","Model G","NoName","Convertible"
1908,"Auburn","Model H","NoName","Convertible"
1908,"Auburn","Model K","NoName","Convertible"
1908,"Franklin","Model D","NoName","Sedan"
1908,"Franklin","Model G","NoName","Coupe"
1908,"Franklin","Model H","NoName","Sedan"
1908,"Buick","Model 10","NoName",""
1908,"Buick","Model 5","NoName",""
1908,"Buick","Model D","NoName",""
1908,"Buick","Model G","NoName",""
1908,"Buick","Model F","NoName",""
1908,"Buick","Model S","NoName",""
1908,"Cadillac","Model G","NoName",""
1908,"Cadillac","Model H","NoName",""
1908,"Cadillac","Model S","NoName",""
1908,"Cadillac","Model T","NoName",""
1908,"Cadillac","Model M","NoName",""
1908,"Ford","Model N","NoName",""
1908,"Ford","Model K","NoName",""
1908,"Ford","Model R","NoName",""
1908,"Ford","Model S","NoName",""
1908,"Ford","Model T","NoName","Regular Cab Pickup"
1908,"Oldsmobile","Model X","NoName",""
1908,"Oldsmobile","Model Z","NoName",""
1908,"Packard","Model 30","NoName",""
1908,"Packard","Model UA","NoName",""
1908,"Studebaker","Model D","NoName",""
1908,"Studebaker","Model H","NoName",""
1908,"Studebaker","Model A","NoName",""
1908,"Studebaker","Model B","NoName",""
1908,"Studebaker","Model C","NoName",""
1908,"International","A","Auto Wagon","SUV"
1909,"Auburn","Model D","NoName","Convertible"
1909,"Auburn","Model G","NoName","Convertible"
1909,"Auburn","Model H","NoName","Convertible"
1909,"Auburn","Model B","NoName","Convertible"
1909,"Auburn","Model C","NoName","Convertible"
1909,"Auburn","Model K","NoName","Convertible"
1909,"Franklin","Model D","NoName","Sedan"
1909,"Franklin","Model G","NoName","Coupe"
1909,"Franklin","Model H","NoName","Sedan"
1909,"Buick","Model 10","NoName",""
1909,"Buick","Model 7","NoName",""
1909,"Buick","Model 6","NoName",""
1909,"Buick","Model G","NoName",""
1909,"Buick","Model F","NoName",""
1909,"Cadillac","Model 30","NoName",""
1909,"Ford","Model T","NoName","Regular Cab Pickup"
1909,"Oldsmobile","Model D","NoName",""
1909,"Oldsmobile","Model DR","NoName",""
1909,"Oldsmobile","Model X","NoName",""
1909,"Oldsmobile","Model Z","NoName",""
1909,"Packard","Model 18","NoName",""
1909,"Packard","Model 30","UB/UBS",""
1909,"Packard","Model NA","NoName",""
1909,"Studebaker","Model D","NoName",""
1909,"Studebaker","Model A","NoName",""
1909,"Studebaker","Model B","NoName",""
1909,"Studebaker","Model C","NoName",""
1909,"International","A","Auto Wagon","SUV"
1910,"Auburn","Model D","NoName","Convertible"
1910,"Auburn","Model G","NoName","Convertible"
1910,"Auburn","Model H","NoName","Convertible"
1910,"Auburn","Model B","NoName","Convertible"
1910,"Auburn","Model C","NoName","Convertible"
1910,"Auburn","Model K","NoName","Convertible"
1910,"Auburn","Model R","NoName","Convertible"
1910,"Auburn","Model S","NoName","Convertible"
1910,"Auburn","Model X","NoName","Convertible"
1910,"Franklin","Model D","NoName","Sedan"
1910,"Franklin","Model G","NoName","Coupe"
1910,"Franklin","Model H","NoName","Sedan"
1910,"Franklin","Model K","NoName","Coupe"
1910,"Hupmobile","Model 20","NoName","Coupe"
1910,"Buick","Model 10","NoName",""
1910,"Buick","Model 16","NoName",""
1910,"Buick","Model 41","NoName",""
1910,"Buick","Model 14","NoName",""
1910,"Buick","Model 17","NoName",""
1910,"Buick","Model 19","NoName",""
1910,"Buick","Model F","NoName",""
1910,"Cadillac","Model 30","NoName",""
1910,"Ford","Model T","NoName","Regular Cab Pickup"
1910,"Oldsmobile","Limited","NoName",""
1910,"Oldsmobile","Special","NoName",""
1910,"Hudson","Model 20","NoName",""
1910,"Packard","Model 18","NoName",""
1910,"Packard","Model 30","NoName",""
1910,"Studebaker","Model G-7","NoName",""
1910,"Studebaker","Model H","NoName",""
1910,"Studebaker","Model M","NoName",""
1910,"International","A","Auto Wagon","SUV"
1911,"Auburn","Model G","NoName","Convertible"
1911,"Auburn","Model L","NoName","Convertible"
1911,"Auburn","Model F","NoName","Convertible"
1911,"Auburn","Model N","NoName","Convertible"
1911,"Auburn","Model K","NoName","Convertible"
1911,"Auburn","Model T","NoName","Convertible"
1911,"Auburn","Model M","NoName","Convertible"
1911,"Auburn","Model Y","NoName","Convertible"
1911,"Franklin","Model D","NoName","Sedan"
1911,"Franklin","Model G","NoName","Coupe"
1911,"Franklin","Model H","NoName","Sedan"
1911,"Franklin","Model M","NoName","Sedan"
1911,"Hupmobile","Model 20","NoName","Coupe"
1911,"Hupmobile","Model 20","NoName","Sedan"
1911,"Buick","Model 27","NoName",""
1911,"Buick","Model 32","NoName",""
1911,"Buick","Model 38","NoName",""
1911,"Buick","Model 14","NoName",""
1911,"Buick","Model 21","NoName",""
1911,"Buick","Model 26","NoName",""
1911,"Buick","Model 33","NoName",""
1911,"Buick","Model 39","NoName",""
1911,"Cadillac","Model 30","NoName",""
1911,"Ford","Model T","NoName","Regular Cab Pickup"
1911,"Oldsmobile","Autocrat","NoName",""
1911,"Oldsmobile","Limited","NoName",""
1911,"Oldsmobile","Special","NoName",""
1911,"Hudson","Model 20","NoName",""
1911,"Hudson","Model 33","NoName",""
1911,"Packard","Model 18","NoName",""
1911,"Studebaker","Model G-8","NoName",""
1911,"International","A","Auto Wagon","SUV"
1912,"Auburn","Model 35L","NoName","Convertible"
1912,"Auburn","Model 40H","NoName","Convertible"
1912,"Auburn","Model 40M","NoName","Convertible"
1912,"Auburn","Model 30L","NoName","Convertible"
1912,"Auburn","Model 40N","NoName","Convertible"
1912,"Auburn","Model 6-50","NoName","Convertible"
1912,"Franklin","Model D","NoName","Sedan"
1912,"Franklin","Model G","NoName","Coupe"
1912,"Franklin","Model H","NoName","Sedan"
1912,"Franklin","Model K","NoName","Coupe"
1912,"Franklin","Model M","NoName","Sedan"
1912,"Hupmobile","Model 20","NoName","Convertible"
1912,"Hupmobile","Model 20","NoName","Coupe"
1912,"Hupmobile","Model 20","NoName","Sedan"
1912,"Hupmobile","Model 32","NoName","Coupe"
1912,"Buick","Model 29","NoName",""
1912,"Buick","Model 34","NoName",""
1912,"Buick","Model 36","NoName",""
1912,"Buick","Model 43","NoName",""
