stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
B16198A,,new,2015 Cadillac Escalade,2015,Cadillac,Escalade,Premium 4dr SUV (6.2L 8cyl 6A),"$59,997",,Vortec 6.2L V8 SIDI,Automatic,Black,N/A,36652,http://inventory-dmg.assets-cdk.com/0/3/9/14596356930.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg09.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg15.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg18.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg22.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg27.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg34.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2015/1888013/default/ext_GBA_deg36.jpg,http://www.paradiseautos.com/VehicleDetails/used-2015-Cadillac-Escalade-RWD_Premium-Temecula-CA/3001707283,0,1
B16244A,,used,2005 HUMMER H2,2005,Hummer,H2,4dr Wgn SUV,Contact Us,,Vortec 6.0L V8 SFI,Automatic,N/A,N/A,,http://inventory-cf.assets-cdk.com/9/5/3/14845068359.jpg,http://www.paradiseautos.com/VehicleDetails/used-2005-HUMMER-H2-4dr_Wgn_SUV-Temecula-CA/3020807033,0,1
B16253A,,used,2007 Chevrolet Tahoe,2007,Chevrolet,Tahoe,,Contact Us,,Vortec 5.3L V8 SFI Flex Fuel,Automatic,N/A,N/A,67186,http://inventory-cf.assets-cdk.com/3/3/8/15390319833.jpg|http://inventory-cf.assets-cdk.com/5/5/8/15390319855.jpg|http://inventory-cf.assets-cdk.com/5/8/8/15390319885.jpg,http://www.paradiseautos.com/VehicleDetails/used-2007-Chevrolet-Tahoe-2WD_4dr_1500_LS-Temecula-CA/3060477163,0,1
B16276A,,used,2012 Volvo C70,2012,Volvo,C70,T5,Contact Us,,2.5L 5-Cylinder Turbocharged,Automatic,Ice White,Calcite,18908,http://inventory-dmg.assets-cdk.com/8/0/4/14872634408.jpg,http://www.paradiseautos.com/VehicleDetails/used-2012-Volvo-C70-2dr_Conv_T5-Temecula-CA/3022347803,0,1
B16276B,,used,2012 LINCOLN MKZ,2012,Lincoln,MKZ,Hybrid,Contact Us,,2.5L I4 Atkinson-Cycle Electric Motor 16V,CVT,N/A,N/A,65723,http://inventory-dmg.assets-cdk.com/8/2/5/14872634528.jpg,http://www.paradiseautos.com/VehicleDetails/used-2012-LINCOLN-MKZ-4dr_Sdn_2.5L_I4_Hybrid_FWD-Temecula-CA/3022347793,0,1
B16279A,,used,2017 Honda Civic Sedan,2017,Honda,Civic Sedan,LX CVT Sedan,"$16,991",,2.0L I4 DOHC 16V i-VTEC,CVT,White,N/A,8602,http://inventory-cf.assets-cdk.com/2/3/3/15312159332.jpg|http://inventory-cf.assets-cdk.com/0/6/3/15312159360.jpg,http://www.paradiseautos.com/VehicleDetails/used-2017-Honda-Civic_Sedan-LX_CVT_Sedan-Temecula-CA/3051692613,0,1
B16286A,,new,2012 Dodge Durango,2012,Dodge,Durango,R/T,Contact Us,,HEMI 5.7L V8 Multi Displacement VVT,Automatic,Black,N/A,96172,http://inventory-dmg.assets-cdk.com/8/3/0/14581061038.jpg,http://www.paradiseautos.com/VehicleDetails/used-2012-Dodge-Durango-2WD_4dr_Citadel-Temecula-CA/3000583983,0,1
B16306A,,new,2013 Cadillac CTS Coupe,2013,Cadillac,CTS,Coupe STANDARD RWD,"$25,997",,3.6L V6 DI VVT,Automatic,Silver,N/A,30480,http://inventory-dmg.assets-cdk.com/8/5/1/14508103158.jpg,http://www.paradiseautos.com/VehicleDetails/used-2013-Cadillac-CTS_Coupe-3.6L_V6_RWD_Performance-Temecula-CA/2995397683,0,1
B16307A,,used,2017 Chevrolet Volt,2017,Chevrolet,Volt,5dr HB Premier,"$30,997",,1.5L VVT DI DOHC 4-Cylinder Range Extender,Automatic,Blue,N/A,22786,http://inventory-cf.assets-cdk.com/8/2/1/15395029128.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2017/3079933/default/ext_GD1_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2017/3079933/default/ext_GD1_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2017/3079933/default/ext_GD1_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2017/3079933/default/ext_GD1_deg04.jpg,http://www.paradiseautos.com/VehicleDetails/used-2017-Chevrolet-Volt-5dr_HB_Premier-Temecula-CA/3060579383,0,1
B16442A,,used,2015 Chevrolet Malibu,2015,Chevrolet,Malibu,LT 4dr Sedan w/1LT (2.5L 4cyl 6A),"$16,991",,ECOTEC 2.5L I4 DGI DOHC VVT,Automatic,Black,N/A,45578,http://inventory-dmg.assets-cdk.com/5/9/0/15161657095.jpg|http://inventory-dmg.assets-cdk.com/5/2/1/15161657125.jpg|http://inventory-dmg.assets-cdk.com/7/6/1/15161657167.jpg|http://inventory-dmg.assets-cdk.com/1/4/2/15161657241.jpg|http://inventory-dmg.assets-cdk.com/1/9/2/15161657291.jpg|http://inventory-dmg.assets-cdk.com/4/1/3/15161657314.jpg|http://inventory-dmg.assets-cdk.com/5/4/3/15161657345.jpg|http://inventory-dmg.assets-cdk.com/7/8/3/15161657387.jpg|http://inventory-dmg.assets-cdk.com/3/2/4/15161657423.jpg|http://inventory-dmg.assets-cdk.com/7/4/4/15161657447.jpg|http://inventory-dmg.assets-cdk.com/7/6/4/15161657467.jpg|http://inventory-dmg.assets-cdk.com/0/0/5/15161657500.jpg|http://inventory-dmg.assets-cdk.com/6/2/5/15161657526.jpg|http://inventory-dmg.assets-cdk.com/0/5/5/15161657550.jpg|http://inventory-dmg.assets-cdk.com/7/6/5/15161657567.jpg|http://inventory-dmg.assets-cdk.com/2/0/6/15161657602.jpg|http://inventory-dmg.assets-cdk.com/9/3/6/15161657639.jpg|http://inventory-dmg.assets-cdk.com/8/7/6/15161657678.jpg|http://inventory-dmg.assets-cdk.com/2/0/7/15161657702.jpg|http://inventory-dmg.assets-cdk.com/7/2/7/15161657727.jpg|http://inventory-dmg.assets-cdk.com/1/5/7/15161657751.jpg|http://inventory-dmg.assets-cdk.com/8/7/7/15161657778.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1951453/default/ext_GAR_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1951453/default/ext_GAR_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1951453/default/ext_GAR_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1951453/default/ext_GAR_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1951453/default/int_AFE_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1951453/default/int_AFE_deg02.jpg,http://www.paradiseautos.com/VehicleDetails/certified-2015-Chevrolet-Malibu-1LT-Temecula-CA/3033781313,1,1
