stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
0471325,,Pre-Owned,2015 Mazda CX-5,2015,Mazda,CX-5,Touring,"$17,912",,,AUTOMATIC,White,Sand,43038,http://inventory-dmg.assets-cdk.com/8/3/7/14997081738.jpg|http://inventory-dmg.assets-cdk.com/4/9/7/14997081794.jpg|http://inventory-dmg.assets-cdk.com/6/4/8/14997081846.jpg|http://inventory-dmg.assets-cdk.com/8/8/8/14997081888.jpg|http://inventory-dmg.assets-cdk.com/4/3/9/14997081934.jpg|http://inventory-dmg.assets-cdk.com/4/8/9/14997081984.jpg|http://inventory-dmg.assets-cdk.com/4/3/0/14997082034.jpg|http://inventory-dmg.assets-cdk.com/1/6/0/14997082061.jpg|http://inventory-dmg.assets-cdk.com/9/9/0/14997082099.jpg|http://inventory-dmg.assets-cdk.com/2/3/1/14997082132.jpg|http://inventory-dmg.assets-cdk.com/7/6/1/14997082167.jpg|http://inventory-dmg.assets-cdk.com/2/0/2/14997082202.jpg|http://inventory-dmg.assets-cdk.com/8/3/2/14997082238.jpg|http://inventory-dmg.assets-cdk.com/2/7/2/14997082272.jpg|http://inventory-dmg.assets-cdk.com/0/1/3/14997082310.jpg|http://inventory-dmg.assets-cdk.com/5/4/3/14997082345.jpg|http://inventory-dmg.assets-cdk.com/3/8/3/14997082383.jpg|http://inventory-dmg.assets-cdk.com/0/2/4/14997082420.jpg|http://inventory-dmg.assets-cdk.com/8/5/4/14997082458.jpg|http://inventory-dmg.assets-cdk.com/2/9/4/14997082492.jpg|http://inventory-dmg.assets-cdk.com/8/2/5/14997082528.jpg|http://inventory-dmg.assets-cdk.com/2/7/5/14997082572.jpg|http://inventory-dmg.assets-cdk.com/5/0/6/14997082605.jpg,http://www.patriotchevy.com/VehicleDetails/used-2015-Mazda-CX_5-Touring-Hopkinsville-KY/3025457553,0,1
1103249,,used,2006 Chevrolet Silverado 1500,2006,Chevrolet,Silverado 1500,,Contact Us,,,AUTOMATIC,Silver Birch Metallic,Dark Pewter Interior Trim,181379,http://inventory-dmg.assets-cdk.com/chrome_jpgs/2006/8995.jpg,http://www.patriotchevy.com/VehicleDetails/used-2006-Chevrolet-Silverado_1500-LT2-Hopkinsville-KY/3049390983,0,1
1128269,,used,2014 Chevrolet Impala Limited,2014,Chevrolet,Impala Limited,,Contact Us,,,AUTOMATIC,Silver Ice Metallic,Ebony,71127,http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/15828.jpg,http://www.patriotchevy.com/VehicleDetails/used-2014-Chevrolet-Impala_Limited-LTZ-Hopkinsville-KY/3070058603,0,0
1133595,,used,2008 Pontiac Grand Prix,2008,Pontiac,Grand Prix,,Contact Us,,,AUTOMATIC,Crimson Red [RED],N/A,107988,http://inventory-dmg.assets-cdk.com/chrome_jpgs/2008/11197.jpg,http://www.patriotchevy.com/VehicleDetails/used-2008-Pontiac-Grand_Prix-GXP-Hopkinsville-KY/2997821043,0,1
1191126,,used,2016 Chevrolet Colorado,2016,Chevrolet,Colorado,4WD LT,"$28,512",,,AUTOMATIC,Silver Ice Metallic,Jet Black Dark Ash,14168,http://inventory-dmg.assets-cdk.com/7/1/6/14020523617.jpg|http://inventory-dmg.assets-cdk.com/9/3/6/14020523639.jpg|http://inventory-dmg.assets-cdk.com/7/5/6/14020523657.jpg|http://inventory-dmg.assets-cdk.com/8/7/6/14020523678.jpg|http://inventory-dmg.assets-cdk.com/9/9/6/14020523699.jpg|http://inventory-dmg.assets-cdk.com/9/1/7/14020523719.jpg|http://inventory-dmg.assets-cdk.com/4/3/7/14020523734.jpg|http://inventory-dmg.assets-cdk.com/6/5/7/14020523756.jpg|http://inventory-dmg.assets-cdk.com/3/7/7/14020523773.jpg|http://inventory-dmg.assets-cdk.com/3/9/7/14020523793.jpg|http://inventory-dmg.assets-cdk.com/7/1/8/14020523817.jpg|http://inventory-dmg.assets-cdk.com/1/4/8/14020523841.jpg|http://inventory-dmg.assets-cdk.com/7/8/8/14020523887.jpg|http://inventory-dmg.assets-cdk.com/7/0/9/14020523907.jpg|http://inventory-dmg.assets-cdk.com/5/2/9/14020523925.jpg|http://inventory-dmg.assets-cdk.com/2/4/9/14020523942.jpg|http://inventory-dmg.assets-cdk.com/5/5/9/14020523955.jpg,http://www.patriotchevy.com/VehicleDetails/used-2016-Chevrolet-Colorado-4WD_LT-Hopkinsville-KY/2945088003,0,1
1240181,,used,2013 Chevrolet Impala,2013,Chevrolet,Impala,,"$9,987",,,AUTOMATIC,Silver Ice Metallic,N/A,90928,http://inventory-cf.assets-cdk.com/5/6/5/15369132565.jpg|http://inventory-cf.assets-cdk.com/3/0/6/15369132603.jpg|http://inventory-cf.assets-cdk.com/2/4/6/15369132642.jpg|http://inventory-cf.assets-cdk.com/6/0/7/15369132706.jpg|http://inventory-cf.assets-cdk.com/2/6/7/15369132762.jpg|http://inventory-cf.assets-cdk.com/4/1/8/15369132814.jpg|http://inventory-cf.assets-cdk.com/1/8/8/15369132881.jpg|http://inventory-cf.assets-cdk.com/8/2/9/15369132928.jpg|http://inventory-cf.assets-cdk.com/7/6/9/15369132967.jpg|http://inventory-cf.assets-cdk.com/8/1/0/15369133018.jpg|http://inventory-cf.assets-cdk.com/4/6/0/15369133064.jpg|http://inventory-cf.assets-cdk.com/0/1/1/15369133110.jpg|http://inventory-cf.assets-cdk.com/1/5/1/15369133151.jpg|http://inventory-cf.assets-cdk.com/9/8/1/15369133189.jpg|http://inventory-cf.assets-cdk.com/3/0/3/15369133303.jpg|http://inventory-cf.assets-cdk.com/6/4/3/15369133346.jpg|http://inventory-cf.assets-cdk.com/2/9/3/15369133392.jpg|http://inventory-cf.assets-cdk.com/1/3/4/15369133431.jpg|http://inventory-cf.assets-cdk.com/3/8/4/15369133483.jpg|http://inventory-cf.assets-cdk.com/1/3/5/15369133531.jpg|http://inventory-cf.assets-cdk.com/3/6/5/15369133563.jpg|http://inventory-cf.assets-cdk.com/0/1/6/15369133610.jpg|http://inventory-cf.assets-cdk.com/0/6/6/15369133660.jpg|http://inventory-cf.assets-cdk.com/2/0/7/15369133702.jpg,http://www.patriotchevy.com/VehicleDetails/used-2013-Chevrolet-Impala-LTZ-Hopkinsville-KY/3054434453,0,1
126052,,used,2011 Chevrolet Equinox,2011,Chevrolet,Equinox,,"$13,900",,,AUTOMATIC,N/A,N/A,74567,http://inventory-cf.assets-cdk.com/chrome_jpgs/2011/13580.jpg,http://www.patriotchevy.com/VehicleDetails/used-2011-Chevrolet-Equinox-LT_w%2F2LT-Hopkinsville-KY/3061758713,0,1
1315568,,used,2000 GMC New Sierra 1500,2000,GMC,Sierra 1500,,"$4,900",,,AUTOMATIC,White,N/A,231080,http://inventory-dmg.assets-cdk.com/chrome_jpgs/2000/345.jpg,http://www.patriotchevy.com/VehicleDetails/used-2000-GMC-New_Sierra_1500-3dr_Ext_Cab_157.5%22_WB_4WD_SLE-Hopkinsville-KY/3048689263,0,1
1338765,,used,2002 GMC Sierra 1500,2002,GMC,Sierra 1500,,Contact Us,,,AUTOMATIC,Summit White Pewter Metallic,Light Neutral Interior Trim,123080,http://inventory-dmg.assets-cdk.com/chrome_jpgs/2002/1439.jpg,http://www.patriotchevy.com/VehicleDetails/used-2002-GMC-Sierra_1500-SLE-Hopkinsville-KY/3014817163,0,1
1351593,,Pre-Owned,2016 Chevrolet Colorado,2016,Chevrolet,Colorado,2WD WT,"$21,912",,,AUTOMATIC,Black,Jet Black Dark Ash,7978,http://inventory-cf.assets-cdk.com/chrome_jpgs/2016/18730.jpg,http://www.patriotchevy.com/VehicleDetails/used-2016-Chevrolet-Colorado-2WD_WT-Hopkinsville-KY/3020770303,0,1
