stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
1NA32866,,used,PRE-OWNED 2001 FORD F-150         ,2001,Ford,F-150,,Please Call,Extended Cab Pickup,5.4 EFI-SOHC (W),,Red,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/1FTRX17L41NA32866/e15f700c76e9f4d86d1aec9435293312.jpg,http://www.portlavacadodge.com/inventory/used-2001-ford-f-150-rwd-extended-cab-pickup-1ftrx17l41na32866,0,0
3F170307,,used,PRE-OWNED 2003 CHEVROLET SILVERADO 2500HD  4WD        ,2003,Chevrolet,Silverado 2500HD,,Please Call,Crew Cab Pickup,Turbo-Charged Diesel V8 6.6L/402,,Gray,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/1GCHK23193F170307/d4522080d0054b70cb99258b6e5b0579.jpg,http://www.portlavacadodge.com/inventory/used-2003-chevrolet-silverado-2500hd-4wd-crew-cab-pickup-1gchk23193f170307,0,0
3W608566,,used,PRE-OWNED 2003 JEEP LIBERTY SPORT        ,2003,Jeep,Liberty,Sport,Please Call,Sport Utility,Gas V6 3.7L,,Gray,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/1J4GK48K73W608566/be9bf7ed2c0d9b35ae13bead9a6c3641.jpg,http://www.portlavacadodge.com/inventory/used-2003-jeep-liberty-sport-rwd-sport-utility-1j4gk48k73w608566,0,1
4R179738,,used,PRE-OWNED 2004 GMC YUKON         ,2004,GMC,Yukon,,Please Call,Sport Utility,Gas V8 5.3L/325,4-Speed Automatic w/OD,White,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/1GKEC13Z94R179738/3c44a0caf98474e8591695992c4eb4b6.jpg,http://www.portlavacadodge.com/inventory/used-2004-gmc-yukon-rwd-sport-utility-1gkec13z94r179738,0,1
51232225,,used,PRE-OWNED 2005 CHEVROLET SILVERADO 1500  4WD        ,2005,Chevrolet,Silverado 1500,,Please Call,Crew Cab Pickup,Gas V8 5.3L/325,4-Speed Automatic w/OD,,,,,http://www.portlavacadodge.com/inventory/used-2005-chevrolet-silverado-1500-4wd-crew-cab-pickup-2gcek13tx51232225,0,1
51364723,,used,PRE-OWNED 2005 CHEVROLET SILVERADO 1500         ,2005,Chevrolet,Silverado 1500,,Please Call,Crew Cab Pickup,Gas V8 5.3L/325,4-Speed Automatic w/OD,Red,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/2GCEC13TX51364723/bc17c4f8d533559adda94b542ed46c70.jpg,http://www.portlavacadodge.com/inventory/used-2005-chevrolet-silverado-1500-rwd-crew-cab-pickup-2gcec13tx51364723,0,1
51367594,,used,PRE-OWNED 2005 CHEVROLET SILVERADO 1500  4WD        ,2005,Chevrolet,Silverado 1500,,Please Call,Crew Cab Pickup,Gas V8 5.3L/325,4-Speed Automatic w/OD,Tan,,,,http://www.portlavacadodge.com/inventory/used-2005-chevrolet-silverado-1500-4wd-crew-cab-pickup-2gcek13t351367594,0,1
56159385,,used,PRE-OWNED 2005 CHEVROLET TRAILBLAZER  4WD        ,2005,Chevrolet,TrailBlazer,,Please Call,Sport Utility,Gas I6 4.2L/254,4-Speed Automatic w/OD,Red,,,,http://www.portlavacadodge.com/inventory/used-2005-chevrolet-trailblazer-4wd-sport-utility-1gnet16s656159385,0,1
5D002854,,used,PRE-OWNED 2005 VOLKSWAGEN TOUAREG  4WD        ,2005,Volkswagen,Touareg,,Please Call,Sport Utility,Gas V8 4.2L/256,6-Speed Automatic w/Tiptronic & OD,,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/WVGMM77L55D002854/3f74a2b477b184f90a966618fe6588cb.jpg,http://www.portlavacadodge.com/inventory/used-2005-volkswagen-touareg-4wd-sport-utility-wvgmm77l55d002854,0,1
5NA38540,,used,PRE-OWNED 2005 FORD F-150  4WD        ,2005,Ford,F-150,,Please Call,Extended Cab Pickup,Gas V8 5.4L/330,4-Speed Automatic w/OD,,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/1FTPX14505NA38540/31780fb54726712a41764cb9a252ba29.jpg,http://www.portlavacadodge.com/inventory/used-2005-ford-f-150-4wd-extended-cab-pickup-1ftpx14505na38540,0,1
617302,,new,NEW 2017 RAM 1500 EXPRESS CREW CAB 4X2 5'7 BOX        ,2017,Ram,1500,,"$31,790",Crew Cab,Regular Unleaded V-8 5.7 L/345,8-Speed Automatic w/OD,Bright Silver Metallic Clear Coat Exterior Paint,Diesel Gray/Black,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/c760f2d8e804eb1d7072254967a29650.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/9fd64930d611e8462d0cb49df873cb92.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/4bc4bc77b430caf45991321811c226d7.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/1a3db19c1ee8ac9efd89262c13418d94.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/5136fe199628a04ee6f3a8017f1b1413.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/5783dd6d94fac155b5c8677bbf6b9274.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/4117853fb44c903d7876c70b09cb2fa6.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/d8f2c656c7adf72e004bbca0ec241b11.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/c2384b4848a265ee3c8f2b40f91a7410.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/c77b4662a09e9ea575f808c19f3eaf6b.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/75e59f618e0b20b469d7daff9e3b33cd.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/8d60fe973e375593d04f0d5465e69f0f.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/738e6c78e6a18ae3746a5a2c1799e120.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/647d9d4a0fcf843db1609058f18ca848.jpg|http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/3C6RR6KT1HG617302/73e3eec13f54a07c19353f57b9083321.jpg,http://www.portlavacadodge.com/inventory/new-2017-ram-1500-rwd-crew-cab-3c6rr6kt1hg617302,0,0
70108284,,used,PRE-OWNED 2007 MAZDA CX-9 TOURING        ,2007,Mazda,CX-9,Touring,Please Call,Sport Utility,Gas V6 3.5L/213,6-Speed Automatic w/OD,White,,,http://0c57659c04a1c07904f4-a9c6195d816332b96c5e43c327e0a34f.r67.cf1.rackcdn.com/JM3TB28YX70108284/e521c39c5dbcbb97c4fc1440482cab23.jpg,http://www.portlavacadodge.com/inventory/used-2007-mazda-cx-9-touring-fwd-sport-utility-jm3tb28yx70108284,0,1
