stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2671411093,,new,2016 Buick Enclave,2016,Buick,Enclave,Premium,"$61,905",SUV,3.6L 6 cyl,Automatic,White Frost Tricoat,Ebony,,http://inventory-dmg.assets-cdk.com/9/4/0/14820272049.jpg|http://inventory-dmg.assets-cdk.com/8/5/0/14820272058.jpg|http://inventory-dmg.assets-cdk.com/8/6/0/14820272068.jpg|http://inventory-dmg.assets-cdk.com/6/7/0/14820272076.jpg|http://inventory-dmg.assets-cdk.com/7/8/0/14820272087.jpg|http://inventory-dmg.assets-cdk.com/6/9/0/14820272096.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg05.jpg|http://inventory-dmg.assets-cdk.com/chrome/376089/cc_2016BUI006a_01_640_G1W.png,http://www.prestongm.com/VehicleDetails/new-2016-Buick-Enclave-Premium-Langley-BC/2671411093,0,1
2745486303,,new,2016 GMC Sierra 2500HD,2016,GMC,Sierra 2500HD,SLT,"$66,640",Extended Cab Pickup - Standard Bed,6.6L 8 cyl,Automatic,Onyx Black,Jet Black,,http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/int_H2U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/int_H2U_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/int_H2U_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948003/default/int_H2U_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/380604/cc_2016GMT200004_01_640_GBA.png,http://www.prestongm.com/VehicleDetails/new-2016-GMC-Sierra_2500HD-SLT-Langley-BC/2745486303,0,1
2745486493,,new,2016 GMC Sierra 2500HD,2016,GMC,Sierra 2500HD,Base,Contact Us,Extended Cab Pickup - Standard Bed,6.0L 8 cyl,Automatic,Summit White,Dark Ash,,http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948783/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948783/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948783/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2948783/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/380585/cc_2016GMT200004_01_640_GAZ.png,http://www.prestongm.com/VehicleDetails/used-2016-GMC-Sierra_2500HD-Base-Langley-BC/2745486493,0,1
2745486593,,new,2016 GMC Sierra 1500,2016,GMC,Sierra 1500,,"$30,950",Regular Cab Pickup - Long Bed,4.3L 6 cyl,Automatic,Summit White,Dark Ash,,http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2952993/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2952993/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2952993/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2952993/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/380385/cc_2016GMT170008_01_640_GAZ.png,http://www.prestongm.com/VehicleDetails/new-2016-GMC-Sierra_1500--Langley-BC/2745486593,0,1
2755782153,,new,2016 Buick Enclave,2016,Buick,Enclave,Premium,"$54,811",SUV,3.6L 6 cyl,Automatic,White Frost Tricoat,Ebony,,http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/ext_G1W_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2869273/default/int_192_deg05.jpg|http://inventory-dmg.assets-cdk.com/chrome/376089/cc_2016BUI006a_01_640_G1W.png,http://www.prestongm.com/VehicleDetails/new-2016-Buick-Enclave-Premium-Langley-BC/2755782153,0,1
2758159253,,new,2016 Cadillac XTS,2016,Cadillac,XTS,Premium Collection,"$49,995",Sedan,3.6L 6 cyl,Automatic,Graphite Metallic,Jet Black,,http://inventory-dmg.assets-cdk.com/1/9/5/13839903591.jpg|http://inventory-dmg.assets-cdk.com/3/0/6/13839903603.jpg|http://inventory-dmg.assets-cdk.com/4/1/6/13839903614.jpg|http://inventory-dmg.assets-cdk.com/7/2/6/13839903627.jpg|http://inventory-dmg.assets-cdk.com/0/4/6/13839903640.jpg|http://inventory-dmg.assets-cdk.com/1/5/6/13839903651.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/ext_GLJ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/ext_GLJ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/ext_GLJ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/ext_GLJ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/ext_GLJ_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/int_AFC_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/int_AFC_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/int_AFC_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/int_AFC_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869363/default/int_AFC_deg05.jpg|http://inventory-dmg.assets-cdk.com/chrome/376038/cc_2016CAC190001_01_640_GLJ.png,http://www.prestongm.com/VehicleDetails/new-2016-Cadillac-XTS-Premium_Collection-Langley-BC/2758159253,0,1
2774935183,,new,2016 Chevrolet Cruze,2016,Chevrolet,Cruze,LS 4dr Sedan (1.5L 4cyl 6A),"$18,286",Sedan,1.4L 4 cyl,Automatic,Siren Red Tintcoat,Jet Black,,http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_G1E_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_G1E_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_G1E_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_G1E_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/381791/cc_2016CHC300001_01_640_G1E.png,http://www.prestongm.com/VehicleDetails/new-2016-Chevrolet-Cruze-LT-Langley-BC/2774935183,0,1
2790180973,,new,2016 Cadillac CT6 Sedan,2016,Cadillac,CT6,Premium 4dr Sedan (3.6L 6cyl Turbo 8A),"$74,995",Sedan,3.0L 6 cyl,Automatic,Crystal White Tricoat,Jet Black,,http://inventory-dmg.assets-cdk.com/5/1/3/14155232315.jpg|http://inventory-dmg.assets-cdk.com/8/3/3/14155232338.jpg|http://inventory-dmg.assets-cdk.com/1/6/3/14155232361.jpg|http://inventory-dmg.assets-cdk.com/0/8/3/14155232380.jpg|http://inventory-dmg.assets-cdk.com/1/0/4/14155232401.jpg|http://inventory-dmg.assets-cdk.com/2/2/4/14155232422.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg05.jpg|http://inventory-dmg.assets-cdk.com/chrome/381177/cc_2016CAC230001_01_640_G1W.png,http://www.prestongm.com/VehicleDetails/new-2016-Cadillac-CT6_Sedan-Platinum_AWD-Langley-BC/2790180973,0,1
2792420023,,new,2016 Chevrolet Corvette,2016,Chevrolet,Corvette,Z51 3LT,"$87,960",Coupe,6.2L 8 cyl,Automatic,Arctic White,Blue,,http://inventory-dmg.assets-cdk.com/4/1/4/13664312414.jpg|http://inventory-dmg.assets-cdk.com/4/2/4/13664312424.jpg|http://inventory-dmg.assets-cdk.com/0/3/4/13664312430.jpg|http://inventory-dmg.assets-cdk.com/9/3/4/13664312439.jpg|http://inventory-dmg.assets-cdk.com/4/4/4/13664312444.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2883233/default/ext_G8G_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2883233/default/ext_G8G_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2883233/default/ext_G8G_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2883233/default/ext_G8G_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2883233/default/int_205_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2883233/default/int_205_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/376662/cc_2016CHC060003_01_640_G8G.png,http://www.prestongm.com/VehicleDetails/new-2016-Chevrolet-Corvette-Z51_3LT-Langley-BC/2792420023,0,1
2802669823,,new,2017 Chevrolet Equinox,2017,Chevrolet,Equinox,LS w/1LS,"$17,834",SUV,2.4L 4 cyl,Automatic,Silver Ice Metallic,Jet Black,,http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277193/default/ext_GAN_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277193/default/ext_GAN_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277193/default/ext_GAN_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277193/default/ext_GAN_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277193/default/int_AFH_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277193/default/int_AFH_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383585/cc_2017CHS150002_01_640_GAN.png,http://www.prestongm.com/VehicleDetails/new-2017-Chevrolet-Equinox-LS_w%2F1LS-Langley-BC/2802669823,0,1
