stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
15P044B,,used,2010 Buick Enclave,2010,Buick,Enclave,CX,"$14,900",SUV,3.6L V6  DIR DOHC 24V,,White Opal 40U,Titanium 832,,http://inventory-cf.assets-cdk.com/6/1/4/14927552416.jpg|http://inventory-cf.assets-cdk.com/7/4/5/14927552547.jpg|http://inventory-cf.assets-cdk.com/1/8/7/14927552781.jpg|http://inventory-cf.assets-cdk.com/9/8/4/14927566489.jpg|http://inventory-cf.assets-cdk.com/1/6/3/14927567361.jpg|http://inventory-cf.assets-cdk.com/3/8/0/14927553083.jpg|http://inventory-cf.assets-cdk.com/6/1/3/14927553316.jpg|http://inventory-cf.assets-cdk.com/4/4/0/14028072044.jpg|http://inventory-cf.assets-cdk.com/6/7/5/14028070576.jpg|http://inventory-cf.assets-cdk.com/3/9/4/14927553493.jpg|http://inventory-cf.assets-cdk.com/3/4/6/14927553643.jpg|http://inventory-cf.assets-cdk.com/4/3/8/14927553834.jpg|http://inventory-cf.assets-cdk.com/8/7/0/14927554078.jpg|http://inventory-cf.assets-cdk.com/5/4/3/14927554345.jpg|http://inventory-cf.assets-cdk.com/2/8/5/14927554582.jpg|http://inventory-cf.assets-cdk.com/8/5/9/14028068958.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2010/12598.jpg,http://www.quillplains.com/VehicleDetails/used-2010-Buick-Enclave-CXL1-Wadena-SK/2949070143,0,0
15P054,,used,2015 Chevrolet Equinox,2015,Chevrolet,Equinox,LS 4dr SUV AWD (2.4L 4cyl 6A),"$24,900",SUV,2.4L L4  DIR DOHC 16V,,Summit White,Jet Black,"53,264",http://inventory-dmg.assets-cdk.com/7/3/8/13251329837.jpg|http://inventory-dmg.assets-cdk.com/4/6/1/13251330164.jpg|http://inventory-dmg.assets-cdk.com/8/2/6/13251330628.jpg|http://inventory-dmg.assets-cdk.com/6/5/2/13251331256.jpg|http://inventory-dmg.assets-cdk.com/2/4/5/12359746542.jpg|http://inventory-dmg.assets-cdk.com/6/0/3/13251331306.jpg|http://inventory-dmg.assets-cdk.com/6/8/6/12359746686.jpg|http://inventory-dmg.assets-cdk.com/2/2/6/13251331622.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1957593/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1957593/default/int_AFJ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2015/1957593/default/int_AFJ_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/368334/cc_2015CHE007b_01_640_GAZ.png,http://www.quillplains.com/VehicleDetails/used-2015-Chevrolet-Equinox-LT-Wadena-SK/2642665773,0,1
15T213,,used,2015 GMC Sierra 2500HD,2015,GMC,Sierra 2500,,Contact Us,Crew Cab Pickup - Standard Bed,6.6L V8  DIR OHV  32V,,Summit White,Jet Black,"57,576",http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg06.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg07.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg08.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/ext_GAZ_deg09.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg06.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg07.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg08.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/ext_GAZ_deg09.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/int_H2U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/1890013/default/int_H2U_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/int_H2U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2015/2730213/default/int_H2U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/364877/cc_2015GMC006a_01_640_GAZ.png,http://www.quillplains.com/VehicleDetails/used-2015-GMC-Sierra_2500HD-SLT-Wadena-SK/3027560393,0,1
16P002A,,used,2009 GMC Acadia,2009,GMC,Acadia,SLT-1 AWD,"$9,900",SUV,3.6L V6  DIR DOHC 24V,,Quicksilver Metallic 17U,Ebony 19C,,http://inventory-cf.assets-cdk.com/1/8/2/13085406281.jpg|http://inventory-cf.assets-cdk.com/7/0/0/13085407007.jpg|http://inventory-cf.assets-cdk.com/7/2/0/13085407027.jpg|http://inventory-cf.assets-cdk.com/9/4/8/13085406849.jpg|http://inventory-cf.assets-cdk.com/3/5/2/13085407253.jpg|http://inventory-cf.assets-cdk.com/5/3/3/13085407335.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2009/12601.jpg,http://www.quillplains.com/VehicleDetails/used-2009-GMC-Acadia-SLE-Wadena-SK/2773498283,0,0
16P020A,,used,2012 Chevrolet Impala,2012,Chevrolet,Impala,LS,"$6,500",Sedan,3.6L V6  DIR DOHC 24V,,Silver Ice Metallic 17U,Ebony 19C,,http://inventory-cf.assets-cdk.com/0/8/8/14464293880.jpg|http://inventory-cf.assets-cdk.com/0/1/0/14464294010.jpg|http://inventory-cf.assets-cdk.com/0/3/0/14464294030.jpg|http://inventory-cf.assets-cdk.com/8/9/6/14464294698.jpg|http://inventory-cf.assets-cdk.com/1/4/8/14464294841.jpg|http://inventory-cf.assets-cdk.com/5/9/8/14464294895.jpg|http://inventory-cf.assets-cdk.com/0/4/6/14464295640.jpg|http://inventory-cf.assets-cdk.com/6/3/4/14464295436.jpg|http://inventory-cf.assets-cdk.com/3/0/4/14464295403.jpg|http://inventory-cf.assets-cdk.com/0/7/8/14464295870.jpg|http://inventory-cf.assets-cdk.com/5/2/8/14464295825.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2012/13618.jpg,http://www.quillplains.com/VehicleDetails/used-2012-Chevrolet-Impala-LT-Wadena-SK/2933498673,0,0
16P022,,used,2016 GMC Acadia,2016,GMC,Acadia,SLE,Contact Us,SUV,3.6L V6  DIR DOHC 24V,,Quicksilver Metallic 17U,Ebony 19C,,http://inventory-cf.assets-cdk.com/chrome_jpgs/2016/15861.jpg,http://www.quillplains.com/VehicleDetails/used-2016-GMC-Acadia-SLE-Wadena-SK/3065611783,0,1
16P022A,,used,2012 GMC Acadia,2012,GMC,Acadia,SL,"$13,900",SUV,3.6L V6  DIR DOHC 24V,,Quicksilver Metallic 17U,Ebony 19C,,http://inventory-cf.assets-cdk.com/chrome_jpgs/2012/13160.jpg,http://www.quillplains.com/VehicleDetails/used-2012-GMC-Acadia-SLE2-Wadena-SK/3070409663,0,0
16P023,,used,2016 Buick Enclave,2016,Buick,Enclave,Leather,"$42,900",SUV,3.6L V6  DIR DOHC 24V,,White Frost Tricoat G1W,Ebony 192,"28,500",http://inventory-dmg.assets-cdk.com/2/9/2/13515118292.jpg|http://inventory-dmg.assets-cdk.com/7/8/7/13515118787.jpg|http://inventory-dmg.assets-cdk.com/4/1/7/13515118714.jpg|http://inventory-dmg.assets-cdk.com/1/5/5/13515119551.jpg|http://inventory-dmg.assets-cdk.com/5/7/8/13515119875.jpg|http://inventory-dmg.assets-cdk.com/5/4/8/13515119845.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2016/15821.jpg,http://www.quillplains.com/VehicleDetails/used-2016-Buick-Enclave-Leather-Wadena-SK/2849188613,0,1
16P024A,,used,2013 Chevrolet Impala,2013,Chevrolet,Impala,LS,"$9,900",Sedan,3.6L V6  DIR DOHC 24V,,Black 41U,Ebony 19C,,http://inventory-cf.assets-cdk.com/6/2/5/15297575526.jpg|http://inventory-cf.assets-cdk.com/3/5/0/15297573053.jpg|http://inventory-cf.assets-cdk.com/5/8/0/15297573085.jpg|http://inventory-cf.assets-cdk.com/1/7/6/15297578671.jpg|http://inventory-cf.assets-cdk.com/2/8/4/15297626482.jpg|http://inventory-cf.assets-cdk.com/8/6/6/15297653668.jpg|http://inventory-cf.assets-cdk.com/5/3/3/15297678335.jpg|http://inventory-cf.assets-cdk.com/3/5/0/15297711053.jpg|http://inventory-cf.assets-cdk.com/1/8/4/15297722481.jpg|http://inventory-cf.assets-cdk.com/2/4/8/15297726842.jpg|http://inventory-cf.assets-cdk.com/6/5/6/13705605656.jpg|http://inventory-cf.assets-cdk.com/2/5/6/15297732652.jpg|http://inventory-cf.assets-cdk.com/7/4/8/15297735847.jpg|http://inventory-cf.assets-cdk.com/5/2/9/15297740925.jpg|http://inventory-cf.assets-cdk.com/1/3/3/15297744331.jpg|http://inventory-cf.assets-cdk.com/1/1/7/13705605711.jpg|http://inventory-cf.assets-cdk.com/2/4/0/15297756042.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2013/14776.jpg,http://www.quillplains.com/VehicleDetails/used-2013-Chevrolet-Impala-LT-Wadena-SK/2890191513,0,1
16P025,,used,2016 Buick Enclave,2016,Buick,Enclave,Leather,"$42,900",SUV,3.6L V6  DIR DOHC 24V,,Summit White Gaz,Ebony 192,"33,037",http://inventory-dmg.assets-cdk.com/5/1/3/13705594315.jpg|http://inventory-dmg.assets-cdk.com/5/9/9/13705595995.jpg|http://inventory-dmg.assets-cdk.com/9/4/1/14491406149.jpg|http://inventory-dmg.assets-cdk.com/3/8/0/14491407083.jpg|http://inventory-dmg.assets-cdk.com/2/3/2/14491407232.jpg|http://inventory-dmg.assets-cdk.com/5/7/0/13705596075.jpg|http://inventory-dmg.assets-cdk.com/7/3/5/14491408537.jpg|http://inventory-dmg.assets-cdk.com/9/4/1/13705596149.jpg|http://inventory-dmg.assets-cdk.com/9/2/6/14491409629.jpg|http://inventory-dmg.assets-cdk.com/7/6/4/14491409467.jpg|http://inventory-dmg.assets-cdk.com/5/8/8/14491409885.jpg|http://inventory-dmg.assets-cdk.com/2/3/4/13705595432.jpg|http://inventory-dmg.assets-cdk.com/5/6/4/13705595465.jpg|http://inventory-dmg.assets-cdk.com/9/9/4/14491413499.jpg|http://inventory-dmg.assets-cdk.com/7/8/2/13705595287.jpg|http://inventory-dmg.assets-cdk.com/7/9/9/14491415997.jpg|http://inventory-dmg.assets-cdk.com/3/3/8/13705594833.jpg|http://inventory-dmg.assets-cdk.com/1/2/1/14491416121.jpg|http://inventory-dmg.assets-cdk.com/0/3/6/14491414630.jpg|http://inventory-dmg.assets-cdk.com/7/5/4/14491417457.jpg|http://inventory-dmg.assets-cdk.com/0/1/1/13705595110.jpg|http://inventory-dmg.assets-cdk.com/9/3/6/14491412639.jpg|http://inventory-dmg.assets-cdk.com/2/1/5/13705595512.jpg|http://inventory-dmg.assets-cdk.com/1/6/5/14491411561.jpg|http://inventory-dmg.assets-cdk.com/4/7/6/13705595674.jpg|http://inventory-dmg.assets-cdk.com/3/5/8/13705595853.jpg|http://inventory-dmg.assets-cdk.com/8/2/7/13705595728.jpg|http://inventory-dmg.assets-cdk.com/2/6/2/14491413262.jpg|http://inventory-dmg.assets-cdk.com/4/0/3/14491417304.jpg|http://inventory-dmg.assets-cdk.com/3/3/5/14491417533.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2016/15821.jpg,http://www.quillplains.com/VehicleDetails/used-2016-Buick-Enclave-Leather-Wadena-SK/2849188633,0,1
