stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
100268,,used,2014 Chevrolet Cruze,2014,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),"$14,999",,138HP 1.4L 4 Cylinder Engine,Automatic,Crystal Red Tintcoat,Jet Black,,http://inventory-cf.assets-cdk.com/8/3/0/15489136038.jpg|http://inventory-cf.assets-cdk.com/5/7/0/15489136075.jpg|http://inventory-cf.assets-cdk.com/4/0/1/15489136104.jpg|http://inventory-cf.assets-cdk.com/3/4/1/15489136143.jpg|http://inventory-cf.assets-cdk.com/9/6/1/15489136169.jpg|http://inventory-cf.assets-cdk.com/9/1/2/15489136219.jpg|http://inventory-cf.assets-cdk.com/5/5/2/15489136255.jpg,http://www.raycullen.com/VehicleDetails/used-2014-Chevrolet-Cruze-2LT-London-ON/3030159583,0,0
100694,,used,2013 Chevrolet Equinox,2013,Chevrolet,Equinox,,"$19,999",,3.6L V6 Cylinder Engine,Automatic,Silver Ice Metallic,Jet Black,,http://inventory-cf.assets-cdk.com/2/5/3/15402833352.jpg|http://inventory-cf.assets-cdk.com/3/7/3/15402833373.jpg|http://inventory-cf.assets-cdk.com/5/9/3/15402833395.jpg|http://inventory-cf.assets-cdk.com/3/2/4/15402833423.jpg|http://inventory-cf.assets-cdk.com/6/5/4/15402833456.jpg|http://inventory-cf.assets-cdk.com/8/7/4/15402833478.jpg|http://inventory-cf.assets-cdk.com/2/0/5/15402833502.jpg|http://inventory-cf.assets-cdk.com/2/2/5/15402833522.jpg|http://inventory-cf.assets-cdk.com/4/4/5/15402833544.jpg|http://inventory-cf.assets-cdk.com/7/6/5/15402833567.jpg|http://inventory-cf.assets-cdk.com/4/8/5/15402833584.jpg|http://inventory-cf.assets-cdk.com/5/0/6/15402833605.jpg|http://inventory-cf.assets-cdk.com/0/2/6/15402833620.jpg|http://inventory-cf.assets-cdk.com/9/3/6/15402833639.jpg|http://inventory-cf.assets-cdk.com/0/7/6/15402833670.jpg|http://inventory-cf.assets-cdk.com/9/8/6/15402833689.jpg|http://inventory-cf.assets-cdk.com/7/0/7/15402833707.jpg|http://inventory-cf.assets-cdk.com/0/3/7/15402833730.jpg|http://inventory-cf.assets-cdk.com/6/4/7/15402833746.jpg,http://www.raycullen.com/VehicleDetails/used-2013-Chevrolet-Equinox-LTZ-London-ON/3056564323,0,1
102421,,used,2014 Chevrolet Equinox,2014,Chevrolet,Equinox,LT 4dr SUV AWD w/2LT (2.4L 4cyl 6A),"$17,999",,182HP 2.4L 4 Cylinder Engine,Automatic,Black,N/A,,http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1813953/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1813953/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1813953/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1813953/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/chrome/361554/cc_2014CHE007b_01_640_GBA.png,http://www.raycullen.com/VehicleDetails/new-2014-Chevrolet-Equinox-LT-London-ON/3059712143,0,1
102604,,used,2014 Chevrolet Cruze,2014,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),"$15,999",,138HP 1.4L 4 Cylinder Engine,Automatic,Crystal Red Tintcoat,Jet Black,,http://inventory-cf.assets-cdk.com/6/9/2/15489136296.jpg|http://inventory-cf.assets-cdk.com/2/3/3/15489136332.jpg|http://inventory-cf.assets-cdk.com/8/6/3/15489136368.jpg|http://inventory-cf.assets-cdk.com/9/0/4/15489136409.jpg|http://inventory-cf.assets-cdk.com/9/7/4/15489136479.jpg|http://inventory-cf.assets-cdk.com/8/1/5/15489136518.jpg|http://inventory-cf.assets-cdk.com/5/5/5/15489136555.jpg|http://inventory-cf.assets-cdk.com/8/8/5/15489136588.jpg|http://inventory-cf.assets-cdk.com/6/1/6/15489136616.jpg|http://inventory-cf.assets-cdk.com/6/7/6/15489136676.jpg|http://inventory-cf.assets-cdk.com/0/2/7/15489136720.jpg|http://inventory-cf.assets-cdk.com/7/7/7/15489136777.jpg|http://inventory-cf.assets-cdk.com/8/1/8/15489136818.jpg|http://inventory-cf.assets-cdk.com/4/7/8/15489136874.jpg|http://inventory-cf.assets-cdk.com/4/1/9/15489136914.jpg|http://inventory-cf.assets-cdk.com/1/5/9/15489136951.jpg|http://inventory-cf.assets-cdk.com/7/8/9/15489136987.jpg|http://inventory-cf.assets-cdk.com/2/2/0/15489137022.jpg|http://inventory-cf.assets-cdk.com/1/0/1/15489137101.jpg|http://inventory-cf.assets-cdk.com/9/2/1/15489137129.jpg,http://www.raycullen.com/VehicleDetails/used-2014-Chevrolet-Cruze-2LT-London-ON/3030159913,0,0
103357,,used,2014 Chevrolet Equinox,2014,Chevrolet,Equinox,LT 4dr SUV AWD w/2LT (2.4L 4cyl 6A),"$18,999",,182HP 2.4L 4 Cylinder Engine,Automatic,Silver Topaz Metallic,Jet Black,,http://inventory-cf.assets-cdk.com/7/4/6/15446021647.jpg|http://inventory-cf.assets-cdk.com/8/6/6/15446021668.jpg|http://inventory-cf.assets-cdk.com/8/8/6/15446021688.jpg|http://inventory-cf.assets-cdk.com/5/0/7/15446021705.jpg|http://inventory-cf.assets-cdk.com/5/2/7/15446021725.jpg|http://inventory-cf.assets-cdk.com/1/4/7/15446021741.jpg|http://inventory-cf.assets-cdk.com/7/5/7/15446021757.jpg|http://inventory-cf.assets-cdk.com/7/7/7/15446021777.jpg|http://inventory-cf.assets-cdk.com/7/8/7/15446021787.jpg|http://inventory-cf.assets-cdk.com/1/0/8/15446021801.jpg|http://inventory-cf.assets-cdk.com/5/1/8/15446021815.jpg|http://inventory-cf.assets-cdk.com/4/2/8/15446021824.jpg|http://inventory-cf.assets-cdk.com/5/3/8/15446021835.jpg|http://inventory-cf.assets-cdk.com/8/4/8/15446021848.jpg|http://inventory-cf.assets-cdk.com/3/6/8/15446021863.jpg|http://inventory-cf.assets-cdk.com/8/7/8/15446021878.jpg|http://inventory-cf.assets-cdk.com/2/9/8/15446021892.jpg|http://inventory-cf.assets-cdk.com/0/0/9/15446021900.jpg|http://inventory-cf.assets-cdk.com/6/0/9/15446021906.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1814213/default/ext_GWS_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1814213/default/ext_GWS_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1814213/default/ext_GWS_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1814213/default/ext_GWS_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1814213/default/int_AFL_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1814213/default/int_AFL_deg02.jpg|http://inventory-cf.assets-cdk.com/chrome/361555/cc_2014CHE007b_01_640_GWS.png,http://www.raycullen.com/VehicleDetails/new-2014-Chevrolet-Equinox-LT-London-ON/3062629903,0,1
103567,,used,2014 GMC Terrain,2014,GMC,Terrain,Denali 4dr SUV (2.4L 4cyl 6A),"$18,499",,2.4L 4 Cylinder Engine,Automatic,Iridium Metallic,Jet Black,,http://inventory-cf.assets-cdk.com/3/2/0/15446019023.jpg|http://inventory-cf.assets-cdk.com/0/6/0/15446019060.jpg|http://inventory-cf.assets-cdk.com/1/9/0/15446019091.jpg|http://inventory-cf.assets-cdk.com/2/2/1/15446019122.jpg|http://inventory-cf.assets-cdk.com/3/6/1/15446019163.jpg|http://inventory-cf.assets-cdk.com/0/9/1/15446019190.jpg|http://inventory-cf.assets-cdk.com/5/1/2/15446019215.jpg|http://inventory-cf.assets-cdk.com/2/5/2/15446019252.jpg|http://inventory-cf.assets-cdk.com/9/7/2/15446019279.jpg|http://inventory-cf.assets-cdk.com/5/0/3/15446019305.jpg|http://inventory-cf.assets-cdk.com/5/3/3/15446019335.jpg|http://inventory-cf.assets-cdk.com/0/6/3/15446019360.jpg|http://inventory-cf.assets-cdk.com/2/2/4/15446019422.jpg|http://inventory-cf.assets-cdk.com/7/4/4/15446019447.jpg|http://inventory-cf.assets-cdk.com/1/7/4/15446019471.jpg|http://inventory-cf.assets-cdk.com/5/0/5/15446019505.jpg|http://inventory-cf.assets-cdk.com/6/2/5/15446019526.jpg|http://inventory-cf.assets-cdk.com/1/5/5/15446019551.jpg|http://inventory-cf.assets-cdk.com/2/7/5/15446019572.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/16223.jpg,http://www.raycullen.com/VehicleDetails/new-2014-GMC-Terrain-SLE-London-ON/3063518203,0,1
103861,,used,2014 Chevrolet Camaro,2014,Chevrolet,Camaro,LS 2dr Coupe w/2LS (3.6L 6cyl 6A),"$20,999",,3.6L 6 cyl,Automatic,Black,N/A,,http://inventory-dmg.assets-cdk.com/6/3/0/15173891036.jpg|http://inventory-dmg.assets-cdk.com/4/2/1/15173891124.jpg|http://inventory-dmg.assets-cdk.com/9/6/1/15173891169.jpg|http://inventory-dmg.assets-cdk.com/0/3/2/15173891230.jpg|http://inventory-dmg.assets-cdk.com/3/7/2/15173891273.jpg|http://inventory-dmg.assets-cdk.com/3/2/3/15173891323.jpg|http://inventory-dmg.assets-cdk.com/7/6/3/15173891367.jpg|http://inventory-dmg.assets-cdk.com/2/2/4/15173891422.jpg|http://inventory-dmg.assets-cdk.com/1/5/4/15173891451.jpg|http://inventory-dmg.assets-cdk.com/1/8/4/15173891481.jpg|http://inventory-dmg.assets-cdk.com/7/1/5/15173891517.jpg|http://inventory-dmg.assets-cdk.com/9/4/5/15173891549.jpg|http://inventory-dmg.assets-cdk.com/1/8/5/15173891581.jpg|http://inventory-dmg.assets-cdk.com/3/7/6/15173891673.jpg|http://inventory-dmg.assets-cdk.com/6/0/7/15173891706.jpg,http://www.raycullen.com/VehicleDetails/used-2014-Chevrolet-Camaro-2LS-London-ON/3038942043,0,1
104300,,new,2014 Chevrolet Cruze,2014,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),Contact Us,,138HP 1.4L 4 Cylinder Engine,Automatic,Black Granite Metallic,Jet Black,,http://inventory-cf.assets-cdk.com/chrome/358061/cc_2014CHE022a_01_640_GAR.png|http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/15845.jpg,http://www.raycullen.com/VehicleDetails/new-2014-Chevrolet-Cruze-1LT-London-ON/3063518123,0,1
104974,,used,2014 Chevrolet Cruze,2014,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),"$15,999",,138HP 1.4L 4 Cylinder Engine,Automatic,Crystal Red Tintcoat,Jet Black,,http://inventory-cf.assets-cdk.com/0/6/1/15489137160.jpg|http://inventory-cf.assets-cdk.com/2/9/1/15489137192.jpg|http://inventory-cf.assets-cdk.com/1/2/2/15489137221.jpg|http://inventory-cf.assets-cdk.com/1/5/2/15489137251.jpg|http://inventory-cf.assets-cdk.com/0/3/3/15489137330.jpg|http://inventory-cf.assets-cdk.com/3/9/3/15489137393.jpg|http://inventory-cf.assets-cdk.com/3/3/4/15489137433.jpg|http://inventory-cf.assets-cdk.com/0/7/4/15489137470.jpg|http://inventory-cf.assets-cdk.com/2/1/5/15489137512.jpg|http://inventory-cf.assets-cdk.com/6/5/5/15489137556.jpg|http://inventory-cf.assets-cdk.com/2/9/5/15489137592.jpg|http://inventory-cf.assets-cdk.com/4/4/6/15489137644.jpg|http://inventory-cf.assets-cdk.com/8/7/6/15489137678.jpg|http://inventory-cf.assets-cdk.com/7/1/7/15489137717.jpg|http://inventory-cf.assets-cdk.com/1/5/7/15489137751.jpg|http://inventory-cf.assets-cdk.com/9/8/7/15489137789.jpg|http://inventory-cf.assets-cdk.com/4/2/8/15489137824.jpg|http://inventory-cf.assets-cdk.com/5/6/8/15489137865.jpg|http://inventory-cf.assets-cdk.com/0/1/9/15489137910.jpg|http://inventory-cf.assets-cdk.com/6/4/9/15489137946.jpg|http://inventory-cf.assets-cdk.com/1/9/9/15489137991.jpg,http://www.raycullen.com/VehicleDetails/used-2014-Chevrolet-Cruze-2LT-London-ON/3030162433,0,0
105642,,used,2014 Chevrolet Cruze,2014,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),"$14,999",,138HP 1.4L 4 Cylinder Engine,Automatic,Black Granite Metallic,Cocoa/light Neutral,,http://inventory-cf.assets-cdk.com/1/4/9/15402804941.jpg|http://inventory-cf.assets-cdk.com/chrome/358062/cc_2014CHE022a_01_640_GAR.png,http://www.raycullen.com/VehicleDetails/new-2014-Chevrolet-Cruze-2LT-London-ON/3059711683,0,1
