stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
123,,used,2005 Hyundai Santa Fe,2005,Hyundai,Santa Fe,,Contact Us,,2.7L DOHC MPI 24-valve V6 engine,Automatic,N/A,,"132,369",http://inventory-dmg.assets-cdk.com/chrome_jpgs/2005/5605.jpg,http://www.reidbros.ca/VehicleDetails/used-2005-Hyundai-Santa_Fe-GL-Arnprior-ON/3015345763,0,1
16034,,new,2016 Cadillac CTS Sedan,2016,Cadillac,CTS Sedan,4dr Sdn 2.0L Turbo AWD,Contact Us,,"2.0L TURBO, I4, DI, DOHC, VVT",Automatic,,,,http://inventory-dmg.assets-cdk.com/7/0/6/11488359607.jpg|http://inventory-dmg.assets-cdk.com/3/5/0/11488359053.jpg|http://inventory-dmg.assets-cdk.com/7/0/2/11488359207.jpg|http://inventory-dmg.assets-cdk.com/3/0/6/11488359603.jpg|http://inventory-dmg.assets-cdk.com/5/6/8/11488360865.jpg|http://inventory-dmg.assets-cdk.com/3/6/6/11488360663.jpg|http://inventory-dmg.assets-cdk.com/3/6/8/11488360863.jpg|http://inventory-dmg.assets-cdk.com/9/6/1/11488361169.jpg|http://inventory-dmg.assets-cdk.com/2/9/5/11488361592.jpg|http://inventory-dmg.assets-cdk.com/0/3/0/11488362030.jpg|http://inventory-dmg.assets-cdk.com/9/1/1/11488356119.jpg|http://inventory-dmg.assets-cdk.com/6/9/9/11488355996.jpg|http://inventory-dmg.assets-cdk.com/0/4/0/11488358040.jpg|http://inventory-dmg.assets-cdk.com/9/3/2/11488358239.jpg|http://inventory-dmg.assets-cdk.com/8/4/3/11488357348.jpg|http://inventory-dmg.assets-cdk.com/6/9/8/11488357896.jpg|http://inventory-dmg.assets-cdk.com/5/6/5/11488355565.jpg|http://inventory-dmg.assets-cdk.com/5/8/0/11488356085.jpg|http://inventory-dmg.assets-cdk.com/7/1/1/11488357117.jpg|http://inventory-dmg.assets-cdk.com/8/7/3/11488357378.jpg|http://inventory-dmg.assets-cdk.com/3/0/6/11488358603.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/ext_GBA_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/int_H2U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/int_H2U_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/int_H2U_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/int_H2U_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869593/default/int_H2U_deg05.jpg,http://www.reidbros.ca/VehicleDetails/new-2016-Cadillac-CTS_Sedan-4dr_Sdn_2.0L_Turbo_AWD-Arnprior-ON/2619283813,0,1
16034A,,used,2010 Chevrolet Camaro,2010,Chevrolet,Camaro,,"$18,900",,N/A,N/A,Victory Red,,,http://inventory-cf.assets-cdk.com/2/0/8/15286990802.jpg|http://inventory-cf.assets-cdk.com/1/1/6/15286990611.jpg|http://inventory-cf.assets-cdk.com/7/9/9/15286987997.jpg|http://inventory-cf.assets-cdk.com/5/2/7/15286988725.jpg|http://inventory-cf.assets-cdk.com/2/6/7/15286987762.jpg|http://inventory-cf.assets-cdk.com/7/3/5/15286989537.jpg|http://inventory-cf.assets-cdk.com/5/2/6/15286988625.jpg|http://inventory-cf.assets-cdk.com/5/4/6/15286988645.jpg|http://inventory-cf.assets-cdk.com/3/1/2/15286989213.jpg|http://inventory-cf.assets-cdk.com/7/1/4/15286990417.jpg|http://inventory-cf.assets-cdk.com/6/2/1/15286990126.jpg|http://inventory-cf.assets-cdk.com/0/7/9/15286989970.jpg|http://inventory-cf.assets-cdk.com/2/9/1/15286989192.jpg|http://inventory-cf.assets-cdk.com/4/9/9/15286989994.jpg|http://inventory-cf.assets-cdk.com/2/5/8/15286990852.jpg|http://inventory-cf.assets-cdk.com/chrome/308401/cc_2010CHE021a_01_640_GCN.png,http://www.reidbros.ca/VehicleDetails/certified-2010-Chevrolet-Camaro-1LT_%24265_Bi_Weekly-Arnprior-ON/3045652743,1,0
16034B,,used,2011 Cadillac SRX,2011,Cadillac,SRX,None,"$17,900",,3.0L V6  DIR DO,Automatic,Radiant Silver,,,http://inventory-dmg.assets-cdk.com/chrome_jpgs/2011/13180.jpg,http://www.reidbros.ca/VehicleDetails/used-2011-Cadillac-SRX-3.0_Luxury-Arnprior-ON/3045652723,0,1
16034BA,,used,2008 Jeep Liberty,2008,Jeep,Liberty,,"$9,900",,N/A,N/A,Red,,,http://inventory-cf.assets-cdk.com/9/9/7/15406277799.jpg|http://inventory-cf.assets-cdk.com/4/6/8/15406277864.jpg|http://inventory-cf.assets-cdk.com/3/8/4/15406277483.jpg|http://inventory-cf.assets-cdk.com/3/0/3/15406277303.jpg|http://inventory-cf.assets-cdk.com/5/4/6/15406277645.jpg|http://inventory-cf.assets-cdk.com/1/2/2/15406278221.jpg|http://inventory-cf.assets-cdk.com/1/1/4/15406277411.jpg|http://inventory-cf.assets-cdk.com/8/0/9/15406277908.jpg|http://inventory-cf.assets-cdk.com/3/8/1/15406278183.jpg|http://inventory-cf.assets-cdk.com/9/8/4/15406278489.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2008/10124.jpg,http://www.reidbros.ca/VehicleDetails/used-2008-Jeep-Liberty-Sport_%24239_Bi_Weekly-Arnprior-ON/3053964423,0,0
16342,,new,2016 Chevrolet Corvette,2016,Chevrolet,Corvette,2dr Stingray Conv w/3LT,Contact Us,,6.2L (376 CI) V8 DI,Manual,,,,http://inventory-cf.assets-cdk.com/2/3/6/13095722632.jpg|http://inventory-cf.assets-cdk.com/2/7/4/13095722472.jpg|http://inventory-cf.assets-cdk.com/7/7/4/13095722477.jpg|http://inventory-cf.assets-cdk.com/3/8/5/13095722583.jpg|http://inventory-cf.assets-cdk.com/0/0/6/13095722600.jpg|http://inventory-cf.assets-cdk.com/3/6/3/13095722363.jpg|http://inventory-cf.assets-cdk.com/8/7/3/13095722378.jpg|http://inventory-cf.assets-cdk.com/6/7/4/13095722476.jpg|http://inventory-cf.assets-cdk.com/0/0/4/13095722400.jpg|http://inventory-cf.assets-cdk.com/0/4/6/13095722640.jpg|http://inventory-cf.assets-cdk.com/4/1/4/13095722414.jpg|http://inventory-cf.assets-cdk.com/2/7/6/13095722672.jpg|http://inventory-cf.assets-cdk.com/7/8/6/13095722687.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2882993/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2882993/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2882993/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2882993/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2882993/default/int_198_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2882993/default/int_198_deg02.jpg,http://www.reidbros.ca/VehicleDetails/new-2016-Chevrolet-Corvette-2dr_Stingray_Conv_w%2F3LT-Arnprior-ON/2775692703,0,0
16427,,new,2016 Cadillac CTS Sedan,2016,Cadillac,CTS Sedan,4dr Sdn 3.6L AWD,"$63,988",,"3.6L V6, SIDI, DOHC, VVT",Automatic,,,,http://inventory-dmg.assets-cdk.com/7/9/6/13230778697.jpg|http://inventory-dmg.assets-cdk.com/3/8/6/13230778683.jpg|http://inventory-dmg.assets-cdk.com/7/2/6/13230778627.jpg|http://inventory-dmg.assets-cdk.com/5/1/7/13230778715.jpg|http://inventory-dmg.assets-cdk.com/5/2/7/13230778725.jpg|http://inventory-dmg.assets-cdk.com/9/1/7/13230778719.jpg|http://inventory-dmg.assets-cdk.com/7/2/7/13230778727.jpg|http://inventory-dmg.assets-cdk.com/1/3/7/13230778731.jpg|http://inventory-dmg.assets-cdk.com/9/6/7/13230778769.jpg|http://inventory-dmg.assets-cdk.com/6/0/7/13230778706.jpg|http://inventory-dmg.assets-cdk.com/2/4/7/13230778742.jpg|http://inventory-dmg.assets-cdk.com/4/4/7/13230778744.jpg|http://inventory-dmg.assets-cdk.com/8/5/7/13230778758.jpg|http://inventory-dmg.assets-cdk.com/9/4/7/13230778749.jpg|http://inventory-dmg.assets-cdk.com/7/0/7/13230778707.jpg|http://inventory-dmg.assets-cdk.com/8/4/6/13230778648.jpg|http://inventory-dmg.assets-cdk.com/3/5/6/13230778653.jpg|http://inventory-dmg.assets-cdk.com/9/7/7/13230778779.jpg|http://inventory-dmg.assets-cdk.com/3/7/7/13230778773.jpg|http://inventory-dmg.assets-cdk.com/8/6/7/13230778768.jpg|http://inventory-dmg.assets-cdk.com/0/7/6/13230778670.jpg|http://inventory-dmg.assets-cdk.com/9/8/6/13230778689.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/ext_GBA_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/int_HDY_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/int_HDY_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/int_HDY_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/int_HDY_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869833/default/int_HDY_deg05.jpg,http://www.reidbros.ca/VehicleDetails/new-2016-Cadillac-CTS_Sedan-4dr_Sdn_3.6L_AWD-Arnprior-ON/2803374073,0,1
16427A,,used,2012 Chrysler 200,2012,Chrysler,200,Limited,"$7,900",,3.6L V6 VVT ENGINE,Automatic,N/A,,"158,524",http://inventory-dmg.assets-cdk.com/0/4/0/14702946040.jpg|http://inventory-dmg.assets-cdk.com/1/5/6/14702945651.jpg|http://inventory-dmg.assets-cdk.com/3/2/1/14702946123.jpg|http://inventory-dmg.assets-cdk.com/1/5/0/14702947051.jpg|http://inventory-dmg.assets-cdk.com/1/9/6/14702947691.jpg|http://inventory-dmg.assets-cdk.com/2/9/6/14702947692.jpg|http://inventory-dmg.assets-cdk.com/8/2/7/14702947728.jpg|http://inventory-dmg.assets-cdk.com/8/1/6/14702936618.jpg|http://inventory-dmg.assets-cdk.com/8/0/6/14702936608.jpg|http://inventory-dmg.assets-cdk.com/2/1/6/14702936612.jpg|http://inventory-dmg.assets-cdk.com/2/2/1/14702938122.jpg|http://inventory-dmg.assets-cdk.com/7/7/8/14702943877.jpg|http://inventory-dmg.assets-cdk.com/0/7/2/14702944270.jpg|http://inventory-dmg.assets-cdk.com/9/8/2/14702942289.jpg|http://inventory-dmg.assets-cdk.com/4/7/2/14702942274.jpg|http://inventory-dmg.assets-cdk.com/8/4/5/14702938548.jpg|http://inventory-dmg.assets-cdk.com/3/2/7/14702938723.jpg|http://inventory-dmg.assets-cdk.com/4/0/0/14702942004.jpg|http://inventory-dmg.assets-cdk.com/5/4/4/14702944445.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2012/14043.jpg,http://www.reidbros.ca/VehicleDetails/certified-2012-Chrysler-200-Limited-Arnprior-ON/3006615503,1,1
16495,,new,2016 Cadillac Escalade ESV,2016,Cadillac,Escalade ESV,4WD 4dr Premium Collection,"$89,888",,6.0L V8  SFI OH,Automatic,,,,http://inventory-dmg.assets-cdk.com/3/4/0/13519392043.jpg|http://inventory-dmg.assets-cdk.com/6/9/7/13519391796.jpg|http://inventory-dmg.assets-cdk.com/0/5/9/13519390950.jpg|http://inventory-dmg.assets-cdk.com/2/3/4/13519393432.jpg|http://inventory-dmg.assets-cdk.com/8/6/8/13519390868.jpg|http://inventory-dmg.assets-cdk.com/5/4/4/13519391445.jpg|http://inventory-dmg.assets-cdk.com/1/5/1/13519391151.jpg|http://inventory-dmg.assets-cdk.com/1/9/3/13519391391.jpg|http://inventory-dmg.assets-cdk.com/6/8/2/13519393286.jpg|http://inventory-dmg.assets-cdk.com/6/0/8/13519392806.jpg|http://inventory-dmg.assets-cdk.com/9/2/2/13519393229.jpg|http://inventory-dmg.assets-cdk.com/2/8/2/13519393282.jpg|http://inventory-dmg.assets-cdk.com/7/5/1/13519393157.jpg|http://inventory-dmg.assets-cdk.com/1/1/0/13519393011.jpg|http://inventory-dmg.assets-cdk.com/6/5/3/13519392356.jpg|http://inventory-dmg.assets-cdk.com/1/5/2/13519392251.jpg|http://inventory-dmg.assets-cdk.com/0/5/4/13519392450.jpg|http://inventory-dmg.assets-cdk.com/3/6/2/13519392263.jpg|http://inventory-dmg.assets-cdk.com/8/1/0/13519393018.jpg|http://inventory-dmg.assets-cdk.com/2/2/9/13519392922.jpg|http://inventory-dmg.assets-cdk.com/9/9/5/13519392599.jpg|http://inventory-dmg.assets-cdk.com/9/9/6/13519392699.jpg|http://inventory-dmg.assets-cdk.com/8/5/9/13519391958.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg05.jpg,http://www.reidbros.ca/VehicleDetails/new-2016-Cadillac-Escalade_ESV-4WD_4dr_Premium_Collection-Arnprior-ON/2849204363,0,1
16495A,,used,2015 Toyota Sequoia,2015,Toyota,Sequoia,SR5 4dr SUV (5.7L 8cyl 6A),"$51,900",,5.7L V8  FI  DO,Automatic,Purple,,,http://inventory-cf.assets-cdk.com/3/6/6/14450989663.jpg|http://inventory-cf.assets-cdk.com/4/2/9/14450989924.jpg|http://inventory-cf.assets-cdk.com/4/3/1/14450990134.jpg|http://inventory-cf.assets-cdk.com/6/1/9/14450991916.jpg|http://inventory-cf.assets-cdk.com/1/6/9/14450990961.jpg|http://inventory-cf.assets-cdk.com/7/3/3/14450991337.jpg|http://inventory-cf.assets-cdk.com/2/5/6/14450992652.jpg|http://inventory-cf.assets-cdk.com/2/5/0/14450992052.jpg|http://inventory-cf.assets-cdk.com/7/3/8/14450992837.jpg|http://inventory-cf.assets-cdk.com/3/8/6/14450994683.jpg|http://inventory-cf.assets-cdk.com/7/6/4/14450994467.jpg|http://inventory-cf.assets-cdk.com/3/0/8/14450993803.jpg|http://inventory-cf.assets-cdk.com/9/0/8/14450992809.jpg|http://inventory-cf.assets-cdk.com/5/9/4/14450994495.jpg|http://inventory-cf.assets-cdk.com/7/6/1/14450988167.jpg|http://inventory-cf.assets-cdk.com/1/0/6/14450988601.jpg|http://inventory-cf.assets-cdk.com/4/3/6/14450987634.jpg|http://inventory-cf.assets-cdk.com/6/6/2/14450988266.jpg|http://inventory-cf.assets-cdk.com/7/7/7/14450986777.jpg|http://inventory-cf.assets-cdk.com/1/6/1/14450987161.jpg|http://inventory-cf.assets-cdk.com/3/6/1/14450987163.jpg|http://inventory-cf.assets-cdk.com/9/6/2/14450989269.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2015/21863.jpg,http://www.reidbros.ca/VehicleDetails/certified-2015-Toyota-Sequoia-Platinum-Arnprior-ON/2985883003,1,0
17015,,new,2017 GMC Terrain,2017,GMC,Terrain,AWD Denali,"$45,480",,2.4L 4 cyl,Automatic,,,,http://inventory-dmg.assets-cdk.com/1/2/3/13261056321.jpg|http://inventory-dmg.assets-cdk.com/5/3/3/13261056335.jpg|http://inventory-dmg.assets-cdk.com/9/5/4/13261056459.jpg|http://inventory-dmg.assets-cdk.com/2/6/5/13261056562.jpg|http://inventory-dmg.assets-cdk.com/2/2/4/13261056422.jpg|http://inventory-dmg.assets-cdk.com/3/8/4/13261056483.jpg|http://inventory-dmg.assets-cdk.com/7/6/3/13261056367.jpg|http://inventory-dmg.assets-cdk.com/6/8/6/13261056686.jpg|http://inventory-dmg.assets-cdk.com/0/8/1/13261056180.jpg|http://inventory-dmg.assets-cdk.com/7/4/5/13261056547.jpg|http://inventory-dmg.assets-cdk.com/3/9/5/13261056593.jpg|http://inventory-dmg.assets-cdk.com/0/6/5/13261056560.jpg|http://inventory-dmg.assets-cdk.com/1/6/2/13261056261.jpg|http://inventory-dmg.assets-cdk.com/9/1/1/13261056119.jpg|http://inventory-dmg.assets-cdk.com/3/5/8/13261056853.jpg|http://inventory-dmg.assets-cdk.com/8/2/8/13261056828.jpg|http://inventory-dmg.assets-cdk.com/3/8/7/13261056783.jpg|http://inventory-dmg.assets-cdk.com/9/1/7/13261056719.jpg|http://inventory-dmg.assets-cdk.com/6/1/8/13261056816.jpg|http://inventory-dmg.assets-cdk.com/6/9/6/13261056696.jpg|http://inventory-dmg.assets-cdk.com/2/5/2/13261056252.jpg|http://inventory-dmg.assets-cdk.com/8/1/4/13261056418.jpg|http://inventory-dmg.assets-cdk.com/3/7/1/13261056173.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2017/23164.jpg,http://www.reidbros.ca/VehicleDetails/new-2017-GMC-Terrain-AWD_Denali-Arnprior-ON/2808912773,0,1
