stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
00b97168b7bec9d06b88f3cb30e27bbf,,new,2017 Jeep Cherokee Sport Altitude SUV,2017,Jeep,Cherokee,,"$32,980",,2.4L Tigershark MultiAir I4,9-Speed Automatic,,Black/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_KLTL74_2TN_PXJ_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Jeep/2017-Jeep-Cherokee-481962e70a0e0ae84389fb37fdcaae02.htm,0,1
01dcd2c35db03bb6f4ea6cb0123edd0e,,new,2017 Dodge Grand Caravan Canada Value Package Van,2017,Dodge,Grand,,"$26,765",,3.6L Pentastar VVT V6,6-Speed Automatic,Brilliant Blk Crystal Prl,Light Greystone/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_RTKH53_2DE_PXR_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Dodge/2017-Dodge-Grand+Caravan-fada1a0e0a0e0a6b0f6fe5220f22c3bb.htm,0,1
0261e409469f9aa68bc19307af49811a,,new,2017 Jeep Grand Cherokee Limited SUV,2017,Jeep,Grand Cherokee,Altitude 4dr SUV 4WD (3.6L 6cyl 8A),"$50,690",,3.6L Pentastar VVT V6 w/ESS,8-Speed TorqueFlite Automatic,,Light Frost Beige/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_WKJP74_2TH_PTW_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Jeep/2017-Jeep-Grand+Cherokee-d622208d0a0e0ae867dfbbaf0edf1423.htm,0,1
0574e756944327c454437b5a47c29b36,,new,2017 Dodge Grand Caravan SXT Plus Van,2017,Dodge,Grand,,"$31,043",,3.6L Pentastar VVT V6,6-Speed Automatic,,Light Greystone/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_RTKH53_2DG_PRV_APA_XXX_XXX_AAY.jpg,http://www.reliablemotors.ca/new/Dodge/2017-Dodge-Grand+Caravan-8543543e0a0e0ae757ee4a829d63e6f3.htm,0,0
059384638fcc972537987882697567cb,,new,2017 Chrysler Pacifica Touring-L Van,2017,Chrysler,Pacifica,,"$46,085",,3.6L Pentastar VVT V6 w/ESS,9-Speed Automatic,,Alloy/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_RUCH53_2DL_PSC_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Chrysler/2017-Chrysler-Pacifica-88e265820a0e0adf5dc31896fd9a7d61.htm,0,1
05b6383c04b25123236faa6879a01b91,,new,2017 Jeep Renegade Trailhawk SUV,2017,Jeep,Renegade,,"$33,835",,2.4L Tigershark MultiAir I-4,9-Speed Automatic,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_BUJH74_2DE_PJK_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Jeep/2017-Jeep-Renegade-f08c3ae80a0e0a170ad1f9b6afbae8c7.htm,0,1
09eb12bd6d9fe782a6276c09ffc8ba7c,,new,2017 Ram 1500 Laramie Limited Truck Crew Cab,2017,Ram,1500,,"$70,430",,5.7L HEMI VVT V8 w/FuelSaver MDS,8-Speed TorqueFlite Automatic,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_DS6R98_2TV_PAU_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Ram/2017-Ram-1500-c6bd7f7b0a0e0adf5dc318965cb4860a.htm,0,1
0e9ff4285df88574bdfdef9f7ad06737,,new,2017 Jeep All-New Compass Limited SUV,2017,Jeep,All-New,,"$38,090",,2.4L Tigershark MultiAir I-4 w/ESS,9-Speed Automatic,,Black w/Accent Stitch,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_MPJP74_2DG_PW3_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Jeep/2017-Jeep-All-New+Compass-1ee7e6300a0e0a6b2d6948d7a14c0647.htm,0,1
103af85ac06c59e6f577f08b47460ae5,,new,2017 Jeep All-New Compass Limited SUV,2017,Jeep,All-New,,"$38,140",,2.4L Tigershark MultiAir I-4 w/ESS,9-Speed Automatic,,Black w/Accent Stitch,,http://images.dealer.com/autodata/ca/large_stockphoto-color/2017/CAC70JES203D0/PXJ.jpg,http://www.reliablemotors.ca/new/Jeep/2017-Jeep-All-New+Compass-3dcbf7eb0a0e0ae76cb81e679805917b.htm,0,1
104e149475f6ea1f7ec0f1434837bcc4,,new,2017 Jeep Wrangler Willys Wheeler SUV,2017,Jeep,Wrangler,,"$41,430",,3.6L Pentastar VVT V6,5-Speed Automatic,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_JKJL72_2TW_PX8_APA_XXX_XXX_XXX.jpg,http://www.reliablemotors.ca/new/Jeep/2017-Jeep-Wrangler-d86650780a0e0ae819cfeb62b194e4a0.htm,0,1
