stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
1C3BC1FG3BN507656,,used, 2011 Chrysler 200 Touring Sedan,2011,Chrysler,200,Touring,"$14,888",Sedan,6L V-6 cyl,4 Speed Automatic,,,,http://pictures.dealer.com/c/ccinotman/0425/619ecef196e00b588efdb46fcb80ca89x.jpg,http://www.riversidechrysler.ca/used/Chrysler/2011-Chrysler-200-8b5a0c2c0a0e08bc6b9445239b1d8fec.htm,0,0
1C3CCBAB6EN131724,,used, 2014 Chrysler 200 LX Sedan,2014,Chrysler,200,LX,"$10,999",Sedan,4L I-4 cyl,4 Speed Automatic,,,,http://pictures.dealer.com/c/ccinotman/1983/05d43696f1d9c68b12f7c5c66357a443x.jpg,http://www.riversidechrysler.ca/used/Chrysler/2014-Chrysler-200-102c0dbb0a0e08bb1502887919796484.htm,0,0
1C3CCCBG5FN524051,,used, 2015 Chrysler 200 S Sedan,2015,Chrysler,200,S,"$21,888",Sedan,6L V-6 cyl,9 speed automatic,,,,http://pictures.dealer.com/c/ccinotman/1419/8d614ad6d620ffdaa154b5b2ffcc4e57x.jpg,http://www.riversidechrysler.ca/used/Chrysler/2015-Chrysler-200-d10aac810a0e08f77c8ccc447b319fa1.htm,0,0
1C3CCCFB8FN640682,,used, 2015 Chrysler 200 LX Sedan,2015,Chrysler,200,LX,"$15,999",Sedan,4L I-4 cyl,9 speed automatic,,,,http://pictures.dealer.com/c/ccinotman/0112/6be816a0ee2ceeb9a26f2517139333f9x.jpg,http://www.riversidechrysler.ca/used/Chrysler/2015-Chrysler-200-102cb02a0a0e08bb15028879dbaae727.htm,0,0
1C3CCCFBXFN549994,,used, 2015 Chrysler 200 LX Sedan,2015,Chrysler,200,LX,"$15,888",Sedan,4L I-4 cyl,9 speed automatic,,,,http://pictures.dealer.com/c/ccinotman/1081/0c93e25f5a64207d2c2dc5ecc7c28b90x.jpg,http://www.riversidechrysler.ca/used/Chrysler/2015-Chrysler-200-640cae760a0e08be1e121ef8feb5f2cb.htm,0,1
1C3CDFEB9ED667491,,used, 2014 Dodge Dart GT Sedan,2014,Dodge,Dart,GT 4dr Sedan (2.4L 4cyl 6M),"$13,999",Sedan,4L I-4 cyl,6 Speed Manual,,,,http://pictures.dealer.com/c/ccinotman/0998/10b197268118dada98a90499545f6594x.jpg,http://www.riversidechrysler.ca/used/Dodge/2014-Dodge-Dart-0b3ba8f00a0e08bd3d84fea00c86301d.htm,0,0
1C4AJWAG1HL629003,,new, 2017 Jeep Wrangler Sport SUV,2017,Jeep,Wrangler,Sport,"$34,435",SUV,3.6L Pentastar VVT V6,5-Speed Automatic,Black,,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_JKJL72_2TB_PX8_APA_XXX_XXX_XXX.jpg,http://www.riversidechrysler.ca/new/Jeep/2017-Jeep-Wrangler-293566d90a0e0a1708debfc4c883b9b2.htm,0,1
1C4AJWAG2DL574636,,used, 2013 Jeep Wrangler Sport SUV,2013,Jeep,Wrangler,Sport,"$24,888",SUV,6L V-6 cyl,Automatic,,,,http://pictures.dealer.com/c/ccinotman/1883/e118e3ba01f530a5173f26836bad2487x.jpg,http://www.riversidechrysler.ca/used/Jeep/2013-Jeep-Wrangler-558bee0e0a0e08ba7ddc59c957b3c259.htm,0,0
1C4AJWAG3HL629004,,new, 2017 Jeep Wrangler Sport SUV,2017,Jeep,Wrangler,Sport,"$34,435",SUV,3.6L Pentastar VVT V6,5-Speed Automatic,Black,,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_JKJL72_2TB_PX8_APA_XXX_XXX_XXX.jpg,http://www.riversidechrysler.ca/new/Jeep/2017-Jeep-Wrangler-293567050a0e0a1708debfc45a614e8e.htm,0,0
1C4BJWDG0HL719100,,new, 2017 Jeep Wrangler Unlimited Sport S SUV,2017,Jeep,Wrangler,Unlimited\x20Sport\x20S,"$45,660",SUV,3.6L Pentastar VVT V6,5-Speed Automatic,Black,,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_JKJM74_2TS_PX8_APA_XXX_XXX_XXX.jpg,http://www.riversidechrysler.ca/new/Jeep/2017-Jeep-Wrangler-c6bef5950a0e0aea4a9cbb01f5156c4e.htm,0,1
