stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
027d49fe066ee5a0644650a7e15af935,,new,2017 Dodge Grand Caravan GT Van,2017,Dodge,Grand Caravan,GT,"$38,287",Van,3.6L Pentastar VVT V6,6-Speed Automatic,Granite Crystal Metallic,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_RTKX53_2DN_PAU_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Dodge/2017-Dodge-Grand+Caravan-Saskatchewan-c6c701bb0a0e0aea4a9cbb0132900842.htm,0,1
0512d7c0b6c5041c2bcd73aabf2cf360,,new,2017 Ram 1500 SLT Premium Plus Truck Crew Cab,2017,Ram,1500,Outdoorsman,"$43,422",Truck Crew Cab,5.7L HEMI VVT V8 w/FuelSaver MDS,8-Speed TorqueFlite Automatic,Bright Silver Metallic,Diesel Grey/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_DS6H98_2TG_PS2_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Ram/2017-Ram-1500-Saskatchewan-fc599d960a0e0ae955c6629c680ee54b.htm,0,1
078ee2eb9673110c69713e1305f40cef,,new,2017 Jeep Wrangler Sport S SUV,2017,Jeep,Wrangler,Sport,"$39,750",SUV,3.6L Pentastar VVT V6,5-Speed Automatic,Black,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_JKJL72_2TS_PX8_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Jeep/2017-Jeep-Wrangler-Saskatchewan-f38a40b50a0e0ae828480609441308dd.htm,0,1
0a7498bbdb1f169ab09e450ab5890ba6,,new,2017 Ram 1500 Sport Truck Crew Cab,2017,Ram,1500,Outdoorsman,"$54,710",Truck Crew Cab,5.7L HEMI VVT V8 w/FuelSaver MDS,8-Speed TorqueFlite Automatic,Brilliant Blk Crystal Prl,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_DS6S98_2TL_PXR_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Ram/2017-Ram-1500-Saskatchewan-5560906e0a0e0aea4a9cbb01d0cc63d3.htm,0,1
0a89d482f0297bf6e5af183cf7a2fd45,,new,2017 Dodge Grand Caravan Blacktop Van,2017,Dodge,Grand Caravan,Blacktop,"$43,820",Van,3.6L Pentastar VVT V6,6-Speed Automatic,Bright White,Black,,,http://www.riversidedodge.ca/new/Dodge/2017-Dodge-Grand+Caravan-Saskatchewan-b222dc760a0e0ae867dfbbafff06f0a9.htm,0,1
0c1ca9924242a49220e3a410c4d21cf3,,new,2017 Dodge Grand Caravan Crew Plus Van,2017,Dodge,Grand Caravan,GT,"$35,789",Van,3.6L Pentastar VVT V6,6-Speed Automatic,Granite Crystal Metallic,Light Greystone/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_RTKP53_2DL_PAU_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Dodge/2017-Dodge-Grand+Caravan-Saskatchewan-4245abb70a0e0aea5282132b8d0908e3.htm,0,0
0c308124c2091fb633f03064af3b8fde,,new,2017 Jeep Wrangler Unlimited Smoky Mountain SUV,2017,Jeep,Wrangler,75th Anniversary Edition,"$53,610",SUV,3.6L Pentastar VVT V6,5-Speed Automatic,Billet Metallic,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_JKJP74_2DY_PSC_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Jeep/2017-Jeep-Wrangler-Saskatchewan-dd95b2320a0e0ae813b5e94dbe538d6d.htm,0,1
0c5f6ba05b2cd8e23b0f27e1f16b2669,,new,2017 Ram 3500 Laramie Truck Crew Cab,2017,Ram,3500,Rebel,"$78,560",Truck Crew Cab,6.7L Cummins I-6 Turbo Diesel,6-Speed Automatic,Bright White,Lt Frost Beige/Brown,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_D28P91_2TH_PW7_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Ram/2017-Ram-3500-Saskatchewan-955d36940a0e0ae712ca3d21d8b23cc4.htm,0,1
0c9856fdc99fedb9be3d6587a4a2f216,,new,2017 Dodge Grand Caravan Blacktop Van,2017,Dodge,Grand Caravan,Blacktop,"$44,015",Van,3.6L Pentastar VVT V6,6-Speed Automatic,Granite Crystal Metallic,Black,,,http://www.riversidedodge.ca/new/Dodge/2017-Dodge-Grand+Caravan-Saskatchewan-acf2ed790a0e0ae7682674b8c7baa0b1.htm,0,1
0f388227128ca2427f65ebbb083bca4d,,new,2017 Jeep Cherokee Limited SUV,2017,Jeep,Cherokee,Unlimited Big Bear,"$38,352",SUV,3.2L Pentastar VVT V6 w/ESS,9-Speed Automatic,Bright White,Black/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_KLJP74_2TG_PW7_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Jeep/2017-Jeep-Cherokee-Saskatchewan-d9e570d00a0e0ae828480609277e85f1.htm,0,1
10c954132a3b688d771791fd70795e74,,new,2017 Jeep Cherokee North SUV,2017,Jeep,Cherokee,Unlimited Smoky Mountain,"$34,850",SUV,3.2L Pentastar VVT V6 w/ESS,9-Speed Automatic,Bright White,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_KLJM74_2TJ_PW7_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Jeep/2017-Jeep-Cherokee-Saskatchewan-e95508420a0e0ae7421d8d5caada63d4.htm,0,1
10fd7e312d309f5d44e05f00d7aac228,,new,2017 Ram 1500 SXT Truck Quad Cab,2017,Ram,1500,Outdoorsman,"$35,464",Truck Quad Cab,5.7L HEMI VVT V8 w/FuelSaver MDS,6-Speed Automatic,Bright Silver Metallic,Diesel Grey/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_DS6L41_2TA_PS2_APA_XXX_XXX_AGR.jpg,http://www.riversidedodge.ca/new/Ram/2017-Ram-1500-Saskatchewan-0188adec0a0e0ae955c6629c2867415a.htm,0,1
12ba8660e7ba1f0edbd37af4dfb7a8b9,,new,2017 Jeep All-New Compass North SUV,2017,Jeep,All-New Compass,Sahara,"$36,040",SUV,2.4L Tigershark MultiAir I-4 w/ESS,9-Speed Automatic,Billet Metallic,Black w/Accent Stitch,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_MPJM74_2DJ_PSC_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Jeep/2017-Jeep-All-New+Compass-Saskatchewan-7d2c14f50a0e0a1777641ac036bace73.htm,0,1
1367fc7b4a91725e272c76a88099750e,,new,2017 Jeep Wrangler Sport S SUV,2017,Jeep,Wrangler,Sport,"$39,955",SUV,3.6L Pentastar VVT V6,5-Speed Automatic,Billet Metallic,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_JKJL72_2TS_PSC_APA_XXX_XXX_XXX.jpg,http://www.riversidedodge.ca/new/Jeep/2017-Jeep-Wrangler-Saskatchewan-09a769060a0e0ae7682674b8e34d66b9.htm,0,1
138570249a9619b964dc06af183ab789,,new,2018 Jeep Grand Cherokee Limited SUV,2018,Jeep,Grand Cherokee,North,"$59,390",SUV,3.6L Pentastar VVT V6 w/ESS,8-Speed Automatic,Diamond Blk Crystal Prl,Black/Black,,http://images.dealer.com/autodata/ca/large_stockphoto-color/2018/CAC80JES051B0/PXJ.jpg,http://www.riversidedodge.ca/new/Jeep/2018-Jeep-Grand+Cherokee-Saskatchewan-8545bc1b0a0e0ae8145e712d430bb23f.htm,0,0
17f8cd879d19e69248361cef4d4fa870,,new,2017 Jeep Cherokee North SUV,2017,Jeep,Cherokee,Sahara,"$39,725",SUV,3.2L Pentastar VVT V6 w/ESS,9-Speed Automatic,Dp Cherry Red Crystal PL,Black,,http://images.dealer.com/autodata/ca/large_stockphoto-color/2017/CAC70JES042B0/PRP.jpg,http://www.riversidedodge.ca/new/Jeep/2017-Jeep-Cherokee-Saskatchewan-a148077d0a0e0ae7513b8f859efd75b7.htm,0,1
180647e98179c0f7ae71af6080356b16,,new,2018 Ram 1500 Big Horn Truck Quad Cab,2018,Ram,1500,Sport,"$51,640",Truck Quad Cab,5.7L HEMI VVT V8 w/FuelSaver MDS,8-Speed TorqueFlite Automatic,Brilliant Blk Crystal Prl,Diesel Grey/Black,,http://images.dealer.com/autodata/ca/large_stockphoto-color/2018/CAC80RMT117B0/PXR.jpg,http://www.riversidedodge.ca/new/Ram/2018-Ram-1500-Saskatchewan-6663eb8e0a0e0ae97a1697c40a8b6b65.htm,0,0
