stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
16007A,,used,2010 Buick LaCrosse,2010,Buick,LaCrosse,CXL,"$12,999",Sedan,V-6 cyl,Automatic,Black,N/A,,http://inventory-cf.assets-cdk.com/2/4/3/15487314342.jpg|http://inventory-cf.assets-cdk.com/1/7/4/15487314471.jpg|http://inventory-cf.assets-cdk.com/0/3/6/15487314630.jpg|http://inventory-cf.assets-cdk.com/8/7/7/15487314778.jpg|http://inventory-cf.assets-cdk.com/0/4/9/15487314940.jpg|http://inventory-cf.assets-cdk.com/8/3/0/15487315038.jpg|http://inventory-cf.assets-cdk.com/1/5/1/15487315151.jpg|http://inventory-cf.assets-cdk.com/0/4/2/15487315240.jpg|http://inventory-cf.assets-cdk.com/3/5/3/15487315353.jpg|http://inventory-cf.assets-cdk.com/2/9/4/15487315492.jpg|http://inventory-cf.assets-cdk.com/8/8/5/15487315588.jpg|http://inventory-cf.assets-cdk.com/8/5/7/15487315758.jpg|http://inventory-cf.assets-cdk.com/9/3/8/15487315839.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2010/13140.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2010-Buick-LaCrosse-CXL-Prescott-ON/2853874263,1,0
16111B,,used,2007 Chevrolet TrailBlazer,2007,Chevrolet,TrailBlazer,4.2 LT,"$3,999",SUV,I-6 cyl,Automatic,Gray,Light Gray,,http://inventory-dmg.assets-cdk.com/8/5/9/14726628958.jpg|http://inventory-dmg.assets-cdk.com/3/1/0/14726629013.jpg|http://inventory-dmg.assets-cdk.com/3/7/0/14726629073.jpg|http://inventory-dmg.assets-cdk.com/5/4/1/14726629145.jpg|http://inventory-dmg.assets-cdk.com/1/0/2/14726629201.jpg|http://inventory-dmg.assets-cdk.com/2/6/2/14726629262.jpg|http://inventory-dmg.assets-cdk.com/8/1/3/14726629318.jpg|http://inventory-dmg.assets-cdk.com/3/6/3/14726629363.jpg|http://inventory-dmg.assets-cdk.com/3/1/4/14726629413.jpg|http://inventory-dmg.assets-cdk.com/4/7/4/14726629474.jpg|http://inventory-dmg.assets-cdk.com/9/0/6/14726629609.jpg|http://inventory-dmg.assets-cdk.com/6/6/6/14726629666.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2007/8992.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2007-Chevrolet-TrailBlazer-_-Prescott-ON/2994492763,1,1
16120A,,used,2014 Buick Encore,2014,Buick,Encore,Premium 4dr SUV (1.4L 4cyl Turbo 6A),"$17,999",SUV,I-4 cyl,Automatic,Brown,Black,"41,785",http://inventory-dmg.assets-cdk.com/3/9/7/14796671793.jpg|http://inventory-dmg.assets-cdk.com/7/9/0/14796672097.jpg|http://inventory-dmg.assets-cdk.com/9/0/2/14796672209.jpg|http://inventory-dmg.assets-cdk.com/9/1/5/14796672519.jpg|http://inventory-dmg.assets-cdk.com/7/6/6/14796672667.jpg|http://inventory-dmg.assets-cdk.com/1/5/8/14796672851.jpg|http://inventory-dmg.assets-cdk.com/0/2/0/14796673020.jpg|http://inventory-dmg.assets-cdk.com/7/1/2/14796673217.jpg|http://inventory-dmg.assets-cdk.com/4/0/4/14796673404.jpg|http://inventory-dmg.assets-cdk.com/6/9/7/14796673796.jpg|http://inventory-dmg.assets-cdk.com/4/8/8/14796673884.jpg|http://inventory-dmg.assets-cdk.com/5/0/1/14796674105.jpg|http://inventory-dmg.assets-cdk.com/5/2/4/14796674425.jpg|http://inventory-dmg.assets-cdk.com/9/2/5/14796674529.jpg|http://inventory-dmg.assets-cdk.com/5/9/7/14796674795.jpg|http://inventory-dmg.assets-cdk.com/7/8/9/14796674987.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2014/17236.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2014-Buick-Encore-Convenience-Prescott-ON/2898219723,1,1
17002A,,used,2006 Buick Rainier,2006,Buick,Rainier,CXL,Contact Us,SUV,I-6 cyl,Automatic,N/A,Light Gray,,http://inventory-cf.assets-cdk.com/chrome_jpgs/2006/8647.jpg,http://www.riversideofprescott.com/VehicleDetails/used-2006-Buick-Rainier-CXL-Prescott-ON/3046215653,0,1
17008A,,used,2012 GMC Sierra 1500,2012,GMC,Sierra 1500,,"$21,999",Crew Cab Pickup - Short Bed,V-8 cyl,Automatic,Black,N/A,,http://inventory-dmg.assets-cdk.com/6/0/5/14930532506.jpg|http://inventory-dmg.assets-cdk.com/0/3/6/14930532630.jpg|http://inventory-dmg.assets-cdk.com/5/8/7/14930532785.jpg|http://inventory-dmg.assets-cdk.com/9/5/0/14930533059.jpg|http://inventory-dmg.assets-cdk.com/5/0/5/14930533505.jpg|http://inventory-dmg.assets-cdk.com/0/5/9/14930533950.jpg|http://inventory-dmg.assets-cdk.com/4/6/0/14930534064.jpg|http://inventory-dmg.assets-cdk.com/0/1/3/14930534310.jpg|http://inventory-dmg.assets-cdk.com/0/2/7/14930534720.jpg|http://inventory-dmg.assets-cdk.com/8/9/8/14930534898.jpg|http://inventory-dmg.assets-cdk.com/2/6/0/14930535062.jpg|http://inventory-dmg.assets-cdk.com/9/8/2/14930535289.jpg|http://inventory-dmg.assets-cdk.com/3/2/4/14930535423.jpg|http://inventory-dmg.assets-cdk.com/9/6/5/14930535569.jpg|http://inventory-dmg.assets-cdk.com/6/5/9/14930535956.jpg|http://inventory-dmg.assets-cdk.com/2/4/1/14930536142.jpg|http://inventory-dmg.assets-cdk.com/5/5/5/14930536555.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2012/13164.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2012-GMC-Sierra_1500-SLT-Prescott-ON/3020366683,1,1
17008B,,used,2005 Ford F-150,2005,Ford,F-150,-,"$9,999",Extended Cab Pickup - Short Bed,V-8 cyl,Automatic,Green,Dark Gray,,http://inventory-cf.assets-cdk.com/1/6/0/15237181061.jpg|http://inventory-cf.assets-cdk.com/2/2/4/15237181422.jpg|http://inventory-cf.assets-cdk.com/9/1/6/15237181619.jpg|http://inventory-cf.assets-cdk.com/7/1/8/15237181817.jpg|http://inventory-cf.assets-cdk.com/4/9/9/15237181994.jpg|http://inventory-cf.assets-cdk.com/0/1/1/15237182110.jpg|http://inventory-cf.assets-cdk.com/3/6/3/15237182363.jpg|http://inventory-cf.assets-cdk.com/6/7/6/15237182676.jpg|http://inventory-cf.assets-cdk.com/7/6/8/15237182867.jpg|http://inventory-cf.assets-cdk.com/3/2/0/15237183023.jpg|http://inventory-cf.assets-cdk.com/8/9/1/15237183198.jpg|http://inventory-cf.assets-cdk.com/7/5/4/15237183457.jpg|http://inventory-cf.assets-cdk.com/5/8/6/15237183685.jpg|http://inventory-cf.assets-cdk.com/8/2/4/15237184428.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2005/6145.jpg,http://www.riversideofprescott.com/VehicleDetails/used-2005-Ford-F_150-_-Prescott-ON/3047638103,0,0
17009A,,used,2014 GMC Sierra 1500,2014,GMC,Sierra 1500,Denali 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 6A),"$27,699",Crew Cab Pickup - Standard Bed,V-8 cyl,Automatic,Silver,Black,,http://inventory-cf.assets-cdk.com/1/4/6/15160739641.jpg|http://inventory-cf.assets-cdk.com/8/5/7/15160739758.jpg|http://inventory-cf.assets-cdk.com/9/3/0/15160740039.jpg|http://inventory-cf.assets-cdk.com/3/2/1/15160740123.jpg|http://inventory-cf.assets-cdk.com/4/9/1/15160740194.jpg|http://inventory-cf.assets-cdk.com/5/9/2/15160740295.jpg|http://inventory-cf.assets-cdk.com/1/0/4/15160740401.jpg|http://inventory-cf.assets-cdk.com/3/4/5/15160740543.jpg|http://inventory-cf.assets-cdk.com/6/2/0/15160741026.jpg|http://inventory-cf.assets-cdk.com/9/2/1/15160741129.jpg|http://inventory-cf.assets-cdk.com/1/5/3/15160741351.jpg|http://inventory-cf.assets-cdk.com/4/5/4/15160741454.jpg|http://inventory-cf.assets-cdk.com/6/3/5/15160741536.jpg|http://inventory-cf.assets-cdk.com/3/1/7/15160741713.jpg|http://inventory-cf.assets-cdk.com/6/0/8/15160741806.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/15987.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2014-GMC-Sierra_1500-SLE-Prescott-ON/2942285033,1,0
17014A,,used,2015 Buick LaCrosse,2015,Buick,LaCrosse,Leather Group 4dr Sedan AWD (3.6L 6cyl 6A),"$29,999",Sedan,V-6 cyl,Automatic,Silver,N/A,"25,062",http://inventory-dmg.assets-cdk.com/2/1/1/14939744112.jpg|http://inventory-dmg.assets-cdk.com/4/0/3/14939744304.jpg|http://inventory-dmg.assets-cdk.com/9/3/4/14939744439.jpg|http://inventory-dmg.assets-cdk.com/2/8/5/14939744582.jpg|http://inventory-dmg.assets-cdk.com/0/3/7/14939744730.jpg|http://inventory-dmg.assets-cdk.com/4/9/8/14939744894.jpg|http://inventory-dmg.assets-cdk.com/8/2/0/14939745028.jpg|http://inventory-dmg.assets-cdk.com/5/7/2/14939745275.jpg|http://inventory-dmg.assets-cdk.com/2/6/4/14939745462.jpg|http://inventory-dmg.assets-cdk.com/1/8/5/14939745581.jpg|http://inventory-dmg.assets-cdk.com/6/3/7/14939745736.jpg|http://inventory-dmg.assets-cdk.com/0/7/8/14939745870.jpg|http://inventory-dmg.assets-cdk.com/8/7/0/14939746078.jpg|http://inventory-dmg.assets-cdk.com/5/1/1/14939747115.jpg|http://inventory-dmg.assets-cdk.com/7/1/7/14939747717.jpg|http://inventory-dmg.assets-cdk.com/9/4/8/14939747849.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2015/15860.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2015-Buick-LaCrosse-Premium_I-Prescott-ON/3019604193,1,1
17024A,,used,2014 GMC Sierra 1500,2014,GMC,Sierra 1500,Denali 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 6A),"$27,899",Crew Cab Pickup - Short Bed,V-8 cyl,Automatic,Red,Light Gray,"73,121",http://inventory-dmg.assets-cdk.com/2/9/6/14921193692.jpg|http://inventory-dmg.assets-cdk.com/3/5/3/15053270353.jpg|http://inventory-dmg.assets-cdk.com/7/8/7/14921193787.jpg|http://inventory-dmg.assets-cdk.com/4/1/8/14921193814.jpg|http://inventory-dmg.assets-cdk.com/8/5/8/14921193858.jpg|http://inventory-dmg.assets-cdk.com/5/9/8/14921193895.jpg|http://inventory-dmg.assets-cdk.com/6/1/4/15053270416.jpg|http://inventory-dmg.assets-cdk.com/2/6/9/14921193962.jpg|http://inventory-dmg.assets-cdk.com/7/1/0/14921194017.jpg|http://inventory-dmg.assets-cdk.com/4/1/1/14921194114.jpg|http://inventory-dmg.assets-cdk.com/7/3/1/14921194137.jpg|http://inventory-dmg.assets-cdk.com/5/6/1/14921194165.jpg|http://inventory-dmg.assets-cdk.com/1/9/1/14921194191.jpg|http://inventory-dmg.assets-cdk.com/5/3/2/14921194235.jpg|http://inventory-dmg.assets-cdk.com/6/6/2/14921194266.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2014/17235.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2014-GMC-Sierra_1500-Base-Prescott-ON/2935145163,1,1
17031B,,used,2011 Jeep Grand Cherokee,2011,Jeep,Grand Cherokee,Laredo 2x4,"$16,999",SUV,V-6 cyl,Automatic,Red,Black,,http://inventory-cf.assets-cdk.com/4/0/5/15247093504.jpg|http://inventory-cf.assets-cdk.com/2/5/7/15247093752.jpg|http://inventory-cf.assets-cdk.com/5/4/8/15247093845.jpg|http://inventory-cf.assets-cdk.com/8/9/9/15247093998.jpg|http://inventory-cf.assets-cdk.com/0/9/3/15247094390.jpg|http://inventory-cf.assets-cdk.com/1/0/5/15247094501.jpg|http://inventory-cf.assets-cdk.com/1/7/7/15247094771.jpg|http://inventory-cf.assets-cdk.com/9/4/0/15247095049.jpg|http://inventory-cf.assets-cdk.com/6/7/4/15247095476.jpg|http://inventory-cf.assets-cdk.com/0/7/5/15247095570.jpg|http://inventory-cf.assets-cdk.com/8/6/7/15247095768.jpg|http://inventory-cf.assets-cdk.com/6/1/9/15247095916.jpg|http://inventory-cf.assets-cdk.com/4/5/0/15247096054.jpg|http://inventory-cf.assets-cdk.com/0/3/2/15247096230.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2011/13744.jpg,http://www.riversideofprescott.com/VehicleDetails/certified-2011-Jeep-Grand_Cherokee-Laredo-Prescott-ON/2998341933,1,0
