stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
105262,,used,2007 Saturn VUE,2007,Saturn,Vue,,"$6,799",,"V6, 3.5L",5-Speed A/T,Silver,N/A,,http://inventory-dmg.assets-cdk.com/9/5/8/14150855859.jpg|http://inventory-dmg.assets-cdk.com/9/7/8/14150855879.jpg|http://inventory-dmg.assets-cdk.com/3/0/9/14150855903.jpg|http://inventory-dmg.assets-cdk.com/2/3/9/14150855932.jpg|http://inventory-dmg.assets-cdk.com/4/5/9/14150855954.jpg|http://inventory-dmg.assets-cdk.com/9/7/9/14150855979.jpg|http://inventory-dmg.assets-cdk.com/7/0/0/14150856007.jpg|http://inventory-dmg.assets-cdk.com/4/3/0/14150856034.jpg|http://inventory-dmg.assets-cdk.com/3/5/0/14150856053.jpg|http://inventory-dmg.assets-cdk.com/7/7/0/14150856077.jpg|http://inventory-dmg.assets-cdk.com/0/0/1/14150856100.jpg|http://inventory-dmg.assets-cdk.com/7/1/1/14150856117.jpg|http://inventory-dmg.assets-cdk.com/5/3/1/14150856135.jpg|http://inventory-dmg.assets-cdk.com/1/5/1/14150856151.jpg|http://inventory-dmg.assets-cdk.com/8/6/1/14150856168.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2007/8483.jpg,http://www.rldchev.com/VehicleDetails/used-2007-Saturn-VUE-AWD_4dr_V6_Auto-Shafter-CA/2962627283,0,1
107591,,used,2013 Chevrolet Silverado 1500,2013,Chevrolet,Silverado 1500,,"$22,351",,"V8, 5.3L; FFV",Automatic,Red Hot,N/A,,http://inventory-dmg.assets-cdk.com/7/5/7/14116532757.jpg|http://inventory-dmg.assets-cdk.com/9/2/8/14116532829.jpg|http://inventory-dmg.assets-cdk.com/9/1/9/14116532919.jpg|http://inventory-dmg.assets-cdk.com/0/0/0/14116533000.jpg|http://inventory-dmg.assets-cdk.com/7/8/0/14116533087.jpg|http://inventory-dmg.assets-cdk.com/3/6/1/14116533163.jpg|http://inventory-dmg.assets-cdk.com/1/5/2/14116533251.jpg|http://inventory-dmg.assets-cdk.com/8/0/3/14116533308.jpg|http://inventory-dmg.assets-cdk.com/9/8/3/14116533389.jpg|http://inventory-dmg.assets-cdk.com/5/5/4/14116533455.jpg|http://inventory-dmg.assets-cdk.com/3/3/5/14116533533.jpg|http://inventory-dmg.assets-cdk.com/9/9/5/14116533599.jpg|http://inventory-dmg.assets-cdk.com/9/5/6/14116533659.jpg|http://inventory-dmg.assets-cdk.com/0/3/7/14116533730.jpg|http://inventory-dmg.assets-cdk.com/2/0/8/14116533802.jpg|http://inventory-dmg.assets-cdk.com/9/7/8/14116533879.jpg|http://inventory-dmg.assets-cdk.com/3/4/9/14116533943.jpg|http://inventory-dmg.assets-cdk.com/8/1/0/14116534018.jpg|http://inventory-dmg.assets-cdk.com/2/8/0/14116534082.jpg|http://inventory-dmg.assets-cdk.com/4/4/1/14116534144.jpg|http://inventory-dmg.assets-cdk.com/5/1/2/14116534215.jpg|http://inventory-dmg.assets-cdk.com/4/8/2/14116534284.jpg|http://inventory-dmg.assets-cdk.com/6/5/3/14116534356.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2013/14933.jpg,http://www.rldchev.com/VehicleDetails/used-2013-Chevrolet-Silverado_1500-Extended_Cab_Standard_Box_2_Wheel_Drive_LT-Shafter-CA/2777474043,0,1
107592,,used,2012 Ford Mustang,2012,Ford,Mustang,V6 Convertible,"$13,599",,"V6, 3.7L; DOHC 24V",N/A,Gray,N/A,,http://inventory-cf.assets-cdk.com/chrome_jpgs/2012/13862.jpg,http://www.rldchev.com/VehicleDetails/used-2012-Ford-Mustang-2dr_Conv_V6-Shafter-CA/3045758033,0,0
108001,,used,2013 Lexus GX 460,2013,Lexus,GX 460,4WD 4dr Premium,"$39,999",,"V8, 4.6L",6-Speed A/T,Silver,N/A,,http://inventory-dmg.assets-cdk.com/5/8/0/14492996085.jpg|http://inventory-dmg.assets-cdk.com/4/2/1/14492996124.jpg|http://inventory-dmg.assets-cdk.com/7/5/1/14492996157.jpg|http://inventory-dmg.assets-cdk.com/6/9/1/14492996196.jpg|http://inventory-dmg.assets-cdk.com/6/3/2/14492996236.jpg|http://inventory-dmg.assets-cdk.com/4/7/2/14492996274.jpg|http://inventory-dmg.assets-cdk.com/0/1/3/14492996310.jpg|http://inventory-dmg.assets-cdk.com/4/4/3/14492996344.jpg|http://inventory-dmg.assets-cdk.com/3/7/3/14492996373.jpg|http://inventory-dmg.assets-cdk.com/5/1/4/14492996415.jpg|http://inventory-dmg.assets-cdk.com/6/5/4/14492996456.jpg|http://inventory-dmg.assets-cdk.com/7/9/4/14492996497.jpg|http://inventory-dmg.assets-cdk.com/3/4/5/14492996543.jpg|http://inventory-dmg.assets-cdk.com/1/7/5/14492996571.jpg|http://inventory-dmg.assets-cdk.com/1/0/6/14492996601.jpg|http://inventory-dmg.assets-cdk.com/8/3/6/14492996638.jpg|http://inventory-dmg.assets-cdk.com/6/6/6/14492996666.jpg|http://inventory-dmg.assets-cdk.com/7/0/7/14492996707.jpg|http://inventory-dmg.assets-cdk.com/9/3/7/14492996739.jpg|http://inventory-dmg.assets-cdk.com/7/6/7/14492996767.jpg|http://inventory-dmg.assets-cdk.com/6/9/7/14492996796.jpg|http://inventory-dmg.assets-cdk.com/3/2/8/14492996823.jpg|http://inventory-dmg.assets-cdk.com/1/5/8/14492996851.jpg|http://inventory-dmg.assets-cdk.com/4/8/8/14492996884.jpg|http://inventory-dmg.assets-cdk.com/2/1/9/14492996912.jpg|http://inventory-dmg.assets-cdk.com/4/3/9/14492996934.jpg|http://inventory-dmg.assets-cdk.com/1/5/9/14492996951.jpg|http://inventory-dmg.assets-cdk.com/4/6/9/14492996964.jpg|http://inventory-dmg.assets-cdk.com/3/9/9/14492996993.jpg|http://inventory-dmg.assets-cdk.com/2/2/0/14492997022.jpg|http://inventory-dmg.assets-cdk.com/4/4/0/14492997044.jpg|http://inventory-dmg.assets-cdk.com/3/6/0/14492997063.jpg|http://inventory-dmg.assets-cdk.com/0/8/0/14492997080.jpg|http://inventory-dmg.assets-cdk.com/7/9/0/14492997097.jpg|http://inventory-dmg.assets-cdk.com/4/1/1/14492997114.jpg|http://inventory-dmg.assets-cdk.com/3/4/1/14492997143.jpg|http://inventory-dmg.assets-cdk.com/9/6/1/14492997169.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2013/14985.jpg,http://www.rldchev.com/VehicleDetails/used-2013-Lexus-GX_460-4WD_4dr_Premium-Shafter-CA/2994103043,0,1
108680,,New,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,Crew Cab Short Box 4-Wheel Drive LT Z71 All Star Edition,"$48,765",,"V8, 5.3L; FFV; VVT",6-Speed A/T,Silver Ice,N/A,,http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GAN_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GAN_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GAN_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GAN_deg04.jpg,http://www.rldchev.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-Crew_Cab_Short_Box_4_Wheel_Drive_LT_Z71-Shafter-CA/3018279353,0,1
109031,,used,2015 Honda Accord Sedan,2015,Honda,Accord,EX-L V-6 4dr Sedan (3.5L 6cyl 6A),"$19,599",,"L4, 2.4L",2-Speed A/T,Dark Blue,N/A,,http://inventory-cf.assets-cdk.com/2/2/0/14116596022.jpg|http://inventory-cf.assets-cdk.com/2/9/0/14116596092.jpg|http://inventory-cf.assets-cdk.com/6/5/1/14116596156.jpg|http://inventory-cf.assets-cdk.com/5/2/2/14116596225.jpg|http://inventory-cf.assets-cdk.com/5/0/3/14116596305.jpg|http://inventory-cf.assets-cdk.com/0/7/3/14116596370.jpg|http://inventory-cf.assets-cdk.com/9/3/4/14116596439.jpg|http://inventory-cf.assets-cdk.com/8/0/5/14116596508.jpg|http://inventory-cf.assets-cdk.com/4/7/5/14116596574.jpg|http://inventory-cf.assets-cdk.com/1/5/6/14116596651.jpg|http://inventory-cf.assets-cdk.com/4/2/7/14116596724.jpg|http://inventory-cf.assets-cdk.com/2/0/8/14116596802.jpg|http://inventory-cf.assets-cdk.com/1/9/8/14116596891.jpg|http://inventory-cf.assets-cdk.com/1/6/9/14116596961.jpg|http://inventory-cf.assets-cdk.com/4/4/0/14116597044.jpg|http://inventory-cf.assets-cdk.com/8/1/1/14116597118.jpg|http://inventory-cf.assets-cdk.com/8/0/2/14116597208.jpg|http://inventory-cf.assets-cdk.com/7/8/2/14116597287.jpg|http://inventory-cf.assets-cdk.com/4/0/4/14116597404.jpg|http://inventory-cf.assets-cdk.com/9/7/4/14116597479.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2015/21672.jpg,http://www.rldchev.com/VehicleDetails/used-2015-Honda-Accord_Sedan-Sport_CVT_PZEV_Sedan-Shafter-CA/2942696223,0,1
109230,,new,2017 Chevrolet Express Passenger,2017,Chevrolet,Express Passenger,3500 Extended Wheelbase Rear-Wheel Drive 1LS,"$39,631",,"V8, 6.0L; FFV",Automatic,White,N/A,,http://inventory-dmg.assets-cdk.com/3/2/6/14116513623.jpg|http://inventory-dmg.assets-cdk.com/5/7/6/14116513675.jpg|http://inventory-dmg.assets-cdk.com/7/1/7/14116513717.jpg|http://inventory-dmg.assets-cdk.com/6/6/7/14116513766.jpg|http://inventory-dmg.assets-cdk.com/4/1/8/14116513814.jpg|http://inventory-dmg.assets-cdk.com/3/6/8/14116513863.jpg|http://inventory-dmg.assets-cdk.com/3/1/9/14116513913.jpg|http://inventory-dmg.assets-cdk.com/6/5/9/14116513956.jpg|http://inventory-dmg.assets-cdk.com/4/1/0/14116514014.jpg|http://inventory-dmg.assets-cdk.com/9/8/0/14116514089.jpg|http://inventory-dmg.assets-cdk.com/3/4/1/14116514143.jpg|http://inventory-dmg.assets-cdk.com/8/9/1/14116514198.jpg|http://inventory-dmg.assets-cdk.com/8/3/2/14116514238.jpg,http://www.rldchev.com/VehicleDetails/new-2017-Chevrolet-Express_Passenger-3500_Extended_Wheelbase_Rear_Wheel_Drive_1LS-Shafter-CA/2840894493,0,1
109241,,used,2006 Chevrolet Silverado 1500,2006,Chevrolet,Silverado 1500,,"$10,599",,"V8, 5.3L; FFV",4-Speed A/T,Gray,N/A,,http://inventory-cf.assets-cdk.com/9/7/6/14763452679.jpg|http://inventory-cf.assets-cdk.com/2/4/7/14763452742.jpg|http://inventory-cf.assets-cdk.com/6/8/7/14763452786.jpg|http://inventory-cf.assets-cdk.com/0/2/8/14763452820.jpg|http://inventory-cf.assets-cdk.com/5/6/8/14763452865.jpg|http://inventory-cf.assets-cdk.com/3/6/9/14763452963.jpg|http://inventory-cf.assets-cdk.com/3/0/0/14763453003.jpg|http://inventory-cf.assets-cdk.com/9/3/0/14763453039.jpg|http://inventory-cf.assets-cdk.com/2/8/0/14763453082.jpg|http://inventory-cf.assets-cdk.com/5/3/1/14763453135.jpg|http://inventory-cf.assets-cdk.com/1/8/1/14763453181.jpg|http://inventory-cf.assets-cdk.com/1/3/2/14763453231.jpg|http://inventory-cf.assets-cdk.com/6/8/2/14763453286.jpg|http://inventory-cf.assets-cdk.com/0/2/3/14763453320.jpg|http://inventory-cf.assets-cdk.com/7/8/3/14763453387.jpg|http://inventory-cf.assets-cdk.com/4/3/4/14763453434.jpg|http://inventory-cf.assets-cdk.com/2/8/4/14763453482.jpg|http://inventory-cf.assets-cdk.com/2/2/5/14763453522.jpg|http://inventory-cf.assets-cdk.com/2/6/5/14763453562.jpg|http://inventory-cf.assets-cdk.com/3/0/6/14763453603.jpg|http://inventory-cf.assets-cdk.com/5/3/6/14763453635.jpg|http://inventory-cf.assets-cdk.com/4/7/6/14763453674.jpg|http://inventory-cf.assets-cdk.com/6/1/7/14763453716.jpg|http://inventory-cf.assets-cdk.com/7/5/7/14763453757.jpg|http://inventory-cf.assets-cdk.com/2/1/8/14763453812.jpg|http://inventory-cf.assets-cdk.com/6/5/8/14763453856.jpg|http://inventory-cf.assets-cdk.com/9/9/8/14763453899.jpg|http://inventory-cf.assets-cdk.com/2/4/9/14763453942.jpg|http://inventory-cf.assets-cdk.com/8/7/9/14763453978.jpg|http://inventory-cf.assets-cdk.com/1/2/0/14763454021.jpg|http://inventory-cf.assets-cdk.com/8/5/0/14763454058.jpg|http://inventory-cf.assets-cdk.com/8/9/0/14763454098.jpg|http://inventory-cf.assets-cdk.com/8/3/1/14763454138.jpg|http://inventory-cf.assets-cdk.com/4/8/1/14763454184.jpg|http://inventory-cf.assets-cdk.com/2/2/2/14763454222.jpg|http://inventory-cf.assets-cdk.com/0/7/2/14763454270.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2006/8995.jpg,http://www.rldchev.com/VehicleDetails/used-2006-Chevrolet-Silverado_1500-2WD_Crew_Cab_Short_Box_LT1-Shafter-CA/3009019583,0,1
109261,,used,2014 Chevrolet Equinox,2014,Chevrolet,Equinox,LT 4dr SUV AWD w/2LT (2.4L 4cyl 6A),"$17,799",,"L4, 2.4L; FFV; DOHC 16V",6-Speed A/T,Blue,N/A,,http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/16222.jpg,http://www.rldchev.com/VehicleDetails/certified-2014-Chevrolet-Equinox-FWD_1LT-Shafter-CA/2927184363,0,0
109340,,new,2017 Chevrolet Express Passenger,2017,Chevrolet,Express Passenger,3500 Extended Wheelbase Rear-Wheel Drive 1LS,"$39,631",,"V8, 6.0L; FFV",Automatic,White,N/A,,http://inventory-cf.assets-cdk.com/9/7/2/14116514279.jpg|http://inventory-cf.assets-cdk.com/9/1/3/14116514319.jpg|http://inventory-cf.assets-cdk.com/8/5/3/14116514358.jpg|http://inventory-cf.assets-cdk.com/6/9/3/14116514396.jpg|http://inventory-cf.assets-cdk.com/8/3/4/14116514438.jpg|http://inventory-cf.assets-cdk.com/5/7/4/14116514475.jpg|http://inventory-cf.assets-cdk.com/8/1/5/14116514518.jpg|http://inventory-cf.assets-cdk.com/7/6/5/14116514567.jpg|http://inventory-cf.assets-cdk.com/3/1/6/14116514613.jpg|http://inventory-cf.assets-cdk.com/6/6/6/14116514666.jpg|http://inventory-cf.assets-cdk.com/6/0/7/14116514706.jpg|http://inventory-cf.assets-cdk.com/6/5/7/14116514756.jpg|http://inventory-cf.assets-cdk.com/9/9/7/14116514799.jpg,http://www.rldchev.com/VehicleDetails/new-2017-Chevrolet-Express_Passenger-3500_Extended_Wheelbase_Rear_Wheel_Drive_1LS-Shafter-CA/2840894503,0,1
