stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2096P,,used,2013 Kia Sorento EX,2013,Kia,Sorento,LX,"$15,700",SUV,2.4L I-4 cyl,6-Speed Automatic with Sportmatic,Titanium Silver,Black,37572,http://pictures.dealer.com/b/bobrohrmankia/1694/63638989655290606e407529fe4d75fex.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0918/4bb5f9158bbe1836ea3793a96206758cx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1115/a3299935764a2abb45df562fd4e99b25x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0154/27e112c295fd5913995b8942f4e5d872x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0498/babd524dedc785a3543761597753a21cx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0301/708ee8befaaaa1889405ef337c5a59d9x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0208/f737d28c4e9a01dfac200799da32ccbfx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1203/20d2fb540a302f17f2e21bbf04dd7f7ax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0873/f4fc74212657a7edf959bf9f9198a0f1x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0797/55a0e8859f7768d01887ce51796dc6fbx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1306/611f350215e39da1f20a03a394e51c72x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0892/5af2150632ef35daa6e298e3873674f8x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0639/8d7a6750bd6962932a3a8629e63c9848x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1450/e3847c76f1a819671018b2dab05a1320x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0609/f3d6ff4153ee5cc11edd00b0fa3045bcx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1238/7f979b94ba29702feec51bc635872aa0x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1689/766b1a045ff252c7d7f85f5d9d1b26e0x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0367/f2c4b81e5689accab6a56ce677cbe94bx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0933/4a3209e83d515ec6d2b076722fb2bca8x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0658/0afc91994b2850c01fcd0e1daa1ae9a9x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0829/6afbaeedb16aec5110a8dd5b348064b2x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0146/0c2e0861be5ffe331362689bbb4cb6d9x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1982/30316b277312696f197026aa26f2d819x.jpg?imwidth=640,http://www.rohrmanhyundai.com/certified/Kia/2013-Kia-Sorento-839647db0a0e0adf001605de532c8f55.htm,0,1
2117P,,used,2014 Kia Sorento Limited V6,2014,Kia,Sorento,Limited,"$24,900",SUV,3.3L V-6 cyl,6-Speed Automatic with Sportmatic,Titanium Silver,Black,23100,http://pictures.dealer.com/b/bobrohrmankia/0385/deeea0346437c2d947362e070d439266x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1319/1db4be968999a9f180bb1cdc5d2da192x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0458/ff496e895b25d9b384b9e20138eea08dx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0092/1f5d4f3a05f8e23b08dcef03438be89ex.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1059/3f5777e351e3f5805706b9a8bdc171a4x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0506/6dadd2a4fcb5144e335a97bd0bb8083bx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1992/aa1f2d0d05ce4b0758112db0b168d7efx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0185/b0fecaa1ce11505c3004ec72b85630b8x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0298/b1185746bf91af739b9ee1c86ceb4567x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0870/92c2f1d93971dbd4cdf61b8746fbd6bdx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0128/4edb79278edcd9a8cc0b4b2e999f97a2x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0188/ef96830e65c519d57cc7ffb6ecb3bf1ax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0971/3d47f65661a7056e25421e961c4ec235x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1110/302e6815538ee010b59357c69d7cde42x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0804/6c060687912a8a8798af5bcea09441abx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0188/3010e19a294bd1e026ede54cc45f8d04x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1701/51a2a33bbda308635e15a69004f39c43x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1607/d2badd93c03c66a2f367d7bb227dfbbcx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1597/2b5b1eea7101c3f12cd8ee49f013de82x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0592/63645fefdd9e27f5d97dab4b6dda8818x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0830/1b8e03f4ef6accae2f7d39d44eb41c76x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0258/085d462d6d254d36440dd2b2948df715x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0906/2dafa03a81e47cc952171ef432cfbd00x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1578/b8a8e1126884c11c44ff863e182b9493x.jpg?imwidth=640,http://www.rohrmanhyundai.com/certified/Kia/2014-Kia-Sorento-7bc64f4c0a0e0ae8318c7be2b1356a91.htm,0,1
2139P,,used,2014 Subaru Legacy 2.5i Sport,2014,Subaru,Legacy,2.5i Sport,"$17,795",Sedan,2.5L H-4 cyl,CVT Lineartronic,Twilight Blue Metallic,Black,29858,http://pictures.dealer.com/b/bobrohrmankia/0241/48c16affb29b151a39c926020bd5d2dcx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0013/c0c69b25a62b990f329993c42f7ecf76x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1297/f58658ae80047066b271d770d7372e9ex.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0036/17c61f0481c793163ae9f30fc0f9d51ax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0222/bf5f47cceacdf6f1f6769965d0767cc7x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1323/ba0855d907cef60b0ec9c07407bd1a68x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1483/60b45091daced0ae85f411c0278fe468x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0326/8e24fc140cf904cbd933dc2e2af5529fx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1771/072b09850048fe998350bf53ce8064bcx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0317/01c4e7dfb0cffa65a57425208ddd0543x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1691/c80008c95dcdd1d2c81715535d07a6eex.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0027/f70ddf7b8b18829d8f687a453986310bx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1130/0507775c4dbd64d65c9fe7a22da6bb83x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0935/7f0f2982ecb2d1031612abfbb1cc2564x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1529/b415f1b3bb490a132c208995a8e033b8x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1881/d6e45e423f93ba157eb7018007967b97x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0276/099d065746c53974a23fc1904a20f09cx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0276/7818f59ba6853e218d9d1c117371883ax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1135/3b1b29b5f33b7fb8fe6a1291fd4fce70x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1757/7113dc49620732771993067b74093c6dx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0639/04ea2baddf2e29631cdc96955218e4cbx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0662/6c376b8e46b5d11c66cd575afcbf5ddcx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0433/c12b909399767f9bd93135583dda1db0x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1068/57f0daf4c6a844007da9ac1e938002c2x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0183/e912ac3b519042693883453884df3d6bx.jpg?imwidth=640,http://www.rohrmanhyundai.com/used/Subaru/2014-Subaru-Legacy-cd6a7a9b0a0e0adf6d575dbfb256bbf8.htm,0,1
2143PA,,used,2007 Nissan Altima 2.5,2007,Nissan,Altima,2.5 Hybrid,"$6,895",Sedan,2.5L I-4 cyl,CVT,Super Black,Frost,103121,http://pictures.dealer.com/b/bobrohrmankia/1165/2731e6332dfa68b7bfe8d3d9f1617336x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1480/83dd77fb8f3e2f5ff6389ac392bee97ex.jpg?imwidth=640,http://www.rohrmanhyundai.com/used/Nissan/2007-Nissan-Altima-b752cab40a0e0ae965f9dd840e3b7941.htm,0,1
2144P,,used,2015 Nissan Altima 2.5,2015,Nissan,Altima,2.5 4dr Sedan (2.5L 4cyl CVT),"$18,700",Sedan,2.5L I-4 cyl,CVT with Xtronic,Java,,40,http://pictures.dealer.com/b/bobrohrmankia/0661/75480073e9a31263297df4e8691fe259x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0013/4b3054263a1ed6c6f7c1435597fad8bax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1464/2f389b57aeef52b3bcc3b35b1d0e634ax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1568/83b05c197480db3323301094372782c5x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1521/0b5a9ba776a8d8bbffc864f7bdfbf9a4x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1002/dcf18b07449cdb9c95f8273803ee1e91x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1396/7f02ccae0d1d50483ee181261392aa0ax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0574/594d7a7e32df73b30bb795f8bc3c4d98x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0443/bb1237550fd3e4cfd160097bde7b0354x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1943/1159de9cbb355bde020424ed7cefa183x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0703/c63fa6a22e4dde56131c70573b2f5d71x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0642/6806a83759ea2db30fbf9bb98d01055ax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1905/6ba81eeed8c38f5993876ec954f97f06x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1924/345e6ed1ecbce0fca2e5ed56d53457b8x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1253/c47490be82402d7f1dba013c36f01219x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1451/60f4cad51454fa9ce7a4bd528f45e686x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1283/dc82bb3f76a05cc0156a1a4f68df931dx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0823/149cdea37fe4a74cd8e7cfac951a755cx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0627/62685205c8300340e4e0f1c125a3ea70x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1871/92ee26966e819ada1874ee945b297925x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1339/81576623a390cce9384c4299733a7dd4x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1366/d55bdcd989d0b26db991e4b1a0b414c9x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1700/e1989168b2d9f210f71338c6e27c5e01x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0057/007dcddecca6aa749cab25c8b708dbb7x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1757/22927d40863439bc4b0de6870fc35034x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0216/9ee05c5d7e7549f9fbda0823ca0491a5x.jpg?imwidth=640,http://www.rohrmanhyundai.com/used/Nissan/2015-Nissan-Altima-97a0624a0a0e0a6b0cf40ddb38e6efe3.htm,0,1
2146P,,used,2015 Nissan Altima 2.5,2015,Nissan,Altima,2.5 4dr Sedan (2.5L 4cyl CVT),"$15,445",Sedan,2.5L I-4 cyl,CVT with Xtronic,Cayenne Red,,8460,http://pictures.dealer.com/b/bobrohrmankia/1972/1c57267ae730d0999e330cb858e54492x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1183/0d055ea034333f9fcb613bc18af5a640x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1086/c337ad6d9313ac1f8c23a46dfe8ee79dx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0815/f6d12d43cd7a46fce01db8688034c4d0x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0488/575d7732cbc7c8e51ab0b75c24a03f51x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0924/cc0834c6a1dc276a16cde2032ab37fcex.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1892/634f89edb1a36836fe38be974dfd4547x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0368/8293ef797b06ccf200fcb5803c1b1c77x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1807/616fa592152a9e74f944062d1e1705c7x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1567/3188a9f7c4a27b432ba5870823a850ffx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0739/3520ac580eed984c0dad1841ab4a2eddx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0358/eaa181bb4f2d73155ab0a388d3bdb6c9x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0592/80f48ac8d5a4dae8a43f4a393b62d272x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0813/53db7d22e97eb1b85ea400a2647121acx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0914/432e56c495e0ffaae1fd0947f9be6a6dx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0433/7bb5131ce4080c4d3fa4d25ec3f6e6fax.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1399/e07408b32237af45e9505f5da4b46641x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0807/d34de1072a08d1ad831aa5f186657d47x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0983/1707f69aa85e8459dae30beb72807f34x.jpg?imwidth=640,http://www.rohrmanhyundai.com/used/Nissan/2015-Nissan-Altima-97a062180a0e0a6b0cf40ddbbee66a00.htm,0,1
2149P,,used,2013 Kia Forte SX,2013,Kia,Forte,2.4L SX,"$19,617",Sedan,2.4L I-4 cyl,6-Speed Automatic with Overdrive,Snow White Pearl,Black,4145,http://pictures.dealer.com/b/bobrohrmankia/1991/bc3916a3af84b9f28096080adf6e4f68x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0001/6a1ad06326675d248e5779ab94d35f33x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0349/a8808546266c31f6769c845b65b438c0x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1517/a15d8c0739390d62bc50fadd0146972fx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1715/ac89070fffb73796564c011a9fa8d679x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1191/31a83eb9adf761bb42a1a24f2c0ea75bx.jpg?imwidth=640,http://www.rohrmanhyundai.com/certified/Kia/2013-Kia-Forte-745c5ad80a0d048d00dd67cf8d3dd5ee.htm,0,1
2150P,,used,2013 Kia Forte SX,2013,Kia,Forte,2.4L SX,"$19,472",Hatchback,2.4L I-4 cyl,6-Speed Automatic with Overdrive,Titanium Silver Metallic,Black,496,http://pictures.dealer.com/b/bobrohrmankia/0607/dc1f3806a375e077737699de1723fe33x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1937/a4497600a600131d8ca0e5ea5d346e80x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0618/5435b759f03e2facc55a3a1edc69b819x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1754/c234849a27d598632fd8b8aa467451a7x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0198/1eb6b30a01f60cef6c33921bb97e59a9x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1191/31a83eb9adf761bb42a1a24f2c0ea75bx.jpg?imwidth=640,http://www.rohrmanhyundai.com/certified/Kia/2013-Kia-Forte-745c5c190a0d048d00dd67cfdcc5bc38.htm,0,1
2151P,,used,2013 Kia Optima SX,2013,Kia,Optima,SX,"$28,810",Sedan,2.0L I-4 cyl,6-Speed Automatic with Sportmatic,Remington Red,Black,5714,http://pictures.dealer.com/b/bobrohrmankia/0448/2eeac309815fa51aa589e3f8e7aa15c7x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0142/089b95273d020c2d6df8efd69094c8b3x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1538/65afe3966a7f4daada2b1514a01d78dcx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0220/46f933599b6d611b46b8f8fad303d870x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1217/03360741003300b95356b2d1261caf1fx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1736/7ea66c36d536e210ab4886a2f3c4036ex.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0937/75d79f7e27e8d60c2b5df9f00334b167x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1940/5611799bcff4aa78ff08ae29638c8887x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1679/a55dc49afe59825bebbc5d251d8b645dx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0943/66398dd4e60b6babe2e35cceccd75144x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1812/682d545d21e16135e9ab71c54da4a52dx.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/0285/3e32e0f363818a39eb4883c207860017x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1861/a8c1ba338b6ea80a8c95c2173c01a082x.jpg?imwidth=640|http://pictures.dealer.com/b/bobrohrmankia/1985/31a83eb9adf761bb42a1a24f2c0ea75bx.jpg?imwidth=640,http://www.rohrmanhyundai.com/certified/Kia/2013-Kia-Optima-c31cc0220a0a006501a3f7bf13669295.htm,0,1
2152P,,used,2013 Kia Optima Hybrid EX,2013,Kia,Optima Hybrid,,"$25,995",Sedan,2.4L I-4 cyl,6-Speed Automatic with Sportmatic,Aurora Black,Black,3103,http://pictures.dealer.com/b/bobrohrmankia/0613/fd18bd24008abd86f372aa3177b48a84x.jpg,http://www.rohrmanhyundai.com/used/Kia/2013-Kia-Optima+Hybrid-828927d50a0e0adf64ca6d77bdd5f806.htm,0,1
