stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
006553P,,new,2010 Honda Pilot,2010,Honda,Pilot,,Please Call,,3.5L V6,Automatic 5-Speed,Silver,Blue,88940,http://inventory-dmg.assets-cdk.com/0/0/7/14812879700.jpg|http://inventory-dmg.assets-cdk.com/4/0/7/14812879704.jpg|http://inventory-dmg.assets-cdk.com/6/1/7/14812879716.jpg|http://inventory-dmg.assets-cdk.com/5/2/7/14812879725.jpg|http://inventory-dmg.assets-cdk.com/2/3/7/14812879732.jpg|http://inventory-dmg.assets-cdk.com/3/4/7/14812879743.jpg|http://inventory-dmg.assets-cdk.com/1/5/7/14812879751.jpg|http://inventory-dmg.assets-cdk.com/6/5/7/14812879756.jpg|http://inventory-dmg.assets-cdk.com/2/6/7/14812879762.jpg|http://inventory-dmg.assets-cdk.com/1/7/7/14812879771.jpg|http://inventory-dmg.assets-cdk.com/6/8/7/14812879786.jpg|http://inventory-dmg.assets-cdk.com/9/9/7/14812879799.jpg|http://inventory-dmg.assets-cdk.com/7/0/8/14812879807.jpg|http://inventory-dmg.assets-cdk.com/2/1/8/14812879812.jpg|http://inventory-dmg.assets-cdk.com/1/2/8/14812879821.jpg|http://inventory-dmg.assets-cdk.com/8/2/8/14812879828.jpg|http://inventory-dmg.assets-cdk.com/3/3/8/14812879833.jpg|http://inventory-dmg.assets-cdk.com/0/4/8/14812879840.jpg|http://inventory-dmg.assets-cdk.com/9/4/8/14812879849.jpg|http://inventory-dmg.assets-cdk.com/8/5/8/14812879858.jpg|http://inventory-dmg.assets-cdk.com/0/7/8/14812879870.jpg|http://inventory-dmg.assets-cdk.com/8/7/8/14812879878.jpg|http://inventory-dmg.assets-cdk.com/5/8/8/14812879885.jpg|http://inventory-dmg.assets-cdk.com/3/9/8/14812879893.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2010-Honda-Pilot-2WD_LX-Paducah-KY/3014617383,0,1
0105713,,new,2012 Cadillac CTS Coupe,2012,Cadillac,CTS,Coupe,Please Call,,3.6L V6,Automatic 6-Speed,Black,Ebony/ebony Accents,75372,http://inventory-cf.assets-cdk.com/9/0/6/14700539609.jpg|http://inventory-cf.assets-cdk.com/3/1/6/14700539613.jpg|http://inventory-cf.assets-cdk.com/2/2/6/14700539622.jpg|http://inventory-cf.assets-cdk.com/6/2/6/14700539626.jpg|http://inventory-cf.assets-cdk.com/0/3/6/14700539630.jpg|http://inventory-cf.assets-cdk.com/3/3/6/14700539633.jpg|http://inventory-cf.assets-cdk.com/7/3/6/14700539637.jpg|http://inventory-cf.assets-cdk.com/8/3/6/14700539638.jpg|http://inventory-cf.assets-cdk.com/4/4/6/14700539644.jpg|http://inventory-cf.assets-cdk.com/7/4/6/14700539647.jpg|http://inventory-cf.assets-cdk.com/3/5/6/14700539653.jpg|http://inventory-cf.assets-cdk.com/7/5/6/14700539657.jpg|http://inventory-cf.assets-cdk.com/2/6/6/14700539662.jpg|http://inventory-cf.assets-cdk.com/4/6/6/14700539664.jpg|http://inventory-cf.assets-cdk.com/7/6/6/14700539667.jpg|http://inventory-cf.assets-cdk.com/0/7/6/14700539670.jpg|http://inventory-cf.assets-cdk.com/4/7/6/14700539674.jpg|http://inventory-cf.assets-cdk.com/1/8/6/14700539681.jpg|http://inventory-cf.assets-cdk.com/4/8/6/14700539684.jpg|http://inventory-cf.assets-cdk.com/0/9/6/14700539690.jpg|http://inventory-cf.assets-cdk.com/3/9/6/14700539693.jpg|http://inventory-cf.assets-cdk.com/9/9/6/14700539699.jpg|http://inventory-cf.assets-cdk.com/3/0/7/14700539703.jpg|http://inventory-cf.assets-cdk.com/3/1/7/14700539713.jpg|http://inventory-cf.assets-cdk.com/7/1/7/14700539717.jpg|http://inventory-cf.assets-cdk.com/1/2/7/14700539721.jpg|http://inventory-cf.assets-cdk.com/6/3/7/14700539736.jpg|http://inventory-cf.assets-cdk.com/7/3/7/14700539737.jpg|http://inventory-cf.assets-cdk.com/1/4/7/14700539741.jpg|http://inventory-cf.assets-cdk.com/7/4/7/14700539747.jpg|http://inventory-cf.assets-cdk.com/2/5/7/14700539752.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2012-Cadillac-CTS_Coupe-3.6L_V6_AWD_Performance-Paducah-KY/3006460933,0,1
0126453,,new,2011 Cadillac CTS Sedan,2011,Cadillac,CTS,None,Please Call,,3.0L V6,Automatic 6-Speed,White,N/A,38460,http://inventory-dmg.assets-cdk.com/4/7/9/14820198974.jpg|http://inventory-dmg.assets-cdk.com/8/7/9/14820198978.jpg|http://inventory-dmg.assets-cdk.com/0/8/9/14820198980.jpg|http://inventory-dmg.assets-cdk.com/2/8/9/14820198982.jpg|http://inventory-dmg.assets-cdk.com/5/8/9/14820198985.jpg|http://inventory-dmg.assets-cdk.com/0/9/9/14820198990.jpg|http://inventory-dmg.assets-cdk.com/4/9/9/14820198994.jpg|http://inventory-dmg.assets-cdk.com/5/9/9/14820198995.jpg|http://inventory-dmg.assets-cdk.com/8/9/9/14820198998.jpg|http://inventory-dmg.assets-cdk.com/1/0/0/14820199001.jpg|http://inventory-dmg.assets-cdk.com/6/0/0/14820199006.jpg|http://inventory-dmg.assets-cdk.com/0/1/0/14820199010.jpg|http://inventory-dmg.assets-cdk.com/5/1/0/14820199015.jpg|http://inventory-dmg.assets-cdk.com/7/1/0/14820199017.jpg|http://inventory-dmg.assets-cdk.com/3/2/0/14820199023.jpg|http://inventory-dmg.assets-cdk.com/5/2/0/14820199025.jpg|http://inventory-dmg.assets-cdk.com/9/2/0/14820199029.jpg|http://inventory-dmg.assets-cdk.com/2/3/0/14820199032.jpg|http://inventory-dmg.assets-cdk.com/8/3/0/14820199038.jpg|http://inventory-dmg.assets-cdk.com/0/4/0/14820199040.jpg|http://inventory-dmg.assets-cdk.com/6/4/0/14820199046.jpg|http://inventory-dmg.assets-cdk.com/8/4/0/14820199048.jpg|http://inventory-dmg.assets-cdk.com/0/5/0/14820199050.jpg|http://inventory-dmg.assets-cdk.com/4/5/0/14820199054.jpg|http://inventory-dmg.assets-cdk.com/7/5/0/14820199057.jpg|http://inventory-dmg.assets-cdk.com/2/6/0/14820199062.jpg|http://inventory-dmg.assets-cdk.com/7/6/0/14820199067.jpg|http://inventory-dmg.assets-cdk.com/1/7/0/14820199071.jpg|http://inventory-dmg.assets-cdk.com/5/7/0/14820199075.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2011-Cadillac-CTS_Sedan-3.0L_V6_AWD_Performance-Paducah-KY/3016556373,0,1
0138120,,new,2000 Lexus RX 300,2000,Lexus,RX 300,4dr SUV 4WD,Please Call,,3.0L V6,Automatic 4-Speed,White,Gray,174948,http://inventory-dmg.assets-cdk.com/2/3/9/14812879932.jpg|http://inventory-dmg.assets-cdk.com/1/4/9/14812879941.jpg|http://inventory-dmg.assets-cdk.com/9/4/9/14812879949.jpg|http://inventory-dmg.assets-cdk.com/6/5/9/14812879956.jpg|http://inventory-dmg.assets-cdk.com/5/6/9/14812879965.jpg|http://inventory-dmg.assets-cdk.com/0/8/9/14812879980.jpg|http://inventory-dmg.assets-cdk.com/9/8/9/14812879989.jpg|http://inventory-dmg.assets-cdk.com/3/2/0/14812880023.jpg|http://inventory-dmg.assets-cdk.com/1/3/0/14812880031.jpg|http://inventory-dmg.assets-cdk.com/2/4/0/14812880042.jpg|http://inventory-dmg.assets-cdk.com/4/5/0/14812880054.jpg|http://inventory-dmg.assets-cdk.com/0/6/0/14812880060.jpg|http://inventory-dmg.assets-cdk.com/9/6/0/14812880069.jpg|http://inventory-dmg.assets-cdk.com/9/7/0/14812880079.jpg|http://inventory-dmg.assets-cdk.com/5/8/0/14812880085.jpg|http://inventory-dmg.assets-cdk.com/1/9/0/14812880091.jpg|http://inventory-dmg.assets-cdk.com/2/0/1/14812880102.jpg|http://inventory-dmg.assets-cdk.com/0/1/1/14812880110.jpg|http://inventory-dmg.assets-cdk.com/8/1/1/14812880118.jpg|http://inventory-dmg.assets-cdk.com/5/2/1/14812880125.jpg|http://inventory-dmg.assets-cdk.com/4/3/1/14812880134.jpg|http://inventory-dmg.assets-cdk.com/5/4/1/14812880145.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2000-Lexus-RX_300-4dr_SUV_4WD-Paducah-KY/3014617403,0,1
0149100,,new,2011 Cadillac CTS Sedan,2011,Cadillac,CTS,Premium,Please Call,,3.6L V6,automatic,Red,Ebony,73456,http://inventory-dmg.assets-cdk.com/2/4/4/14820199442.jpg|http://inventory-dmg.assets-cdk.com/6/4/4/14820199446.jpg|http://inventory-dmg.assets-cdk.com/2/5/4/14820199452.jpg|http://inventory-dmg.assets-cdk.com/4/5/4/14820199454.jpg|http://inventory-dmg.assets-cdk.com/9/5/4/14820199459.jpg|http://inventory-dmg.assets-cdk.com/3/6/4/14820199463.jpg|http://inventory-dmg.assets-cdk.com/8/6/4/14820199468.jpg|http://inventory-dmg.assets-cdk.com/4/7/4/14820199474.jpg|http://inventory-dmg.assets-cdk.com/7/7/4/14820199477.jpg|http://inventory-dmg.assets-cdk.com/2/8/4/14820199482.jpg|http://inventory-dmg.assets-cdk.com/6/8/4/14820199486.jpg|http://inventory-dmg.assets-cdk.com/0/9/4/14820199490.jpg|http://inventory-dmg.assets-cdk.com/2/9/4/14820199492.jpg|http://inventory-dmg.assets-cdk.com/5/9/4/14820199495.jpg|http://inventory-dmg.assets-cdk.com/9/9/4/14820199499.jpg|http://inventory-dmg.assets-cdk.com/4/0/5/14820199504.jpg|http://inventory-dmg.assets-cdk.com/9/0/5/14820199509.jpg|http://inventory-dmg.assets-cdk.com/2/1/5/14820199512.jpg|http://inventory-dmg.assets-cdk.com/7/1/5/14820199517.jpg|http://inventory-dmg.assets-cdk.com/1/2/5/14820199521.jpg|http://inventory-dmg.assets-cdk.com/4/2/5/14820199524.jpg|http://inventory-dmg.assets-cdk.com/7/2/5/14820199527.jpg|http://inventory-dmg.assets-cdk.com/0/3/5/14820199530.jpg|http://inventory-dmg.assets-cdk.com/3/3/5/14820199533.jpg|http://inventory-dmg.assets-cdk.com/8/3/5/14820199538.jpg|http://inventory-dmg.assets-cdk.com/5/4/5/14820199545.jpg|http://inventory-dmg.assets-cdk.com/0/5/5/14820199550.jpg|http://inventory-dmg.assets-cdk.com/2/5/5/14820199552.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2011-Cadillac-CTS_Sedan-3.6L_V6_RWD_Performance-Paducah-KY/3018138753,0,1
015824P,,new,2012 Toyota Prius Plug-In,2012,Toyota,Prius Plug-in,,"$11,687",,1.8L 4 cyls,CVT (Continuously Variable),N/A,Dark Gray,75558,http://inventory-dmg.assets-cdk.com/2/7/0/14123339072.jpg|http://inventory-dmg.assets-cdk.com/7/8/0/14123339087.jpg|http://inventory-dmg.assets-cdk.com/7/0/1/14123339107.jpg|http://inventory-dmg.assets-cdk.com/9/1/1/14123339119.jpg|http://inventory-dmg.assets-cdk.com/9/5/1/14123339159.jpg|http://inventory-dmg.assets-cdk.com/3/8/1/14123339183.jpg|http://inventory-dmg.assets-cdk.com/6/0/2/14123339206.jpg|http://inventory-dmg.assets-cdk.com/3/2/2/14123339223.jpg|http://inventory-dmg.assets-cdk.com/2/3/2/14123339232.jpg|http://inventory-dmg.assets-cdk.com/8/3/2/14123339238.jpg|http://inventory-dmg.assets-cdk.com/6/5/2/14123339256.jpg|http://inventory-dmg.assets-cdk.com/2/6/2/14123339262.jpg|http://inventory-dmg.assets-cdk.com/4/8/2/14123339284.jpg|http://inventory-dmg.assets-cdk.com/1/9/2/14123339291.jpg|http://inventory-dmg.assets-cdk.com/9/9/2/14123339299.jpg|http://inventory-dmg.assets-cdk.com/4/2/3/14123339324.jpg|http://inventory-dmg.assets-cdk.com/6/4/3/14123339346.jpg|http://inventory-dmg.assets-cdk.com/6/5/3/14123339356.jpg|http://inventory-dmg.assets-cdk.com/8/7/3/14123339378.jpg|http://inventory-dmg.assets-cdk.com/7/8/3/14123339387.jpg|http://inventory-dmg.assets-cdk.com/6/9/3/14123339396.jpg|http://inventory-dmg.assets-cdk.com/2/2/4/14123339422.jpg|http://inventory-dmg.assets-cdk.com/5/4/4/14123339445.jpg|http://inventory-dmg.assets-cdk.com/2/5/4/14123339452.jpg|http://inventory-dmg.assets-cdk.com/3/6/4/14123339463.jpg|http://inventory-dmg.assets-cdk.com/3/9/4/14123339493.jpg|http://inventory-dmg.assets-cdk.com/2/0/5/14123339502.jpg|http://inventory-dmg.assets-cdk.com/2/1/5/14123339512.jpg|http://inventory-dmg.assets-cdk.com/5/4/5/14123339545.jpg|http://inventory-dmg.assets-cdk.com/2/7/5/14123339572.jpg|http://inventory-dmg.assets-cdk.com/5/0/6/14123339605.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2012-Toyota-Prius_Plug_In-5dr_HB_%28SE%29-Paducah-KY/2960262813,0,1
0166924,,new,2008 Cadillac SRX,2008,Cadillac,SRX,3.6 V6,Please Call,,3.6L V6,Automatic 5-Speed,Blue,Ebony,100142,http://inventory-cf.assets-cdk.com/7/7/7/15398960777.jpg|http://inventory-cf.assets-cdk.com/0/8/7/15398960780.jpg|http://inventory-cf.assets-cdk.com/1/8/7/15398960781.jpg|http://inventory-cf.assets-cdk.com/6/8/7/15398960786.jpg|http://inventory-cf.assets-cdk.com/9/8/7/15398960789.jpg|http://inventory-cf.assets-cdk.com/0/9/7/15398960790.jpg|http://inventory-cf.assets-cdk.com/5/9/7/15398960795.jpg|http://inventory-cf.assets-cdk.com/7/9/7/15398960797.jpg|http://inventory-cf.assets-cdk.com/8/9/7/15398960798.jpg|http://inventory-cf.assets-cdk.com/4/0/8/15398960804.jpg|http://inventory-cf.assets-cdk.com/5/0/8/15398960805.jpg|http://inventory-cf.assets-cdk.com/6/0/8/15398960806.jpg|http://inventory-cf.assets-cdk.com/9/0/8/15398960809.jpg|http://inventory-cf.assets-cdk.com/1/1/8/15398960811.jpg|http://inventory-cf.assets-cdk.com/3/1/8/15398960813.jpg|http://inventory-cf.assets-cdk.com/7/1/8/15398960817.jpg|http://inventory-cf.assets-cdk.com/3/2/8/15398960823.jpg|http://inventory-cf.assets-cdk.com/6/2/8/15398960826.jpg|http://inventory-cf.assets-cdk.com/7/2/8/15398960827.jpg|http://inventory-cf.assets-cdk.com/9/2/8/15398960829.jpg|http://inventory-cf.assets-cdk.com/2/3/8/15398960832.jpg|http://inventory-cf.assets-cdk.com/3/3/8/15398960833.jpg|http://inventory-cf.assets-cdk.com/4/3/8/15398960834.jpg|http://inventory-cf.assets-cdk.com/5/3/8/15398960835.jpg|http://inventory-cf.assets-cdk.com/7/3/8/15398960837.jpg|http://inventory-cf.assets-cdk.com/0/4/8/15398960840.jpg|http://inventory-cf.assets-cdk.com/2/4/8/15398960842.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2008-Cadillac-SRX-RWD_4dr_V6-Paducah-KY/3055525183,0,0
0170131,,used,2009 Cadillac CTS,2009,Cadillac,CTS,3.6L SIDI AWD,"$8,649",,3.6L V6,Automatic,Black,Ebony,73593,http://inventory-dmg.assets-cdk.com/3/4/8/14289107843.jpg|http://inventory-dmg.assets-cdk.com/4/5/8/14289107854.jpg|http://inventory-dmg.assets-cdk.com/9/5/8/14289107859.jpg|http://inventory-dmg.assets-cdk.com/7/6/8/14289107867.jpg|http://inventory-dmg.assets-cdk.com/5/7/8/14289107875.jpg|http://inventory-dmg.assets-cdk.com/1/8/8/14289107881.jpg|http://inventory-dmg.assets-cdk.com/7/8/8/14289107887.jpg|http://inventory-dmg.assets-cdk.com/6/9/8/14289107896.jpg|http://inventory-dmg.assets-cdk.com/4/0/9/14289107904.jpg|http://inventory-dmg.assets-cdk.com/9/0/9/14289107909.jpg|http://inventory-dmg.assets-cdk.com/7/1/9/14289107917.jpg|http://inventory-dmg.assets-cdk.com/7/2/9/14289107927.jpg|http://inventory-dmg.assets-cdk.com/2/3/9/14289107932.jpg|http://inventory-dmg.assets-cdk.com/0/4/9/14289107940.jpg|http://inventory-dmg.assets-cdk.com/2/5/9/14289107952.jpg|http://inventory-dmg.assets-cdk.com/0/6/9/14289107960.jpg|http://inventory-dmg.assets-cdk.com/9/6/9/14289107969.jpg|http://inventory-dmg.assets-cdk.com/6/7/9/14289107976.jpg|http://inventory-dmg.assets-cdk.com/6/8/9/14289107986.jpg|http://inventory-dmg.assets-cdk.com/4/9/9/14289107994.jpg|http://inventory-dmg.assets-cdk.com/9/9/9/14289107999.jpg|http://inventory-dmg.assets-cdk.com/8/0/0/14289108008.jpg|http://inventory-dmg.assets-cdk.com/9/1/0/14289108019.jpg|http://inventory-dmg.assets-cdk.com/8/2/0/14289108028.jpg|http://inventory-dmg.assets-cdk.com/4/3/0/14289108034.jpg|http://inventory-dmg.assets-cdk.com/3/4/0/14289108043.jpg|http://inventory-dmg.assets-cdk.com/3/5/0/14289108053.jpg|http://inventory-dmg.assets-cdk.com/9/5/0/14289108059.jpg|http://inventory-dmg.assets-cdk.com/0/7/0/14289108070.jpg|http://inventory-dmg.assets-cdk.com/8/7/0/14289108078.jpg|http://inventory-dmg.assets-cdk.com/6/8/0/14289108086.jpg|http://inventory-dmg.assets-cdk.com/4/9/0/14289108094.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2009-Cadillac-CTS-3.6L___Direct_Injection_Rear_Wheel_Drive-Paducah-KY/2976950853,0,1
021437P,,new,2010 Toyota Tundra 2WD Truck,2010,Toyota,Tundra,Work Truck,"$20,456",,4.0L V6,Automatic 5-Speed,Red,N/A,37917,http://inventory-dmg.assets-cdk.com/9/4/4/14304298449.jpg|http://inventory-dmg.assets-cdk.com/2/6/4/14304298462.jpg|http://inventory-dmg.assets-cdk.com/5/6/4/14304298465.jpg|http://inventory-dmg.assets-cdk.com/2/7/4/14304298472.jpg|http://inventory-dmg.assets-cdk.com/1/8/4/14304298481.jpg|http://inventory-dmg.assets-cdk.com/0/9/4/14304298490.jpg|http://inventory-dmg.assets-cdk.com/6/9/4/14304298496.jpg|http://inventory-dmg.assets-cdk.com/5/0/5/14304298505.jpg|http://inventory-dmg.assets-cdk.com/2/1/5/14304298512.jpg|http://inventory-dmg.assets-cdk.com/8/1/5/14304298518.jpg|http://inventory-dmg.assets-cdk.com/6/2/5/14304298526.jpg|http://inventory-dmg.assets-cdk.com/3/3/5/14304298533.jpg|http://inventory-dmg.assets-cdk.com/7/3/5/14304298537.jpg|http://inventory-dmg.assets-cdk.com/7/4/5/14304298547.jpg|http://inventory-dmg.assets-cdk.com/4/5/5/14304298554.jpg|http://inventory-dmg.assets-cdk.com/8/5/5/14304298558.jpg|http://inventory-dmg.assets-cdk.com/4/6/5/14304298564.jpg,http://www.royaloakschevy.us/VehicleDetails/used-2010-Toyota-Tundra_2WD_Truck-2WD_Regular_Cab_Long_Bed_V6_%28Natl%29-Paducah-KY/2975788573,0,1
026988P,,new,2004 Mitsubishi Endeavor,2004,Mitsubishi,Endeavor,,Please Call,,3.8L V6,Automatic 4-Speed,White,Charcoal,150321,http://media-cf.assets-cdk.com/websites/5.0.1245-53/websitesEar/websitesWebApp/css/common/images/en_US/noImage_large.png,http://www.royaloakschevy.us/VehicleDetails/used-2004-Mitsubishi-Endeavor-2004.5_4dr_Limited-Paducah-KY/3046829123,0,1
