stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
281301,,used,2015 Chevrolet Silverado 1500,2015,Chevrolet,Silverado 1500,,Please Call,,5.3,Automatic,Silver,Black,"57,000",http://inventory-cf.assets-cdk.com/6/8/9/14891736986.jpg|http://inventory-cf.assets-cdk.com/2/7/0/14891737072.jpg|http://inventory-cf.assets-cdk.com/0/2/1/14891737120.jpg|http://inventory-cf.assets-cdk.com/5/9/1/14891737195.jpg|http://inventory-cf.assets-cdk.com/1/2/3/14891737321.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2015/15813.jpg,http://www.royfosscadillacwoodbridge.com/VehicleDetails/used-2015-Chevrolet-Silverado_1500-LT-Woodbridge-ON/3024110563,0,1
611162A,,used,2013 Chevrolet Cruze,2013,Chevrolet,Cruze,LS Manual,Please Call,,I-4 cyl,Automatic,N/A,N/A,"58,000",http://inventory-cf.assets-cdk.com/chrome_jpgs/2013/13990.jpg,http://www.royfosscadillacwoodbridge.com/VehicleDetails/certified-2013-Chevrolet-Cruze-LT_Turbo-Woodbridge-ON/2939547703,0,1
612003,,new,2016 Cadillac CT6 Sedan,2016,Cadillac,CT6,Premium 4dr Sedan (3.6L 6cyl Turbo 8A),"$79,995",,3.0L 6 cyl,Automatic,Black Raven,Jet Black,,http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_GBA_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HIZ_deg05.jpg|http://inventory-dmg.assets-cdk.com/chrome/381177/cc_2016CAC230001_01_640_GBA.png,http://www.royfosscadillacwoodbridge.com/VehicleDetails/new-2016-Cadillac-CT6_Sedan-Platinum_AWD-Woodbridge-ON/3040792613,0,1
612004,,new,2016 Cadillac CT6 Sedan,2016,Cadillac,CT6,Premium 4dr Sedan (3.6L 6cyl Turbo 8A),"$79,995",,3.0L 6 cyl,Automatic,Crystal White,Very Light Cashmere/sugar,,http://inventory-dmg.assets-cdk.com/2/1/0/14934386012.jpg|http://inventory-dmg.assets-cdk.com/6/1/0/14934386016.jpg|http://inventory-dmg.assets-cdk.com/4/0/0/14934386004.jpg|http://inventory-dmg.assets-cdk.com/4/4/9/14934385944.jpg|http://inventory-dmg.assets-cdk.com/7/8/0/14934386087.jpg|http://inventory-dmg.assets-cdk.com/4/8/0/14934386084.jpg|http://inventory-dmg.assets-cdk.com/1/8/0/14934386081.jpg|http://inventory-dmg.assets-cdk.com/2/6/1/14934386162.jpg|http://inventory-dmg.assets-cdk.com/3/6/4/14934385463.jpg|http://inventory-dmg.assets-cdk.com/9/6/4/14934385469.jpg|http://inventory-dmg.assets-cdk.com/2/6/4/14934385462.jpg|http://inventory-dmg.assets-cdk.com/9/3/5/14934385539.jpg|http://inventory-dmg.assets-cdk.com/0/4/5/14934385540.jpg|http://inventory-dmg.assets-cdk.com/6/6/5/14934385566.jpg|http://inventory-dmg.assets-cdk.com/9/2/6/14934385629.jpg|http://inventory-dmg.assets-cdk.com/8/2/6/14934385628.jpg|http://inventory-dmg.assets-cdk.com/7/2/6/14934385627.jpg|http://inventory-dmg.assets-cdk.com/8/3/7/14934385738.jpg|http://inventory-dmg.assets-cdk.com/7/1/7/14934385717.jpg|http://inventory-dmg.assets-cdk.com/2/2/7/14934385722.jpg|http://inventory-dmg.assets-cdk.com/2/9/7/14934385792.jpg|http://inventory-dmg.assets-cdk.com/5/9/7/14934385795.jpg|http://inventory-dmg.assets-cdk.com/6/0/8/14934385806.jpg|http://inventory-dmg.assets-cdk.com/1/6/8/14934385861.jpg|http://inventory-dmg.assets-cdk.com/2/5/8/14934385852.jpg|http://inventory-dmg.assets-cdk.com/7/6/8/14934385867.jpg|http://inventory-dmg.assets-cdk.com/6/3/9/14934385936.jpg|http://inventory-dmg.assets-cdk.com/4/2/9/14934385924.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/ext_G1W_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HK1_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HK1_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HK1_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HK1_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2967403/default/int_HK1_deg05.jpg|http://inventory-dmg.assets-cdk.com/chrome/381177/cc_2016CAC230001_01_640_G1W.png,http://www.royfosscadillacwoodbridge.com/VehicleDetails/new-2016-Cadillac-CT6_Sedan-Platinum_AWD-Woodbridge-ON/2994546213,0,1
629082A,,used,2014 Chevrolet Impala,2014,Chevrolet,Impala,LTZ 4dr Sedan w/2LZ (3.6L 6cyl 6A),"$20,995",,V-6 cyl,Automatic,Blue,Black,"117,000",http://inventory-cf.assets-cdk.com/1/8/4/14755389481.jpg|http://inventory-cf.assets-cdk.com/8/3/5/14755389538.jpg|http://inventory-cf.assets-cdk.com/2/1/6/14755389612.jpg|http://inventory-cf.assets-cdk.com/1/5/6/14755389651.jpg|http://inventory-cf.assets-cdk.com/8/8/6/14755389688.jpg|http://inventory-cf.assets-cdk.com/5/1/7/14755389715.jpg|http://inventory-cf.assets-cdk.com/1/4/7/14755389741.jpg|http://inventory-cf.assets-cdk.com/8/6/7/14755389768.jpg|http://inventory-cf.assets-cdk.com/9/3/8/14755389839.jpg|http://inventory-cf.assets-cdk.com/3/9/8/14755389893.jpg|http://inventory-cf.assets-cdk.com/3/4/9/14755389943.jpg|http://inventory-cf.assets-cdk.com/6/2/0/14755390026.jpg|http://inventory-cf.assets-cdk.com/0/0/1/14755390100.jpg|http://inventory-cf.assets-cdk.com/9/5/1/14755390159.jpg|http://inventory-cf.assets-cdk.com/6/1/2/14755390216.jpg|http://inventory-cf.assets-cdk.com/4/6/2/14755390264.jpg|http://inventory-cf.assets-cdk.com/4/3/3/14755390334.jpg|http://inventory-cf.assets-cdk.com/8/8/3/14755390388.jpg|http://inventory-cf.assets-cdk.com/5/4/4/14755390445.jpg|http://inventory-cf.assets-cdk.com/9/8/4/14755390489.jpg|http://inventory-cf.assets-cdk.com/5/6/5/14755390565.jpg|http://inventory-cf.assets-cdk.com/1/9/7/14755390791.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/15200.jpg,http://www.royfosscadillacwoodbridge.com/VehicleDetails/certified-2014-Chevrolet-Impala-LTZ-Woodbridge-ON/2982337233,0,1
630164A,,used,2011 GMC Acadia,2011,GMC,Acadia,SL,"$14,995",,V-6 cyl,Automatic,N/A,N/A,"135,672",http://inventory-cf.assets-cdk.com/8/4/0/14720701048.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2011/13160.jpg,http://www.royfosscadillacwoodbridge.com/VehicleDetails/certified-2011-GMC-Acadia-SLE2-Woodbridge-ON/3004041413,0,1
702002,,new,2017 Cadillac CTS Sedan,2017,Cadillac,CTS Sedan,Luxury Collection AWD,"$62,225",,2.0L 4 cyl,Automatic,Crystal White,Jet Black,,http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/ext_G1W_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/ext_G1W_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/ext_G1W_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/ext_G1W_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/ext_G1W_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/ext_G1W_deg06.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/int_H0Y_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/int_H0Y_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/int_H0Y_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/int_H0Y_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283763/default/int_H0Y_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/383812/cc_2017CAC110001_01_640_G1W.png,http://www.royfosscadillacwoodbridge.com/VehicleDetails/new-2017-Cadillac-CTS_Sedan-Luxury_Collection_AWD-Woodbridge-ON/2825912013,0,0
705009A,,used,2016 Chevrolet Silverado 2500HD,2016,Chevrolet,Silverado 2500HD,LT,"$44,995",,V-8 cyl,Automatic,White,Black,"25,000",http://inventory-cf.assets-cdk.com/4/2/2/14720701224.jpg|http://inventory-cf.assets-cdk.com/6/6/2/14720701266.jpg|http://inventory-cf.assets-cdk.com/7/1/3/14720701317.jpg|http://inventory-cf.assets-cdk.com/5/6/3/14720701365.jpg|http://inventory-cf.assets-cdk.com/4/0/4/14720701404.jpg|http://inventory-cf.assets-cdk.com/9/3/4/14720701439.jpg|http://inventory-cf.assets-cdk.com/4/5/4/14720701454.jpg|http://inventory-cf.assets-cdk.com/1/0/5/14720701501.jpg|http://inventory-cf.assets-cdk.com/0/3/5/14720701530.jpg|http://inventory-cf.assets-cdk.com/6/6/5/14720701566.jpg|http://inventory-cf.assets-cdk.com/4/9/5/14720701594.jpg|http://inventory-cf.assets-cdk.com/9/2/6/14720701629.jpg|http://inventory-cf.assets-cdk.com/4/6/6/14720701664.jpg|http://inventory-cf.assets-cdk.com/0/1/7/14720701710.jpg|http://inventory-cf.assets-cdk.com/1/6/7/14720701761.jpg|http://inventory-cf.assets-cdk.com/4/1/8/14720701814.jpg|http://inventory-cf.assets-cdk.com/4/6/8/14720701864.jpg|http://inventory-cf.assets-cdk.com/1/0/9/14720701901.jpg|http://inventory-cf.assets-cdk.com/8/3/9/14720701938.jpg|http://inventory-cf.assets-cdk.com/2/6/9/14720701962.jpg|http://inventory-cf.assets-cdk.com/7/0/0/14720702007.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2016/18214.jpg,http://www.royfosscadillacwoodbridge.com/VehicleDetails/certified-2016-Chevrolet-Silverado_2500HD-LT-Woodbridge-ON/2984355903,0,1
705017A,,used,2015 Chevrolet Corvette,2015,Chevrolet,Corvette,,"$67,995",,6.2,Automatic,Black,Black,"22,440",http://inventory-cf.assets-cdk.com/4/3/5/14840781534.jpg|http://inventory-cf.assets-cdk.com/1/8/5/14840781581.jpg|http://inventory-cf.assets-cdk.com/4/3/6/14840781634.jpg|http://inventory-cf.assets-cdk.com/4/8/6/14840781684.jpg|http://inventory-cf.assets-cdk.com/0/4/7/14840781740.jpg|http://inventory-cf.assets-cdk.com/3/9/7/14840781793.jpg|http://inventory-cf.assets-cdk.com/2/7/8/14840781872.jpg|http://inventory-cf.assets-cdk.com/7/1/9/14840781917.jpg|http://inventory-cf.assets-cdk.com/7/6/9/14840781967.jpg|http://inventory-cf.assets-cdk.com/3/1/0/14840782013.jpg|http://inventory-cf.assets-cdk.com/5/6/0/14840782065.jpg|http://inventory-cf.assets-cdk.com/9/9/0/14840782099.jpg|http://inventory-cf.assets-cdk.com/6/5/1/14840782156.jpg|http://inventory-cf.assets-cdk.com/1/9/1/14840782191.jpg|http://inventory-cf.assets-cdk.com/9/2/2/14840782229.jpg|http://inventory-cf.assets-cdk.com/5/6/2/14840782265.jpg|http://inventory-cf.assets-cdk.com/6/0/3/14840782306.jpg|http://inventory-cf.assets-cdk.com/4/5/3/14840782354.jpg|http://inventory-cf.assets-cdk.com/0/0/4/14840782400.jpg|http://inventory-cf.assets-cdk.com/2/4/4/14840782442.jpg|http://inventory-cf.assets-cdk.com/0/9/4/14840782490.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/1969013/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/1969013/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/1969013/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/1969013/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/chrome/369652/cc_2015CHE030a_01_640_GBA.png,http://www.royfosscadillacwoodbridge.com/VehicleDetails/certified-2015-Chevrolet-Corvette-3LT-Woodbridge-ON/3018814013,0,1
708005,,new,2017 Cadillac ATS Sedan,2017,Cadillac,ATS Sedan,AWD,"$45,230",,2.0L 4 cyl,Automatic,Black Raven,Jet Black,,http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/ext_GBA_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/ext_GBA_deg06.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/int_H2G_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/int_H2G_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/int_H2G_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/int_H2G_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3298323/default/int_H2G_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/385020/cc_2017CAC200002_01_640_GBA.png,http://www.royfosscadillacwoodbridge.com/VehicleDetails/new-2017-Cadillac-ATS_Sedan-AWD-Woodbridge-ON/2837724543,0,0
