stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
16C488,,new,2016 Cadillac ATS Sedan,2016,Cadillac,ATS,4dr Sedan (2.0L),"$35,190",,2.0L 4 cyl,8-Speed A/T,Stellar Black,Jet Black With Jet Black Accents,,http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/ext_GB8_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/ext_GB8_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/ext_GB8_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/ext_GB8_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/ext_GB8_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/int_H2G_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/int_H2G_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/int_H2G_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/int_H2G_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2870183/default/int_H2G_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/376116/cc_2016CAD011a_01_640_GB8.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-Cadillac-ATS_Sedan-Standard_AWD-Thornhill-ON/2791823433,0,0
16C540,,new,2016 Cadillac XTS,2016,Cadillac,XTS,Livery Package,"$45,710",,3.6L 6 cyl,6-Speed A/T,Black Raven,N/A,,http://inventory-cf.assets-cdk.com/chrome_jpgs/2016/23263.jpg,http://www.royfossthornhill.com/VehicleDetails/new-2016-Cadillac-XTS-Livery_Package-Thornhill-ON/2866318593,0,0
16C589,,new,2016 Cadillac Escalade ESV,2016,Cadillac,Escalade ESV,Premium Collection,"$89,455",,6.2L 8 cyl,8-Speed A/T,Black Raven,Kona Brown/jet Black,,http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/376082/cc_2016CAS030008_01_640_GBA.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-Cadillac-Escalade_ESV-Premium_Collection-Thornhill-ON/2915528933,0,0
16C606,,new,2016 Cadillac Escalade ESV,2016,Cadillac,Escalade ESV,Premium Collection,"$89,685",,6.2L 8 cyl,8-Speed A/T,Black Raven,Kona Brown/jet Black,,http://inventory-cf.assets-cdk.com/9/2/0/14830713029.jpg|http://inventory-cf.assets-cdk.com/0/0/5/14830712500.jpg|http://inventory-cf.assets-cdk.com/0/9/4/14830712490.jpg|http://inventory-cf.assets-cdk.com/6/6/5/14830712566.jpg|http://inventory-cf.assets-cdk.com/0/7/5/14830712570.jpg|http://inventory-cf.assets-cdk.com/9/6/5/14830712569.jpg|http://inventory-cf.assets-cdk.com/8/6/6/14830712668.jpg|http://inventory-cf.assets-cdk.com/0/6/6/14830712660.jpg|http://inventory-cf.assets-cdk.com/4/5/6/14830712654.jpg|http://inventory-cf.assets-cdk.com/8/4/7/14830712748.jpg|http://inventory-cf.assets-cdk.com/5/5/7/14830712755.jpg|http://inventory-cf.assets-cdk.com/7/6/7/14830712767.jpg|http://inventory-cf.assets-cdk.com/9/3/8/14830712839.jpg|http://inventory-cf.assets-cdk.com/8/5/8/14830712858.jpg|http://inventory-cf.assets-cdk.com/1/6/8/14830712861.jpg|http://inventory-cf.assets-cdk.com/9/2/9/14830712929.jpg|http://inventory-cf.assets-cdk.com/6/4/9/14830712946.jpg|http://inventory-cf.assets-cdk.com/0/4/9/14830712940.jpg|http://inventory-cf.assets-cdk.com/9/0/0/14830713009.jpg|http://inventory-cf.assets-cdk.com/4/1/0/14830713014.jpg|http://inventory-cf.assets-cdk.com/7/7/0/14830713077.jpg|http://inventory-cf.assets-cdk.com/4/7/0/14830713074.jpg|http://inventory-cf.assets-cdk.com/0/9/0/14830713090.jpg|http://inventory-cf.assets-cdk.com/5/4/1/14830713145.jpg|http://inventory-cf.assets-cdk.com/1/4/1/14830713141.jpg|http://inventory-cf.assets-cdk.com/5/6/1/14830713165.jpg|http://inventory-cf.assets-cdk.com/6/1/2/14830713216.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/376082/cc_2016CAS030008_01_640_GBA.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-Cadillac-Escalade_ESV-Premium_Collection-Thornhill-ON/2915528953,0,0
16C609,,new,2016 Cadillac Escalade ESV,2016,Cadillac,Escalade ESV,Premium Collection,"$89,455",,6.2L 8 cyl,8-Speed A/T,Black Raven,Kona Brown/jet Black,,http://inventory-cf.assets-cdk.com/5/4/5/14830735545.jpg|http://inventory-cf.assets-cdk.com/0/6/5/14830735560.jpg|http://inventory-cf.assets-cdk.com/1/3/6/14830735631.jpg|http://inventory-cf.assets-cdk.com/9/2/6/14830735629.jpg|http://inventory-cf.assets-cdk.com/1/4/6/14830735641.jpg|http://inventory-cf.assets-cdk.com/2/9/6/14830735692.jpg|http://inventory-cf.assets-cdk.com/2/1/7/14830735712.jpg|http://inventory-cf.assets-cdk.com/8/1/7/14830735718.jpg|http://inventory-cf.assets-cdk.com/7/8/7/14830735787.jpg|http://inventory-cf.assets-cdk.com/8/7/7/14830735778.jpg|http://inventory-cf.assets-cdk.com/3/8/7/14830735783.jpg|http://inventory-cf.assets-cdk.com/7/5/8/14830735857.jpg|http://inventory-cf.assets-cdk.com/3/9/8/14830735893.jpg|http://inventory-cf.assets-cdk.com/3/8/8/14830735883.jpg|http://inventory-cf.assets-cdk.com/8/3/9/14830735938.jpg|http://inventory-cf.assets-cdk.com/7/5/9/14830735957.jpg|http://inventory-cf.assets-cdk.com/9/7/9/14830735979.jpg|http://inventory-cf.assets-cdk.com/1/6/0/14830736061.jpg|http://inventory-cf.assets-cdk.com/5/9/0/14830736095.jpg|http://inventory-cf.assets-cdk.com/8/1/1/14830736118.jpg|http://inventory-cf.assets-cdk.com/4/4/2/14830736244.jpg|http://inventory-cf.assets-cdk.com/9/4/2/14830736249.jpg|http://inventory-cf.assets-cdk.com/9/5/2/14830736259.jpg|http://inventory-cf.assets-cdk.com/6/4/3/14830736346.jpg|http://inventory-cf.assets-cdk.com/2/6/3/14830736362.jpg|http://inventory-cf.assets-cdk.com/7/4/3/14830736347.jpg|http://inventory-cf.assets-cdk.com/1/6/4/14830736461.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/376082/cc_2016CAS030008_01_640_GBA.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-Cadillac-Escalade_ESV-Premium_Collection-Thornhill-ON/2984361843,0,0
16C622,,new,2016 Cadillac Escalade ESV,2016,Cadillac,Escalade ESV,Premium Collection,"$89,455",,6.2L 8 cyl,8-Speed A/T,Black Raven,Kona Brown/jet Black,,http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/376082/cc_2016CAS030008_01_640_GBA.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-Cadillac-Escalade_ESV-Premium_Collection-Thornhill-ON/2915528983,0,0
16C623,,new,2016 Cadillac Escalade ESV,2016,Cadillac,Escalade ESV,Premium Collection,"$89,455",,6.2L 8 cyl,8-Speed A/T,Black Raven,Kona Brown/jet Black,,http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/ext_GBA_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2016/2869803/default/int_HEY_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/376082/cc_2016CAS030008_01_640_GBA.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-Cadillac-Escalade_ESV-Premium_Collection-Thornhill-ON/2915528993,0,0
16G302,,new,2016 GMC Savana,2016,GMC,Savana,,"$37,175",,6.0L 8 cyl,6-Speed A/T,Summit White,Medium Dark Pewter,,http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/ext_GAZ_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/ext_GAZ_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/ext_GAZ_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/ext_GAZ_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/int_93G_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/int_93G_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/int_93G_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2918473/default/int_93G_deg04.jpg|http://inventory-cf.assets-cdk.com/chrome/379444/cc_2016GMV130001_01_640_GAZ.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-GMC-Savana--Thornhill-ON/2923140323,0,0
16G329,,new,2016 GMC Savana,2016,GMC,Savana,,Contact Us,,4.8L 8 cyl,6-Speed A/T,Summit White,Medium Dark Pewter,,http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/ext_GAZ_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/ext_GAZ_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/ext_GAZ_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/ext_GAZ_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/int_93G_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/int_93G_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/int_93G_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2917893/default/int_93G_deg04.jpg|http://inventory-cf.assets-cdk.com/chrome/379441/cc_2016GMV130001_01_640_GAZ.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-GMC-Savana--Thornhill-ON/3060440833,0,0
16V918,,new,2016 Chevrolet Express,2016,Chevrolet,Express,,"$32,625",,4.8L 8 cyl,6-Speed A/T,Summit White,Medium Dark Pewter,,http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2918933/default/ext_GAZ_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2918933/default/ext_GAZ_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2918933/default/ext_GAZ_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2918933/default/ext_GAZ_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2918933/default/int_93G_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/2918933/default/int_93G_deg02.jpg|http://inventory-cf.assets-cdk.com/chrome/379349/cc_2016CHV330002_01_640_GAZ.png,http://www.royfossthornhill.com/VehicleDetails/new-2016-Chevrolet-Express--Thornhill-ON/2959496873,0,0
