stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2734602003,,new,2016 Chevrolet Silverado 1500,2016,Chevrolet,Silverado 1500,LS - $281.18 B/W,"$49,413",,5.3L V8 16V GDI OHV,Automatic,Deep Ocean Blue Metallic,N/A,,http://inventory-dmg.assets-cdk.com/0/3/3/14249308330.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2953173/default/ext_G1K_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2953173/default/ext_G1K_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2953173/default/ext_G1K_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2953173/default/ext_G1K_deg04.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Silverado_1500-LS___%24281.18_B%2FW-Courtice-ON/2734602003,0,0
2738377373,,new,2016 Chevrolet Traverse,2016,Chevrolet,Traverse,LS,"$36,880",,3.6L V6 24V GDI DOHC,Automatic,Summit White,N/A,,http://inventory-dmg.assets-cdk.com/3/8/7/14238370783.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2869203/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2869203/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2869203/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2869203/default/ext_GAZ_deg04.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Traverse-LS-Courtice-ON/2738377373,0,0
2744372293,,new,2016 Chevrolet Cruze,2016,Chevrolet,Cruze,,"$27,878",,1.4L I4 16V MPFI DOHC Turbo,Automatic,Blue Ray Metallic,N/A,,http://inventory-dmg.assets-cdk.com/7/2/4/14249308427.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GXH_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GXH_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GXH_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GXH_deg04.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Cruze-Premier-Courtice-ON/2744372293,0,0
2744372303,,new,2016 Chevrolet Cruze,2016,Chevrolet,Cruze,,"$30,868",,1.4L I4 16V MPFI DOHC Turbo,Automatic,Mosaic Black Metallic,N/A,,http://inventory-dmg.assets-cdk.com/6/8/4/14249308486.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077863/default/ext_GB8_deg04.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Cruze-Premier-Courtice-ON/2744372303,0,0
2752496563,,new,2016 Chevrolet Malibu,2016,Chevrolet,Malibu,LT,"$27,990",,1.5L I4 16V GDI DOHC Turbo,Automatic,Silver Ice Metallic,N/A,,http://inventory-dmg.assets-cdk.com/1/1/6/14249308611.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967573/default/ext_GAN_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967573/default/ext_GAN_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967573/default/ext_GAN_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967573/default/ext_GAN_deg04.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Malibu-LT-Courtice-ON/2752496563,0,0
2755684533,,new,2016 Chevrolet Malibu,2016,Chevrolet,Malibu,Premier,"$38,208",,2.0L I4 16V GDI DOHC Turbo,Automatic,Butte Red Metallic,N/A,,http://inventory-dmg.assets-cdk.com/9/0/7/14249308709.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967893/default/ext_G7T_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967893/default/ext_G7T_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967893/default/ext_G7T_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2967893/default/ext_G7T_deg04.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Malibu-Premier-Courtice-ON/2755684533,0,0
2763996273,,new,2016 Chevrolet Cruze,2016,Chevrolet,Cruze,,Contact Us,,1.4L I4 16V MPFI DOHC Turbo,Automatic,Red,N/A,,http://inventory-dmg.assets-cdk.com/2/3/6/14249308632.jpg|http://inventory-dmg.assets-cdk.com/9/0/6/13549985609.jpg|http://inventory-dmg.assets-cdk.com/7/1/6/13549985617.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Cruze-Premier-Courtice-ON/2763996273,0,0
2767531633,,new,2016 Chevrolet Trax,2016,Chevrolet,Trax,LT,Contact Us,,1.4L I4 16V MPFI DOHC Turbo,Automatic,Orange,N/A,,,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Trax-LT-Courtice-ON/2767531633,0,0
2777596273,,new,2016 Chevrolet Camaro,2016,Chevrolet,Camaro,,"$63,883",,6.2L V8 16V GDI OHV,Automatic,Silver,Jet Black,,http://inventory-dmg.assets-cdk.com/1/6/2/14249309261.jpg|http://inventory-dmg.assets-cdk.com/8/9/2/14249309298.jpg|http://inventory-dmg.assets-cdk.com/2/4/3/14249309342.jpg|http://inventory-dmg.assets-cdk.com/5/8/3/14249309385.jpg|http://inventory-dmg.assets-cdk.com/8/2/4/14249309428.jpg|http://inventory-dmg.assets-cdk.com/5/7/4/14249309475.jpg|http://inventory-dmg.assets-cdk.com/2/1/5/14249309512.jpg|http://inventory-dmg.assets-cdk.com/2/5/5/14249309552.jpg|http://inventory-dmg.assets-cdk.com/8/8/5/14249309588.jpg|http://inventory-dmg.assets-cdk.com/6/2/6/14249309626.jpg|http://inventory-dmg.assets-cdk.com/7/5/6/14249309657.jpg|http://inventory-dmg.assets-cdk.com/2/9/6/14249309692.jpg|http://inventory-dmg.assets-cdk.com/8/2/7/14249309728.jpg|http://inventory-dmg.assets-cdk.com/7/5/7/14249309757.jpg|http://inventory-dmg.assets-cdk.com/8/9/7/14249309798.jpg|http://inventory-dmg.assets-cdk.com/9/2/8/14249309829.jpg|http://inventory-dmg.assets-cdk.com/5/6/8/14249309865.jpg|http://inventory-dmg.assets-cdk.com/8/8/8/14249309888.jpg|http://inventory-dmg.assets-cdk.com/5/2/9/14249309925.jpg|http://inventory-dmg.assets-cdk.com/2/6/9/14249309962.jpg|http://inventory-dmg.assets-cdk.com/9/0/0/14249310009.jpg|http://inventory-dmg.assets-cdk.com/4/4/0/14249310044.jpg|http://inventory-dmg.assets-cdk.com/4/8/0/14249310084.jpg|http://inventory-dmg.assets-cdk.com/5/1/1/14249310115.jpg|http://inventory-dmg.assets-cdk.com/6/5/1/14249310156.jpg|http://inventory-dmg.assets-cdk.com/2/9/1/14249310192.jpg|http://inventory-dmg.assets-cdk.com/1/3/2/14249310231.jpg|http://inventory-dmg.assets-cdk.com/5/7/2/14249310275.jpg|http://inventory-dmg.assets-cdk.com/9/9/2/14249310299.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236213/default/ext_GAN_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236213/default/ext_GAN_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236213/default/ext_GAN_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236213/default/ext_GAN_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236213/default/int_H0Y_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236213/default/int_H0Y_deg02.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Camaro-SS-Courtice-ON/2777596273,0,0
2779313033,,new,2016 Chevrolet Colorado,2016,Chevrolet,Colorado,4WD Z71,"$43,873",,3.6L V6 24V GDI DOHC,Automatic,White,N/A,,http://inventory-dmg.assets-cdk.com/1/4/7/14249308741.jpg|http://inventory-dmg.assets-cdk.com/8/7/7/14249308778.jpg|http://inventory-dmg.assets-cdk.com/4/1/8/14249308814.jpg|http://inventory-dmg.assets-cdk.com/1/5/8/14249308851.jpg|http://inventory-dmg.assets-cdk.com/2/8/8/14249308882.jpg|http://inventory-dmg.assets-cdk.com/7/1/9/14249308917.jpg|http://inventory-dmg.assets-cdk.com/5/5/9/14249308955.jpg|http://inventory-dmg.assets-cdk.com/1/9/9/14249308991.jpg|http://inventory-dmg.assets-cdk.com/2/3/0/14249309032.jpg|http://inventory-dmg.assets-cdk.com/7/6/0/14249309067.jpg|http://inventory-dmg.assets-cdk.com/2/1/1/14249309112.jpg|http://inventory-dmg.assets-cdk.com/4/5/1/14249309154.jpg|http://inventory-dmg.assets-cdk.com/6/9/1/14249309196.jpg,http://www.roynicholsmotors.com/VehicleDetails/new-2016-Chevrolet-Colorado-4WD_Z71-Courtice-ON/2779313033,0,0
