stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
002207fe762d0de80d5e8fb2f52060b1,,used, 2014 Jeep Grand Cherokee Altitude,2014,Jeep,Grand Cherokee,,Please Call,Altitude,V6 Cylinder Engine,Automatic,Billet Silver Metallic Clearcoat,Black,31483,,http://www.saittatrudeauchryslerjeepdodge.com/certified/Jeep/2014-Jeep-Grand+Cherokee-for-sale-Fairfax-VA-near-Washington-DC-94d03f150a0e0ae7513b8f8534cc59e7.htm?searchDepth=78:185,0,1
005042b58a5af102e96ac570453bf0c5,,used, 2015 Ram 1500 Truck Quad Cab,2015,RAM,1500,2015,"$24,840",Truck Quad Cab,5.7L V-8 cyl,Automatic,Bright White,,42230,http://pictures.dealer.com/s/saittatrudeaucdjcllc/1374/16ef21f4c60d98b678308400826eec2dx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1066/669f78f645d479ce2aaa1254be2e9fe2x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1331/65445f2d517d1fab0066957af5c4a0c2x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1252/be5635abb2d89c056d5775e176adccfex.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1737/f859c5a8abc0e40ede90a048d1f392a0x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0456/1a76634a2f3cada4ed128f62f1e705d9x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0606/a514dc18786cfd21ff909de1f4ee9ab3x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1083/9bcb7cc1066e5f044dc8bd5aeeb72714x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0558/a3537aecafe19fd3378e6bda28c44679x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0161/55d25a32567c1c0277638e024ff223e7x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0391/ede1545b442d85b588eb9ef6996fd8a2x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1108/5bb9b7bc468d1043da07025f248fbbf5x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0832/a52aa137ef3263a087ed7393f8a47143x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1316/0405f4186d879dd1a25d411aa025b533x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1928/c295089fc1438655682eca6c704bed90x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0410/cc1c9a57a99cfadc4e76fc515b2cca1fx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1269/62ac47cf3d9a4f40289fa7f01126fc3bx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0885/dc3f8bb97f1df01199379a633bb41f4bx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1615/4f3b50c88fb3d851d44731dde4210707x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1018/79fabc37ffc558218b890f0758e0d798x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0411/5d53f2b7fb4f660f54f16dd989efc6d4x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1945/98ed6fe46df13cc1c6ab668cb5b718d2x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1257/acd53cee7a43ec4aeffeba3d19dff83dx.jpg,http://www.saittatrudeauchryslerjeepdodge.com/certified/Ram/2015-Ram-1500-6788e0a20a0e0a1739fb5aa3c5d27dfe.htm,0,1
005cb84f1eade07a258c6c121f4b1e65,,used, 2014 Jeep Wrangler Unlimited Sport 4x4 SUV,2014,Jeep,Wrangler Unlimited,Sport RHD,Please Call,SUV,3.6L V-6 cyl,,Red,Black,37859,http://images.dealer.com/autodata/us/large_stockphoto-color/2014/USC40JES162A0/PRC.jpg,http://www.saittatrudeauchryslerjeepdodge.com/used/Jeep/2014-Jeep-Wrangler+Unlimited-19a38bed0a0e0adf5dc318969b850b26.htm,0,1
0093aacfd078d9d795ef15ebd9c3417a,,new, 2017 Dodge Durango R/T SUV,2017,Dodge,Durango,R/T,Please Call,SUV,5.7L V-8 cyl,8 speed automatic,Granite,Black,,http://images.dealer.com/autodata/us/large_stockphoto-color/2017/USC70DOS011D0/PAU.jpg,http://www.saittatrudeauchryslerjeepdodge.com/new/Dodge/2017-Dodge-Durango-b49d88890a0e0ae854d002e55376cbbb.htm,0,1
00ee62d5b2e22e407059c818ce28bda6,,used, 2016 Chrysler 300C Base Sedan,2016,Chrysler,300C,Base,"$22,769",Sedan,3.6L V-6 cyl,Automatic,Bright White,,38808,http://pictures.dealer.com/s/saittatrudeaucdjcllc/1751/a8269ef3a8a8cd290fc0bb517f548353x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1402/022d86a107b41ab7fc6aba2a04fcd29ax.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0503/115a59be5625b25b4e09d8ad5209c191x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0162/93b9c58d3e69894c8cad74123afb69c2x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1985/7c9278b61ca53767697109866ec24f55x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1922/4365c45632ab0031faee6bee78e9fa87x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0819/fab531b6bd50ff346b2e174428b7d3adx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1197/ecf2824947b9f97b2cb724a336fc320cx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0368/d8038f6f29466b7ce45b65c627aa06cbx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1780/8e8961b47ed7b417d12c277758f24b28x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1580/c7e9fa32e7d638807236e8419ab684a8x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1093/2cd41075448bfdc82349fbc5e62d4581x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0775/9f909a0ee922e177791ac571ecaeec9cx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0593/82d2a4150f93bf1f34ade7fb7c8dba81x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1899/3951991c83b1e03d0fae3364fb7d12d4x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1218/9ecf0e1e8146db7763d295dec61807f4x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0057/d22536406aab3bf18139f843caf905bfx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1554/2807073b4da40e6fca97c1cd698fb788x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0549/4b2ceb52520f89083100e4c5c731aeaax.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1935/b29c822bd86b5b4f34e72f78d293da11x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1856/ab11f3988c676ac94d2e73b56bd13005x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0715/90be59706cf80d8727cad1333dfab54ex.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0525/b414e3ece686c757633168a7e01c13cax.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1700/89a4a853d1d3c011d819aa6bf7be8c51x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0342/493f0eac940fde52726ed9fe1dc4838fx.jpg,http://www.saittatrudeauchryslerjeepdodge.com/certified/Chrysler/2016-Chrysler-300C-9255efa20a0e0ae82848060996dcae8e.htm,0,1
016fc18090d0bf9b0c42c7d16df07c2b,,used, 2016 Jeep Compass Sport SUV,2016,Jeep,Compass,Sport,"$14,833",SUV,2.0L I-4 cyl,,Billet Silver,,29630,http://pictures.dealer.com/s/saittatrudeaucdjcllc/1221/6e6d2dc2e358ddea9765c11a2a16c329x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1537/d366b11c6be61f4aee3842cb05735842x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1898/26bf243f0319c15e2161c15fad322228x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0081/9abaa387b99a661df5b188a5af9ab331x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0560/701be581092130bf1053aa4a5d2dc354x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0847/4c74b46642e87b80a85e476a300d36e5x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1687/ebefb2076f615a622aac0f1199d6c8eax.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0592/0889dfc7b21a215f8eee960ea057bb4dx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1764/e61f56e957df3d1036b0688dc83e2f33x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0049/eda3a38b60c0cc7c4e9df798b1fb1482x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0700/66963427283eefcb93dac86ae646f2a8x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0477/a8849c4a984c26fee9c01edddc344eb0x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0845/f9476b18dac8a5c70d99651749a28892x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1308/f8f93ad2db31c1fdf61e77aaacb47a28x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0133/87405c04f8b7fb1a5d1333519b5b1867x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0002/b892eeda8cd7ba8b5f0e788b459651b5x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1714/a3e7c135e3a724c712530a39de7178cax.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0972/a4e707c48c8d8774bbf510c0a9a17448x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1996/6fafa5451330f8a376a2b8055d6d470bx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1970/9bc51a9415cafad0027f9b9be8416c6bx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1020/fd9e4306284608935676a91ef8acb46fx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1948/f7efc8307ff1be496c98bef95f300e80x.jpg,http://www.saittatrudeauchryslerjeepdodge.com/used/Jeep/2016-Jeep-Compass-303b16c80a0e0a1725c5dc92c5074368.htm,0,1
01c8064fa5b8df3ede733f7c681c8aff,,new,New 2017 Chrysler 300 Limited LAS VEGAS NV,2017,Chrysler,300,Limited," $33,325",,,,,,,,http://www.saittatrudeau.com/New-2017-Chrysler-300-Limited-LAS-VEGAS-NV/vd/40202513,0,1
01e63cb2ba6547ed6a1594452377decb,,used, 2013 Chrysler 200 Touring Sedan,2013,Chrysler,200,Touring,"$12,995",Sedan,2.4L I-4 cyl,Automatic,Red,,21236,http://pictures.dealer.com/s/saittatrudeaucdjcllc/0523/ced291c12dc68087452feba0db2f43fex.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1790/77facf1c9cfd9abd45d443c2ec02d56bx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0470/4bd560322c48aca24783ceb30591562fx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1300/d7608ce030a0f0ce34aeea491adfa3acx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1984/1a9ce861ef79e06600130478e4a37570x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0383/3bd901dcdfa4f10b01f8516c7557f822x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0537/1175bbd1e6a6e38bd25619f815621311x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1162/61bc17343fd35f11b438a44dd036887bx.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1716/d8381e0cc4e86e946c2ab49500da4673x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0591/fbe0f2dbe8cdfee051fd3e090895a473x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1995/24f53191397360d98afeafb6e48e1372x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0281/fdff6ab6bd6a5ecdbb8d99718b39eccex.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1082/2176635e866eb582e5d8aa2b76756eaex.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0550/9bde95f4bc8f7900b72bc0b8aef4010ax.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0749/fa89110d8c6d83ab4c221a6fb020c1f4x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0076/56b27c08b8c401c6cf787b9239d3d004x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0866/a1e9fdc4e469f945143fdfc7a9934214x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1419/8d7a962fbd0e211ae84a74273e74f597x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0550/0e3ed623aed749d45c3774e9dd4a5cc5x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0561/fdc5bf66effbb3df82a18bdbcbde8916x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1398/6f8e47da86ff9e6f7bc6d87c7f7b4e97x.jpg|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0390/3c75e0988bbc969889cd349cb877a55dx.jpg,http://www.saittatrudeauchryslerjeepdodge.com/used/Chrysler/2013-Chrysler-200-da8034da0a0e0a17597ca3b696612e78.htm,0,1
01f739eb2d5949f8a1261dba3826551b,,used, 2015 Chrysler 200 LX Sedan,2015,Chrysler,200,LX,"$13,995",Sedan,2.4L I-4 cyl,Automatic,Velvet Red Pearlcoat,,50360,http://pictures.dealer.com/s/saittatrudeaucdjcllc/0191/51356f694903b084d304de291cd7f4e0x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0500/0b192eacc74955ba298db87420f5ac67x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1972/197da64eec6ae43409744a5b13f454b7x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0624/b4021a65dc55c28ea06fa9328aa2c7c4x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1286/39195bcac44fb3a29d1b6556f5ce7038x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0283/8224a2d81e2aa66f4b9f51f334eef86dx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0902/e52b04e6bd5bd5bd46b7b329ed5f8943x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0172/530570153470a02387930844e7f07d46x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0621/83d730b6dc4494eb6b69c22e5d7b10dfx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0730/fcc77f60a5df8d20b52e15a70ad4ce79x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1517/c53d6bcb22711a398079d61fed18bae0x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1548/1d0df3f7fc42d0f1065a21a2c9803f75x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1338/7a9c9df34ebe45b2198ed5b909520089x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1142/d317098f0b8ef5ceb3f396a3cfae9e37x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1607/17a594f5747dad0e46efb7a0b5dc10f3x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1943/3a661fe6675c0bdba1724d45801f9666x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0205/8682a0ce7735c78c3ef5322a07e9230ex.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1858/fac92150a7d545ee086e61d1386912b0x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0180/23b57bee4da377c9b50fc1bf85ba2154x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1416/caa8ae14907b0e4217c6ee6cff765165x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0656/79e38e79fac588266c64939a72f68db8x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1066/ba22aaaf8aa2c1995006cd5c43353d90x.jpg?imwidth=640,http://www.saittatrudeauchryslerjeepdodge.com/certified/Chrysler/2015-Chrysler-200-8d3242720a0e0a1777641ac0441f613e.htm,0,1
025defe7b9b01fdd280520d31851b8e3,,used, 2016 Chrysler 300 Limited Sedan,2016,Chrysler,300,Limited,"$22,488",Sedan,3.6L V-6 cyl,Automatic,Bright White,,20178,http://pictures.dealer.com/s/saittatrudeaucdjcllc/1714/962a6f408f5ccd184996230f93e01078x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0216/7d6b68ac2457d91a9d09ec388ca60e53x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1933/6a9525e43621092362ad44f85cf45cccx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1381/75b4e2fbdc00413233cc59b34f86da3fx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0372/5ef0cd7fcf1a168b3457a407305c8843x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0210/40c4068a2352984a1940c4dce5aa183dx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0082/3d11815fa7429bf52f02c4b6061d3987x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0825/ce942bf6398163f4a7c0798c40a48f4cx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0309/00f4e991e95eb976e6555cf55c9d06c8x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0171/458dc603061a53e91eb9bbd0219e43c8x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1806/e8fad87db7115598c94ac4f0db84e74fx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0564/b9770d98a93ca61770cdb6cfff4edca5x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0063/3cce4579e42bf5f8b6717a7a927f28a6x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0178/d6c70b88b9c4c5c59230b53d519bedf9x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0344/a1043013cf56609bca25a27ac6519a01x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1658/453748557eb64ce602aa466d216bb94bx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0069/24fa4842d86d6fe31c69592ee873cae3x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1083/7dec95f57f1d256c93aeefd95fc612b5x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1329/34a8dd3b9af7327e6caba2500f826ed3x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0914/d2bf9c767ad99e57eca129215e693cccx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0224/8f7b7f01e973287273c6c5377b767e4bx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1126/5e16a6867c602b85e5fee69dac520f0bx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/1057/75b98c8787fcc9861a6239ba51721adfx.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0291/0c4c6a9166e71ef38c7cc2db802b9e06x.jpg?imwidth=640|http://pictures.dealer.com/s/saittatrudeaucdjcllc/0567/ee61d21a28f1eb08956e923f5dc0a18fx.jpg?imwidth=640,http://www.saittatrudeauchryslerjeepdodge.com/certified/Chrysler/2016-Chrysler-300-8eadda7b0a0e0ae965f9dd84bf5f244c.htm,0,1
