stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
15,,used,2015 Hyundai Sonata Sedan,2015,Hyundai,Sonata,Sport 2.0T 4dr Sedan (2.0L 4cyl Turbo 6A),"$15,777",Sedan,2.4L I-4 cyl,Automatic,,,,http://pictures.dealer.com/s/savannahhyundai/0028/0e3f2acb2e91f97f036dce909f41c3e6x.jpg,http://www.savannahhyundai.com/used/Hyundai/2015-Hyundai-Sonata-0e10480f0a0e0aea4a9cbb013aeec6fa.htm,0,1
1A097104,,used,2001 Hyundai XG300 Sedan,2001,Hyundai,XG300,,Please Call,Sedan,3.0L V-6 cyl,Automatic,,,,http://images.dealer.com/autodata/us/large_stockphoto/2001/USB10HYC071A0.jpg,http://www.savannahhyundai.com/used/Hyundai/2001-Hyundai-XG300-5ed8f2d20a0e0a1777641ac04f2578ac.htm,0,1
1KB96573,,used,2001 Ford F-150 SuperCrew Truck SuperCrew Cab,2001,Ford,F-150,null,Please Call,Truck,5.4L V-8 cyl,Automatic,,,,http://images.dealer.com/autodata/us/large_stockphoto/2001/USB10FOT11DA0.jpg,http://www.savannahhyundai.com/used/Ford/2001-Ford-F-150+SuperCrew-7dbe93f20a0e0ae7513b8f85dfe13b05.htm,0,1
1U085319,,used,2001 Hyundai Elantra GLS Sedan,2001,Hyundai,Elantra,GLS,Please Call,Sedan,2.0L I-4 cyl,,,,,http://images.dealer.com/autodata/us/large_stockphoto/2001/USB10HYC021A0.jpg,http://www.savannahhyundai.com/used/Hyundai/2001-Hyundai-Elantra-96328b380a0e0a6b40690100909ac737.htm,0,1
20149102,,used,2002 LEXUS RX 300 Base SUV,2002,Lexus,RX,Base,Please Call,SUV,3.0L V-6 cyl,Automatic,,,,http://images.dealer.com/autodata/us/large_stockphoto/2002/USB20LES081A0.jpg,http://www.savannahhyundai.com/used/LEXUS/2002-LEXUS-RX+300-52ee05870a0e0ae84389fb379c901cd8.htm,0,1
2C109873,,used,2002 Nissan Altima 2.5 Sedan,2002,Nissan,Altima,2.5,Please Call,Sedan,2.5L I-4 cyl,,,Frost,,http://images.dealer.com/autodata/us/large_stockphoto/2002/USB20NIC041A0.jpg,http://www.savannahhyundai.com/used/Nissan/2002-Nissan-Altima-ed7134160a0e0a17597ca3b6e3f291d5.htm,0,1
2M441483,,used,2002 Volkswagen New Beetle GL Hatchback,2002,Volkswagen,New Beetle,None,"$2,777",Hatchback,2.0L I-4 cyl,Manual,Green,,,http://pictures.dealer.com/s/savannahhyundai/0259/22d3087eeb8136aaefbe5dc442e08f89x.jpg,http://www.savannahhyundai.com/used/Volkswagen/2002-Volkswagen-New+Beetle-fd4803f00a0e0a173148ff9a78547a52.htm,0,1
2N143703,,used,2002 Dodge Stratus SE Sedan,2002,Dodge,Stratus,None,Please Call,Sedan,2.4L I-4 cyl,Automatic,,,,http://images.dealer.com/autodata/us/large_stockphoto/2002/USB20DDC051A0.jpg,http://www.savannahhyundai.com/used/Dodge/2002-Dodge-Stratus-f96ff7990a0e0ae7682674b88820e78b.htm,0,1
2N193119,,used,2002 Dodge Stratus SE Sedan,2002,Dodge,Stratus,None,Please Call,Sedan,2.4L I-4 cyl,Automatic,Onyx Green Pearlcoat,,,http://images.dealer.com/autodata/us/large_stockphoto-color/2002/USB20DDC051A0/PJR.jpg,http://www.savannahhyundai.com/used/Dodge/2002-Dodge-Stratus-3ae630720a0e0a17175dc18805510fd2.htm,0,1
2R198506,,used,2002 Ford Escort Coupe,2002,Ford,Escort,ZX2 NR,"$2,777",Coupe,2.0L I-4 cyl,,Silver Frost,,,http://images.dealer.com/autodata/us/large_stockphoto-color/2002/USB20FOC041A0/TS.jpg,http://www.savannahhyundai.com/used/Ford/2002-Ford-Escort-a08b1faf0a0e0ae7513b8f85a3e7fcb4.htm,0,1
