stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
006c9d8b6831b297d21e0c92b04a41ea,,used,2012 Mazda MAZDA3,2012,Mazda,3,,"$12,500",,,,Gray,,,,http://www.scarboromazda.ca/inventory/2012-mazda-mazda3/2239115/,0,1
06597fe6db5118ed2417ca9f40d4d344,,certified,2013 Mazda MAZDA3,2013,Mazda,3,,"$12,500",,,,White,,,,http://www.scarboromazda.ca/inventory/2013-mazda-mazda3/2260822/,0,1
06e9ef11f34bb6abb1aeb3e7d31ce8f0,,certified,2014 Mazda MAZDA3,2014,Mazda,3,,"$15,500",,,,Blue,,,,http://www.scarboromazda.ca/inventory/2014-mazda-mazda3/2277670/,0,1
0b7a006196200167367b1cdd5c5a5eed,,used,2014 Mazda MAZDA3,2014,Mazda,3,,"$17,250",,,,Gray,,,,http://www.scarboromazda.ca/inventory/2014-mazda-mazda3/2341926/,0,1
0d98561551753d67dd95a4fa2c896c6e,,used,2014 Mazda MAZDA3,2014,Mazda,3,,"$15,000",,,,,,,,https://www.scarboromazda.ca/inventory/2014-mazda-mazda3/2187433/,0,1
0f6dbcf38133116caed6050bdabdfb2d,,used,2014 Mazda MAZDA3,2014,Mazda,3,,"$17,000",,,,Black,,,,http://www.scarboromazda.ca/inventory/2014-mazda-mazda3/2307889/,0,1
11eaeaabb1d4517363aa255e613cfb3c,,certified,2014 Mazda MAZDA3,2014,Mazda,3,,"$16,500",,,,Gray,,,,http://www.scarboromazda.ca/inventory/2014-mazda-mazda3/2307085/,0,1
15-217,,certified,2015 Mazda CX-9,2015,Mazda,CX-,,"$31,500",SUV / Crossover,6-cylinder,Automatic,Silver,Black,"36,897",https://images.carpages.ca/inventory/2242391.69036050?s=75a0669977402af2fe62f0f7b42136e2|https://images.carpages.ca/inventory/2242391.69036051?s=18c5fb0c9968a8ae72f7e0a2eb54809c|https://images.carpages.ca/inventory/2242391.69036052?s=612c0c6c00290e572faaeb90943728c8|https://images.carpages.ca/inventory/2242391.69036053?s=d7440979281a068cb13b4e7d7cb7b2c6|https://images.carpages.ca/inventory/2242391.69036054?s=5bdfb093e8e537e970f8f737edf33011|https://images.carpages.ca/inventory/2242391.69036055?s=24650dff61b2fec3449bdea060124129|https://images.carpages.ca/inventory/2242391.69036056?s=c71d6d729546b7b6fe19afc6d3962ac3|https://images.carpages.ca/inventory/2242391.69036057?s=0e7fe2137d18fff1465054970355e4e3|https://images.carpages.ca/inventory/2242391.69036058?s=b709b050e83c983800713cfc7cba623e|https://images.carpages.ca/inventory/2242391.69036059?s=de1dd59197e84212eb8e94c5cbadd5e8|https://images.carpages.ca/inventory/2242391.69036060?s=a9961dd5d41c8a90d62964b8e9ec4c80|https://images.carpages.ca/inventory/2242391.69036061?s=535f2d1a81a81eb316425c18a4e17c27|https://images.carpages.ca/inventory/2242391.69036062?s=164073eeb0ab33109d31f6e9e6f4aa3f|https://images.carpages.ca/inventory/2242391.69036063?s=5b2465823a5f8511e3865c28a0ca37cc|https://images.carpages.ca/inventory/2242391.69036064?s=a42948312c3bf82f19d32d7159b3d2be|https://images.carpages.ca/inventory/2242391.69036065?s=4dcc02ed10e85737031c649e1f7dc8ef|https://images.carpages.ca/inventory/2242391.69036066?s=51d4d0065a42d352fb1190f663fb0f3b|https://images.carpages.ca/inventory/2242391.69036067?s=03101e71db4ed106e2c9a6d3a187e651|https://images.carpages.ca/inventory/2242391.69036068?s=698524ee75fae178c83898022a208505|https://images.carpages.ca/inventory/2242391.69036069?s=cedb5e91ff0da1b51a5ed9d92f8498b9|https://images.carpages.ca/inventory/2242391.69036070?s=b8f915c2e5afe14af1a9090abdfa0d9a|https://images.carpages.ca/inventory/2242391.69036071?s=585138b2ac0539eabbb20bdca4169d20|https://images.carpages.ca/inventory/2242391.69036072?s=3361751128a8c1bbc3837c45173d590b|https://images.carpages.ca/inventory/2242391.69036073?s=48210da1f720589c86710d82eac7fb82|https://images.carpages.ca/inventory/2242391.69036074?s=2fb3513d34607837c82f90d272e7264a,http://www.scarboromazda.ca/inventory/2015-mazda-cx-9/2242391/,0,1
15-700,,used,2015 Mazda CX-9,2015,Mazda,CX-,,"$38,000",SUV / Crossover,6-cylinder,Automatic,Gray,Black,150,,http://www.scarboromazda.ca/inventory/2015-mazda-cx-9/2331036/,0,1
15217A,,used,2007 Mazda CX-7,2007,Mazda,CX-,,"$9,500",SUV / Crossover,4-cylinder,Automatic,Red,Grey - Light,"82,483",https://images.carpages.ca/inventory/2395664.72361707?s=073c7aad6e3463b6d5a5be1430747c74,http://www.scarboromazda.ca/inventory/2007-mazda-cx-7/2395664/,0,1
