stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
3U004A,,used,2010 Mazda Mazda3 i Sport,2010,Mazda,3,Sport,"$7,000",,,5-Speed Manual,Black Mica,,,https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_56828/w_640/h_480/JM1BL1SG5A1241533-1c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_51090/w_640/h_480/JM1BL1SG5A1241533-2c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_64286/w_640/h_480/JM1BL1SG5A1241533-3c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_59639/w_640/h_480/JM1BL1SG5A1241533-4c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_57643/w_640/h_480/JM1BL1SG5A1241533-5c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_47743/w_640/h_480/JM1BL1SG5A1241533-6c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_62015/w_640/h_480/JM1BL1SG5A1241533-7c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_62988/w_640/h_480/JM1BL1SG5A1241533-8c.jpg|https://cdn-ds.com/stock/2010-Mazda-Mazda3-i-Sport/seo/DS24469-JM1BL1SG5A1241533/sz_65433/w_640/h_480/JM1BL1SG5A1241533-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2010-mazda-mazda3-i-sport-portsmouth-nh-id-19334978,0,0
3U005,,used,2014 Ford Escape SE,2014,Ford,Escape,,"$17,500",,,Shiftable Automatic,Silver,,,https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_62729/w_640/h_480/1FMCU9G99EUE19096-1c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_68671/w_640/h_480/1FMCU9G99EUE19096-2c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_74978/w_640/h_480/1FMCU9G99EUE19096-3c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_67006/w_640/h_480/1FMCU9G99EUE19096-4c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_52226/w_640/h_480/1FMCU9G99EUE19096-5c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_43134/w_640/h_480/1FMCU9G99EUE19096-6c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_54193/w_640/h_480/1FMCU9G99EUE19096-7c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_57012/w_640/h_480/1FMCU9G99EUE19096-8c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G99EUE19096/sz_38490/w_640/h_480/1FMCU9G99EUE19096-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2014-ford-escape-se-portsmouth-nh-id-17832036,0,0
3U006,,used,2014 Ford Escape SE,2014,Ford,Escape,,"$17,500",,,Shiftable Automatic,Tuxedo Black Metallic,,,https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_65926/w_640/h_480/1FMCU9G96EUC03822-1c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_71995/w_640/h_480/1FMCU9G96EUC03822-2c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_80991/w_640/h_480/1FMCU9G96EUC03822-3c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_61162/w_640/h_480/1FMCU9G96EUC03822-4c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_59439/w_640/h_480/1FMCU9G96EUC03822-5c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_45764/w_640/h_480/1FMCU9G96EUC03822-6c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_61076/w_640/h_480/1FMCU9G96EUC03822-7c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_54181/w_640/h_480/1FMCU9G96EUC03822-8c.jpg|https://cdn-ds.com/stock/2014-Ford-Escape-SE/seo/DS24469-1FMCU9G96EUC03822/sz_53047/w_640/h_480/1FMCU9G96EUC03822-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2014-ford-escape-se-portsmouth-nh-id-17832047,0,0
3U007,,used,2014 Volkswagen Jetta SEL PZEV,2014,Volkswagen,Jetta,SEL PZEV 4dr Sedan (1.8L 4cyl Turbo 6A),"$15,000",,,Shiftable Automatic,Moonrock Silver Metallic,,,https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_61822/w_640/h_480/3VWL17AJ5EM382635-1c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_63188/w_640/h_480/3VWL17AJ5EM382635-2c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_73553/w_640/h_480/3VWL17AJ5EM382635-3c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_70804/w_640/h_480/3VWL17AJ5EM382635-4c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_55428/w_640/h_480/3VWL17AJ5EM382635-5c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_44248/w_640/h_480/3VWL17AJ5EM382635-6c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_29379/w_640/h_480/3VWL17AJ5EM382635-7c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_62337/w_640/h_480/3VWL17AJ5EM382635-8c.jpg|https://cdn-ds.com/stock/DS24469-3VWL17AJ5EM382635-2014-Volkswagen-Jetta/sz_58490/w_640/h_480/3VWL17AJ5EM382635-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2014-volkswagen-jetta-sel-pzev-portsmouth-nh-id-17832039,0,0
3U008,,used,2014 Volkswagen Jetta SE PZEV,2014,Volkswagen,Jetta,"SE PZEV 4dr Sedan w/Connectivity, Sunroof (1.8L 4cyl Turbo 6A)","$13,000",,,Shiftable Automatic,Candy White,,,https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_61655/w_640/h_480/3VWD17AJ0EM222215-1c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_65017/w_640/h_480/3VWD17AJ0EM222215-2c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_70912/w_640/h_480/3VWD17AJ0EM222215-3c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_69830/w_640/h_480/3VWD17AJ0EM222215-4c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_56833/w_640/h_480/3VWD17AJ0EM222215-5c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_43935/w_640/h_480/3VWD17AJ0EM222215-6c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_59730/w_640/h_480/3VWD17AJ0EM222215-7c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_63909/w_640/h_480/3VWD17AJ0EM222215-8c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWD17AJ0EM222215/sz_37685/w_640/h_480/3VWD17AJ0EM222215-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2014-volkswagen-jetta-se-pzev-portsmouth-nh-id-17832040,0,0
3U009,,used,2013 Volkswagen Jetta SE PZEV,2013,Volkswagen,Jetta,,"$14,000",,,Shiftable Automatic,Platinum Gray Metallic,,,https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/1c/w_640/h_480/3VWDP7AJ6DM430080-1c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/2c/w_640/h_480/3VWDP7AJ6DM430080-2c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/3c/w_640/h_480/3VWDP7AJ6DM430080-3c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/4c/w_640/h_480/3VWDP7AJ6DM430080-4c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/5c/w_640/h_480/3VWDP7AJ6DM430080-5c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/6c/w_640/h_480/3VWDP7AJ6DM430080-6c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/7c/w_640/h_480/3VWDP7AJ6DM430080-7c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/8c/w_640/h_480/3VWDP7AJ6DM430080-8c.jpg|https://cdn-ds.com/stock/2013-Volkswagen-Jetta-SE-PZEV/seo/DS24469-3VWDP7AJ6DM430080/sz_0/https://cdn.getauto.com/photos/9/24469/9c/w_640/h_480/3VWDP7AJ6DM430080-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2013-volkswagen-jetta-se-pzev-portsmouth-nh-id-17832043,0,0
3U010,,used,2014 Volkswagen Jetta S,2014,Volkswagen,Jetta,,"$11,750",,,Shiftable Automatic,Platinum Gray Metallic,,,https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_66459/w_640/h_480/3VW2K7AJ0EM213616-1c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_71714/w_640/h_480/3VW2K7AJ0EM213616-2c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_78102/w_640/h_480/3VW2K7AJ0EM213616-3c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_63386/w_640/h_480/3VW2K7AJ0EM213616-4c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_65607/w_640/h_480/3VW2K7AJ0EM213616-5c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_54947/w_640/h_480/3VW2K7AJ0EM213616-6c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_60498/w_640/h_480/3VW2K7AJ0EM213616-7c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_36842/w_640/h_480/3VW2K7AJ0EM213616-8c.jpg|https://cdn-ds.com/stock/2014-Volkswagen-Jetta-S/seo/DS24469-3VW2K7AJ0EM213616/sz_61683/w_640/h_480/3VW2K7AJ0EM213616-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2014-volkswagen-jetta-s-portsmouth-nh-id-17832033,0,0
3U012,,used,2016 Mazda Mazda6 i Grand Touring,2016,Mazda,6,,"$26,000",,,Shiftable Automatic,Snowflake White Pearl,,,https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_59535/w_640/h_480/JM1GJ1W51G1459661-1c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_66570/w_640/h_480/JM1GJ1W51G1459661-2c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_65368/w_640/h_480/JM1GJ1W51G1459661-3c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_74490/w_640/h_480/JM1GJ1W51G1459661-4c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_56125/w_640/h_480/JM1GJ1W51G1459661-5c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_46555/w_640/h_480/JM1GJ1W51G1459661-6c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_55974/w_640/h_480/JM1GJ1W51G1459661-7c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_31559/w_640/h_480/JM1GJ1W51G1459661-8c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_56205/w_640/h_480/JM1GJ1W51G1459661-9c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_65012/w_640/h_480/JM1GJ1W51G1459661-10c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_45801/w_640/h_480/JM1GJ1W51G1459661-11c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_55364/w_640/h_480/JM1GJ1W51G1459661-12c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_67273/w_640/h_480/JM1GJ1W51G1459661-13c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_65965/w_640/h_480/JM1GJ1W51G1459661-14c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_50924/w_640/h_480/JM1GJ1W51G1459661-15c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_37937/w_640/h_480/JM1GJ1W51G1459661-16c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_41690/w_640/h_480/JM1GJ1W51G1459661-17c.jpg|https://cdn-ds.com/stock/2016-Mazda-Mazda6-i-Grand-Touring/seo/DS24469-JM1GJ1W51G1459661/sz_43040/w_640/h_480/JM1GJ1W51G1459661-18c.jpg,https://www.seacoastmazda.com/vehicle-details/2016-mazda-mazda6-i-grand-touring-portsmouth-nh-id-12377999,0,0
3U014A,,used,2008 Volvo S40 2.4i,2008,Volvo,S40,,"$7,125",,,Not Specified,Blue,,,https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_119182/w_640/h_480/YV1MS382782383724-1c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_81396/w_640/h_480/YV1MS382782383724-2c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_60802/w_640/h_480/YV1MS382782383724-3c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_98403/w_640/h_480/YV1MS382782383724-4c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_77548/w_640/h_480/YV1MS382782383724-5c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_190223/w_640/h_480/YV1MS382782383724-6c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_133735/w_640/h_480/YV1MS382782383724-7c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_160561/w_640/h_480/YV1MS382782383724-8c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_72490/w_640/h_480/YV1MS382782383724-9c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_107805/w_640/h_480/YV1MS382782383724-10c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_122304/w_640/h_480/YV1MS382782383724-11c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_146215/w_640/h_480/YV1MS382782383724-12c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_207184/w_640/h_480/YV1MS382782383724-13c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_142443/w_640/h_480/YV1MS382782383724-14c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_153170/w_640/h_480/YV1MS382782383724-15c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_174577/w_640/h_480/YV1MS382782383724-16c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_181077/w_640/h_480/YV1MS382782383724-17c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_165501/w_640/h_480/YV1MS382782383724-18c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_158144/w_640/h_480/YV1MS382782383724-19c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_121774/w_640/h_480/YV1MS382782383724-20c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_216390/w_640/h_480/YV1MS382782383724-21c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_232369/w_640/h_480/YV1MS382782383724-22c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_205806/w_640/h_480/YV1MS382782383724-23c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_192806/w_640/h_480/YV1MS382782383724-24c.jpg|https://cdn-ds.com/stock/2008-Volvo-S40-2-4i/seo/DS24469-YV1MS382782383724/sz_223078/w_640/h_480/YV1MS382782383724-25c.jpg,https://www.seacoastmazda.com/vehicle-details/2008-volvo-s40-2-4i-portsmouth-nh-id-20329298,0,0
3U021,,used,2016 Hyundai Elantra SE,2016,Hyundai,Elantra,,"$10,750",,,Shiftable Automatic,Shale Gray Metallic,,,https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_63767/w_640/h_480/5NPDH4AE7GH693223-1c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_76800/w_640/h_480/5NPDH4AE7GH693223-2c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_79117/w_640/h_480/5NPDH4AE7GH693223-3c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_65137/w_640/h_480/5NPDH4AE7GH693223-4c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_56933/w_640/h_480/5NPDH4AE7GH693223-5c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_41560/w_640/h_480/5NPDH4AE7GH693223-6c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_58365/w_640/h_480/5NPDH4AE7GH693223-7c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_59617/w_640/h_480/5NPDH4AE7GH693223-8c.jpg|https://cdn-ds.com/stock/2016-Hyundai-Elantra-SE/seo/DS24469-5NPDH4AE7GH693223/sz_46607/w_640/h_480/5NPDH4AE7GH693223-9c.jpg,https://www.seacoastmazda.com/vehicle-details/2016-hyundai-elantra-se-portsmouth-nh-id-18079236,0,1
