stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
100425,,new,2018 Chevrolet Colorado,2018,Chevrolet,Colorado,Extended Cab Long Box 4-Wheel Drive WT,"$35,440",,3.6L DOHC DI V6 W/VVT,Automatic,Black,,,http://inventory-cf.assets-cdk.com/7/7/8/15496084877.jpg|http://inventory-cf.assets-cdk.com/8/8/8/15496084888.jpg|http://inventory-cf.assets-cdk.com/9/9/8/15496084899.jpg|http://inventory-cf.assets-cdk.com/6/1/9/15496084916.jpg|http://inventory-cf.assets-cdk.com/8/2/9/15496084928.jpg|http://inventory-cf.assets-cdk.com/7/3/9/15496084937.jpg|http://inventory-cf.assets-cdk.com/4/5/9/15496084954.jpg|http://inventory-cf.assets-cdk.com/8/6/9/15496084968.jpg|http://inventory-cf.assets-cdk.com/9/7/9/15496084979.jpg|http://inventory-cf.assets-cdk.com/0/9/9/15496084990.jpg|http://inventory-cf.assets-cdk.com/9/0/0/15496085009.jpg|http://inventory-cf.assets-cdk.com/0/2/0/15496085020.jpg|http://inventory-cf.assets-cdk.com/2/4/0/15496085042.jpg|http://inventory-cf.assets-cdk.com/3/5/0/15496085053.jpg|http://inventory-cf.assets-cdk.com/5/6/0/15496085065.jpg|http://inventory-cf.assets-cdk.com/chrome/392802/cc_2018CHT350001_01_640_GBA.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Colorado-Extended_Cab_Long_Box_4_Wheel_Drive_WT-Shediac-NB/3046371443,0,0
100471,,new,2018 Chevrolet Colorado,2018,Chevrolet,Colorado,Crew Cab Short Box 4-Wheel Drive ZR2,"$47,960",,3.6L DOHC DI V6 W/VVT,Automatic,Black,,,http://inventory-cf.assets-cdk.com/4/8/2/15496084284.jpg|http://inventory-cf.assets-cdk.com/6/9/2/15496084296.jpg|http://inventory-cf.assets-cdk.com/4/0/3/15496084304.jpg|http://inventory-cf.assets-cdk.com/6/2/3/15496084326.jpg|http://inventory-cf.assets-cdk.com/9/3/3/15496084339.jpg|http://inventory-cf.assets-cdk.com/0/5/3/15496084350.jpg|http://inventory-cf.assets-cdk.com/8/5/3/15496084358.jpg|http://inventory-cf.assets-cdk.com/7/6/3/15496084367.jpg|http://inventory-cf.assets-cdk.com/5/7/3/15496084375.jpg|http://inventory-cf.assets-cdk.com/4/8/3/15496084384.jpg|http://inventory-cf.assets-cdk.com/4/9/3/15496084394.jpg|http://inventory-cf.assets-cdk.com/3/0/4/15496084403.jpg|http://inventory-cf.assets-cdk.com/6/1/4/15496084416.jpg|http://inventory-cf.assets-cdk.com/5/2/4/15496084425.jpg|http://inventory-cf.assets-cdk.com/4/3/4/15496084434.jpg|http://inventory-cf.assets-cdk.com/chrome/392809/cc_2018CHT350007_01_640_GBA.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Colorado-Crew_Cab_Short_Box_4_Wheel_Drive_ZR2-Shediac-NB/3046371433,0,0
101668,,new,2018 Chevrolet Camaro,2018,Chevrolet,Camaro,2dr Conv 1LT,"$46,395",,3.6L DI V6 ENGINE W/VVT,Automatic,Black,,,http://inventory-cf.assets-cdk.com/9/7/3/15496074379.jpg|http://inventory-cf.assets-cdk.com/7/3/4/15496074437.jpg|http://inventory-cf.assets-cdk.com/3/7/4/15496074473.jpg|http://inventory-cf.assets-cdk.com/8/9/4/15496074498.jpg|http://inventory-cf.assets-cdk.com/0/2/5/15496074520.jpg|http://inventory-cf.assets-cdk.com/1/3/5/15496074531.jpg|http://inventory-cf.assets-cdk.com/7/4/5/15496074547.jpg|http://inventory-cf.assets-cdk.com/6/6/5/15496074566.jpg|http://inventory-cf.assets-cdk.com/0/8/5/15496074580.jpg|http://inventory-cf.assets-cdk.com/8/0/6/15496074608.jpg|http://inventory-cf.assets-cdk.com/8/2/6/15496074628.jpg|http://inventory-cf.assets-cdk.com/1/4/6/15496074641.jpg|http://inventory-cf.assets-cdk.com/6/5/6/15496074656.jpg|http://inventory-cf.assets-cdk.com/3/7/6/15496074673.jpg|http://inventory-cf.assets-cdk.com/7/8/6/15496074687.jpg|http://inventory-cf.assets-cdk.com/1/0/7/15496074701.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708603/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708603/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708603/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708603/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708603/default/int_H1T_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708603/default/int_H1T_deg02.jpg|http://inventory-cf.assets-cdk.com/chrome/391781/cc_2018CHC020004_01_640_GBA.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Camaro-2dr_Conv_1LT-Shediac-NB/3046371423,0,0
102135,,new,2018 Chevrolet Colorado,2018,Chevrolet,Colorado,Crew Cab Long Box 4-Wheel Drive WT,"$39,100",,3.6L DOHC DI V6 W/VVT,Automatic,Deepwood Green Metallic,,,http://inventory-cf.assets-cdk.com/5/5/4/15496084455.jpg|http://inventory-cf.assets-cdk.com/2/6/4/15496084462.jpg|http://inventory-cf.assets-cdk.com/3/7/4/15496084473.jpg|http://inventory-cf.assets-cdk.com/3/8/4/15496084483.jpg|http://inventory-cf.assets-cdk.com/7/9/4/15496084497.jpg|http://inventory-cf.assets-cdk.com/3/0/5/15496084503.jpg|http://inventory-cf.assets-cdk.com/9/1/5/15496084519.jpg|http://inventory-cf.assets-cdk.com/8/2/5/15496084528.jpg|http://inventory-cf.assets-cdk.com/0/4/5/15496084540.jpg|http://inventory-cf.assets-cdk.com/2/5/5/15496084552.jpg|http://inventory-cf.assets-cdk.com/1/6/5/15496084561.jpg|http://inventory-cf.assets-cdk.com/2/7/5/15496084572.jpg|http://inventory-cf.assets-cdk.com/6/8/5/15496084586.jpg|http://inventory-cf.assets-cdk.com/2/9/5/15496084592.jpg|http://inventory-cf.assets-cdk.com/7/0/6/15496084607.jpg,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Colorado-Crew_Cab_Long_Box_4_Wheel_Drive_WT-Shediac-NB/3046371413,0,0
102471,,new,2018 Chevrolet Colorado,2018,Chevrolet,Colorado,Extended Cab Long Box 4-Wheel Drive WT,"$35,935",,3.6L DOHC DI V6 W/VVT,Automatic,Satin Steel Metallic,,,http://inventory-cf.assets-cdk.com/3/8/0/15496085083.jpg|http://inventory-cf.assets-cdk.com/3/1/1/15496085113.jpg|http://inventory-cf.assets-cdk.com/9/2/1/15496085129.jpg|http://inventory-cf.assets-cdk.com/0/4/1/15496085140.jpg|http://inventory-cf.assets-cdk.com/0/5/1/15496085150.jpg|http://inventory-cf.assets-cdk.com/1/7/1/15496085171.jpg|http://inventory-cf.assets-cdk.com/1/8/1/15496085181.jpg|http://inventory-cf.assets-cdk.com/0/0/2/15496085200.jpg|http://inventory-cf.assets-cdk.com/9/0/2/15496085209.jpg|http://inventory-cf.assets-cdk.com/2/2/2/15496085222.jpg|http://inventory-cf.assets-cdk.com/7/3/2/15496085237.jpg|http://inventory-cf.assets-cdk.com/7/4/2/15496085247.jpg|http://inventory-cf.assets-cdk.com/2/6/2/15496085262.jpg|http://inventory-cf.assets-cdk.com/1/8/2/15496085281.jpg|http://inventory-cf.assets-cdk.com/0/9/2/15496085290.jpg|http://inventory-cf.assets-cdk.com/chrome/392802/cc_2018CHT350001_01_640_G9K.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Colorado-Extended_Cab_Long_Box_4_Wheel_Drive_WT-Shediac-NB/3046371453,0,0
102490,,new,2018 Chevrolet Cruze,2018,Chevrolet,Cruze,Sedan LT (Automatic),"$24,885",,1.4L DOHC DI I4 TURBO W/CVVT,Automatic,Cajun Red Tintcoat,,,http://inventory-cf.assets-cdk.com/0/4/5/15496085540.jpg|http://inventory-cf.assets-cdk.com/3/5/5/15496085553.jpg|http://inventory-cf.assets-cdk.com/2/7/5/15496085572.jpg|http://inventory-cf.assets-cdk.com/8/8/5/15496085588.jpg|http://inventory-cf.assets-cdk.com/7/0/6/15496085607.jpg|http://inventory-cf.assets-cdk.com/1/2/6/15496085621.jpg|http://inventory-cf.assets-cdk.com/5/3/6/15496085635.jpg|http://inventory-cf.assets-cdk.com/7/4/6/15496085647.jpg|http://inventory-cf.assets-cdk.com/4/5/6/15496085654.jpg|http://inventory-cf.assets-cdk.com/1/7/6/15496085671.jpg|http://inventory-cf.assets-cdk.com/9/8/6/15496085689.jpg|http://inventory-cf.assets-cdk.com/4/0/7/15496085704.jpg|http://inventory-cf.assets-cdk.com/1/2/7/15496085721.jpg|http://inventory-cf.assets-cdk.com/4/3/7/15496085734.jpg|http://inventory-cf.assets-cdk.com/4/4/7/15496085744.jpg|http://inventory-cf.assets-cdk.com/5/6/7/15496085765.jpg|http://inventory-cf.assets-cdk.com/chrome/393122/cc_2018CHC300005_01_640_GPJ.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Cruze-Sedan_LT_%28Automatic%29-Shediac-NB/3053271923,0,0
103001,,new,2018 Chevrolet Traverse,2018,Chevrolet,Traverse,AWD 4dr LT True North w/3LT,"$50,490",,3.6L DOHC DI V6 W/VVT,Automatic,Iridescent Pearl Tricoat,,,http://inventory-cf.assets-cdk.com/7/7/0/15496082077.jpg|http://inventory-cf.assets-cdk.com/8/8/0/15496082088.jpg|http://inventory-cf.assets-cdk.com/3/1/1/15496082113.jpg|http://inventory-cf.assets-cdk.com/0/4/1/15496082140.jpg|http://inventory-cf.assets-cdk.com/1/5/1/15496082151.jpg|http://inventory-cf.assets-cdk.com/2/6/1/15496082162.jpg|http://inventory-cf.assets-cdk.com/4/7/1/15496082174.jpg|http://inventory-cf.assets-cdk.com/1/9/1/15496082191.jpg|http://inventory-cf.assets-cdk.com/5/0/2/15496082205.jpg|http://inventory-cf.assets-cdk.com/8/1/2/15496082218.jpg|http://inventory-cf.assets-cdk.com/1/3/2/15496082231.jpg|http://inventory-cf.assets-cdk.com/4/4/2/15496082244.jpg|http://inventory-cf.assets-cdk.com/9/5/2/15496082259.jpg|http://inventory-cf.assets-cdk.com/5/7/2/15496082275.jpg|http://inventory-cf.assets-cdk.com/9/8/2/15496082289.jpg|http://inventory-cf.assets-cdk.com/5/0/3/15496082305.jpg|http://inventory-cf.assets-cdk.com/0/2/3/15496082320.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3700013/default/ext_G1W_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3700013/default/ext_G1W_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3700013/default/ext_G1W_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3700013/default/ext_G1W_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3700013/default/int_H0Y_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3700013/default/int_H0Y_deg02.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2018/26250.jpg,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Traverse-AWD_4dr_LT_True_North_w%2F3LT-Shediac-NB/3027020793,0,0
103597,,new,2018 Chevrolet Impala,2018,Chevrolet,Impala,4dr Sdn Premier w/2LZ,"$50,425",,"3.6L DOHC V6 DI, VVT, FLEXFUEL",Automatic,Iridescent Pearl Tricoat,,,http://inventory-cf.assets-cdk.com/0/3/0/15496077030.jpg|http://inventory-cf.assets-cdk.com/1/4/0/15496077041.jpg|http://inventory-cf.assets-cdk.com/5/5/0/15496077055.jpg|http://inventory-cf.assets-cdk.com/0/7/0/15496077070.jpg|http://inventory-cf.assets-cdk.com/6/8/0/15496077086.jpg|http://inventory-cf.assets-cdk.com/3/0/1/15496077103.jpg|http://inventory-cf.assets-cdk.com/6/1/1/15496077116.jpg|http://inventory-cf.assets-cdk.com/8/2/1/15496077128.jpg|http://inventory-cf.assets-cdk.com/8/4/1/15496077148.jpg|http://inventory-cf.assets-cdk.com/0/6/1/15496077160.jpg|http://inventory-cf.assets-cdk.com/9/8/1/15496077189.jpg|http://inventory-cf.assets-cdk.com/0/0/2/15496077200.jpg|http://inventory-cf.assets-cdk.com/2/1/2/15496077212.jpg|http://inventory-cf.assets-cdk.com/2/3/2/15496077232.jpg|http://inventory-cf.assets-cdk.com/8/4/2/15496077248.jpg|http://inventory-cf.assets-cdk.com/7/5/2/15496077257.jpg|http://inventory-cf.assets-cdk.com/0/7/2/15496077270.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708463/default/ext_G1W_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708463/default/ext_G1W_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708463/default/ext_G1W_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708463/default/ext_G1W_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708463/default/int_H0Y_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2018/3708463/default/int_H0Y_deg02.jpg|http://inventory-cf.assets-cdk.com/chrome/391679/cc_2018CHC130003_01_640_G1W.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Impala-4dr_Sdn_Premier_w%2F2LZ-Shediac-NB/3040003283,0,0
103730,,new,2018 Chevrolet Cruze,2018,Chevrolet,Cruze,Sedan LT (Automatic),"$24,785",,1.4L DOHC DI I4 TURBO W/CVVT,Automatic,Pepperdust Metallic,,,http://inventory-cf.assets-cdk.com/5/8/9/15496085985.jpg|http://inventory-cf.assets-cdk.com/1/9/9/15496085991.jpg|http://inventory-cf.assets-cdk.com/4/0/0/15496086004.jpg|http://inventory-cf.assets-cdk.com/6/2/0/15496086026.jpg|http://inventory-cf.assets-cdk.com/7/3/0/15496086037.jpg|http://inventory-cf.assets-cdk.com/3/5/0/15496086053.jpg|http://inventory-cf.assets-cdk.com/9/6/0/15496086069.jpg|http://inventory-cf.assets-cdk.com/7/7/0/15496086077.jpg|http://inventory-cf.assets-cdk.com/8/1/1/15496086118.jpg|http://inventory-cf.assets-cdk.com/8/7/1/15496086178.jpg|http://inventory-cf.assets-cdk.com/7/2/2/15496086227.jpg|http://inventory-cf.assets-cdk.com/5/7/2/15496086275.jpg|http://inventory-cf.assets-cdk.com/1/9/2/15496086291.jpg|http://inventory-cf.assets-cdk.com/2/2/3/15496086322.jpg|http://inventory-cf.assets-cdk.com/6/3/3/15496086336.jpg|http://inventory-cf.assets-cdk.com/6/4/3/15496086346.jpg|http://inventory-cf.assets-cdk.com/chrome/393122/cc_2018CHC300005_01_640_GMU.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Cruze-Sedan_LT_%28Automatic%29-Shediac-NB/3053271943,0,0
103850,,new,2018 Chevrolet Cruze,2018,Chevrolet,Cruze,Sedan LT (Automatic),"$24,885",,1.4L DOHC DI I4 TURBO W/CVVT,Automatic,Cajun Red Tintcoat,,,http://inventory-cf.assets-cdk.com/0/7/3/15496086370.jpg|http://inventory-cf.assets-cdk.com/0/8/3/15496086380.jpg|http://inventory-cf.assets-cdk.com/0/9/3/15496086390.jpg|http://inventory-cf.assets-cdk.com/9/9/3/15496086399.jpg|http://inventory-cf.assets-cdk.com/4/1/4/15496086414.jpg|http://inventory-cf.assets-cdk.com/6/2/4/15496086426.jpg|http://inventory-cf.assets-cdk.com/1/4/4/15496086441.jpg|http://inventory-cf.assets-cdk.com/3/5/4/15496086453.jpg|http://inventory-cf.assets-cdk.com/8/6/4/15496086468.jpg|http://inventory-cf.assets-cdk.com/1/8/4/15496086481.jpg|http://inventory-cf.assets-cdk.com/5/9/4/15496086495.jpg|http://inventory-cf.assets-cdk.com/chrome/393122/cc_2018CHC300005_01_640_GPJ.png,http://www.seasidechev.com/VehicleDetails/new-2018-Chevrolet-Cruze-Sedan_LT_%28Automatic%29-Shediac-NB/3053271933,0,0
