stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2772268733,,new,2016 Chevrolet Colorado,2016,Chevrolet,Colorado,,"$35,885",,3.6L DOHC DI V6 W/VVT,Automatic,Brownstone Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2016-Chevrolet-Colorado-Extended_Cab_Long_Box_4_Wheel_Drive_LT-Sudbury-ON/2772268733,0,1
2798679963,,new,2016 GMC Canyon,2016,GMC,Canyon,,"$35,380",,2.5L DI DOHC I4 ENGINE W/VVT,Automatic,Copper Red Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2016-GMC-Canyon-Extended_Cab_Long_Box_4_Wheel_Drive_SLE-Sudbury-ON/2798679963,0,1
2809238773,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,,"$46,970",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Silver Ice Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-Crew_Cab_Standard_Box_4_Wheel_Drive_LT_w%2F1LT-Sudbury-ON/2809238773,0,1
2809238783,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,,"$54,765",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Iridescent Pearl Tricoat,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-Crew_Cab_Standard_Box_4_Wheel_Drive_LT_w%2F1LT-Sudbury-ON/2809238783,0,1
2809238793,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,,"$54,165",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Siren Red Tintcoat,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-Crew_Cab_Standard_Box_4_Wheel_Drive_LT_w%2F1LT-Sudbury-ON/2809238793,0,1
2809238893,,new,2017 GMC Sierra 1500,2017,GMC,Sierra 1500,,"$52,910",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Stone Blue Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-GMC-Sierra_1500-4WD_Crew_Cab_Short_Box_SLE-Sudbury-ON/2809238893,0,1
2809238903,,new,2017 GMC Sierra 1500,2017,GMC,Sierra 1500,,"$50,010",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Crimson Red Tintcoat,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-GMC-Sierra_1500-4WD_Crew_Cab_Short_Box_SLE-Sudbury-ON/2809238903,0,1
2811569393,,new,2016 Chevrolet Cruze,2016,Chevrolet,Cruze,,"$25,775",,1.4L DOHC DI I4 TURBO W/CVVT,Automatic,Siren Red Tintcoat,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2016-Chevrolet-Cruze-4dr_Sdn_Auto_Premier-Sudbury-ON/2811569393,0,1
2811569433,,new,2017 GMC Sierra 1500,2017,GMC,Sierra 1500,,"$51,685",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Stone Blue Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-GMC-Sierra_1500-4WD_Crew_Cab_Short_Box_SLE-Sudbury-ON/2811569433,0,1
2816233913,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,,"$54,340",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Silver Ice Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-Crew_Cab_Standard_Box_4_Wheel_Drive_LT_w%2F1LT-Sudbury-ON/2816233913,0,1
2816233933,,new,2017 Buick Enclave,2017,Buick,Enclave,,"$60,485",,3.6L DOHC DI V6 VVT,Automatic,Ebony Twilight Metallic,Ebony,,,http://www.southsidechev.com/VehicleDetails/new-2017-Buick-Enclave-AWD_4dr_Premium-Sudbury-ON/2816233933,0,1
2825917483,,new,2017 GMC Terrain,2017,GMC,Terrain,,"$33,370",,3.6L DOHC DI V6 ENGINE W/VVT,Automatic,Dark Sapphire Blue Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-GMC-Terrain-AWD_SLE_2-Sudbury-ON/2825917483,0,1
2825917503,,new,2017 Chevrolet Camaro,2017,Chevrolet,Camaro,,"$31,405",,3.6L DI V6 ENGINE W/VVT,Automatic,Mosaic Black Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-Chevrolet-Camaro-2dr_Cpe_LT_w%2F1LT-Sudbury-ON/2825917503,0,1
2825917513,,new,2017 Chevrolet Sonic,2017,Chevrolet,Sonic,,"$20,515",,"1.8L, 4 CYL, SFI, DOHC ENGINE",Automatic,Nightfall Gray Metallic,Jet Black/dark Titanium,,,http://www.southsidechev.com/VehicleDetails/new-2017-Chevrolet-Sonic-4dr_Sdn_Auto_LT-Sudbury-ON/2825917513,0,1
2827994583,,new,2017 GMC Sierra 1500,2017,GMC,Sierra 1500,,"$54,620",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Stone Blue Metallic,Jet Black,,,http://www.southsidechev.com/VehicleDetails/new-2017-GMC-Sierra_1500-4WD_Crew_Cab_Standard_Box_SLE-Sudbury-ON/2827994583,0,1
