stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
1223Y,,used,2000 Harley Davidson FLHTCUI,2000,Harley Davidson,FLHTCUI,,"$7,900",,N/A,,N/A,,,http://media-cf.assets-cdk.com/websites/5.0-1304/websitesEar/websitesWebApp/css/common/images/en_US/noImage_large.png,http://www.stalkergm.com/VehicleDetails/used-2000-Harley_Davidson-FLHTCUI--Creston-IA/2615398723,0,0
1367,,used,2014 Chevrolet Silverado 1500,2014,Chevrolet,Silverado 1500,High Country 4dr Crew Cab 6.5 ft. SB (5.3L 8cyl 6A),Contact Us,,EcoTec3 5.3L V8 Flex Fuel,,Black,,,http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1784553/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1784553/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1784553/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2014/1784553/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/evox/color_0640_032/8924/8924_cc0640_032_GBA.jpg|http://inventory-cf.assets-cdk.com/evox/color_0640_001/8924/8924_cc0640_001_GBA.jpg|http://inventory-cf.assets-cdk.com/evox/color_0640_014/8924/8924_cc0640_014_GBA.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/15813.jpg,http://www.stalkergm.com/VehicleDetails/used-2014-Chevrolet-Silverado_1500-Crew_Cab_Short_Box_4_Wheel_Drive_LTZ_w%2F1LZ-Creston-IA/3064609713,0,0
1367A,,used,2006 Chevrolet Equinox,2006,Chevrolet,Equinox,,"$5,900",,3.4L V6 3400,,Gray,,,http://inventory-cf.assets-cdk.com/chrome_jpgs/2006/8623.jpg,http://www.stalkergm.com/VehicleDetails/used-2006-Chevrolet-Equinox-4dr_AWD_LT-Creston-IA/3020805563,0,1
1386C,,used,2006 Ford Ranger,2006,Ford,Ranger,,"$5,900",,3.0L V6 OHV,,White,,,http://inventory-cf.assets-cdk.com/5/3/2/14695565235.jpg|http://inventory-cf.assets-cdk.com/7/6/2/14695565267.jpg|http://inventory-cf.assets-cdk.com/1/1/3/14695565311.jpg|http://inventory-cf.assets-cdk.com/0/5/3/14695565350.jpg|http://inventory-cf.assets-cdk.com/6/9/3/14695565396.jpg|http://inventory-cf.assets-cdk.com/8/3/4/14695565438.jpg|http://inventory-cf.assets-cdk.com/9/9/4/14695565499.jpg|http://inventory-cf.assets-cdk.com/4/6/5/14695565564.jpg|http://inventory-cf.assets-cdk.com/8/0/6/14695565608.jpg|http://inventory-cf.assets-cdk.com/2/4/6/14695565642.jpg|http://inventory-cf.assets-cdk.com/2/8/6/14695565682.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2006/8957.jpg,http://www.stalkergm.com/VehicleDetails/used-2006-Ford-Ranger-4WD_Regular_Cab_6_Ft_Box_XL-Creston-IA/2900425133,0,1
1412B,,used,2002 Ford Econoline Commercial Cutaway,2002,Ford,Econoline,,"$5,999",,5.4L V8,,N/A,,,http://inventory-cf.assets-cdk.com/1/1/6/14907995611.jpg|http://inventory-cf.assets-cdk.com/2/6/6/14907995662.jpg|http://inventory-cf.assets-cdk.com/3/5/7/14907995753.jpg|http://inventory-cf.assets-cdk.com/7/8/7/14907995787.jpg|http://inventory-cf.assets-cdk.com/0/1/8/14907995810.jpg|http://inventory-cf.assets-cdk.com/5/4/8/14907995845.jpg|http://inventory-cf.assets-cdk.com/5/7/8/14907995875.jpg|http://inventory-cf.assets-cdk.com/3/1/9/14907995913.jpg|http://inventory-cf.assets-cdk.com/5/6/9/14907995965.jpg|http://inventory-cf.assets-cdk.com/2/6/0/14907996062.jpg|http://inventory-cf.assets-cdk.com/7/9/0/14907996097.jpg|http://inventory-cf.assets-cdk.com/8/2/1/14907996128.jpg|http://inventory-cf.assets-cdk.com/1/5/1/14907996151.jpg|http://inventory-cf.assets-cdk.com/8/0/2/14907996208.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2002/1470.jpg,http://www.stalkergm.com/VehicleDetails/used-2002-Ford-Econoline_Commercial_Cutaway-E_350_Super_Duty_138%22_WB_DRW-Creston-IA/2851770813,0,0
1450B,,used,1997 Dodge Dakota,1997,Dodge,Dakota,,"$5,000",,3.9L V6 MPI,,White,,,http://inventory-cf.assets-cdk.com/chrome_jpgs/1997/7064.jpg,http://www.stalkergm.com/VehicleDetails/used-1997-Dodge-Dakota-4WD_Club_Cab_6.5_Ft_Box_SLT-Creston-IA/2981192173,0,0
1457,,certified,2016 Chevrolet Impala,2016,Chevrolet,Impala,2LTZ,"$23,994",,3.6L V6 DI DOHC,,Silver,,,http://inventory-cf.assets-cdk.com/7/1/9/13528813917.jpg|http://inventory-cf.assets-cdk.com/2/5/9/13528813952.jpg|http://inventory-cf.assets-cdk.com/5/9/9/13528813995.jpg|http://inventory-cf.assets-cdk.com/8/3/0/13528814038.jpg|http://inventory-cf.assets-cdk.com/1/7/0/13528814071.jpg|http://inventory-cf.assets-cdk.com/7/1/1/13528814117.jpg|http://inventory-cf.assets-cdk.com/8/5/1/13528814158.jpg|http://inventory-cf.assets-cdk.com/0/9/1/13528814190.jpg|http://inventory-cf.assets-cdk.com/9/2/2/13528814229.jpg|http://inventory-cf.assets-cdk.com/0/7/2/13528814270.jpg|http://inventory-cf.assets-cdk.com/7/0/3/13528814307.jpg|http://inventory-cf.assets-cdk.com/0/5/3/13528814350.jpg|http://inventory-cf.assets-cdk.com/1/0/4/13528814401.jpg|http://inventory-cf.assets-cdk.com/3/4/4/13528814443.jpg|http://inventory-cf.assets-cdk.com/9/7/4/13528814479.jpg|http://inventory-cf.assets-cdk.com/4/1/5/13528814514.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2016/15197.jpg,http://www.stalkergm.com/VehicleDetails/certified-2016-Chevrolet-Impala-2LTZ-Creston-IA/2853609343,0,0
1489A,,used,2010 Chevrolet Traverse,2010,Chevrolet,Traverse,LS,"$10,994",,3.6L V6 SIDI,,Gray,,,http://inventory-dmg.assets-cdk.com/1/7/0/15058661071.jpg|http://inventory-dmg.assets-cdk.com/4/3/2/15058661234.jpg|http://inventory-dmg.assets-cdk.com/1/1/4/15058661411.jpg|http://inventory-dmg.assets-cdk.com/2/9/4/15058661492.jpg|http://inventory-dmg.assets-cdk.com/8/7/5/15058661578.jpg|http://inventory-dmg.assets-cdk.com/5/4/6/15058661645.jpg|http://inventory-dmg.assets-cdk.com/6/0/8/15058661806.jpg|http://inventory-dmg.assets-cdk.com/3/0/9/15058661903.jpg|http://inventory-dmg.assets-cdk.com/3/8/9/15058661983.jpg|http://inventory-dmg.assets-cdk.com/0/7/0/15058662070.jpg|http://inventory-dmg.assets-cdk.com/6/5/1/15058662156.jpg|http://inventory-dmg.assets-cdk.com/1/1/3/15058662311.jpg|http://inventory-dmg.assets-cdk.com/6/4/4/15058662446.jpg|http://inventory-dmg.assets-cdk.com/9/1/5/15058662519.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2010/13585.jpg,http://www.stalkergm.com/VehicleDetails/used-2010-Chevrolet-Traverse-All_Wheel_Drive_LT_w%2F2LT-Creston-IA/2992500403,0,1
1489B,,used,1999 Ford F-150,1999,Ford,F-150,4WD SuperCab Flareside 6-1/2 Ft Box XL,Contact Us,,4.6L V8 EFI,,Black,,,http://inventory-cf.assets-cdk.com/chrome_jpgs/1999/8153.jpg,http://www.stalkergm.com/VehicleDetails/used-1999-Ford-F_150-4WD_SuperCab_Flareside_6_1%2F2_Ft_Box_XL-Creston-IA/3053440363,0,0
1491A,,used,2012 Buick Enclave,2012,Buick,Enclave,None,"$17,857",,3.6L V6 SIDI DOHC VVT,,White,,,http://inventory-dmg.assets-cdk.com/8/8/5/15055834588.jpg|http://inventory-dmg.assets-cdk.com/6/8/9/15055834986.jpg|http://inventory-dmg.assets-cdk.com/9/6/3/15055835369.jpg|http://inventory-dmg.assets-cdk.com/0/7/7/15055835770.jpg|http://inventory-dmg.assets-cdk.com/3/8/6/15055836683.jpg|http://inventory-dmg.assets-cdk.com/1/7/8/15055836871.jpg|http://inventory-dmg.assets-cdk.com/7/3/6/15055837637.jpg|http://inventory-dmg.assets-cdk.com/6/6/0/15055838066.jpg|http://inventory-dmg.assets-cdk.com/0/2/3/15055838320.jpg|http://inventory-dmg.assets-cdk.com/7/7/6/15055838677.jpg|http://inventory-dmg.assets-cdk.com/8/6/0/15055839068.jpg|http://inventory-dmg.assets-cdk.com/8/0/1/15055840108.jpg|http://inventory-dmg.assets-cdk.com/3/8/3/15055840383.jpg|http://inventory-dmg.assets-cdk.com/7/0/7/15055840707.jpg|http://inventory-dmg.assets-cdk.com/6/2/0/15055841026.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2012/13897.jpg,http://www.stalkergm.com/VehicleDetails/certified-2012-Buick-Enclave-Convenience_AWD-Creston-IA/3018346673,0,1
