stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2809232043,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,LTZ,"$49,264",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Red Hot,,,http://inventory-dmg.assets-cdk.com/4/5/3/13345607354.jpg|http://inventory-dmg.assets-cdk.com/1/6/3/13296417361.jpg|http://inventory-dmg.assets-cdk.com/9/4/3/13296417349.jpg|http://inventory-dmg.assets-cdk.com/2/4/5/13296417542.jpg|http://inventory-dmg.assets-cdk.com/8/0/4/13296417408.jpg|http://inventory-dmg.assets-cdk.com/0/5/4/13296417450.jpg|http://inventory-dmg.assets-cdk.com/8/1/4/13296417418.jpg|http://inventory-dmg.assets-cdk.com/2/0/5/13296417502.jpg|http://inventory-dmg.assets-cdk.com/0/6/4/13296417460.jpg|http://inventory-dmg.assets-cdk.com/0/3/5/13296417530.jpg|http://inventory-dmg.assets-cdk.com/5/0/5/13296417505.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_G7C_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_G7C_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_G7C_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_G7C_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/int_H2V_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/int_H2V_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383739/cc_2017CHT270009_01_640_G7C.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-LTZ-Stettler-AB/2809232043,0,1
2811564243,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,LTZ,"$62,560",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Black,,,http://inventory-dmg.assets-cdk.com/8/1/5/13345607518.jpg|http://inventory-dmg.assets-cdk.com/8/2/8/13306973828.jpg|http://inventory-dmg.assets-cdk.com/5/3/8/13306973835.jpg|http://inventory-dmg.assets-cdk.com/6/3/7/13306973736.jpg|http://inventory-dmg.assets-cdk.com/7/4/8/13306973847.jpg|http://inventory-dmg.assets-cdk.com/4/8/5/13306973584.jpg|http://inventory-dmg.assets-cdk.com/8/9/5/13306973598.jpg|http://inventory-dmg.assets-cdk.com/1/6/6/13306973661.jpg|http://inventory-dmg.assets-cdk.com/8/6/6/13306973668.jpg|http://inventory-dmg.assets-cdk.com/3/6/7/13306973763.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/int_H3A_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298543/default/int_H3A_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383739/cc_2017CHT270009_01_640_GBA.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-LTZ-Stettler-AB/2811564243,0,1
2816227803,,new,2017 Chevrolet Traverse,2017,Chevrolet,Traverse,Premier,"$56,550",,3.6L DOHC DI V6 VVT,Automatic,Iridescent Pearl Tricoat,,,http://inventory-dmg.assets-cdk.com/4/7/1/13345628174.jpg|http://inventory-dmg.assets-cdk.com/8/3/4/13345621438.jpg|http://inventory-dmg.assets-cdk.com/9/9/2/13345621299.jpg|http://inventory-dmg.assets-cdk.com/6/6/1/13345621166.jpg|http://inventory-dmg.assets-cdk.com/9/1/6/13345621619.jpg|http://inventory-dmg.assets-cdk.com/7/3/7/13345621737.jpg|http://inventory-dmg.assets-cdk.com/6/9/8/13345621896.jpg|http://inventory-dmg.assets-cdk.com/7/4/0/13345621047.jpg|http://inventory-dmg.assets-cdk.com/0/4/7/13345620740.jpg|http://inventory-dmg.assets-cdk.com/9/2/9/13345620929.jpg|http://inventory-dmg.assets-cdk.com/7/6/0/13345622067.jpg|http://inventory-dmg.assets-cdk.com/5/1/3/13345622315.jpg|http://inventory-dmg.assets-cdk.com/1/9/4/13345622491.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/int_193_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/int_193_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383441/cc_2017CHS290002_01_640_G1W.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Traverse-Premier-Stettler-AB/2816227803,0,1
2841201353,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,High Country,"$69,320",,ECOTEC3 6.2L DIRECT INJ. V8,Automatic,Black,,,http://inventory-dmg.assets-cdk.com/3/5/5/13441211553.jpg|http://inventory-dmg.assets-cdk.com/1/3/6/13441209631.jpg|http://inventory-dmg.assets-cdk.com/7/3/6/13441209637.jpg|http://inventory-dmg.assets-cdk.com/5/3/6/13441209635.jpg|http://inventory-dmg.assets-cdk.com/2/4/6/13441209642.jpg|http://inventory-dmg.assets-cdk.com/3/8/5/13441209583.jpg|http://inventory-dmg.assets-cdk.com/2/7/5/13441209572.jpg|http://inventory-dmg.assets-cdk.com/0/8/5/13441209580.jpg|http://inventory-dmg.assets-cdk.com/7/8/5/13441209587.jpg|http://inventory-dmg.assets-cdk.com/9/0/6/13441209609.jpg|http://inventory-dmg.assets-cdk.com/8/0/6/13441209608.jpg|http://inventory-dmg.assets-cdk.com/0/1/6/13441209610.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3297963/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3297963/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3297963/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3297963/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3297963/default/int_H4S_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3297963/default/int_H4S_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383740/cc_2017CHT270015_01_640_GBA.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-High_Country-Stettler-AB/2841201353,0,1
2842347553,,new,2017 Chevrolet Cruze,2017,Chevrolet,Cruze,Premier,"$29,835",,1.4L DOHC DI I4 TURBO W/CVVT,Automatic,Kinetic Blue Metallic,,,http://inventory-dmg.assets-cdk.com/0/9/1/13508023190.jpg|http://inventory-dmg.assets-cdk.com/5/8/0/13508021085.jpg|http://inventory-dmg.assets-cdk.com/9/6/1/13508021169.jpg|http://inventory-dmg.assets-cdk.com/5/5/1/13508021155.jpg|http://inventory-dmg.assets-cdk.com/2/1/1/13508021112.jpg|http://inventory-dmg.assets-cdk.com/4/2/1/13508021124.jpg|http://inventory-dmg.assets-cdk.com/9/9/0/13508021099.jpg|http://inventory-dmg.assets-cdk.com/1/3/1/13508021131.jpg|http://inventory-dmg.assets-cdk.com/8/2/1/13508021128.jpg|http://inventory-dmg.assets-cdk.com/7/6/1/13508021167.jpg|http://inventory-dmg.assets-cdk.com/2/5/1/13508021152.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283683/default/ext_GD1_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283683/default/ext_GD1_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283683/default/ext_GD1_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283683/default/ext_GD1_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283683/default/int_H2X_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283683/default/int_H2X_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/384104/cc_2017CHC300003_01_640_GD1.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Cruze-Premier-Stettler-AB/2842347553,0,1
2845344863,,new,2017 Chevrolet Camaro,2017,Chevrolet,Camaro,SS,"$55,490",,6.2L DI V8 ENGINE,Manual,Mosaic Black Metallic,,,http://inventory-dmg.assets-cdk.com/5/0/6/13607601605.jpg|http://inventory-dmg.assets-cdk.com/6/4/9/13607596946.jpg|http://inventory-dmg.assets-cdk.com/9/8/8/13607596889.jpg|http://inventory-dmg.assets-cdk.com/3/8/8/13607596883.jpg|http://inventory-dmg.assets-cdk.com/5/5/9/13607596955.jpg|http://inventory-dmg.assets-cdk.com/2/2/0/13607597022.jpg|http://inventory-dmg.assets-cdk.com/0/9/0/13607597090.jpg|http://inventory-dmg.assets-cdk.com/4/0/1/13607597104.jpg|http://inventory-dmg.assets-cdk.com/9/2/0/13607597029.jpg|http://inventory-dmg.assets-cdk.com/2/6/9/13607596962.jpg|http://inventory-dmg.assets-cdk.com/2/8/8/13607596882.jpg|http://inventory-dmg.assets-cdk.com/6/1/0/13607597016.jpg|http://inventory-dmg.assets-cdk.com/9/8/0/13607597089.jpg|http://inventory-dmg.assets-cdk.com/7/2/1/13607597127.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284453/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284453/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284453/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284453/default/int_H0Y_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284453/default/int_H0Y_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/384313/cc_2017CHC020002_01_640_GB8.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Camaro-SS-Stettler-AB/2845344863,0,1
2851177813,,new,2017 GMC Acadia,2017,GMC,Acadia,SLT,"$54,715",,3.6L DOHC DI V6 W/VVT,Automatic,Crimson Red Tintcoat,,,http://inventory-cf.assets-cdk.com/1/4/8/15443680841.jpg|http://inventory-cf.assets-cdk.com/9/4/4/13578027449.jpg|http://inventory-cf.assets-cdk.com/7/5/5/13578027557.jpg|http://inventory-cf.assets-cdk.com/9/8/4/13578027489.jpg|http://inventory-cf.assets-cdk.com/4/5/7/13578027754.jpg|http://inventory-cf.assets-cdk.com/6/1/7/13578027716.jpg|http://inventory-cf.assets-cdk.com/2/6/7/13578027762.jpg|http://inventory-cf.assets-cdk.com/7/9/4/13578027497.jpg|http://inventory-cf.assets-cdk.com/4/9/4/13578027494.jpg|http://inventory-cf.assets-cdk.com/9/4/5/13578027549.jpg|http://inventory-cf.assets-cdk.com/3/4/5/13578027543.jpg|http://inventory-cf.assets-cdk.com/0/9/5/13578027590.jpg|http://inventory-cf.assets-cdk.com/9/9/5/13578027599.jpg|http://inventory-cf.assets-cdk.com/9/0/6/13578027609.jpg|http://inventory-cf.assets-cdk.com/9/6/6/13578027669.jpg|http://inventory-cf.assets-cdk.com/2/7/6/13578027672.jpg|http://inventory-cf.assets-cdk.com/8/2/7/13578027728.jpg|http://inventory-cf.assets-cdk.com/9/1/7/13578027719.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/ext_G1E_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/ext_G1E_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/ext_G1E_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/ext_G1E_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/int_H0Y_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/int_H0Y_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/int_H0Y_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2017/3254843/default/int_H0Y_deg04.jpg|http://inventory-cf.assets-cdk.com/chrome/383092/cc_2017GMS240003_01_640_G1E.png,http://www.stettlergm.com/VehicleDetails/new-2017-GMC-Acadia-SLT-Stettler-AB/2851177813,0,0
2860068593,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,LT,"$54,215",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Pepperdust Metallic,,,http://inventory-dmg.assets-cdk.com/5/1/9/13585351915.jpg|http://inventory-dmg.assets-cdk.com/4/6/5/13585348564.jpg|http://inventory-dmg.assets-cdk.com/1/7/5/13585348571.jpg|http://inventory-dmg.assets-cdk.com/5/5/5/13585348555.jpg|http://inventory-dmg.assets-cdk.com/4/5/4/13585348454.jpg|http://inventory-dmg.assets-cdk.com/4/6/4/13585348464.jpg|http://inventory-dmg.assets-cdk.com/1/7/4/13585348471.jpg|http://inventory-dmg.assets-cdk.com/9/8/4/13585348489.jpg|http://inventory-dmg.assets-cdk.com/0/1/5/13585348510.jpg|http://inventory-dmg.assets-cdk.com/2/2/5/13585348522.jpg|http://inventory-dmg.assets-cdk.com/3/2/5/13585348523.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GMU_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GMU_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GMU_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_GMU_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383737/cc_2017CHT270010_01_640_GMU.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-LT-Stettler-AB/2860068593,0,1
2862091043,,new,2017 GMC Acadia,2017,GMC,Acadia,SLT,"$53,600",,3.6L DOHC DI V6 W/VVT,Automatic,Ebony Twilight Metallic,,,http://inventory-dmg.assets-cdk.com/4/2/9/13611932924.jpg|http://inventory-dmg.assets-cdk.com/1/5/3/13611932351.jpg|http://inventory-dmg.assets-cdk.com/5/4/3/13611932345.jpg|http://inventory-dmg.assets-cdk.com/4/3/3/13611932334.jpg|http://inventory-dmg.assets-cdk.com/0/5/3/13611932350.jpg|http://inventory-dmg.assets-cdk.com/8/5/3/13611932358.jpg|http://inventory-dmg.assets-cdk.com/6/5/3/13611932356.jpg|http://inventory-dmg.assets-cdk.com/9/8/2/13611932289.jpg|http://inventory-dmg.assets-cdk.com/0/9/2/13611932290.jpg|http://inventory-dmg.assets-cdk.com/1/3/3/13611932331.jpg|http://inventory-dmg.assets-cdk.com/3/0/3/13611932303.jpg|http://inventory-dmg.assets-cdk.com/1/1/3/13611932311.jpg|http://inventory-dmg.assets-cdk.com/8/1/3/13611932318.jpg|http://inventory-dmg.assets-cdk.com/8/2/3/13611932328.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/ext_GB8_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/int_H62_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/int_H62_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/int_H62_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254883/default/int_H62_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/383091/cc_2017GMS240003_01_640_GB8.png,http://www.stettlergm.com/VehicleDetails/new-2017-GMC-Acadia-SLT-Stettler-AB/2862091043,0,1
2863961043,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,LT,"$51,090",,"ECOTEC3 5.3L DI V8, VVT, AFM",Automatic,Summit White,,,http://inventory-dmg.assets-cdk.com/6/8/2/13585364286.jpg|http://inventory-dmg.assets-cdk.com/0/1/6/13585362610.jpg|http://inventory-dmg.assets-cdk.com/0/0/6/13585362600.jpg|http://inventory-dmg.assets-cdk.com/4/8/5/13585362584.jpg|http://inventory-dmg.assets-cdk.com/4/9/4/13585362494.jpg|http://inventory-dmg.assets-cdk.com/2/0/5/13585362502.jpg|http://inventory-dmg.assets-cdk.com/6/7/5/13585362576.jpg|http://inventory-dmg.assets-cdk.com/7/2/5/13585362527.jpg|http://inventory-dmg.assets-cdk.com/2/3/5/13585362532.jpg|http://inventory-dmg.assets-cdk.com/9/4/5/13585362549.jpg|http://inventory-dmg.assets-cdk.com/7/6/5/13585362567.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298223/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298223/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298223/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298223/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298223/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298223/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383730/cc_2017CHT270006_01_640_GAZ.png,http://www.stettlergm.com/VehicleDetails/new-2017-Chevrolet-Silverado_1500-LT-Stettler-AB/2863961043,0,1
