stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
7399,,used,2016 Honda Fit EX,2016,Honda,Fit,,"$18,000",4 Door Hatchba,"L4, 1.5L; ",Variable,White,,"1,003",http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/605424_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-2016-honda-fit-longview-wa=605424,0,1
7437,,used,2016 Honda Civic Sedan EX-T,2016,Honda,Civic,,"$20,500",4dr Car,"L4, 1.5L; ",Variable,Silver,,"22,977",http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615317_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-2016-honda-civic-sedan-longview-wa=615317,0,1
H6-1185,,new,2016 Honda Accord Coupe EX-L,2016,Honda,Accord,,Please Call,2 Door Coupe,"L4, 2.4L",Variable,Still Night,,1,http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/573396_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?new-2016-honda-accord-coupe-ex-l-longview-wa=573396,0,1
H6-1224,,new,2016 Honda Accord Coupe EX-L,2016,Honda,Accord,,Please Call,2 Door Coupe,"L4, 2.4L",Variable,Deep Opal B,,1,http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/575454_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?new-2016-honda-accord-coupe-ex-l-longview-wa=575454,0,1
H6-1239C,,used,2014 Nissan Altima S,2014,Nissan,Altima,2.5 SL 4dr Sedan (2.5L 4cyl CVT),"$13,000",4 Door Sedan,"L4, 2.5L",Variable,White,,"63,437",http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/592332_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-2014-nissan-altima-longview-wa=592332,0,1
H6-1239D,,used,1990 Daihatsu Charade SE,1990,Daihatsu,Charade,,Please Call,4DR SDN SE AT,"L4, 1.3L",,Blue,,,,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-1990-daihatsu-charade-longview-wa=608203,0,1
H6-1293D,,used,1990 Daihatsu Charade SE,1990,Daihatsu,Charade,,Please Call,4DR SDN SE AT,"L4, 1.3L",,Blue,,,,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-1990-daihatsu-charade-longview-wa=608203,0,1
H6-1345B,,used,2014 Jeep Wrangler Unlimited Sport,2014,Jeep,Wrangler Unlimited,Sport RHD,"$28,500",4 Door Wagon; ,"V6, 3.6L; ",Automatic,Black,,"38,602",http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/606544_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-2014-jeep-wrangler-unlimited-longview-wa=606544,0,1
H6-1345C,,used,2015 Honda Civic Sedan LX,2015,Honda,Civic,EX-L w/Navigation 4dr Sedan (1.8L 4cyl CVT),"$16,000",4dr Car,"L4, 1.8L; ",Manual,White,,"16,322",http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/609311_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-2015-honda-civic-sedan-longview-wa=609311,0,1
H6-1354,,new,2016 Honda Civic Coupe LX-P,2016,Honda,Civic,,Please Call,2 Door Coupe,"L4, 1.5L (",Variable,Modern Stee,,1,http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/583740_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?new-2016-honda-civic-coupe-lx-p-longview-wa=583740,0,1
H6-1354A,,used,2014 Ford Focus Titanium Sedan Automatic,2014,Ford,Focus,Titanium 4dr Sedan (2.0L 4cyl 6AM),"$14,500",4dr Car,4 Cyl,Automatic,Blue,,"41,319",http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s1.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s2.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s3.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s4.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s5.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s6.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s7.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s8.jpg|http://www.stirlinghonda.com/stkPhotos/StirlingHonda/615411_s9.jpg,http://www.stirlinghonda.com/en_us/unitDetail.asp?used-2014-ford-focus-longview-wa=615411,0,1
