stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
,,new,,2006,Kawasaki,Vulcan® 1600 Classic,,5999,Motorcycle / Scooter,,,,,7934,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/AC/B9/ACB9BD44-D42D-459F-A284-19BE1AEC276E.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/90/07/90077584-FCAC-4BBD-A365-693997BEF4E3.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/87/FC/87FCFA70-1933-4060-AC23-C1E536C4F729.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/81/4E/814E9AC3-2598-4943-8E5F-FBE212B28CC7.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B2/CE/B2CE54E4-461A-4E9B-902A-C36B0708A32B.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/9B/CD/9BCD622A-A59F-4783-9C90-A3D3795CC27B.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/01/26/0126ED23-8E23-43BF-966E-FC778550885E.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D8/3F/D83FAB93-0032-40A8-A978-D496309E3085.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D8/F0/D8F03CF6-3418-4D6B-80B0-4AD85E046C2B.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/8C/EB/8CEBDCD0-11D7-4D88-B977-8DCDFE5826F9.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/5F/39/5F3999DA-9235-4893-86FA-F3005CF308B1.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B4/19/B4193137-3907-41A5-BC32-EE3B2A20CEE1.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A6/88/A68802E7-171D-40F7-9028-415C42D226A4.jpg,http://www.struthersbros.com/default.asp?page=xNewInventoryDetail&id=3539077,0,0
15532,,used,,1995,Kawasaki,VN1500,,,Motorcycle / Scooter,,,,,29034,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/DC/3F/DC3F6827-FEAF-4794-954A-8227FD0FF69A.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/AF/BD/AFBD19B4-EF41-4A91-8D4D-9E8CE380E96E.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/27/76/2776A098-7071-4943-9D10-D27CBE0DE1EE.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/BC/9C/BC9CF870-ACE3-4848-8276-EBE0D75ED79A.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D1/5C/D15CC103-C8A1-448F-8EF8-1FEE3A6A98A7.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B9/86/B9869163-8256-43FB-9D3A-C11FD6224395.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B4/81/B4818CCE-48BE-46D0-B87D-B4D46E4FC7E7.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/33/1A/331AEA90-037C-45D9-B8E0-043FD5A413DE.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/6D/B9/6DB979C4-88F3-4585-A57F-B98A05FBF4F5.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/2D/02/2D0283F6-576F-44FD-86FA-CE76AB73F5D4.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F3/08/F308629B-3234-42A4-AD91-42EF076CEDF6.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/E4/90/E4908D50-FEA3-44F9-9103-489B9B3A5D3C.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/EB/3F/EB3FCC2D-5DD9-4136-9B66-3996A1C9A0D7.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D8/59/D8597050-2A7A-4FCF-8D41-A24044032BAC.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B1/5A/B15A6760-651C-4239-848E-0F1F878681A5.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/47/81/47815522-AF49-4CDB-B849-4B1B71113167.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D6/28/D6284366-84D8-4CE2-9B18-636CB7A2A221.jpg,http://www.struthersbros.com/default.asp?page=xNewInventoryDetail&id=3447783,0,1
15984,,used,,2010,Triumph,Tiger 1050,,6699,Motorcycle / Scooter,,,,,13051,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/BB/CC/BBCC77D9-736C-4EC3-8F05-ADC4F6D92D24.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F1/EA/F1EABEF0-9682-40D5-AC29-CAA2727D117B.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/63/03/630355E0-AE73-46C5-AC9D-2088BB10DE38.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A0/90/A090D7A1-FBFD-4A77-860B-61573CC702A2.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/EC/BE/ECBE6DE1-2AB5-4857-8AFF-D6D0040B59B3.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/C1/78/C178DF1B-EC38-4416-9402-DD92FDCEE566.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/46/31/46310F11-2BC0-4E8F-B068-397392B5CB36.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/8F/E3/8FE361FE-985A-4E37-8CC9-C14E36099050.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/37/6B/376BE064-C0CB-45C1-B3BC-55D479C28D25.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/EE/56/EE56849D-2B07-4787-8EB5-E455CADFAE49.jpg,http://www.struthersbros.com/default.asp?page=xPreOwnedInventoryDetail&id=799193,0,1
16194,,used,,2007,Yamaha,V Star Custom,,3999,Motorcycle / Scooter,,,,,13883,http://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/49/D3/49D31D57-28D1-440A-8B28-473440D7EA92.jpg|http://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/C4/AD/C4AD485C-6FEF-4BC5-8513-899C518CB672.jpg|http://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/3A/F6/3AF65517-6BF8-409D-84CD-71FF911622B9.jpg|http://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/E8/D8/E8D8C6E5-FC68-4728-8061-2EE734085E77.jpg,http://www.struthersbros.com/default.asp?page=xPreOwnedInventoryDetail&id=1408312,0,1
16203,,used,,2008,Triumph,Tiger 1050,,6199,Motorcycle / Scooter,,,,,20075,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/3E/49/3E49AA1B-B7BB-47DB-87A7-2949F1762C64.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/EB/12/EB12511E-B8A2-4F1E-BD78-B73818CD5613.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/0C/5C/0C5C89A0-2C2A-4A46-A939-AFB379EC86BF.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/C0/47/C047BA95-1ECA-49F1-945C-5FA9B0738D76.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/6B/2F/6B2F9C79-C2C5-418B-9003-8AF15CAEF64B.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/5B/0D/5B0DABB9-8769-4274-85E8-C72ADA83A888.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/2F/6A/2F6AAEB2-F4B9-4B0F-A91F-B6C67721462E.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/72/BC/72BCA40A-CD0C-4613-AFA6-5B1C2A9A81BB.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F3/DE/F3DE128C-6A66-4E32-9C05-9196665B4CCA.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/DA/64/DA648910-5D53-4096-B4F7-F8CE16450C34.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/15/E0/15E04374-4992-425E-A597-C78B6DA207B2.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F1/51/F151307D-286D-4DAD-8170-8F2D702ACBB7.jpg,http://www.struthersbros.com/default.asp?page=xNewInventoryDetail&id=1433036,0,1
16251,,used,,2006,Kawasaki,Vulcan® 1600 Classic,,5499,Motorcycle / Scooter,,,Blue/silver,,35410,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/0E/35/0E356481-C118-4F09-A813-7F3761C56541.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/EC/8B/EC8B620B-B492-4ABA-BEE9-6B76C9774F4D.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/28/C4/28C4CBDD-D248-4FEB-8B63-97C96971E44C.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/73/1A/731A1654-F756-4B36-B491-92B19163B976.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/28/7D/287DDF31-FBBF-46A9-969A-AD6F32667594.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F6/30/F63035E4-F1C6-4F3C-81D9-DBF2319EE791.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/E8/DC/E8DC706B-7418-4FAA-A54B-94C038673A2B.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/1B/05/1B052086-3A6A-49F8-958B-B1A5D3A3DC1C.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/0E/C5/0EC5D161-194A-4CAD-A855-6D67929D866C.jpg,http://www.struthersbros.com/default.asp?page=xPreOwnedInventoryDetail&id=1537083,0,1
16264,,used,,2007,Suzuki,Burgman 650,,4299,Motorcycle / Scooter,,,,,40867,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/51/7C/517C8B3D-1F0F-4917-9F1A-1C9C7536EA54.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/FA/75/FA75F712-F46E-43EF-BAFA-657BA014C6E3.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/11/46/11464407-BC2D-4D27-9B00-20006BA27580.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B5/4E/B54E4F1D-FDFC-4AAA-9338-F517E97037B0.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/16/F7/16F7834A-6187-4FE5-9C3D-097AD71A8C5D.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/30/96/3096D11A-4438-4266-B2A0-90719FFD967D.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/7F/92/7F920C4B-E17B-47BD-8465-71818955E6C3.jpg,http://www.struthersbros.com/default.asp?page=xPreOwnedInventoryDetail&id=2283682,0,1
16280,,used,,2013,Suzuki,V-Strom 650 ABS,,6399,Motorcycle / Scooter,,,White,,818,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/21/FF/21FF51C7-53B3-420D-AC9C-1C8FEF896EE6.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B2/73/B27386C5-98CA-424B-AF48-8FEB39E090E3.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/85/E5/85E587D6-1A35-475F-BD13-620726EE0C99.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/7C/AB/7CAB299E-FCD0-4663-8A5D-7D08EA148DCB.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/21/86/218637F3-DAA5-4412-A675-B111ECBEBD48.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/BA/99/BA99D72F-D600-43EE-A290-088AE14C25D0.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B0/06/B006EE9A-CB0F-47DF-8BED-9B5884B161F9.jpg,http://www.struthersbros.com/default.asp?page=xNewInventoryDetail&id=1554792,0,1
16313,,used,,2013,Kawasaki,Brute Force® 750 4x4i Electronic Power Steering CAMO,,7999,ATV,,,,,10400,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A3/AA/A3AA0DBC-99A5-431D-BAB0-A8D2EDC8D870.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/2C/80/2C801183-960E-420C-994D-FEE6E77DD9A4.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/27/B8/27B8218C-1F37-4994-8D28-5A1591C7FE15.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/2F/82/2F82C3DD-58B0-474F-8A3A-F7A8D367CD6D.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/8B/7E/8B7EB128-EFAE-43EC-9956-158F5A974A4A.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/AB/82/AB82F754-1599-4463-92BC-F5D904923911.jpg,http://www.struthersbros.com/default.asp?page=xNewInventoryDetail&id=2906875,0,0
16318,,used,,2009,Suzuki,V-Strom 1000,,5999,Motorcycle / Scooter,,,Black,,4297,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/7A/43/7A435112-D95F-4B28-82BA-A6C58EE9D022.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D1/DB/D1DB3A99-3515-4D57-BF8D-99FF24F6539A.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B6/AC/B6AC0CEB-5556-4DC6-BDAB-944852C5A4C3.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/90/DA/90DAEC3B-1026-481F-A31B-54AD9A0E37D3.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/E6/86/E68637B5-0595-425A-9E5C-1013D211906E.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A4/F9/A4F941CE-E3DF-4656-81C3-55931C619E26.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/90/57/9057B867-52AA-4739-8712-80F51866A873.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/EB/EB/EBEB7751-9ABC-4B53-A9E8-A391C3138C69.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D7/56/D7565962-87E6-4BDA-B993-E41FC4B66C80.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/15/F6/15F68DCA-F581-41A0-81EC-574B2B3D9396.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/15/59/155997D8-D274-4C78-AF1D-693220B8077D.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F9/6B/F96BB932-BE7B-4CCA-8A13-553C84EE9D4F.jpg|https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/40/15/40158CF5-DC6B-440A-BFBE-F9D576304E25.jpg,http://www.struthersbros.com/default.asp?page=xNewInventoryDetail&id=1842213,0,1
