stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2623148203,,used,2013 Chevrolet Silverado 2500HD,2013,Chevrolet,Silverado 2500,,"$49,919",,6.6L DI V8 DURAMAX DIESEL,Automatic,Burgundy,Black,"87,702",http://inventory-dmg.assets-cdk.com/5/5/3/11652604355.jpg|http://inventory-dmg.assets-cdk.com/7/6/3/11652604367.jpg|http://inventory-dmg.assets-cdk.com/4/8/3/11652604384.jpg|http://inventory-dmg.assets-cdk.com/6/9/3/11652604396.jpg|http://inventory-dmg.assets-cdk.com/2/1/4/11652604412.jpg|http://inventory-dmg.assets-cdk.com/0/3/4/11652604430.jpg|http://inventory-dmg.assets-cdk.com/5/4/4/11652604445.jpg|http://inventory-dmg.assets-cdk.com/0/6/4/11652604460.jpg|http://inventory-dmg.assets-cdk.com/0/8/4/11652604480.jpg|http://inventory-dmg.assets-cdk.com/4/9/4/11652604494.jpg|http://inventory-dmg.assets-cdk.com/9/0/5/11652604509.jpg|http://inventory-dmg.assets-cdk.com/7/1/5/11652604517.jpg|http://inventory-dmg.assets-cdk.com/4/3/5/11652604534.jpg|http://inventory-dmg.assets-cdk.com/2/5/5/11652604552.jpg|http://inventory-dmg.assets-cdk.com/1/7/5/11652604571.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2013/14745.jpg,http://www.sullivangm.com/VehicleDetails/used-2013-Chevrolet-Silverado_2500HD-LT-Houston-BC/2623148203,0,1
2643450083,,used,2013 Chevrolet Silverado 1500,2013,Chevrolet,Silverado 1500,,"$33,755",,5.3L SFI FLEX FUEL V8 (VORTEC),Automatic,White,Gray,"61,618",http://inventory-dmg.assets-cdk.com/6/0/3/13159803306.jpg|http://inventory-dmg.assets-cdk.com/8/0/3/13159803308.jpg|http://inventory-dmg.assets-cdk.com/3/1/3/13159803313.jpg|http://inventory-dmg.assets-cdk.com/1/0/3/13159803301.jpg|http://inventory-dmg.assets-cdk.com/3/2/3/13159803323.jpg|http://inventory-dmg.assets-cdk.com/0/3/3/13159803330.jpg|http://inventory-dmg.assets-cdk.com/9/1/3/13159803319.jpg|http://inventory-dmg.assets-cdk.com/9/3/3/13159803339.jpg|http://inventory-dmg.assets-cdk.com/4/5/3/13159803354.jpg|http://inventory-dmg.assets-cdk.com/9/5/3/13159803359.jpg|http://inventory-dmg.assets-cdk.com/8/4/3/13159803348.jpg|http://inventory-dmg.assets-cdk.com/6/5/3/13159803356.jpg|http://inventory-dmg.assets-cdk.com/1/6/3/13159803361.jpg|http://inventory-dmg.assets-cdk.com/7/3/3/13159803337.jpg|http://inventory-dmg.assets-cdk.com/5/6/3/13159803365.jpg|http://inventory-dmg.assets-cdk.com/9/2/3/13159803329.jpg|http://inventory-dmg.assets-cdk.com/3/3/3/13159803333.jpg|http://inventory-dmg.assets-cdk.com/7/6/3/13159803367.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2013/14824.jpg,http://www.sullivangm.com/VehicleDetails/used-2013-Chevrolet-Silverado_1500-LT-Houston-BC/2643450083,0,1
2646424993,,used,2012 GMC Sierra 1500,2012,GMC,Sierra 1500,,"$25,916",,5.3L SFI FLEX FUEL V8 (VORTEC),Automatic,White,Black,"158,915",http://inventory-dmg.assets-cdk.com/6/9/7/12026461796.jpg|http://inventory-dmg.assets-cdk.com/4/6/9/12026461964.jpg|http://inventory-dmg.assets-cdk.com/9/7/0/12026462079.jpg|http://inventory-dmg.assets-cdk.com/5/9/1/12026462195.jpg|http://inventory-dmg.assets-cdk.com/0/1/3/12026462310.jpg|http://inventory-dmg.assets-cdk.com/0/2/4/12026462420.jpg|http://inventory-dmg.assets-cdk.com/2/8/5/12026462582.jpg|http://inventory-dmg.assets-cdk.com/2/0/7/12026462702.jpg|http://inventory-dmg.assets-cdk.com/7/2/8/12026462827.jpg|http://inventory-dmg.assets-cdk.com/0/3/0/12026463030.jpg|http://inventory-dmg.assets-cdk.com/3/5/1/12026463153.jpg|http://inventory-dmg.assets-cdk.com/5/7/2/12026463275.jpg|http://inventory-dmg.assets-cdk.com/9/3/4/12026463439.jpg|http://inventory-dmg.assets-cdk.com/9/9/6/12026463699.jpg|http://inventory-dmg.assets-cdk.com/2/6/8/12026463862.jpg|http://inventory-dmg.assets-cdk.com/8/7/9/12026463978.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2012/13167.jpg,http://www.sullivangm.com/VehicleDetails/used-2012-GMC-Sierra_1500-SLE-Houston-BC/2646424993,0,1
2669522063,,new,2016 Chevrolet Silverado 2500HD,2016,Chevrolet,Silverado 2500HD,Work Truck,"$56,695",,"VORTEC 6.0L VARIABLE VALVE TIMING V8 SFI, E85-COMP",Automatic,Gba/black,,,http://inventory-dmg.assets-cdk.com/5/1/8/13171734815.jpg|http://inventory-dmg.assets-cdk.com/3/9/7/13171734793.jpg|http://inventory-dmg.assets-cdk.com/6/0/8/13171734806.jpg|http://inventory-dmg.assets-cdk.com/1/9/7/13171734791.jpg|http://inventory-dmg.assets-cdk.com/6/9/7/13171734796.jpg|http://inventory-dmg.assets-cdk.com/9/9/7/13171734799.jpg|http://inventory-dmg.assets-cdk.com/2/0/8/13171734802.jpg|http://inventory-dmg.assets-cdk.com/1/2/8/13171734821.jpg|http://inventory-dmg.assets-cdk.com/2/8/7/13171734782.jpg|http://inventory-dmg.assets-cdk.com/6/8/7/13171734786.jpg|http://inventory-dmg.assets-cdk.com/9/8/7/13171734789.jpg|http://inventory-dmg.assets-cdk.com/9/7/7/13171734779.jpg|http://inventory-dmg.assets-cdk.com/5/8/7/13171734785.jpg|http://inventory-dmg.assets-cdk.com/5/7/7/13171734775.jpg|http://inventory-dmg.assets-cdk.com/1/7/7/13171734771.jpg|http://inventory-dmg.assets-cdk.com/3/7/7/13171734773.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2948743/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2948743/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2948743/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2948743/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2948743/default/int_H2R_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2948743/default/int_H2R_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/380356/cc_2016CHT300002_01_640_GBA.png,http://www.sullivangm.com/VehicleDetails/new-2016-Chevrolet-Silverado_2500HD-Work_Truck-Houston-BC/2669522063,0,1
2669522073,,new,2016 GMC Sierra 2500HD,2016,GMC,Sierra 2500HD,H2R/DARK ASH,"$55,330",,VORTEC 6.0L VARIABLE VALVE TIMING V8 SFI E85-COMPA,Automatic,G1k/deep Ocean Black,,,http://inventory-dmg.assets-cdk.com/8/6/9/13159801968.jpg|http://inventory-dmg.assets-cdk.com/2/2/9/13159801922.jpg|http://inventory-dmg.assets-cdk.com/5/6/9/13159801965.jpg|http://inventory-dmg.assets-cdk.com/0/3/9/13159801930.jpg|http://inventory-dmg.assets-cdk.com/4/9/9/13159801994.jpg|http://inventory-dmg.assets-cdk.com/8/5/9/13159801958.jpg|http://inventory-dmg.assets-cdk.com/3/9/9/13159801993.jpg|http://inventory-dmg.assets-cdk.com/7/8/9/13159801987.jpg|http://inventory-dmg.assets-cdk.com/6/9/9/13159801996.jpg|http://inventory-dmg.assets-cdk.com/3/0/0/13159802003.jpg|http://inventory-dmg.assets-cdk.com/6/0/0/13159802006.jpg|http://inventory-dmg.assets-cdk.com/0/8/9/13159801980.jpg|http://inventory-dmg.assets-cdk.com/2/7/9/13159801972.jpg|http://inventory-dmg.assets-cdk.com/5/7/9/13159801975.jpg|http://inventory-dmg.assets-cdk.com/7/0/0/13159802007.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/ext_G1K_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/ext_G1K_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/ext_G1K_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/ext_G1K_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/int_H2R_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/int_H2R_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/int_H2R_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2949283/default/int_H2R_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/380606/cc_2016GMT200004_01_640_G1K.png,http://www.sullivangm.com/VehicleDetails/new-2016-GMC-Sierra_2500HD-H2R%2FDARK_ASH-Houston-BC/2669522073,0,1
2692020753,,new,2016 Chevrolet Camaro,2016,Chevrolet,Camaro,LS 2dr Coupe w/1LS (3.6L 6cyl 6M),"$36,760",,"3.6L V6, DI, VVT",Automatic,Gd1/hyper Blue Metallic,,,http://inventory-dmg.assets-cdk.com/4/8/7/13311705784.jpg|http://inventory-dmg.assets-cdk.com/6/8/7/13311705786.jpg|http://inventory-dmg.assets-cdk.com/3/4/8/13311705843.jpg|http://inventory-dmg.assets-cdk.com/5/9/7/13311705795.jpg|http://inventory-dmg.assets-cdk.com/1/2/8/13311705821.jpg|http://inventory-dmg.assets-cdk.com/5/4/8/13311705845.jpg|http://inventory-dmg.assets-cdk.com/6/2/9/13311705926.jpg|http://inventory-dmg.assets-cdk.com/6/8/8/13311705886.jpg|http://inventory-dmg.assets-cdk.com/1/4/9/13311705941.jpg|http://inventory-dmg.assets-cdk.com/8/4/9/13311705948.jpg|http://inventory-dmg.assets-cdk.com/5/5/9/13311705955.jpg|http://inventory-dmg.assets-cdk.com/7/5/9/13311705957.jpg|http://inventory-dmg.assets-cdk.com/5/2/9/13311705925.jpg|http://inventory-dmg.assets-cdk.com/0/9/8/13311705890.jpg|http://inventory-dmg.assets-cdk.com/6/3/9/13311705936.jpg|http://inventory-dmg.assets-cdk.com/9/3/9/13311705939.jpg|http://inventory-dmg.assets-cdk.com/0/2/9/13311705920.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2940453/default/ext_GD1_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2940453/default/ext_GD1_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2940453/default/ext_GD1_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2940453/default/ext_GD1_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2940453/default/int_H1T_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2940453/default/int_H1T_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/379991/cc_2016CHC020001_01_640_GD1.png,http://www.sullivangm.com/VehicleDetails/new-2016-Chevrolet-Camaro-LT-Houston-BC/2692020753,0,1
2722164253,,used,2015 Pacific coachworks POWER LIGHT,2015,Pacific coachworks,POWER LIGHT,,"$35,995",,N/A,N/A,White,N/A,3,http://inventory-dmg.assets-cdk.com/3/4/0/13669433043.jpg|http://inventory-dmg.assets-cdk.com/4/6/9/13669432964.jpg|http://inventory-dmg.assets-cdk.com/6/7/9/13669432976.jpg|http://inventory-dmg.assets-cdk.com/0/9/9/13669432990.jpg|http://inventory-dmg.assets-cdk.com/8/0/0/13669433008.jpg|http://inventory-dmg.assets-cdk.com/7/1/0/13669433017.jpg|http://inventory-dmg.assets-cdk.com/2/3/0/13669433032.jpg|http://inventory-dmg.assets-cdk.com/2/9/8/13669432892.jpg|http://inventory-dmg.assets-cdk.com/3/0/9/13669432903.jpg|http://inventory-dmg.assets-cdk.com/4/0/9/13669432904.jpg|http://inventory-dmg.assets-cdk.com/6/1/9/13669432916.jpg|http://inventory-dmg.assets-cdk.com/9/5/9/13669432959.jpg|http://inventory-dmg.assets-cdk.com/1/3/9/13669432931.jpg|http://inventory-dmg.assets-cdk.com/6/3/9/13669432936.jpg|http://inventory-dmg.assets-cdk.com/7/4/9/13669432947.jpg,http://www.sullivangm.com/VehicleDetails/used-2015-Pacific_coachworks-POWER_LIGHT--Houston-BC/2722164253,0,1
2722164353,,used,2012 GMC Sierra 2500HD,2012,GMC,Sierra 2500,,"$33,899",,- 6.0L SFI V8 FLEX-FUEL,Automatic,Blue,N/A,,http://inventory-cf.assets-cdk.com/6/0/6/12999153606.jpg|http://inventory-cf.assets-cdk.com/1/8/7/12999153781.jpg|http://inventory-cf.assets-cdk.com/9/7/9/12999153979.jpg|http://inventory-cf.assets-cdk.com/1/5/3/12999154351.jpg|http://inventory-cf.assets-cdk.com/7/2/1/12999154127.jpg|http://inventory-cf.assets-cdk.com/9/0/2/12999154209.jpg|http://inventory-cf.assets-cdk.com/5/7/0/12999154075.jpg|http://inventory-cf.assets-cdk.com/6/0/9/12999152906.jpg|http://inventory-cf.assets-cdk.com/0/5/2/12999153250.jpg|http://inventory-cf.assets-cdk.com/2/2/0/12999153022.jpg|http://inventory-cf.assets-cdk.com/2/4/0/12999153042.jpg|http://inventory-cf.assets-cdk.com/9/1/2/12999153219.jpg|http://inventory-cf.assets-cdk.com/0/6/3/12999153360.jpg|http://inventory-cf.assets-cdk.com/5/7/6/12999153675.jpg|http://inventory-cf.assets-cdk.com/2/7/4/12999153472.jpg|http://inventory-cf.assets-cdk.com/0/8/7/12999153780.jpg|http://inventory-cf.assets-cdk.com/7/3/3/12999153337.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2012/13427.jpg,http://www.sullivangm.com/VehicleDetails/used-2012-GMC-Sierra_2500HD-SLE-Houston-BC/2722164353,0,0
2722164433,,used,2003 Ford Taurus,2003,Ford,Taurus,,Contact Us,,3.0L V6  PFI,Automatic,Red,N/A,"227,000",http://inventory-dmg.assets-cdk.com/chrome_jpgs/2003/2123.jpg,http://www.sullivangm.com/VehicleDetails/used-2003-Ford-Taurus-SEL-Houston-BC/2722164433,0,1
2722164513,,used,2015 GMC Sierra 3500HD,2015,GMC,Sierra 3500,,"$68,888",,"DURAMAX 6.6L TURBO DIESEL V8, B20-DIESEL COMPATIBL",Automatic,Gaz/summit White,Brown,"59,687",http://inventory-dmg.assets-cdk.com/0/8/6/12821577680.jpg|http://inventory-dmg.assets-cdk.com/7/6/6/12821577667.jpg|http://inventory-dmg.assets-cdk.com/6/6/6/12821577666.jpg|http://inventory-dmg.assets-cdk.com/3/8/6/12821577683.jpg|http://inventory-dmg.assets-cdk.com/8/6/6/12821577668.jpg|http://inventory-dmg.assets-cdk.com/4/7/6/12821577674.jpg|http://inventory-dmg.assets-cdk.com/6/7/6/12821577676.jpg|http://inventory-dmg.assets-cdk.com/3/7/6/12821577673.jpg|http://inventory-dmg.assets-cdk.com/0/9/6/12821577690.jpg|http://inventory-dmg.assets-cdk.com/7/9/6/12821577697.jpg|http://inventory-dmg.assets-cdk.com/8/9/6/12821577698.jpg|http://inventory-dmg.assets-cdk.com/6/0/7/12821577706.jpg|http://inventory-dmg.assets-cdk.com/2/0/7/12821577702.jpg|http://inventory-dmg.assets-cdk.com/4/9/6/12821577694.jpg|http://inventory-dmg.assets-cdk.com/5/0/7/12821577705.jpg|http://inventory-dmg.assets-cdk.com/4/8/6/12821577684.jpg|http://inventory-dmg.assets-cdk.com/1/9/6/12821577691.jpg|http://inventory-dmg.assets-cdk.com/9/0/7/12821577709.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2015/19197.jpg,http://www.sullivangm.com/VehicleDetails/used-2015-GMC-Sierra_3500HD-SLT-Houston-BC/2722164513,0,1
