stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
0126e79f12591c7cd0b7a14347e1bf65,,new,2017 Dodge Grand Caravan,2017,Dodge,Grand Caravan,SE,"23,912",Van,,,,,,http://pictures.dealer.com/h/holidaycdjcllc/0955/42efcc2cc089470ec68117a3dc2e8a7bx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1048/53dda1d163528575ae0b14506cdfbd91x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1233/3068b2eed41a7558b19c3a61d6dbb621x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0727/9c4c3fc33260da059d8ba02b5a2209bbx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0526/28fbb6d93acb38755853896cf4622680x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0455/00771f2154d6a69b4274452b38d8f839x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0666/4b39e0be51375154b7c0bd2559c51046x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1913/9c5f243ad02ad33e8e6e582b2c35c32bx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1662/a52effef105fa96c7906c7c557d611d9x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0270/601c32f85cf4b48dfa141d75dcbd0db8x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1603/9c9d972b732ad6ae668cc78bca8ebd1ex.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0873/6d8d5f18d40c82d2a130df7cdb46ab8dx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1039/d47db26b8fa09fa29c89af4b41f795efx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1463/d5230dd5b53984e1aa479f205950ac8dx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0647/44e31f5635857b6145e1a36fb608442ax.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0616/27025bfd9829f94c6b71b0baf270a45fx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0456/d5fc65e61172f9b56316a03b8ca0ca69x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1094/d4859171d273f7faf89573f17814c04dx.jpg,http://www.summitauto.com/new/Dodge/2017-Dodge-Grand+Caravan-Fond-Du-Lac-0d5596d80a0e0ae77948e5c87325906b.htm,0,1
01604b879245b05ccaed04845fd15bf8,,new,2017 Jeep Cherokee,2017,Jeep,Cherokee,Latitude FWD,"22,360",SUV,,,,,,http://images.dealer.com/ddc/vehicles/2017/Jeep/Cherokee/SUV/trim_Latitude_fd0640/color/Diamond%20Black%20Crystal%20Pearlcoat-PXJ-11%2C11%2C11-640-en_US.jpg,http://www.summitauto.com/new/Jeep/2017-Jeep-Cherokee-Fond-Du-Lac-107a9e3b0a0e0a6b2d6948d7059d6188.htm,0,1
017d2c4803940110b07f2d7c683977e7,,new,2017 Jeep Cherokee,2017,Jeep,Cherokee,Latitude FWD,"23,447",SUV,,,,,,http://pictures.dealer.com/h/holidaycdjcllc/0358/51ff5b0399eb26784c91b19e21cd7877x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1967/6f21b80696982171c0be600857e87307x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1176/a5b926951d82a1ba86965e532f88ab19x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1914/8f2d5ca24d357a115414bf20d0a14346x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0773/412f1059253d537e3e58ddc4c85345b3x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0925/f87c36014ef6e5466d36a80388886cddx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1955/999568739c1634e4632f200203c9bc9ax.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1268/a7fbdb62b57e61f9f0c8264e25b351f0x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0135/f07599f99086b704e863eed895b250cax.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1475/9565b8896ee23f4d36258da79c741eecx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0080/223ffda97d9a514632a701e3849ceb52x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1022/752f6c0509bb93a9da724e910b149be7x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0743/01c95674514ccbb7bc502789d3c22e3fx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0210/6048d9fb0716343236f258e32562c5dex.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1605/2f4c5fe91e37f125b3fb7525ecc8bd8ex.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0284/1d0e87d57a462e02c57ccab48e735dc3x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1535/aa128f9eb5a974d4a7ad274af7e7c09ex.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1365/6b6972dcbdc903154ad4e668aeccdce8x.jpg,http://www.summitauto.com/new/Jeep/2017-Jeep-Cherokee-Fond-Du-Lac-478c40a80a0e0a6b1c382ff8cd680501.htm,0,1
01a3a65f75614e24f6ea0952b790e5f2,,new,2017 Jeep Renegade,2017,Jeep,Renegade,Latitude 4x4,"27,665",SUV,,,,,,http://images.dealer.com/autodata/us/large_stockphoto-color/2017/USC70JES172B0/PJK.jpg,http://www.summitauto.com/new/Jeep/2017-Jeep-Renegade-Fond-Du-Lac-58751e490a0e0aea0bfb2055adfc75f6.htm,0,1
01ed2c15e3978c6f2564e7975c81b45e,,new,2017 Dodge Grand Caravan,2017,Dodge,Grand Caravan,SE,"23,912",Van,,,,,,http://pictures.dealer.com/h/holidaycdjcllc/0869/d340634b95f7146b8470ddf943f22908x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0799/821d192a9dd1be2c42a298fe4d340a56x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0352/3ee8a6aceab6674ed29ea01855e31573x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1915/13e38e86ede44bb5ba6b49476f2353f2x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1465/203f999fd8f84bc3dd3e9ee7572bea82x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1247/aa79e86c758024bc66444b7a4bcd75fcx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0814/195194be7fd6ea8b2e4e3466d070e816x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0060/008c8be882c87b18c6a6f960b5ffc105x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1320/42acda4527d81b475342b175858c1881x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0023/4820f2f16dc79db90bdf0360ea769418x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0270/897db579945649ff9872195fca6fa362x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0225/7c24d581844874b62cd27f13edfee913x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1584/7a4bfa2e3c683661bc6089843c7e4d11x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1740/67ea058b80aa46c458f2451b92b07d1ax.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0912/a48e92d5fa7445ad8adc1473df72c08ex.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1448/17fbe8a6e4dd743260db8018277ff5d0x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0766/3f03e33782cb5dd1ef1180e2c055dd27x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1348/8c3766f8fa62dfad1897d708423e7f4dx.jpg,http://www.summitauto.com/new/Dodge/2017-Dodge-Grand+Caravan-Fond-Du-Lac-030940c30a0e0a171812578a586be688.htm,0,1
0291929592066d91b1d2cc73cfc9fbeb,,new,2017 Chrysler Pacifica,2017,Chrysler,Pacifica,Touring-L Plus,"36,733",Van,,,,,,http://pictures.dealer.com/h/holidaycdjcllc/1087/0f551d2e45a8952934ff6513b1599e64x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1069/b69e42cd7ed1fa4da49d23faacd362c8x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0525/bf777eea6fbf1aec9ebb52457aef988ax.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1930/5e5c9898883f78c7b9b90ebe0d2be356x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1791/38499af0b3fd1bd21cc577c5bdc46404x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0044/e3935b8d05cf0eec82eb280d810cd3d0x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1756/d20aacae49f0ed3a721dd298735ac4ccx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1899/303643c4fdd97ddea4bb929347cbab8fx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0774/66f081f228e3a0d5fda0f79a321566c4x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1070/b268060f8538a791f92b77fce79c9358x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0411/8c46f416d3ba419ffafc1d97673a33dex.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0487/08c603f2e5c0ca22f48b2820eef50b27x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1085/463ea6dff5823df539a66b78aed6bdc7x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1587/bd5f9168c193d2b464bf8bda2cad129cx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0320/7065f088a9afe7d9957be41794a8f2bcx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1164/33d8daec05cc458477fe05577d4daafax.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0137/c6617ced7b28970cccbd96c2b46ed18ex.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0865/897147f65c0236bf9f01a567aaecc6a1x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0068/367c8313f9d76538317715cfdd92e5c7x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1261/b923a41600377242624f6cafb9859f9bx.jpg,http://www.summitauto.com/new/Chrysler/2017-Chrysler-Pacifica-Fond-Du-Lac-cd7e805a0a0e0a6b505409ae33e6e9b3.htm,0,1
02afec1414f5b98a5eec1e646d8a8ea8,,new,2017 Ram 1500,2017,Ram,1500,Big Horn,"45,385",Truck,,,,,,http://images.dealer.com/ddc/vehicles/2017/Ram/1500/Truck/trim_SLT_8ff268/color/Blue%20Streak%20Pearlcoat-PCL-18%2C44%2C102-640-en_US.jpg,http://www.summitauto.com/new/Ram/2017-Ram-1500-Fond-Du-Lac-50e2d9f40a0e0ae7682674b835d5b64b.htm,0,1
02ee4063b25f0158b534268a4f8a7fab,,new,2017 Chrysler Pacifica,2017,Chrysler,Pacifica,Touring,"32,785",Van/Minivan, 3.6L V6 24V VVT UPG I w/ESS,,,,,http://images.dealer.com/autodata/us/large_stockphoto-color/2017/USC70CRV091B0/PUV.jpg,http://www.summitauto.com/new/Chrysler/2017-Chrysler-Pacifica-Fond-Du-Lac-9cbeb2b40a0e0a1777641ac0a81c5c4d.htm,0,1
03101851ab88552d3f08806e7aabf4bb,,new,2017 Jeep Wrangler Unlimited,2017,Jeep,Wrangler Unlimited,Sport 4x4,"35,605",SUV,,,,,,http://images.dealer.com/ddc/vehicles/2017/Jeep/Wrangler%20Unlimited/SUV/trim_Sport_27eb54/color/Black%20Clearcoat-PX8-14%2C14%2C15-640-en_US.jpg,http://www.summitauto.com/new/Jeep/2017-Jeep-Wrangler+Unlimited-Fond-Du-Lac-67de25de0a0e0a1739fb5aa383c817b1.htm,0,1
032c93f6d44fd7502cacfd31ef436948,,new,2017 Ram 1500 Express Truck Quad Cab 4x4,2017,Ram,1500,,"31,333",,,,,,,http://pictures.dealer.com/h/holidaycdjcllc/1574/6c64258328778c3d6b2daf258d04d05cx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1968/5548edea32085f5e59e29bc0b0ce11c3x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1619/f136d1278866580e2a357c73b301f411x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0598/0ef85558d0e854f7e77984239e2a37e8x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1201/107c9d7cf6cb16e0f9cc285d713d4e07x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0989/fe35391109e53ceeb01d1c35857749bfx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/1138/03a8984fc17d8e96ea524257a8294ee9x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0734/6d23a6ce234e2ecdbdc88accb2aaf53bx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0657/24cbc78f90f0306a6d36019f268dd644x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0385/0831a7b8c12174d4b98b1bf45ae0f858x.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0940/0bb9980532add643d0c9c6779c23bebdx.jpg|http://pictures.dealer.com/h/holidaycdjcllc/0814/323f47a53e152deedc62b9c37fbe4fa7x.jpg,http://www.summitauto.com/new/Ram/2017-Ram-1500-Fond-Du-Lac-f6b67e6e0a0e0ae90a1eeeea0ffcbe37.htm,0,1
