stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
001670,,used,2011 Honda Pilot EX,2011,Honda,Pilot,LX,"$12,500",SUV,3.5L V-6 cyl,,Taffeta White,,"122,617 miles",http://pictures.dealer.com/t/tallapoosafordfd/1410/feb11818794349c49150d6fc96ff8db0x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0978/b9b6aaf0871e436b34b9c90117b0ab5bx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0535/4d3ef728c8748361ac56bb9b25ef9108x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0516/709895795f80ffcdd4b6bbefde618f93x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1863/e1a8c31b26e357d10b66620ccf96fb28x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0233/b2160b479f89d02c56868d1307a1598cx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1264/fd1fd0db207a12e0f762724ec6f42419x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1830/34902a7181062471569e82d4bf25f5a9x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1749/e1157ddbff7bcdf2544454f8eb96c961x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1308/6968e2b11a4f82136a59ba3579686aefx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0639/08cd9f98c307f657796b8bccbe88945cx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0425/f4727ca9c7d9e425d9093a29f63e7a31x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0843/8a268e5e4ed7776dd32f2f4035206315x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0701/1ffffe297e0dfa5fc8a6012479346161x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0212/3af412ea90976c16429ab7efeade3fd1x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1569/74bd12cba2d2ca961d22184f54774b1fx.jpg?imwidth=640,http://www.tallapoosaford.com/used/Honda/2011-Honda-Pilot-712ba2290a0e0ae828480609dd674759.htm?searchDepth=61:69,0,0
007464,,used,2011 Kia Sorento EX,2011,Kia,Sorento,SX,"$11,850",SUV,3.5L V-6 cyl,,Ebony Black,,"99,315 miles",http://pictures.dealer.com/t/tallapoosafordfd/1747/f9aa24509b3df30a026e22536db30c78x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0223/5d57c4b9bfae45bbc1ada3bf772c2a80x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0589/d6862c410de219f7ce0dad5c8397f0ccx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1242/bb3035810e6e49782e9c4148b6338c35x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1451/4e9efce9c748ab87b655c7e45119531ex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0420/84fd5bdd06ba4333cf5d7020dd5636a4x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0083/4e833b0d7fe901dba3d1d012dc417bbcx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1707/65a2f8a2fb442cc97ec535f62bce63f8x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1752/9b2c1f8833b12709c82d684905968d59x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1882/cc30be804ed4b891d7276d2ada5e729ex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0880/9f813ea6628dec9cceb39e2b5d1e3100x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1557/3b56771357f1692dead9f4b0672606f8x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0489/c8ca1c1e7e9d74ba529f3211f819f81dx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0729/fec334d0af8886963950a886cd6fb4fex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1794/1eb1391d148025c3cf271c88b008012dx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1007/314cedb1b780a0a857bb6efc99e2c68bx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0185/5d2b6bfaac6a3bd608ac6daf78f3bb18x.jpg?imwidth=640,http://www.tallapoosaford.com/used/Kia/2011-Kia-Sorento-3a34fd3e0a0e0a6b21e766a605d645ad.htm?searchDepth=63:69,0,0
014130,,used,2012 Honda CR-V EX,2012,Honda,CR-V,EX,"$14,990",SUV,2.4L I-4 cyl,6-Speed Automatic,Maroon,,"83,024 miles",http://images.dealer.com/autodata/us/large_stockphoto/2012/USC20HOS021B0.jpg,http://www.tallapoosaford.com/used/Honda/2012-Honda-CR-V-554185630a0e0ae97a1697c45ebdfdc0.htm?searchDepth=60:69,0,0
015726,,used,2016 Toyota Tacoma Limited,2016,Toyota,Tacoma,,"$34,800",Truck Double Cab,3.5L V-6 cyl,,Silver Sky,Cement Gray,"33,855 miles",http://pictures.dealer.com/t/tallapoosafordfd/0760/10453f6973e21e08a5204ad88aae1ceex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1240/e1848ca928bfce41041a1369f81fd8e7x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1841/5b095c75e946601b1cb3c69443c7b610x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0101/62ef924d90b7c3d2f0714493df683001x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0310/a56cf5d1dc52ffe59c78b994d2e47cd2x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0718/619e01783c745c673d17a8481b20d70ax.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0948/0d8b15aa2606ef43e4d89d37c610ea1dx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0662/81f03f090738b434748fe0834032b950x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1068/078a269eebb08eb3625e9a4c87e18d97x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1823/392f3593c2471e4d089d08f196280fbcx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0055/29115b4c83ee81eb5e05ce0dc66d2915x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1050/3ceb158427f59ad9f248ff180e77a74dx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0696/bf83a3cf4804dcf4a29d9236ecd83869x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0262/750b0aa63d800f434dcdb3d3409c8141x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1239/d7c7115efe6a99140c45b98ff626d58cx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1860/a33f6d521d73959888436bcd3321570ax.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0223/d4609ba25b23048974acaa0e6fdddf5bx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1431/2c64d1d99b08a53d1cd25cd7fc3cf1b5x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1870/7eed9608e90fee14169d4346e04ae5f6x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0812/a28a28deecab882f2f98d32b262555acx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0017/1ac12cf87be2fbe6cb24c763cc95796bx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0067/810ae2d47048c306f86cee9b2659ec08x.jpg?imwidth=640,http://www.tallapoosaford.com/used/Toyota/2016-Toyota-Tacoma-f7f52d050a0e0a17487440e21bd52a9c.htm?searchDepth=69:69,0,0
034825,,used,2010 Ford Transit Connect XLT,2010,Ford,Transit Connect,XLT,"$8,990",Van Cargo Van,2.0L I-4 cyl,,Frozen White,Dark Gray,"91,217 miles",http://pictures.dealer.com/t/tallapoosafordfd/0543/883d0e49d99c60f5d416eade31859a4ax.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1925/bfb4f3f6b382f82e989f1ccf2e108c9dx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0539/ab4aab9a7b1508b343ce4f7523783ea8x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0393/5424e9673ec6316a3a142d1a8d574af4x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1784/34c37b173d889bc338a4fddc210e30f6x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1496/6cdf72d4204c94f118841120414ca497x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1095/22f45c3465a8b90518c08aecc534b997x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1385/5988fdf046d3eb9c3ddd4c0cb8717c15x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1554/4fc0b2deef52f4c68638a29d47483da5x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0025/e12d6a83bbfb2aa835c96877099ad047x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0096/c3d07f6aa0d719c914444c39c00414eex.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1859/dd21743262cd1831e7749fd47ed48f0cx.jpg,http://www.tallapoosaford.com/used/Ford/2010-Ford-Transit+Connect-02f40eb00a0e0a1725c5dc927f982f8b.htm?searchDepth=50:65,0,1
036247,,used,2015 Toyota Tacoma 4x4 V6,2015,Toyota,Tacoma,V6 4dr Double Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),"$32,500",Truck Double Cab,4.0L V-6 cyl,,Grey,,"13,684 miles",http://pictures.dealer.com/t/tallapoosafordfd/0816/842a8ba167eadec8be97a89f6960b7e9x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1484/0d852f3ad7b19377edcdacdcae98263ax.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1779/b48783f1b7db02d5e51553c3fc59a79dx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0214/e9d78eb2652b5878029e2b53c0be5a9fx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1661/542fc03676381c4046099eed04382a7bx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1255/6744b57133504592a83aabf4a34b72e3x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0792/f479e8f411e7ce044af8cafe11ffa98fx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1014/082c12575d2b2a2d97597d52c9601befx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1088/80f4c07552279b5ceb913d521a1a7a56x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1595/a06f000e8640baf26e35154cf5ee3f96x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0422/45bf02b2da9bc445012fca80cf5aca05x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1055/1a3a5415744010dd1cd24317b0fcf556x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1410/a98ee7e8a1f20ba8a2be27301bb20b7ex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1722/8bf46ecfc8c59adf42f64add301e18efx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1892/de28284d0013f947bf4611d4e5002d00x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0411/cb63a78fb6f7c80fd37f9be98455c0b9x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1179/80807e8c0c12dbf7334fcb8a08e6ba2cx.jpg?imwidth=640,http://www.tallapoosaford.com/used/Toyota/2015-Toyota-Tacoma-bb3202480a0e0adf27921471561e3c02.htm?searchDepth=65:66,0,1
101934,,used,2015 Ford Taurus SE,2015,Ford,Taurus,SE 4dr Sedan (3.5L 6cyl 6A),"$16,800",Sedan,3.5L V-6 cyl,6-Speed Automatic,Gray,Dune,"35,897 miles",http://pictures.dealer.com/t/tallapoosafordfd/1064/91243a20d2c742e660e9ebea61093fdex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1967/5bec63b68a4a2584f9d9046e4eb902c3x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0193/2cd8caa168c914b101162a9eb9578733x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0063/0776b97e3caab12feba87be91faea7dcx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1349/c7c4b658b0266e8c90e98eaca5c675d7x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1909/bc78c927798742d328808cfd22e99e08x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1421/d10c753bdbb14fac1337388057016848x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0582/a2ae34986d86980ea53ac369faa2d29bx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1173/4e632b5fbd148f2ebafec88c139b1578x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0961/10332bb95a81f5243f7f866b00a495efx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1680/df0418d48379d3f942e391cddeb652eex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1973/80752986b6352abedcdf59eb17b499aex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0641/0fe2f2d90769e1ab25a14449e226df5dx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0113/5dab794744e6bf07d111daf3faff5340x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1013/3213d94f1e8e1e42f1924d67abbbfe20x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0161/a5419259d7cc2562116e62448c1a3878x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1944/fdaf357028a716734fedff65fbbfc137x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1715/deb383d90fe6fe80e849cdd6f0881861x.jpg?imwidth=640,http://www.tallapoosaford.com/used/Ford/2015-Ford-Taurus-3eac0aa40a0e0adf24f02a51fa40d777.htm?searchDepth=55:69,0,0
104771,,used,2012 Ford Fiesta SE,2012,Ford,Fiesta,S Sedan,"$8,350",Sedan,1.6L I-4 cyl,6-Speed Automatic,Red,Charcoal Black,"40,612 miles",http://pictures.dealer.com/t/tallapoosafordfd/0844/71a2ecdf02f7c72e61e065c56019dbf1x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1492/343a8dccf3a589d8fe2a3f510948eec5x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1265/8486ef63aeac108e12372ba4b639ea51x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1941/35ef12788ef3e528f4ebd60a34a62aabx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0007/a76544eed1e1cb59ba9352b8672cdd11x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1154/59f69d1408f16d2f7f5e2edbc9c658a2x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0188/624213e2fba490d430712019174a76f7x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1581/4186e22fabdee87d0451efc2297a8855x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1348/4d8d1dce94a4470a24a1fe2f01e1d2fax.jpg,http://www.tallapoosaford.com/used/Ford/2012-Ford-Fiesta-02b56db90a0a00654074a66603f91dd5.htm?searchDepth=39:69,0,1
106433,,used,2016 Solitude 375 RE,2016,Solitude,375 RE,2016,"$59,990",2016,,,Brown,,1 miles,http://pictures.dealer.com/t/tallapoosafordfd/1645/ab3d297a78552d88769867b717260e2ax.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0595/9d8c6128a5531b2c3048dc2829f49370x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0582/7c17c570d50c86c358bb3ac28438c0cax.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1297/2848ff49d5445a2e97809b3ca67699bbx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0266/ba0f075b87430ef162cb6f2fa1e6e0b8x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0215/2e101ad674e0c51b0f3f9e413e064bb4x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0370/18fc212d18f9f5b43a450b047a8886bex.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0614/b1c8a0ba2ed77631a4f7605f3d1d57dax.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1334/110cbeedcb69877c16671193bc40f6c8x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1658/753b5a34093e69e7967cedda941de55bx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1476/07a58d4ed723069f02dbe14ad906f4b6x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1145/a4e1b64ef30a74602451c8bde1209516x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1474/b5e9f2c873734c3bcf38d5fe5875ceb8x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1700/e2643715725b6b28a6474fe829c7db6ax.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0819/9067940ec85b67b161ac9776cba1488fx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0173/34cd6feaf0ec36248f30570049e64976x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1307/04fe3066bad849c71c3d27a812a75489x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1847/32a6da3ae9e500b8f08b85dd7a795893x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0005/baaa2b348b52543b13e9f68bb16235bdx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0908/68b2ee2cdfec0f1965d98f28f2bc5b14x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1339/00937ca95261d0fb219203fe9adeb22cx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0416/a36e16d0a391a8acd615c747b22b45f4x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1156/5c87fc5a563bb4f7c521bc66812e93a9x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1118/bcc3693db7f52f0064a3454e482dddacx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0458/e781259c4afc735fbd6b6fd09924ad36x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0788/1ca153dbb2e027330d0db0fc0d80de39x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0861/fbb4ce172d2333fd61d6ff36d93d67ebx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1339/fa97ce5c74de83b65eb349e7ccb7ee2fx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1589/1c0d2fbb9f9f460c297a0eea9f7a754bx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0796/3597ae9a3c5a66c766b1516dd749da48x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0076/744ac3ee55015b6452628adc4da38fb3x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0043/3f3ee84e98bacbac2289f34a44cbd6fbx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0086/ac8b6b1c86d3d397459e7ca74a91be8dx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0032/a65e7f2f81f81f35e96d564ad1d2e08bx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1653/de0357d474a68297bdadbb1c7607330bx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0262/ee323895283d090a638be0c449b74272x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1571/2208b38b28c91fae4b39e85ba8fac15ex.jpg|http://pictures.dealer.com/t/tallapoosafordfd/1671/82a67ad8ff7df6955a73f6716bf9e638x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0073/3b890a5ac4c50e346e7ff0300aeb2654x.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0279/fd927a5b2f0bcb343743019ef69c16ccx.jpg|http://pictures.dealer.com/t/tallapoosafordfd/0235/8efa9153cc2963130cebe6c0074412aex.jpg,http://www.tallapoosaford.com/used/Solitude/2016-Solitude-375+RE-467ad30e0a0e0a6b38ca1f5424660d2e.htm?searchDepth=63:68,0,1
110763,,used,2015 Ford Taurus Limited,2015,Ford,Taurus,Limited,"$20,200",Sedan,3.5L V-6 cyl,6-Speed Automatic,Ingot Silver,,"35,888 miles",http://pictures.dealer.com/t/tallapoosafordfd/0792/2e17ac2e01c5d104285dc88cf593a1aex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0083/a2cac01f12e2a1bfa060ee07939f6616x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0473/7f7535f64c1a7f2ad10d5f004a17ebb5x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1692/100c85c6aa0c6d12bfc6baa25b681fecx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0681/e22e31de663cba301ceac5b1c661d3c8x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0595/87f3d63d3330513f234cb058816291fex.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0613/54042f2da95ad1290950573df79063b7x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0564/59668885d569a39eb74886f6436c3740x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0907/63c8878c5dd152d79bbf99e323901fc3x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0750/54a77e6847b6641d9072bcf450eb2a0cx.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1181/5a0c2baac66854a771ba0723adfbbe14x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0410/cbae63c8dcddf6f24f6efe8ffbdbb0a5x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1271/48a1a33de4cf6dbf22a20fd20c10ef65x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0684/fec5d1b9c92e6021644b0c19a716744ax.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/0725/e1f01727a4f8a37d109ccbe4c03f7e62x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1434/72ad91e8caeae0179f6dc16d3a2492c2x.jpg?imwidth=640|http://pictures.dealer.com/t/tallapoosafordfd/1406/cdc3de6cbe3eaf68c278c7a21814ecc3x.jpg?imwidth=640,http://www.tallapoosaford.com/used/Ford/2015-Ford-Taurus-6dfd52ee0a0e0ae804cd52cbb6b234d3.htm?searchDepth=54:69,0,0
