stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
16E519A,,used,2016 Ford Escape S SUV I-4 cyl,2016,Ford,Escape,,"$16,999",,2.5L I-4 cyl,Automatic,Oxford White,Charcoal Black,"14,001 miles",http://pictures.dealer.com/t/tombolandfordfd/0199/63f114b45161ffce32e6b76ab2e69ef0x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1850/d3235e2701ade85efd6130ef56ce267cx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0755/b28c6e579279939d2901bf1b581b183ex.jpg|http://pictures.dealer.com/t/tombolandfordfd/1877/9bcd7ed798e7c3802abfe03173e446a3x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1519/50d8de7a7a8fd01186ab178020d847e9x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0375/83d975fe0537aca35b26cf039d44d04dx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0676/391961fe454c4f948dd4b7bdf0c1ef69x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0134/39fc0cfb7690c2af5611481fabcf3c32x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1783/99c779c96fec700f3827ec160cf01a8ax.jpg|http://pictures.dealer.com/t/tombolandfordfd/0664/88467f64fc26467a12d5a95cd08a453ex.jpg|http://pictures.dealer.com/t/tombolandfordfd/0007/dfd05b84e5557b92bcce164961fdc6c6x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1689/9335aec7ba261c1062b8512f2c9def54x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1268/bc734e93dbcd8f31de979d18b38b8485x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0423/17d9cf70b0686ad06562f6e95dd86c70x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1175/3fc8106ce36f0873d7bb2a486a65aeb8x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1429/4b1e1343fe6071257fb1169aa8d31338x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0910/1a867aa0e9c96efa5b3bac77c3593b3dx.jpg|http://pictures.dealer.com/t/tombolandfordfd/1332/6e541f4d00ca94b8c728211e2597cce9x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0162/5a52c5c19641a395f5f9e082138441b1x.jpg,http://www.tombolandfordhannibal.com/used/Ford/2016-Ford-Escape-63e50f310a0e0aea0bfb20551e827f44.htm?searchDepth=3:85,0,1
16F673B,,used,2014 Chevrolet Spark LS Hatchback I-4 cyl,2014,Chevrolet,Spark,LS 4dr Hatchback (1.2L 4cyl CVT),"$8,977",,1.2L I-4 cyl,Manual,Salsa,Black Cloth,"4,181 miles",http://pictures.dealer.com/t/tombolandfordfd/1733/b9cee827e27fab32f54cd6babca53293x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0824/2cd8315b816aaa84f94f93a24f0729a5x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1464/2f0c5187bdfa6b8f64f46744f1ca632ex.jpg|http://pictures.dealer.com/t/tombolandfordfd/0666/6a3fc2541a04545d92696ac413ca69b5x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0910/360b2c2a2997218bae488feead107b38x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1549/541ee73df9ee94617f7707228c433975x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1376/e2c79f0af66d6bb22aee46810ff5b312x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0114/5d915f0d887ae4c9dbbf38b3fe6e4400x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1050/058959ad7c9dffae61b31b573c467c0dx.jpg|http://pictures.dealer.com/t/tombolandfordfd/1428/23b7ccf45af3dc349d2732bbb1fdc880x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0349/ef1a2b97a152265c6db189376686ce5ax.jpg|http://pictures.dealer.com/t/tombolandfordfd/1504/b0f213c0bb8c72f088313922e7422d20x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1810/46ef538d1f516631b8d028661a618a64x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0484/1d1790745e7e453a33387927ebcf566dx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0239/44fb08b6bfe40647bf7cd1af0dd01952x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1756/14f0e6a4193d6509374c5de75e4433aax.jpg|http://pictures.dealer.com/t/tombolandfordfd/1933/5039416d58ccc01fd367f3bdf2b0c2a9x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1171/a46792551c7760cda0ac712d67182e17x.jpg,http://www.tombolandfordhannibal.com/used/Chevrolet/2014-Chevrolet-Spark-ba2733390a0e0a6b505409aeae839016.htm?searchDepth=80:94,0,1
16S547,,new,2016 Ford Taurus SEL Sedan V-6 cyl,2016,Ford,Taurus,4dr Sedan,"$33,655",,3.5L V-6 cyl,Automatic,Ingot Silver,Charcoal Black Leather,,http://pictures.dealer.com/t/tombolandfordfd/0972/33daa3ea22672106cbecb5ee80157608x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0047/e4cb8fe3ed369d18c95519b0d45b54e9x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0968/343c48baa72510c4d7707cfe21cfcd81x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0108/2cea37ef798945229c8b91f8f3a07cbax.jpg|http://pictures.dealer.com/t/tombolandfordfd/1803/24325d9360e086217ee815dcbf0324aax.jpg|http://pictures.dealer.com/t/tombolandfordfd/0386/3e4bb4d330d99cea3eb6ae042ec2d9edx.jpg|http://pictures.dealer.com/t/tombolandfordfd/1711/8d1cdcd1687252e06bf6776d03e06470x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1923/28e24b5ecbe72e70b5b3b74035f2ba99x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0198/efe441ea64bd9c5aa8bcd943784c9006x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0994/13006b9e59b6ec8b3648c3769a8c8ad0x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1051/94a7467a00e386b804bf91a3245fa4dbx.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021001.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021001.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021002.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021003.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021005.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021006.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021021.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021024.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021025.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021011.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021012.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021013.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021018.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021028.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071B0/USC60FOC071B021044.jpg,http://www.tombolandfordhannibal.com/new/Ford/2016-Ford-Taurus-1b93dedd0a0e0a171812578af939f9c8.htm?searchDepth=165:166,0,1
16S547A,,used,2008 Chevrolet Impala LT Sedan V-6 cyl,2008,Chevrolet,Impala,LS,Please Call,,3.5L V-6 cyl,Automatic,,,"141,749 miles",,http://www.tombolandfordhannibal.com/used/Chevrolet/2008-Chevrolet-Impala-f3059e910a0e0ae7421d8d5c16cd41ba.htm?searchDepth=65:84,0,1
16S548C,,used,2006 Ford Escape SUV V-6 cyl,2006,Ford,Escape,Limited,Please Call,,3.0L V-6 cyl,Automatic,,,"182,966 miles",,http://www.tombolandfordhannibal.com/used/Ford/2006-Ford-Escape-dcee99420a0e0a17597ca3b6eea6cfa6.htm?searchDepth=10:98,0,1
16S563,,new,2016 Ford Taurus SE Sedan V-6 cyl,2016,Ford,Taurus,4dr Sedan,"$20,999",,3.5L V-6 cyl,Automatic,Oxford White,Dune,,http://pictures.dealer.com/t/tombolandfordfd/0625/0cf53a8631373ea6c9a5ed268765c698x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0990/d4456cd6e7ebdddfd86ae19809c02725x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1718/0a9547e6e8eb8a379add06b7d8996a9fx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0546/5009d4579298ee5801217734bbc213b5x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0236/6ff630988237a171c3fe93fe17d24688x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1351/5ff099ea7d0a9a8fe9661c0fb37cb487x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1113/c0425982d6b08b03f6e6dcffe018f548x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0632/5144fd9d40f9e2f575e3c589aa23a691x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1885/175141c21c24427a9e67e6628f411259x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0667/d22186056e136a9f088396b34422f4dfx.jpg|http://pictures.dealer.com/t/tombolandfordfd/1092/c27fd33426232d8190558d8948d3e8a7x.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021001.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021001.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021002.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021003.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021005.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021006.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021021.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021024.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021025.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021011.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021012.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021013.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021018.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021028.jpg|http://images.dealer.com/autodata/us/640/2016/USC60FOC071A0/USC60FOC071B021044.jpg,http://www.tombolandfordhannibal.com/new/Ford/2016-Ford-Taurus-841f51e50a0e0a6b3f70d6d83b76db21.htm?searchDepth=157:161,0,1
16S628A,,used,2014 Chevrolet Cruze LS Sedan I-4 cyl,2014,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),"$9,999",,1.8L I-4 cyl,Automatic,Silver Ice Metallic - Gray,Jet Black/Medium Titanium,"53,568 miles",http://pictures.dealer.com/t/tombolandfordfd/1562/b553f2fd60612379527597e30384445ex.jpg|http://pictures.dealer.com/t/tombolandfordfd/0711/49360afacfa9398bfb3fec5d4301a02bx.jpg|http://pictures.dealer.com/t/tombolandfordfd/1470/b5afc3a7297606afb5c9edf634f8e6a8x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0074/024d2c34de6b4f20e11372f6b0d50f66x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1886/07ac9b121a1da72d2b9a5306a8f5b2e0x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1464/a16f5e076ac517305b6cca0be8424cebx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0120/120708472a69068f3a9ca175fafec3ddx.jpg|http://pictures.dealer.com/t/tombolandfordfd/1309/b05c03693300be26a4c234ed3d99f279x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1191/d62e8fb0ffc708cda2b4bbce8a9adaaex.jpg|http://pictures.dealer.com/t/tombolandfordfd/1784/62846a2cbd18f5c3dc0ee1673d090412x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1700/44654016836380c2db3743420b3c4e12x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0438/933907c7f1a3ba9667b631a2c84830c3x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1403/a0fc5ad62905ecc69544cd05d24bae20x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1172/77b2f8a2d46de0444b0c2cd1fbb78272x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0912/4df8c49171902d2fbea3df23b81f3e28x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0819/87ee7d773386a7a8fdf266811db5862bx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0372/acb1d1f7c5ae5927618fa4ce103b2d6fx.jpg|http://pictures.dealer.com/t/tombolandfordfd/1373/b07f24b6a46b2174f75e94610b4d6ac6x.jpg,http://www.tombolandfordhannibal.com/used/Chevrolet/2014-Chevrolet-Cruze-7214ce5d0a0e0a6b1b4f73a5f2b9c841.htm?searchDepth=67:89,0,1
16T204,,new,2016 Ford Transit Connect XL Van Cargo Van I-4 cyl,2016,Ford,Transit,,"$25,060",,2.5L I-4 cyl,Automatic,Frozen White,Charcoal Black Cloth,,http://pictures.dealer.com/t/tombolandfordfd/1944/e950e91b810f09bed86aaff3aec5266fx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0257/258469392b2eb08c4d404d6784dc3f4cx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0135/39a137059f81b9842efa85c098b00df3x.jpg|http://pictures.dealer.com/t/tombolandfordfd/0030/446c46e11b58ea40f0dadacce5503127x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1525/e17363c8ff8c05318674ead6ed74900ex.jpg|http://pictures.dealer.com/t/tombolandfordfd/1793/42e7c1557d6f8d693543f7856adc6f6fx.jpg|http://pictures.dealer.com/t/tombolandfordfd/0336/ed9bf436beb6db16cb9f6c1c53fb8361x.jpg|http://pictures.dealer.com/t/tombolandfordfd/1745/1be1ee4a063a1671d898a98d9565e244x.jpg|http://images.dealer.com/ddc/vehicles/2016/Ford/Transit%20Connect/Van/trim_XL_c7ab37/still/front-left/front-left-640-en_US.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_039.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_040.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_049.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_050.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_051.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_052.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_053.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_057.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_059.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_061.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_062.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_064.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_065.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_066.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_087.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_088.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_115.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_122.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_123.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_126.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_130.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_140.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_147.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_148.jpg|http://images.dealer.com/evox/stills_0640/10910/10910_st0640_150.jpg,http://www.tombolandfordhannibal.com/new/Ford/2016-Ford-Transit+Connect-1b911b4e0a0e0a171812578afe7cb613.htm?searchDepth=135:136,0,1
16T391,,new,2016 Ford F-150 Platinum Truck SuperCrew Cab V-6 cyl,2016,Ford,F-150,,"$59,565",,3.5L V-6 cyl,Automatic,Shadow Black,Black Leather,,http://pictures.dealer.com/t/tombolandfordfd/1773/0a6772ce2cf1261d016ceeb4e08e67b5x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0955/c764b1f9c4b7324178b952ec5a810a89x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0020/9d8234f734dc6a5e155adbe35706c6dex.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1632/f3f032a9b6e0cc58cf041bc246e9e538x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0148/0f8ed069e328d61a52cce3d8f360d83ax.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1519/7e4113a86a86f12a1f0f4595e50df3fax.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0914/f989bf7d29ca765fe794792ed0d4b025x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1248/5e3d814d9a1bc469c9560681d5feb622x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0343/acd25a34d47abe451e2a39e18c035d5dx.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0098/08f3c1a90e5adb08a86d8fea56293411x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1156/af9b164d528a3976faa4d5b6a48434e0x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1804/a2b30ca302bdf58e44728354486c4172x.jpg?imwidth=640|http://assets.clickmotive.com/forddig/Ford/F-150/2016/BP3TT-FULL-EXT/Image[|Ford|F-150|2016|1|1.|701A.W1E.145.G1.LSC.889.18P.91S.52L.SS5.64P.55A.53A.68T.85A.CCAB.89B.~C1UAD.~BMCAI.99G.ULR.AWD.PLA.63T.435.55B.43V.47E.67T.50A.17B.76R.91V.595.]/EXT/1/vehicle.png?w=640&rc=1?imwidth=640|http://assets.clickmotive.com/forddig/Ford/F-150/2016/BP3TT-FULL-EXT/Image[|Ford|F-150|2016|1|1.|701A.W1E.145.G1.LSC.889.18P.91S.52L.SS5.64P.55A.53A.68T.85A.CCAB.89B.~C1UAD.~BMCAI.99G.ULR.AWD.PLA.63T.435.55B.43V.47E.67T.50A.17B.76R.91V.595.]/EXT/2/vehicle.png?w=640&rc=1?imwidth=640|http://assets.clickmotive.com/forddig/Ford/F-150/2016/BP3TT-FULL-EXT/Image[|Ford|F-150|2016|1|1.|701A.W1E.145.G1.LSC.889.18P.91S.52L.SS5.64P.55A.53A.68T.85A.CCAB.89B.~C1UAD.~BMCAI.99G.ULR.AWD.PLA.63T.435.55B.43V.47E.67T.50A.17B.76R.91V.595.]/EXT/3/vehicle.png?w=640&rc=1?imwidth=640|http://assets.clickmotive.com/forddig/Ford/F-150/2016/BP3TT-FULL-EXT/Image[|Ford|F-150|2016|1|1.|701A.W1E.145.G1.LSC.889.18P.91S.52L.SS5.64P.55A.53A.68T.85A.CCAB.89B.~C1UAD.~BMCAI.99G.ULR.AWD.PLA.63T.435.55B.43V.47E.67T.50A.17B.76R.91V.595.]/EXT/4/vehicle.png?w=640&rc=1?imwidth=640|http://assets.clickmotive.com/forddig/Ford/F-150/2016/BP3TT-FULL-EXT/Image[|Ford|F-150|2016|1|1.|701A.W1E.145.G1.LSC.889.18P.91S.52L.SS5.64P.55A.53A.68T.85A.CCAB.89B.~C1UAD.~BMCAI.99G.ULR.AWD.PLA.63T.435.55B.43V.47E.67T.50A.17B.76R.91V.595.]/INT/1/vehicle.png?w=640&rc=1?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021001.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021001.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021002.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021003.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021005.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021006.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021021.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021024.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021025.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021011.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021012.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021013.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021018.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021028.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11AE0/USC50FOT11AE021032.jpg?imwidth=640|http://images.dealer.com/autodata/us/640/2016/USC60FOT11,http://www.tombolandfordhannibal.com/new/Ford/2016-Ford-F-150-1b95c58c0a0e0a171812578a16e3e64e.htm?searchDepth=55:142,0,1
16T391A,,used,2012 Ford F-150 4WD Lariat Supercrew Truck SuperCrew Cab V-6 cyl,2012,Ford,F-150,XL,"$33,477",,3.5L V-6 cyl,Automatic,Tuxedo Black Metallic,,"27,150 miles",http://pictures.dealer.com/t/tombolandfordfd/0028/fb7f2b722fe034893cc171ffe12a0aeex.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1347/b5e0fc2998e1f846bc403ed4147a3e59x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1719/c5c8ba4bd6766115555cd5c434fa3f03x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1956/4a064ae7e153897532b292ad872c7087x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0986/0e154d4aeff4c0302291bff5bf6df363x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1215/40e481ea602ae52d94a55a1725d3ce07x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1144/e00324e6276592d61ffa0acdd57359bbx.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0017/ca4d21d3e16175c3fbdf5bcf714efc4ax.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0167/bbe87d39b683a8906a250685f62c1d3cx.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1236/563685907dd74a9389510618e593de9ax.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0548/9e321524c1500bdc3586efdd4856c11dx.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1249/721315cd91fd5b9b867df3964a78416ax.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0939/c2af4875b2b2f5b07626472d1acc7601x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1075/cfaf924845abeda4e8326767e9c8ae17x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1314/d57e8792f50919ba9772c6370cb30ba7x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1618/1203167f135d4e004139e3cf43b9579dx.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0986/579f8d7871cb52dd84587d907666aee0x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0574/4e413c5fe21a903c25b22b1cdb5382b7x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/1080/9308750cb5af09c37ebcf8d4810a52a7x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0555/2be29b82216c3601fe5df08973bb9670x.jpg?imwidth=640|http://pictures.dealer.com/t/tombolandfordfd/0372/32aa6eb2fcc2905a8a684edac82a16d0x.jpg?imwidth=640,http://www.tombolandfordhannibal.com/used/Ford/2012-Ford-F-150-8b0029cb0a0e0a6b1373052166c55a1a.htm?searchDepth=22:85,0,1
