stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2781478893,,used,2012 Chevrolet Equinox,2012,Chevrolet,Equinox,,"$11,895",,4 Cylinder Engine,Automatic,Silver,N/A,"130,000",http://inventory-dmg.assets-cdk.com/5/8/9/14111681985.jpg|http://inventory-dmg.assets-cdk.com/8/7/0/14111682078.jpg|http://inventory-dmg.assets-cdk.com/9/7/1/14111682179.jpg|http://inventory-dmg.assets-cdk.com/3/7/2/14111682273.jpg|http://inventory-dmg.assets-cdk.com/6/5/3/14111682356.jpg|http://inventory-dmg.assets-cdk.com/5/3/4/14111682435.jpg|http://inventory-dmg.assets-cdk.com/7/1/5/14111682517.jpg|http://inventory-dmg.assets-cdk.com/6/0/6/14111682606.jpg|http://inventory-dmg.assets-cdk.com/1/8/6/14111682681.jpg|http://inventory-dmg.assets-cdk.com/7/6/7/14111682767.jpg|http://inventory-dmg.assets-cdk.com/2/6/8/14111682862.jpg|http://inventory-dmg.assets-cdk.com/3/4/9/14111682943.jpg|http://inventory-dmg.assets-cdk.com/5/6/0/14111683065.jpg|http://inventory-dmg.assets-cdk.com/3/2/1/14111683123.jpg|http://inventory-dmg.assets-cdk.com/5/0/2/14111683205.jpg|http://inventory-dmg.assets-cdk.com/7/8/2/14111683287.jpg|http://inventory-dmg.assets-cdk.com/8/6/3/14111683368.jpg|http://inventory-dmg.assets-cdk.com/6/4/4/14111683446.jpg|http://inventory-dmg.assets-cdk.com/5/3/5/14111683535.jpg|http://inventory-dmg.assets-cdk.com/4/1/6/14111683614.jpg|http://inventory-dmg.assets-cdk.com/6/1/7/14111683716.jpg|http://inventory-dmg.assets-cdk.com/7/9/7/14111683797.jpg|http://inventory-dmg.assets-cdk.com/8/8/8/14111683888.jpg|http://inventory-dmg.assets-cdk.com/6/8/9/14111683986.jpg|http://inventory-dmg.assets-cdk.com/0/6/0/14111684060.jpg|http://inventory-dmg.assets-cdk.com/6/2/3/14111684326.jpg|http://inventory-dmg.assets-cdk.com/9/0/4/14111684409.jpg|http://inventory-dmg.assets-cdk.com/8/9/4/14111684498.jpg|http://inventory-dmg.assets-cdk.com/9/8/5/14111684589.jpg|http://inventory-dmg.assets-cdk.com/9/6/6/14111684669.jpg|http://inventory-dmg.assets-cdk.com/4/3/7/14111684734.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2012/13577.jpg,http://www.tomsmithchevrolet.ca/VehicleDetails/used-2012-Chevrolet-Equinox-LS_____BLUETOOTH____CRUISE-Midland-ON/2781478893,0,1
2823667903,,new,2017 Chevrolet Cruze,2017,Chevrolet,Cruze,,"$24,462",,153HP 1.4L 4 Cylinder Engine,Automatic,Kinetic Blue,Jet Black,,http://inventory-dmg.assets-cdk.com/3/1/4/14291687413.jpg|http://inventory-dmg.assets-cdk.com/1/3/4/14291687431.jpg|http://inventory-dmg.assets-cdk.com/8/4/4/14291687448.jpg|http://inventory-dmg.assets-cdk.com/5/6/4/14291687465.jpg|http://inventory-dmg.assets-cdk.com/7/7/4/14291687477.jpg|http://inventory-dmg.assets-cdk.com/2/9/4/14291687492.jpg|http://inventory-dmg.assets-cdk.com/5/0/5/14291687505.jpg|http://inventory-dmg.assets-cdk.com/2/2/5/14291687522.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/384103/cc_2017CHC300002_01_640_GD1.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-Chevrolet-Cruze-LT_____SiriusXM___Heated_Seats-Midland-ON/2823667903,0,1
2823667933,,new,2017 Chevrolet Cruze,2017,Chevrolet,Cruze,,"$23,862",,153HP 1.4L 4 Cylinder Engine,Automatic,Kinetic Blue,Jet Black,,http://inventory-dmg.assets-cdk.com/0/1/4/14497775410.jpg|http://inventory-dmg.assets-cdk.com/6/3/4/14497775436.jpg|http://inventory-dmg.assets-cdk.com/4/6/4/14497775464.jpg|http://inventory-dmg.assets-cdk.com/7/9/4/14497775497.jpg|http://inventory-dmg.assets-cdk.com/9/2/5/14497775529.jpg|http://inventory-dmg.assets-cdk.com/2/6/5/14497775562.jpg|http://inventory-dmg.assets-cdk.com/1/9/5/14497775591.jpg|http://inventory-dmg.assets-cdk.com/8/1/6/14497775618.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GD1_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/384103/cc_2017CHC300002_01_640_GD1.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-Chevrolet-Cruze-LT_____SiriusXM___Heated_Seats-Midland-ON/2823667933,0,1
2824368593,,new,2017 Chevrolet Cruze,2017,Chevrolet,Cruze,,"$23,744",,153HP 1.4L 4 Cylinder Engine,Automatic,Mosaic Black,Jet Black,,http://inventory-dmg.assets-cdk.com/4/4/6/14497775644.jpg|http://inventory-dmg.assets-cdk.com/2/7/6/14497775672.jpg|http://inventory-dmg.assets-cdk.com/5/9/6/14497775695.jpg|http://inventory-dmg.assets-cdk.com/7/1/7/14497775717.jpg|http://inventory-dmg.assets-cdk.com/2/4/7/14497775742.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GB8_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/384103/cc_2017CHC300002_01_640_GB8.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-Chevrolet-Cruze-LT_____SiriusXM___Heated_Seats-Midland-ON/2824368593,0,1
2824995233,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,,"$56,847",,355HP 5.3L 8 Cylinder Engine,Automatic,Deep Ocean Blue,Jet Black,,http://inventory-dmg.assets-cdk.com/2/7/4/14389565472.jpg|http://inventory-dmg.assets-cdk.com/1/9/4/14389565491.jpg|http://inventory-dmg.assets-cdk.com/6/0/5/14389565506.jpg|http://inventory-dmg.assets-cdk.com/0/2/5/14389565520.jpg|http://inventory-dmg.assets-cdk.com/8/3/5/14389565538.jpg|http://inventory-dmg.assets-cdk.com/0/6/5/14389565560.jpg|http://inventory-dmg.assets-cdk.com/0/7/5/14389565570.jpg|http://inventory-dmg.assets-cdk.com/5/8/5/14389565585.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_G1K_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_G1K_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_G1K_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/ext_G1K_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298033/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383737/cc_2017CHT270010_01_640_G1K.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-Chevrolet-Silverado_1500-LT_____Navigation____MyLink_Audio___SiriusXM-Midland-ON/2824995233,0,1
2824995263,,new,2017 GMC Sierra 1500,2017,GMC,Sierra 1500,,"$49,788",,5.3L 8 Cylinder Engine,Automatic,Onyx Black,Jet Black,,http://inventory-dmg.assets-cdk.com/3/9/4/14314052493.jpg|http://inventory-dmg.assets-cdk.com/6/0/5/14314052506.jpg|http://inventory-dmg.assets-cdk.com/7/1/5/14314052517.jpg|http://inventory-dmg.assets-cdk.com/9/2/5/14314052529.jpg|http://inventory-dmg.assets-cdk.com/3/4/5/14314052543.jpg|http://inventory-dmg.assets-cdk.com/2/5/5/14314052552.jpg|http://inventory-dmg.assets-cdk.com/1/6/5/14314052561.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/int_H0U_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3298333/default/int_H0U_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/384772/cc_2017GMT170003_01_640_GBA.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-GMC-Sierra_1500-SLE_____SiriusXM-Midland-ON/2824995263,0,1
2825203133,,new,2017 GMC Acadia,2017,GMC,Acadia,,"$42,382",,310HP 3.6L V6 Cylinder Engine,Automatic,Ebony Twilight,Jet Black,,http://inventory-dmg.assets-cdk.com/6/9/6/14708917696.jpg|http://inventory-dmg.assets-cdk.com/7/0/7/14708917707.jpg|http://inventory-dmg.assets-cdk.com/6/1/7/14708917716.jpg|http://inventory-dmg.assets-cdk.com/5/2/7/14708917725.jpg|http://inventory-dmg.assets-cdk.com/3/3/7/14708917733.jpg|http://inventory-dmg.assets-cdk.com/4/4/7/14708917744.jpg|http://inventory-dmg.assets-cdk.com/1/5/7/14708917751.jpg|http://inventory-dmg.assets-cdk.com/1/6/7/14708917761.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/ext_GB8_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/int_H1T_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/int_H1T_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/int_H1T_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2017/3254833/default/int_H1T_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/383085/cc_2017GMS240003_01_640_GB8.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-GMC-Acadia-SLE____Power_Liftgate___Heated_Seats-Midland-ON/2825203133,0,1
2827595053,,new,2017 Chevrolet Silverado 1500,2017,Chevrolet,Silverado 1500,,"$41,646",,355HP 5.3L 8 Cylinder Engine,Automatic,Black,Dark Ash with Jet Black Interior Accents,,http://inventory-dmg.assets-cdk.com/2/4/1/14164225142.jpg|http://inventory-dmg.assets-cdk.com/9/5/1/14164225159.jpg|http://inventory-dmg.assets-cdk.com/0/8/1/14164225180.jpg|http://inventory-dmg.assets-cdk.com/8/9/1/14164225198.jpg|http://inventory-dmg.assets-cdk.com/9/1/2/14164225219.jpg|http://inventory-dmg.assets-cdk.com/2/3/2/14164225232.jpg|http://inventory-dmg.assets-cdk.com/6/5/2/14164225256.jpg|http://inventory-dmg.assets-cdk.com/3/7/2/14164225273.jpg|http://inventory-dmg.assets-cdk.com/1/9/2/14164225291.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298083/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298083/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298083/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298083/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298083/default/int_H2R_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3298083/default/int_H2R_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383734/cc_2017CHT270008_01_640_GBA.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-Chevrolet-Silverado_1500-__SiriusXM-Midland-ON/2827595053,0,1
2827595093,,new,2017 Chevrolet Traverse,2017,Chevrolet,Traverse,,"$50,700",,288HP 3.6L V6 Cylinder Engine,Automatic,Mosaic Black,Ebony,,http://inventory-dmg.assets-cdk.com/2/5/1/14396709152.jpg|http://inventory-dmg.assets-cdk.com/2/6/1/14396709162.jpg|http://inventory-dmg.assets-cdk.com/0/7/1/14396709170.jpg|http://inventory-dmg.assets-cdk.com/3/8/1/14396709183.jpg|http://inventory-dmg.assets-cdk.com/2/0/2/14396709202.jpg|http://inventory-dmg.assets-cdk.com/5/1/2/14396709215.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/ext_GB8_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/int_193_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273273/default/int_193_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/383441/cc_2017CHS290002_01_640_GB8.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-Chevrolet-Traverse-Premier_____Navigation___Collision_Alert-Midland-ON/2827595093,0,1
2833232453,,new,2017 Chevrolet Cruze,2017,Chevrolet,Cruze,,"$26,104",,153HP 1.4L 4 Cylinder Engine,Automatic,Cajun Red,Jet Black,,http://inventory-dmg.assets-cdk.com/7/5/0/14266799057.jpg|http://inventory-dmg.assets-cdk.com/2/7/0/14266799072.jpg|http://inventory-dmg.assets-cdk.com/1/9/0/14266799091.jpg|http://inventory-dmg.assets-cdk.com/8/0/1/14266799108.jpg|http://inventory-dmg.assets-cdk.com/6/2/1/14266799126.jpg|http://inventory-dmg.assets-cdk.com/0/4/1/14266799140.jpg|http://inventory-dmg.assets-cdk.com/6/5/1/14266799156.jpg|http://inventory-dmg.assets-cdk.com/5/7/1/14266799175.jpg|http://inventory-dmg.assets-cdk.com/6/8/1/14266799186.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GPJ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GPJ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GPJ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GPJ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/384103/cc_2017CHC300002_01_640_GPJ.png,http://www.tomsmithchevrolet.ca/VehicleDetails/new-2017-Chevrolet-Cruze-LT_____Sunroof___SiriusXM-Midland-ON/2833232453,0,1
