stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
225307,,used,2010 Mercedes-Benz E-Class E350 | AWD | LEATHER | ROOF | LOADED,2010,Mercedes-Benz,E350,,"$20,888",Sedan,3.5LL V-6 cyl,,,,117632,http://pictures.dealer.com/t/torontoautogrouptc/1133/3efa2f18cbbb1fe8882601f844bd6ad6x_-46754884.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0127/908f74c34c8a1cccd234aff833b18f93x.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/1638/4af11b551652f55b35894977ff3138f2x.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/1556/8f4a0b18a34c0e655c32832de9736084x.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/1396/62bd29dda8d59f3ec2e7cbecbc134983x.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0058/8877c9d6906316ee76b57e7f55b20581x.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0146/2182426316a0f21d255a5e5c352d136fx.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/1635/7d212d3bd52899690b296fe15e8b19c7x.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0114/ddc8b41163bf01a3a11917f987e3b3cbx.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0864/2b854bb48b68e6e90dba4dddd88be38dx.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0362/89d4ffc0122af6f401187e5e7872b96dx.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0819/8f7129509cf51fb341abb9a745b25fa7x.jpg?imwidth=640|http://pictures.dealer.com/t/torontoautogrouptc/0746/08fd43e3a35c607cb950d69014224e7ex.jpg?imwidth=640,http://www.torontoautogroup.ca/used/Mercedes-Benz/2010-Mercedes-Benz-E-Class-Toronto-77e8dd9f0a0e0aea4a9cbb012ecacaea.htm,0,1
PQ0911RN,,used,2009 Nissan Altima,2009,Nissan,Altima,Hybrid HEV,"$7,888",Sedan,2.5LL I-4 cyl,,,,150630,http://images.dealer.com/autodata/ca/large_stockphoto/2009/CAB90NIC041A0.jpg,http://www.torontoautogroup.ca/used/Nissan/2009-Nissan-Altima-Toronto-67e8b7110a0e0adf3e0eb2a52467707a.htm,0,1
PQ1430RP,,used,2002 Ford F-150,2002,Ford,F-150,,Please Call,Truck Super Cab,4.6LL V-8 cyl,,Black,,274000,http://images.dealer.com/autodata/ca/large_stockphoto-color/2002/CAB20FOT117A0/UA.jpg,http://www.torontoautogroup.ca/used/Ford/2002-Ford-F-150-Toronto-258c29ee0a0e0a1777641ac075ec592a.htm,0,1
PQ1502RU,,used,2006 Chrysler Sebring Touring,2006,Chrysler,Sebring,Touring,Please Call,Sedan,2.7LL V-6 cyl,,Silver,,139000,http://images.dealer.com/autodata/ca/large_stockphoto-color/2006/CAB60CDC062B0/PS2.jpg,http://www.torontoautogroup.ca/used/Chrysler/2006-Chrysler-Sebring-Toronto-9b678b250a0e0ae7682674b804c8cadb.htm,0,1
PQ1688RN,,used,2013 Ford Escape S | AUTOMATIC | POWER GROUP | 7 TO CHOOSE,2013,Ford,Escape,S,"$11,888",SUV,2.5LL I-4 cyl,,Silver,Charcoal Black,148684,http://pictures.dealer.com/t/torontoautogrouptc/1408/cc2200e473e60a5436f5497933688633x_-46754884.jpg|http://pictures.dealer.com/t/torontoautogrouptc/1979/6b08df583f2a4ec47971815e2d2e607cx.jpg|http://pictures.dealer.com/t/torontoautogrouptc/1802/0e7ea51110674456b55b95662944aa08x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/1134/d87c2505cbbad5ab60e1aa26551d83aex.jpg|http://pictures.dealer.com/t/torontoautogrouptc/1443/d5db9e63ced33dc9c39b5a78b50864b4x.jpg,http://www.torontoautogroup.ca/used/Ford/2013-Ford-Escape-Toronto-2907a3f80a0e0a171812578a3a48194a.htm,0,1
PS0125RN,,used,2009 Honda Accord EX-L | LEATHER | AUTO | LOADED,2009,Honda,Accord,EX V6 Automatic,"$11,988",Sedan,2.4LL I-4 cyl,,Crystal Black Pearl,Black,146296,http://pictures.dealer.com/t/torontoautogrouptc/0100/27ddc10e889daf05c381dbb5463ba8d1x_-46754884.jpg|http://pictures.dealer.com/t/torontoautogrouptc/0957/a986a87227152a43b63b97f7092c08a0x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/1162/437144413b99f76effed364edcbc5c5dx.jpg,http://www.torontoautogroup.ca/used/Honda/2009-Honda-Accord-Toronto-d4e595c90a0e0a1701d2b54a6b3e9860.htm,0,1
PS0216RT,,used,2010 Toyota RAV4 SPORT | AUTOMATIC | AWD | POWER GROUP,2010,Toyota,RAV4,Sport,"$11,888",SUV,2.5LL I-4 cyl,,Black,Grey,120737,http://pictures.dealer.com/t/torontoautogrouptc/1387/b90bef334501c04ff7cd7562ca92dbc2x_-46754884.jpg|http://pictures.dealer.com/t/torontoautogrouptc/0693/c32d9ea3815443da019a9d10323f1e55x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/0789/225703a8628d1b168588de9a103cfe66x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/1327/18bc114a6a4aa9c8e4414a839bde09c9x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/0035/813be02ebe1b43f55692509487718ef0x.jpg,http://www.torontoautogroup.ca/used/Toyota/2010-Toyota-RAV4-Toronto-c9239fd40a0e08bb7a66effec8d3562a.htm,0,1
PS0225RP,,used,2010 Dodge Journey SXT,2010,Dodge,Journey,SXT,Please Call,SUV,3.5LL V-6 cyl,,Stone White,,200000,http://images.dealer.com/autodata/ca/large_stockphoto-color/2010/CAC00DOS041B0/PW1.jpg,http://www.torontoautogroup.ca/used/Dodge/2010-Dodge-Journey-Toronto-431c28c50a0e0ae75e6ee282ea88852f.htm,0,1
PS0257RT,,used,2011 Dodge Grand Caravan CREW | 7 PASS | ALLOYS | FINANCING AVAILABLE,2011,Dodge,Grand Caravan,Crew,"$14,888",Van,3.6LL V-6 cyl,,Bright Silver,Black/Light Greystone,116457,http://pictures.dealer.com/t/torontoautogrouptc/1438/dee78b50c9a50ae5bdb84fa39641b871x_-46754884.jpg|http://pictures.dealer.com/t/torontoautogrouptc/0227/f93067066a0b216b1760fb0c4a62e7f6x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/0438/69252ef1073505ee2697c7db71b81c92x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/0674/45b78823f535eceb4c59124ceed3ce36x.jpg|http://pictures.dealer.com/t/torontoautogrouptc/1128/4b5e677e491ca90c586a13ea5153e389x.jpg,http://www.torontoautogroup.ca/used/Dodge/2011-Dodge-Grand+Caravan-Toronto-8726243c0a0e0ae8385ef224a3f338de.htm,0,1
PS0273RO,,used,2007 Dodge Nitro,2007,Dodge,Nitro,R/T,Please Call,SUV,3.7LL V-6 cyl,,Black,,126578,http://images.dealer.com/autodata/ca/large_stockphoto-color/2007/CAB70DDS022B0/PX8.jpg,http://www.torontoautogroup.ca/used/Dodge/2007-Dodge-Nitro-Toronto-edda82af0a0e0adf5dc31896bf9b9d72.htm,0,1
