stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2062A,,used,2012 Chevrolet Cruze,2012,Chevrolet,Cruze,1LT,"$10,900",4 Door,1.4L 4 CYL. GAS,AUTOMATIC,SILVER,BLACK CLOTH,"70,289",http://cdn.carbase.com/dealer/totallemars/3586367_83800810_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800811_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800812_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800813_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800814_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800815_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800816_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800817_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800818_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800819_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800820_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800821_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800822_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800823_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800824_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800825_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800826_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800827_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800828_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800829_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800830_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800831_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800832_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800833_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800834_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800835_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800836_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_83800837_640.jpg|http://cdn.carbase.com/dealer/totallemars/3586367_85572819_640.jpg,http://www.totalmotors.com/inventory/details/used/Chevrolet/Cruze/2012/Le-Mars/Iowa/3586367,0,1
2089D,,used,2009 Chevrolet Equinox,2009,Chevrolet,Equinox,Sport,Please Call,Sport Utility,3.4L 6 CYL. GAS,AUTOMATIC,SILVER,---,"111,309",,http://www.totalmotors.com/inventory/details/used/Chevrolet/Equinox/2009/Le-Mars/Iowa/4077873,0,0
2099A,,used,1997 Chevrolet Blazer,1997,Chevrolet,Blazer,S-10,Please Call,Sport Utility,4.3L 6 CYL. GAS,AUTOMATIC,---,---,0,,http://www.totalmotors.com/inventory/details/used/Chevrolet/Blazer/1997/Le-Mars/Iowa/3896932,0,1
2127,,new,2017 Chevrolet Camaro,2017,Chevrolet,Camaro,,"$32,040",2 Door,3.6L 6 CYL. GAS,AUTOMATIC,RED HOT,---,0,https://cdn.carbase.com/dealer/totallemars/3654044_87589456_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589457_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589459_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589461_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589463_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589465_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589466_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589468_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589469_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589470_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589471_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589472_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589473_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589474_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589475_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589477_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589479_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589481_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589482_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589485_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589486_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589488_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589490_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589492_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589494_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589495_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_87589497_640.jpg|https://cdn.carbase.com/dealer/totallemars/3654044_93812563_640.jpg,http://www.totalmotors.com/inventory/details/new/Chevrolet/Camaro/2017/Le-Mars/Iowa/3654044,0,0
2142B,,used,2010 Chevrolet Impala,2010,Chevrolet,Impala,LS,"$8,995",4 Door,3.5L 6 Cyl. Flex Fuel,AUTOMATIC,GRAY,GRAY CLOTH,"118,798",https://cdn.carbase.com/dealer/totallemars/3976597_92196204_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196207_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196209_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196211_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196213_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196215_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196217_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196219_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196221_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196223_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196225_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196227_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196228_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196231_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196233_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196237_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196239_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196241_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196243_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196244_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196245_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196246_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196247_640.jpg|https://cdn.carbase.com/dealer/totallemars/3976597_92196248_640.jpg,http://www.totalmotors.com/inventory/details/used/Chevrolet/Impala/2010/Le-Mars/Iowa/3976597,0,1
2143B,,used,2005 Chevrolet Aveo,2005,Chevrolet,Aveo,1.6 LT Wagon,Please Call,,1.6L 4 CYL. GAS,MANUAL,RED,---,0,,http://www.totalmotors.com/inventory/details/used/Chevrolet/Aveo/2005/Le-Mars/Iowa/3942614,0,1
2153A,,used,2016 Chevrolet Colorado,2016,Chevrolet,Colorado,,"$31,900",Pickup - Compact,3.6L 6 Cyl. Gas,AUTOMATIC,RED,---,"39,114",http://cdn.carbase.com/dealer/totallemars/3873268_90225435_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225436_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225437_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225438_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225439_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225440_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225441_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225442_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225443_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225444_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225445_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225446_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225447_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225448_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225449_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225450_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225451_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225452_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225453_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225454_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225455_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225456_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225457_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225458_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225459_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225460_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225461_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225462_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225463_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225464_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225465_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225466_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225467_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225468_640.jpg|http://cdn.carbase.com/dealer/totallemars/3873268_90225469_640.jpg,http://www.totalmotors.com/inventory/details/used/Chevrolet/Colorado/2016/Le-Mars/Iowa/3873268,0,1
2154,,used,2017 Chevrolet Corvette,2017,Chevrolet,Corvette,,"$64,150",2 Door,6.2L 8 CYL. GAS,AUTOMATIC,WHITE,RED LEATHER,0,http://cdn.carbase.com/dealer/totallemars/3865175_88364058_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364059_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364060_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364061_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364062_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364063_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364064_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364065_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364066_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364067_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364068_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364069_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364070_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364071_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364072_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364073_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364074_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364075_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364076_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364077_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364078_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364079_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364080_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364081_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364082_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364083_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364084_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364085_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364086_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364087_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364088_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364089_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364090_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364091_640.jpg|http://cdn.carbase.com/dealer/totallemars/3865175_88364092_640.jpg,http://www.totalmotors.com/inventory/details/used/Chevrolet/Corvette/2017/Le-Mars/Iowa/3865175,0,1
2160A,,used,2014 Chevrolet Cruze,2014,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),Please Call,4 Door,1.4L 4 CYL. GAS,AUTOMATIC,BLUE,---,"69,249",,http://www.totalmotors.com/inventory/details/used/Chevrolet/Cruze/2014/Le-Mars/Iowa/3962041,0,1
2166A,,used,2014 Chevrolet Equinox,2014,Chevrolet,Equinox,LT 4dr SUV AWD w/2LT (2.4L 4cyl 6A),Please Call,,2.4L 4 CYL. GAS,AUTOMATIC,MAROON,---,"72,578",,http://www.totalmotors.com/inventory/details/used/Chevrolet/Equinox/2014/Le-Mars/Iowa/3934164,0,1
