stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
170339,,new,2017 Toyota Tundra SR5,2017,Toyota,Tundra,SR5,"$41,348",Crew Max,,Automatic,Black,Black,,https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/15.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f1xhx597299/ip/16.jpg,https://www.toyotaknoxville.com/new-Knoxville-2017-Toyota-Tundra-SR5-5TFDW5F1XHX597299,0,0
170352,,new,2017 Toyota Tundra SR5,2017,Toyota,Tundra,SR5,"$39,884",Crew Max,,Automatic,Barcelona Red,Black,,https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f12hx597779/ip/15.jpg,https://www.toyotaknoxville.com/new-Knoxville-2017-Toyota-Tundra-SR5-5TFDW5F12HX597779,0,0
170356,,new,2017 Toyota Yaris 3-Door,2017,Toyota,Yaris,3-Door LE Auto,"$17,534",3D Hatchback,,Automatic,Black Sand,Black,,https://www.toyotaknoxville.com/assets/inventory/vehicles/vnkjtud31ha072930/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/vnkjtud31ha072930/ip/3.jpg,https://www.toyotaknoxville.com/new-Knoxville-2017-Toyota-Yaris-3+Door+LE+Auto-VNKJTUD31HA072930,0,0
170411,,new,2017 Toyota Tundra SR5,2017,Toyota,Tundra,SR5,"$40,134",Crew Max,,Automatic,Blazing Blue,Black,,https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/15.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx600789/ip/16.jpg,https://www.toyotaknoxville.com/new-Knoxville-2017-Toyota-Tundra-SR5-5TFDW5F10HX600789,0,1
170455,,new,2017 Toyota Tundra SR5,2017,Toyota,Tundra,SR5,"$41,553",Crew Max,,Automatic,Black,Graphite,,https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/15.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/16.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f14hx602660/ip/17.jpg,https://www.toyotaknoxville.com/new-Knoxville-2017-Toyota-Tundra-SR5-5TFDW5F14HX602660,0,1
170474,,new,2017 Toyota Tundra SR5,2017,Toyota,Tundra,SR5,"$48,617",4D CrewMax,,Automatic,Magnetic Gray,Graphite,,https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/15.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/5tfdw5f10hx603353/ip/16.jpg,https://www.toyotaknoxville.com/new-Knoxville-2017-Toyota-Tundra-SR5-5TFDW5F10HX603353,0,1
170532A,,used,2017 Toyota Camry XLE,2017,Toyota,Camry,XLE,"$21,988",4D Sedan,4 Cyl - 2.5 L,Automatic,Blue,,"15,155",https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/15.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/16.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/17.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/18.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/19.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/20.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/4t1bf1fkxhu625155/ip/21.jpg,https://www.toyotaknoxville.com/used-Knoxville-2017-Toyota-Camry-XLE-4T1BF1FKXHU625155,0,0
170586A,,used,2012 Toyota Tacoma</a>,2012,Toyota,Tacoma,Access Cab V6,"$25,996",4D Double Cab,6 Cyl - 4.0 L,,Gray,,"73,335",https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/15.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/16.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/17.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/18.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/19.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmlu4en6cm082038/ip/20.jpg,https://www.toyotaknoxville.com/used-Knoxville-2012-Toyota-Tacoma-Base-3TMLU4EN6CM082038,0,1
170628A,,used,2016 Toyota Tacoma</a>,2016,Toyota,Tacoma,,"$33,945",4D Double Cab,6 Cyl - 6 L,6-Speed,Black,,"23,636",https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/2.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/3.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/4.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/5.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/6.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/7.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/8.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/9.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/10.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/11.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/12.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/13.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/14.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/15.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/16.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/17.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/18.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/19.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/20.jpg|https://www.toyotaknoxville.com/assets/inventory/vehicles/3tmcz5an4gm031978/ip/21.jpg,https://www.toyotaknoxville.com/used-Knoxville-2016-Toyota-Tacoma-Base-3TMCZ5AN4GM031978,0,1
170628B,,used,2006 Toyota Tacoma PreRunner,2006,Toyota,Tacoma,PreRunner Access Cab,"$11,993",4D Double Cab,6 Cyl - 4.0 L,Automatic,Ming Blue,,"156,324",https://www.toyotaknoxville.com/assets/stock/multiview/white/640/usb60tot098a0/usb60tot098a0101.jpg|https://www.toyotaknoxville.com/assets/stock/multiview/white/640/usb60tot098a0/usb60tot098a0102.jpg|https://www.toyotaknoxville.com/assets/stock/multiview/white/640/usb60tot098a0/usb60tot098a0112.jpg|https://www.toyotaknoxville.com/assets/stock/multiview/white/640/usb60tot098a0/usb60tot098a0314.jpg,https://www.toyotaknoxville.com/used-Knoxville-2006-Toyota-Tacoma-PreRunner-5TEJU62N96Z275265,0,1
