stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
1055098,,new,,2016,Prime Time Manufacturing,Avenger ATI Travel Trailer 27DBS,,35995,Travel Trailer,,,CHOCOLATE DECOR,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1055098&in-stock=1,0,1
1055146,,new,,2016,Prime Time Manufacturing,Avenger Travel Trailer 32BIT,,34496,Travel Trailer,,,CARMEL DECOR,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1055146&in-stock=1,0,1
1055152,,new,,2016,Prime Time Manufacturing,Crusader Lite Fifth Wheel 29RS,,39999,Fifth-Wheel,,,COPPER DECOR,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1055152&in-stock=1,0,1
1055210,,new,,2016,Lacrosse by Prime Time Manufacturing,LaCrosse 337RKT,,44980,Travel Trailer,,,CARMEL DECOR,,,http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/738c3b63-7bfc-4eab-bd63-39eedfe9a5b2.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/096486eb-2530-4e55-aae7-c5299c3e2a65.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/11fa2cb8-2845-43d3-8ab3-45112666e137.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/468d6fb9-fc94-4ee4-a20a-2cf4572f7f94.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/7f8df957-7d68-41f6-b4ed-c4c004fc8fe0.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/322c5926-f396-4606-8908-279d74a16b67.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/d89fa174-6091-41e8-b5f9-97565f7c6de0.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/c558cd33-00d3-4546-9185-9d3afb02d808.jpeg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1055210&in-stock=1,0,0
1056756,,new,,2016,Prime Time Manufacturing,Avenger Travel Trailer 30QBS,,39995,Travel Trailer,,,CHOCOLATE DECOR,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1056756&in-stock=1,0,1
1056763,,new,,2016,Prime Time Manufacturing,Crusader Lite Fifth Wheel 30BH,,43995,Fifth-Wheel,,,COPPER DECOR,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1056763&in-stock=1,0,1
1056793,,new,,2016,Prime Time Manufacturing,Avenger Travel Trailer 32BIT,,34999,Travel Trailer,,,CHOCOLATE DECOR,,,http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/958ddfbc-bd18-46cc-a98b-63e937bf4259.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/e00c45ca-b2e9-442c-99d7-41007477cf29.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/dd67e6d4-1771-45a3-805e-cdf8b642d09a.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/d1be8f9e-e56f-4a4c-97a4-219af747e06d.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/44c5ba1e-de0e-4d0f-ab51-0338417569cc.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/082172e6-c3d7-4a4e-9042-7665b12068ea.jpeg|http://cdnmedia.endeavorsuite.com/images/catalogs/10086/products/detail/a650f638-bcd6-4e9b-96b8-a73d20e79cb9.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/7cb959e7-434c-44aa-8f18-960ad670a34a.jpeg|http://cdnmedia.endeavorsuite.com/images/catalogs/10086/products/detail/9bdbf78d-b3f7-43ab-b21e-5e38b9215596.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/181f1856-4016-497e-919c-c13f6acf5437.jpeg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1056793&in-stock=1,0,1
1059056,,new,,2016,Avenger by Prime Time Manufacturing,Avenger 34DBQ,,47995,Travel Trailer,,,CARMEL DECOR,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1059056&in-stock=1,0,1
1060901,,new,,2016,FR3 by Forest River,FR3 32DS,,117495,Class A,,,MOCHA INTERIOR,,5000 DEMO,http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/3a9ac446-6ab6-4c0e-9d4f-b4839b41605c.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/2a4b44da-038c-4289-ad16-f8610cc1f98f.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/fa12b856-6b4e-4ef3-81f7-1fc600f43277.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/ed09d00f-9b42-4374-b953-cbd841895656.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/24081cbe-33df-4dbb-8379-9fc59a07e2f8.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/c7817566-f69b-4ab6-8772-1ab9137892a2.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/f1b2e742-e111-425a-bb1e-f02d41909712.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/07d1753d-d654-4c08-b925-33a31df41b69.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/58c1f88a-cc0a-415f-8199-a09bb31b1a21.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/15d72bb6-cb92-4162-a072-02fdbfc8e69a.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/76a05367-5912-42cd-abf8-696f543031b2.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/41805ba5-a2bb-4cbd-b52d-62ffe540565e.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/6b08cdf8-b729-4fd3-b444-6478fcb2faee.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/0efee073-285a-4be1-a3ad-1847f037d496.jpeg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1060901&in-stock=1,0,0
1064203,,new,,2016,Prime Time Manufacturing,Avenger ATI Travel Trailer 27DBS,,35995,Travel Trailer,,,CHOCOLATE DECOR,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1064203&in-stock=1,0,1
1066255,,new,,2016,Arctic Cat,ZR 4000 RR (129),,9499,Performance,,,,,,http://cdnmedia.endeavorsuite.com/images/catalogs/9549/products/detail/dd87f475-3f32-4cb2-a3e5-65eef4af0391.jpg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1066255&in-stock=1,0,0
1072398,,new,,2016,Prime Time RV,Crusader Fifth Wheel 337QBH,,53618,,,,Copper Decor,,,http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/81285328-6ad3-4c0a-8f35-1e1358bcbb93.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/992dc302-9525-48df-b710-5cdde0ad2f1d.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/33d1560e-1b14-43c0-9104-b0d209253131.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/83b578cc-00a5-4258-a1d8-7a86040c496c.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/0a54b758-3202-41ff-a98c-ce6aee7f61f9.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/3a22c98a-91af-4dc0-9068-4565a49bfa5f.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/927ac041-2b88-4423-9fe7-3aafe4260cf8.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/f06aedb9-09f6-4fb4-aa33-0a7b23091308.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/d101fcb1-5bc5-442a-9564-df9a76e8d6e8.jpeg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1072398&in-stock=1,0,0
1079231,,new,,2016,Arctic Cat,ZR 6000 RR (129),,11699,Performance,,,,,,http://cdnmedia.endeavorsuite.com/images/catalogs/9549/products/detail/24caea53-69e7-48e8-b0e9-5c9ccb236ccd.jpg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1079231&in-stock=1,0,0
1079236,,new,,2016,Arctic Cat,ZR 6000 RR (129),,11699,Performance,,,,,,http://cdnmedia.endeavorsuite.com/images/catalogs/9549/products/detail/24caea53-69e7-48e8-b0e9-5c9ccb236ccd.jpg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1079236&in-stock=1,0,0
1082475,,new,,2016,Arctic Cat,Alterra 400,,5699,Utility,,,Red,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082475&in-stock=1,0,1
1082485,,new,,2016,Arctic Cat,Alterra 450,,6299,Utility,,,Red,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082485&in-stock=1,0,1
1082494,,new,,2016,Arctic Cat,500,,7599,Utility,,,Red,,,http://cdnmedia.endeavorsuite.com/images/catalogs/10151/products/detail/d6fcaaf7-79a3-4fc7-8659-532283a35b0a.jpg|http://cdnmedia.endeavorsuite.com/images/catalogs/10151/products/detail/f6c4d4c4-03d1-436e-9c83-df8480e8e60c.jpg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082494&in-stock=1,0,1
1082504,,new,,2016,Arctic Cat,XC 450,,6899,Sport,,,WHITE,,,http://cdnmedia.endeavorsuite.com/images/catalogs/10151/products/detail/9a55f2d2-966b-4b29-9029-c4e139a2c45f.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/6b42eb87-3499-4002-a424-33939e9b9874.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/70e61a1d-c7f1-4733-ae0f-7d9180e272e4.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/b9ed5f5a-c310-4a94-8ecf-aa30da67d98a.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/635f4395-9fa6-4376-88df-53f7041bcd91.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/f4121633-0f28-4f86-9899-a686d2a68783.jpg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082504&in-stock=1,0,0
1082512,,new,,2017,Arctic Cat,Alterra TRV 500,,8799,Multi-Rider,,,Red,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082512&in-stock=1,0,1
1082522,,new,,2017,Arctic Cat,Alterra TRV 500,,7999,Multi-Rider,,,Red,,,http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/e092a0ce-9e50-4de1-978a-09d00fe43f0f.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/ccd475de-652e-48ea-9a99-94e61fbeee69.jpeg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082522&in-stock=1,0,1
1082534,,new,,2016,Arctic Cat,Wildcat Sport Limited,,14799,Side x Side,,,BLACK / GREEN,,,http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/0f965b68-7922-4a8e-b21d-c70ed27cfd85.jpeg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/feaf17f5-07a6-4598-b2fc-ac6ec90c3772.jpeg|http://cdnmedia.endeavorsuite.com/images/catalogs/10151/products/detail/81e9b4ad-b316-469d-a65c-c1048ae80946.jpg|http://cdnmedia.endeavorsuite.com/images/usedequipment/47bd51f5-4cdc-4f80-9efa-2c4bb99c88ef/detail/5086b610-7192-4e9d-bc5c-99397140ab2c.jpeg,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082534&in-stock=1,0,0
1082664,,new,,2016,Arctic Cat,Wildcat Trail XT,,12399,Side x Side,,,Red,,,,http://www.transconatrailers.com/showcaseproductdetail.htm?id=1082664&in-stock=1,0,1
