stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2503,,new,,,,, ,,,L ,,,,0 kms,https://i2.wp.com/www.trimactoyota.ca/wp-content/uploads/2016/02/photo-coming-soon.jpg?ssl=1,https://www.trimactoyota.ca/inventory/new/---port-hawkesbury-nova-scotia/14092105,0,1
86100,,new,,2017,Toyota,86,Base,31395,Coupe,2L H-4,6 Spd Manual,ABLAZE,Black,1 kms,https://i2.wp.com/photos.strathcom.com/image/show/1200x_/57d1b6114f92895ebcfbdc7c.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/57d1b51f262450047da08621.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/57d1b58b426c476a2b223d7c.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/57d1b593426c476a2e154657.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/57d1b6444f92895eba616314.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/57d1b63ecd939f6a40142ecc.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/57d1b5e69f40e3047c4bea6c.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/57d1b55d26245004876accc7.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/57d1b5a1b04317044dc03031.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/57d1b607426c476a2b223d80.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/57d1b665e2faf6047ab28cd3.jpg?ssl=1,https://www.trimactoyota.ca/inventory/new/2017-toyota-86-port-hawkesbury-nova-scotia/6881552,0,1
A1024A,,used,,2008,Toyota,Tacoma,TRD V6 4dr 4x4 Access Cab,19900,Pickup,4L V-6,6 Spd Manual,,,116000 kms,http://photos.strathcom.com/image/show/1200x_/597738f52624500485f14623.jpg|http://photos.strathcom.com/image/show/1200x_/597739ea145c36047aa4c2db.jpg|http://photos.strathcom.com/image/show/1200x_/5977390b4f92890496cc4019.jpg|http://photos.strathcom.com/image/show/1200x_/597738f62624500487ca9793.jpg|http://photos.strathcom.com/image/show/1200x_/597738f62624500488e0f1da.jpg|http://photos.strathcom.com/image/show/1200x_/5977397ce2faf6047be16bdf.jpg|http://photos.strathcom.com/image/show/1200x_/597739ea145c36047bf458ac.jpg|http://photos.strathcom.com/image/show/1200x_/597738f62624500486419e33.jpg|http://photos.strathcom.com/image/show/1200x_/597739e9b043170474976df9.jpg,https://www.trimactoyota.ca/inventory/used/2008-toyota-tacoma-port-hawkesbury-nova-scotia/14084595,0,0
A1210A,,used,2008 Toyota Tacoma,2008,Toyota,Tacoma,,"$9,385          ",,, 4 Spd Automatic,Impulse Red,FB13,"136,000 kms",http://photos.strathcom.com/image/show/960x_/5911af69e2faf6047a715fd9.jpg,http://www.trimactoyota.ca/inventory/used/2008-toyota-tacoma-port-hawkesbury-nova-scotia/6278592,0,1
A1305A,,used,2015 Toyota Tacoma,2015,Toyota,Tacoma,,"$26,755          ",,, Manual,Silver Sky Metallic,Grey,"44,000 kms",http://photos.strathcom.com/image/show/960x_/590a3079145c366a3cd96f46.jpg|http://photos.strathcom.com/image/show/960x_/590a323dcd939f0484cd9bd5.jpg|http://photos.strathcom.com/image/show/960x_/590a31b5e2faf60479a5e841.jpg|http://photos.strathcom.com/image/show/960x_/590a323dcd939f0486677914.jpg|http://photos.strathcom.com/image/show/960x_/590a317026245004863f95a5.jpg|http://photos.strathcom.com/image/show/960x_/590a3201b043170474548a1d.jpg|http://photos.strathcom.com/image/show/960x_/58d5849ecd939f0485c09591.jpg|http://photos.strathcom.com/image/show/960x_/58d58435e2faf6047bdea6d7.jpg|http://photos.strathcom.com/image/show/960x_/58d5844d4f92890488b89ad4.jpg,http://www.trimactoyota.ca/inventory/used/2015-toyota-tacoma-port-hawkesbury-nova-scotia/10309635,0,1
A2118A,,used,,2012,Toyota,Camry,LE 4dr Sedan,9875,Sedan,2.5L I-4,6 Spd Automatic,Magnetic Grey Metallic,,158000 kms,https://i1.wp.com/photos.strathcom.com/image/show/1200x_/594a98eeb04317047c955b16.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/594276da145c36048993beae.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/59427723cd939f0486685a63.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/594276da145c360488fac3c7.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/594277ae426c47048d2a0389.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/5942767be2faf60479a6cc69.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/59427723cd939f0484ce7d26.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/594276152624500487c9779c.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/594276374f92890496cb258e.jpg?ssl=1,https://www.trimactoyota.ca/inventory/used/2012-toyota-camry-port-hawkesbury-nova-scotia/13740331,0,1
AV1001,,new,2016 Toyota Avalon,2016,Toyota,Avalon,,"$41,815          ",,, 6 Spd Automatic,BLIZZARD PEARL,20LK,1 kms,http://photos.strathcom.com/image/show/960x_/570d5628b04317046e9223a7.jpg|http://photos.strathcom.com/image/show/960x_/570d56349f40e3047d4c7318.jpg|http://photos.strathcom.com/image/show/960x_/570d5647b043170477a0ccb9.jpg,http://www.trimactoyota.ca/inventory/new/2016-toyota-avalon-port-hawkesbury-nova-scotia/6235080,0,1
CA001,,new,2017 Toyota Camry,2017,Toyota,Camry,,"$27,803          ",,, 6 Spd Automatic,RUBY FLARE PEARL,,1 kms,http://photos.strathcom.com/image/show/960x_/58d2ac87426c4704860e0e0a.jpg|http://photos.strathcom.com/image/show/960x_/58d2ac37cd939f0494e83f7e.jpg|http://photos.strathcom.com/image/show/960x_/58d2abf04f92890487867f97.jpg|http://photos.strathcom.com/image/show/960x_/58d2abb92624500488de3d40.jpg|http://photos.strathcom.com/image/show/960x_/58d2aacd145c366a3e43cab8.jpg|http://photos.strathcom.com/image/show/960x_/58d2abe9e2faf6047bde9b2c.jpg|http://photos.strathcom.com/image/show/960x_/58d2ac31b04317047d1034d4.jpg|http://photos.strathcom.com/image/show/960x_/58d2abd82624500488de3d41.jpg|http://photos.strathcom.com/image/show/960x_/58d2ac04e2faf604785ba211.jpg|http://photos.strathcom.com/image/show/960x_/58d2abe92624500488de3d42.jpg,http://www.trimactoyota.ca/inventory/new/2017-toyota-camry-port-hawkesbury-nova-scotia/10911807,0,1
CA002,,new,,2017,Toyota,Camry,LE Sedan,27712,Sedan,2.5L I-4,6 Spd Automatic,PRE-DAWN GREY MICA,,1 kms,https://i0.wp.com/photos.strathcom.com/image/show/1200x_/58d15a1b426c4704870a0591.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/58d15a24426c47048e72789a.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/58d1594a26245004863ee3eb.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/58d1598e4f92890488b88a2d.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/58d159a49f40e3047690baf2.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/58d159ac9f40e3047a1b8ef1.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/58d159a44f92890487867aca.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/58d1587b145c366a3b69746f.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/58d159b34f92890488b88a2e.jpg?ssl=1,https://www.trimactoyota.ca/inventory/new/2017-toyota-camry-port-hawkesbury-nova-scotia/10911808,0,1
CA003,,new,2017 Toyota Camry,2017,Toyota,Camry,,"$27,548          ",,, 6 Spd Automatic,PRE-DAWN GREY MICA,,1 kms,http://photos.strathcom.com/image/show/960x_/58dbfc42b04317047453fd3a.jpg|http://photos.strathcom.com/image/show/960x_/58dbfcda426c4704860e2a3d.jpg|http://photos.strathcom.com/image/show/960x_/58dbfc3e9f40e3047b25652d.jpg|http://photos.strathcom.com/image/show/960x_/58dbfbf12624500487c80150.jpg|http://photos.strathcom.com/image/show/960x_/58dbfc314f92890489285910.jpg|http://photos.strathcom.com/image/show/960x_/58dbfb0b145c366a3b6996f0.jpg|http://photos.strathcom.com/image/show/960x_/58dbfc9bcd939f0494e85b54.jpg|http://photos.strathcom.com/image/show/960x_/58dbfd01426c4704860e2a3e.jpg|http://photos.strathcom.com/image/show/960x_/58dbfc3be2faf604785bbe39.jpg|http://photos.strathcom.com/image/show/960x_/58dbfd12426c47048d289078.jpg,http://www.trimactoyota.ca/inventory/new/2017-toyota-camry-port-hawkesbury-nova-scotia/11200546,0,1
