stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2679324873,,new,2016 Cadillac ATS-V Coupe,2016,Cadillac,ATS,,"$60,160",Coupe,V-6 cyl,,,,,http://inventory-dmg.assets-cdk.com/8/7/5/13582171578.jpg|http://inventory-dmg.assets-cdk.com/3/2/5/13582171523.jpg|http://inventory-dmg.assets-cdk.com/4/2/5/13582171524.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/ext_GBA_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/int_HH0_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/int_HH0_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/int_HH0_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/int_HH0_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2016/2830013/default/int_HH0_deg05.jpg,http://www.truenorthchev.com/VehicleDetails/new-2016-Cadillac-ATS_V_Coupe-ATS-North_Bay-ON/2679324873,0,1
2780031603,,used,2014 Chevrolet Impala,2014,Chevrolet,Impala,LTZ 4dr Sedan w/1LZ (2.5L 4cyl 6A),"$16,995",Sedan,2.5L I-4,,,N/A,"94,200",http://inventory-dmg.assets-cdk.com/1/7/0/14124650071.jpg|http://inventory-dmg.assets-cdk.com/5/7/0/14124650075.jpg|http://inventory-dmg.assets-cdk.com/6/5/0/14124650056.jpg|http://inventory-dmg.assets-cdk.com/0/9/0/14124650090.jpg|http://inventory-dmg.assets-cdk.com/4/0/1/14124650104.jpg|http://inventory-dmg.assets-cdk.com/1/1/1/14124650111.jpg|http://inventory-dmg.assets-cdk.com/4/2/1/14124650124.jpg|http://inventory-dmg.assets-cdk.com/4/3/1/14124650134.jpg|http://inventory-dmg.assets-cdk.com/2/4/1/14124650142.jpg|http://inventory-dmg.assets-cdk.com/6/5/1/14124650156.jpg|http://inventory-dmg.assets-cdk.com/8/6/1/14124650168.jpg|http://inventory-dmg.assets-cdk.com/5/8/1/14124650185.jpg|http://inventory-dmg.assets-cdk.com/6/9/1/14124650196.jpg|http://inventory-dmg.assets-cdk.com/7/0/2/14124650207.jpg|http://inventory-dmg.assets-cdk.com/2/1/2/14124650212.jpg|http://inventory-dmg.assets-cdk.com/9/2/2/14124650229.jpg|http://inventory-dmg.assets-cdk.com/7/3/2/14124650237.jpg|http://inventory-dmg.assets-cdk.com/0/4/2/14124650240.jpg|http://inventory-dmg.assets-cdk.com/2/6/2/14124650262.jpg|http://inventory-dmg.assets-cdk.com/8/6/2/14124650268.jpg|http://inventory-dmg.assets-cdk.com/4/7/2/14124650274.jpg|http://inventory-dmg.assets-cdk.com/9/9/2/14124650299.jpg|http://inventory-dmg.assets-cdk.com/0/0/3/14124650300.jpg|http://inventory-dmg.assets-cdk.com/1/1/3/14124650311.jpg|http://inventory-dmg.assets-cdk.com/9/2/3/14124650329.jpg|http://inventory-dmg.assets-cdk.com/1/3/3/14124650331.jpg,http://www.truenorthchev.com/VehicleDetails/certified-2014-Chevrolet-Impala-LT-North_Bay-ON/2780031603,0,1
2780806123,,new,2017 Cadillac XT5,2017,Cadillac,XT5,Luxury FWD,"$50,510",SUV,V-6 cyl,,,,,http://inventory-dmg.assets-cdk.com/5/4/0/13803658045.jpg|http://inventory-dmg.assets-cdk.com/2/6/8/13189837862.jpg|http://inventory-dmg.assets-cdk.com/6/4/9/13189837946.jpg|http://inventory-dmg.assets-cdk.com/1/5/8/13189837851.jpg|http://inventory-dmg.assets-cdk.com/2/6/9/13189837962.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/ext_GAN_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/ext_GAN_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/ext_GAN_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/ext_GAN_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/ext_GAN_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/ext_GAN_deg06.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/int_H2X_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/int_H2X_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/int_H2X_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/int_H2X_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Cadillac/2017/3079973/default/int_H2X_deg05.jpg,http://www.truenorthchev.com/VehicleDetails/new-2017-Cadillac-XT5-Luxury_FWD-North_Bay-ON/2780806123,0,1
2783175463,,new,2017 Chevrolet Traverse,2017,Chevrolet,Traverse,LT,"$45,420",SUV,V-6 cyl,,,,,http://inventory-dmg.assets-cdk.com/0/7/8/13157454870.jpg|http://inventory-dmg.assets-cdk.com/6/0/7/13157454706.jpg|http://inventory-dmg.assets-cdk.com/2/9/7/13157454792.jpg|http://inventory-dmg.assets-cdk.com/2/3/7/13157454732.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273343/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273343/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273343/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273343/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273343/default/int_19C_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3273343/default/int_19C_deg02.jpg,http://www.truenorthchev.com/VehicleDetails/new-2017-Chevrolet-Traverse-LT-North_Bay-ON/2783175463,0,1
2792895573,,new,2017 Cadillac XT5,2017,Cadillac,XT5,Platinum AWD,Contact Us,SUV,V-6 cyl,,,,,,http://www.truenorthchev.com/VehicleDetails/new-2017-Cadillac-XT5-Platinum_AWD-North_Bay-ON/2792895573,0,1
2804486843,,new,2016 Chevrolet Malibu,2016,Chevrolet,Malibu,Hybrid,"$32,110",Sedan,I-4 cyl,,,,,http://inventory-dmg.assets-cdk.com/5/5/9/13408762955.jpg|http://inventory-dmg.assets-cdk.com/7/0/0/13408763007.jpg|http://inventory-dmg.assets-cdk.com/9/6/9/13408762969.jpg|http://inventory-dmg.assets-cdk.com/8/4/9/13408762948.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236263/default/ext_G1F_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236263/default/ext_G1F_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236263/default/ext_G1F_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236263/default/ext_G1F_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236263/default/int_H1J_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3236263/default/int_H1J_deg02.jpg,http://www.truenorthchev.com/VehicleDetails/new-2016-Chevrolet-Malibu-Hybrid-North_Bay-ON/2804486843,0,1
2820457213,,new,2017 Chevrolet Impala,2017,Chevrolet,Impala,LS,"$30,615",Sedan,I-4 cyl,,,,,http://inventory-dmg.assets-cdk.com/1/4/1/13444356141.jpg|http://inventory-dmg.assets-cdk.com/9/7/1/13444356179.jpg|http://inventory-dmg.assets-cdk.com/7/5/1/13444356157.jpg|http://inventory-dmg.assets-cdk.com/6/9/1/13444356196.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277173/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277173/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277173/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277173/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277173/default/int_H0Z_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277173/default/int_H0Z_deg02.jpg,http://www.truenorthchev.com/VehicleDetails/new-2017-Chevrolet-Impala-LS-North_Bay-ON/2820457213,0,1
2825218003,,new,2017 Chevrolet Camaro,2017,Chevrolet,Camaro,LT,"$46,540",Convertible,V-6 cyl,,,,,http://inventory-dmg.assets-cdk.com/0/2/9/13349520920.jpg|http://inventory-dmg.assets-cdk.com/7/8/5/13349517587.jpg|http://inventory-dmg.assets-cdk.com/4/0/6/13349517604.jpg|http://inventory-dmg.assets-cdk.com/3/8/5/13349517583.jpg|http://inventory-dmg.assets-cdk.com/8/1/6/13349517618.jpg|http://inventory-dmg.assets-cdk.com/2/3/7/13349517732.jpg|http://inventory-dmg.assets-cdk.com/1/5/6/13349517651.jpg|http://inventory-dmg.assets-cdk.com/9/8/6/13349517689.jpg|http://inventory-dmg.assets-cdk.com/1/8/6/13349517681.jpg|http://inventory-dmg.assets-cdk.com/8/5/7/13349517758.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284503/default/ext_G7C_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284503/default/ext_G7C_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284503/default/ext_G7C_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284503/default/int_H0Y_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3284503/default/int_H0Y_deg02.jpg,http://www.truenorthchev.com/VehicleDetails/new-2017-Chevrolet-Camaro-LT-North_Bay-ON/2825218003,0,1
2825218013,,new,2017 Chevrolet Impala,2017,Chevrolet,Impala,LT,"$37,760",Sedan,V-6 cyl,,,,,http://inventory-dmg.assets-cdk.com/2/1/8/13461455812.jpg|http://inventory-dmg.assets-cdk.com/5/2/9/13461455925.jpg|http://inventory-dmg.assets-cdk.com/7/5/8/13461455857.jpg|http://inventory-dmg.assets-cdk.com/9/9/7/13461455799.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277103/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277103/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277103/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277103/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277103/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3277103/default/int_H0U_deg02.jpg,http://www.truenorthchev.com/VehicleDetails/new-2017-Chevrolet-Impala-LT-North_Bay-ON/2825218013,0,1
2827071013,,new,2017 Chevrolet Cruze,2017,Chevrolet,Cruze,LT,"$22,725",Sedan,I-4 cyl,,,,,http://inventory-dmg.assets-cdk.com/3/8/3/13462197383.jpg|http://inventory-dmg.assets-cdk.com/0/1/4/13462197410.jpg|http://inventory-dmg.assets-cdk.com/2/8/3/13462197382.jpg|http://inventory-dmg.assets-cdk.com/5/9/3/13462197395.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GAN_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GAN_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GAN_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/ext_GAN_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2017/3283383/default/int_H0U_deg02.jpg,http://www.truenorthchev.com/VehicleDetails/new-2017-Chevrolet-Cruze-LT-North_Bay-ON/2827071013,0,1
