stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
00601e144b0590309f4c58b9def6db83,,new, 2017 Ram 2500 Tradesman Truck Crew Cab,2017,Ram,2500,Tradesman,Please Call,Truck Crew Cab,6.4L V-8 cyl,6 speed automatic,,Diesel Gray/Black,,,http://www.vancampenmotors.net/new/Ram/2017-Ram-2500-991088890a0e0ae7682674b84ce4b8c7.htm,0,0
00dec7171eab71f5c34747b1ec27be47,,new, 2017 Ram 1500 Express Truck Quad Cab,2017,Ram,1500,Express,Please Call,Truck Quad Cab,3.6L V-6 cyl,8 speed automatic,,Diesel Gray/Black,,,http://www.vancampenmotors.net/new/Ram/2017-Ram-1500-a88159830a0e0ae965f9dd849716cf56.htm,0,1
025d218472e9f8e173e5ba4fb8913e0e,,new, 2018 Jeep Compass Sport SUV,2018,Jeep,Compass,Sport,Please Call,SUV,2.4L I-4 cyl,9-Speed Automatic,,Black,,,http://www.vancampenmotors.net/new/Jeep/2018-Jeep-Compass-e127d6a10a0e0ae7682674b8e4eaa54d.htm,0,0
04ccd88a18c9aec40ee7b3448793c9fd,,new, 2017 Jeep Renegade Limited 4x4 SUV,2017,Jeep,Renegade,Limited 4x4,"$29,930",SUV,2.4L I-4 cyl,9 speed automatic,,Black,,,http://www.vancampenmotors.net/new/Jeep/2017-Jeep-Renegade-a067842a0a0e0a1739fb5aa394cf530f.htm,0,1
057927a939ad5e69e17545f911aa57c1,,new, 2018 Ram 1500 SLT Truck Crew Cab,2018,Ram,1500,SLT,Please Call,Truck Crew Cab,5.7L V-8 cyl,8 speed automatic,,Diesel Gray/Black,,,http://www.vancampenmotors.net/new/Ram/2018-Ram-1500-80be3a190a0e0aea5282132b95c1e8b9.htm,0,0
0864da30b31968e89a23371d4200c5e9,,new, 2017 Jeep New Compass Latitude SUV,2017,Jeep,New Compass,Latitude,Please Call,SUV,2.4L I-4 cyl,9-Speed Automatic,,Black,,,http://www.vancampenmotors.net/new/Jeep/2017-Jeep-New+Compass-d03cc1c20a0e0a6b406901003cc6d64d.htm,0,1
08b730e12549b8ebca607051875a0e95,,new, 2017 Ram 2500 Tradesman Truck Crew Cab,2017,Ram,2500,Tradesman,Please Call,Truck Crew Cab,6.4L V-8 cyl,6 speed automatic,,Diesel Gray/Black,,,http://www.vancampenmotors.net/new/Ram/2017-Ram-2500-40078aa30a0e0ae82848060965619553.htm,0,1
0c1581598ac45f1f95dd2f3ee9093ee5,,new, 2017 Jeep Grand Cherokee Limited 4x4 SUV,2017,Jeep,Grand Cherokee,Altitude 4dr SUV 4WD (3.6L 6cyl 8A),Please Call,SUV,3.6L V-6 cyl,8 speed automatic,,Black,,,http://www.vancampenmotors.net/new/Jeep/2017-Jeep-Grand+Cherokee-5ee256840a0e0ae82848060901292c9f.htm,0,1
0d4a582a205a77f501b1c606c03a4a78,,new, 2017 Jeep Grand Cherokee Limited 4x4 SUV,2017,Jeep,Grand Cherokee,Altitude 4dr SUV 4WD (3.6L 6cyl 8A),Please Call,SUV,3.6L V-6 cyl,8 speed automatic,,Light Frost Beige/Black,,,http://www.vancampenmotors.net/new/Jeep/2017-Jeep-Grand+Cherokee-cb1315780a0e0a6b406901005ac11dce.htm,0,1
0fe3c61fc2ef1ecb969fa68d01047428,,new, 2017 Ram 1500 Big Horn Truck Crew Cab,2017,Ram,1500,Big Horn,Please Call,Truck Crew Cab,5.7L V-8 cyl,8 speed automatic,,Diesel Gray/Black,,,http://www.vancampenmotors.net/new/Ram/2017-Ram-1500-30ac183a0a0e0a1777641ac0ba0474b0.htm,0,1
10c83e51cde6cd44ae1eb1912eb3bd10,,new, 2017 Ram 1500 Sport Truck Crew Cab,2017,Ram,1500,Sport,"$45,240",Truck Crew Cab,5.7L V-8 cyl,8 speed automatic,,Black/Lime,,,http://www.vancampenmotors.net/new/Ram/2017-Ram-1500-c470c0b80a0e0adf53250b5dd5231d87.htm,0,1
1174034e980f0f266197a4d6daeaabe1,,new, 2017 Dodge Charger R/T 392 Sedan,2017,Dodge,Charger,R/T 392,Please Call,Sedan,6.4L V-8 cyl,8 speed automatic,,Black,,,http://www.vancampenmotors.net/new/Dodge/2017-Dodge-Charger-ac20244a0a0e0a1777641ac0ac7c977c.htm,0,1
135cd01bb0dfebf5fabd5f8858f291b1,,new, 2017 Jeep Wrangler Unlimited Sport SUV,2017,Jeep,Wrangler Unlimited,Sport,Please Call,SUV,3.6L V-6 cyl,5-Speed Automatic,,Black,,,http://www.vancampenmotors.net/new/Jeep/2017-Jeep-Wrangler+Unlimited-80be39760a0e0aea5282132b8aac73f2.htm,0,0
13d3dce051cfbc0375051988e4b8c34e,,new, 2017 Jeep New Compass Limited SUV,2017,Jeep,New Compass,Limited,Please Call,SUV,2.4L I-4 cyl,9 speed automatic,,Black,,,http://www.vancampenmotors.net/new/Jeep/2017-Jeep-New+Compass-30ac188e0a0e0a1777641ac0f04ea1cb.htm,0,1
13DC13A,,used, 2012 Dodge Grand Caravan SE SE  Mini-Van Bright Silver,2012,Dodge,Grand Caravan,American Value Package,"$18,954",SE  Mini-Van,3.6L V-6 cyl,Shiftable Automatic,,Black/Light Graystone,,http://pictures.dealer.com/v/vancampenmotorscllc/0219/7db8e343b0b89122ea8307ca4313f5a1x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/1354/07de398401ac4cc9ea8c2fbc0e902fc6x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/0877/d16f668a3fc56f188a245d8b61fa2990x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/1244/7c2575caf650d8e2175e70710a50fe10x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/1139/e70402e8dd44260f8bc126438acbfb74x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/0688/a6f4468a776836ae6bab2a7ecde50755x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/1987/63b0bf5724e5f60f7bb90c5acd84aedex.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/1238/a5708d3b0e81fe710668a6c0ef80cff2x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/1597/99e5d29eea95ecd22b68c10b00d520a5x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/0312/8f21ed3eb1b87034cb4298fac18c287dx.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/0185/9a19f7d7aa41eb3bc7d121938b7e5556x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/1093/5c556c4bb5a3a3388f7faad97c3c2785x.jpg?imwidth=640,http://www.vancampenmotors.net/used/Dodge/2012-Dodge-Grand+Caravan-befb5ee80a0e0aea69b2f2f2f677a4ce.htm,0,0
15623dd59eaee8d79f02082a3db968fe,,new, 2017 Ram 2500 Big Horn Truck Crew Cab,2017,Ram,2500,Big Horn,Please Call,Truck Crew Cab,6.4L V-8 cyl,6 speed automatic,,Diesel Gray/Black,,,http://www.vancampenmotors.net/new/Ram/2017-Ram-2500-3c60e2e20a0e0ae965f9dd840082d60a.htm,0,1
15JC74A,,used, 2012 Jeep Grand Cherokee Laredo 4x4 4x4 Laredo  SUV Bright Silver,2012,Jeep,Grand Cherokee,Laredo,"$18,000",4x4 Laredo  SUV,3.6L V-6 cyl,5-Speed Automatic,,,,http://pictures.dealer.com/v/vancampenmotorscllc/1512/7e1bf7355e35a3eaa01b2e1429000f55x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/0812/24b67514681c01551ce22770c19d6f88x.jpg?imwidth=640|http://pictures.dealer.com/v/vancampenmotorscllc/0880/22fefdc28a92c273ebc7f6aadf515c81x.jpg?imwidth=640,http://www.vancampenmotors.net/used/Jeep/2012-Jeep-Grand+Cherokee-b164182e0a0e0a171a7ccb069b649f73.htm,0,0
16CH14A,,used, 2012 Chrysler 200 S S  Sedan Deep Cherry Red Crystal Pearlcoat,2012,Chrysler,200,S,"$11,886",S  Sedan,3.6L V-6 cyl,Shiftable Automatic,,Black,,http://pictures.dealer.com/v/vancampenmotorscllc/1311/3e044bd6d7319665847d2623373d3efax.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/1983/3a030bacfec03c9b7038f0cf1fc209eax.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/0533/112ebb2f18b807bff27d2cb42b9e001fx.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/0627/b10d55ad88244acea96fc4fe9a0f99cex.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/1438/5f02011a510a1f3a74e61705ce00e0a6x.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/0818/d0e960072c5cf32ce7928468a5cbc99fx.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/0322/10e3df615e1520b5ac769aa230d2fc2fx.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/1855/7b60eeaf806b2a545112b0d617d51df4x.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/0840/cb4f5ba918fa7b5e82e1ace845ae32c6x.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/1637/f325808cb3f9360b3f92fcc6c19ac728x.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/0643/9f5f59dc2ed2b209a09ddb86b9547bb9x.jpg|http://pictures.dealer.com/v/vancampenmotorscllc/0087/696975c0a6a6357dd32481638f53f840x.jpg,http://www.vancampenmotors.net/used/Chrysler/2012-Chrysler-200-bfa39f5e0a0e0ae9504e6d7ab0e4bff2.htm,0,1
