stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
00ab293b088639a20d62ea3ba66c41a0,,new,2017 Ram 3500 ST Truck Crew Cab,2017,Ram,3500,ST,"$64,640",Truck,6.7L Cummins I-6 Turbo Diesel,6-Speed Aisin Heavy-Duty Automatic,,Diesel Grey/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_D28L92_2TA_PAU_APA_XXX_XXX_XXX.jpg,http://www.vernondodge.com/new/Ram/2017-Ram-3500-eac7620b0a0e0a6b1373052141bc107c.htm,0,1
00b69af98af1de716184a88e983d07bb,,new,2017 Jeep Cherokee Trailhawk Leather Plus SUV,2017,Jeep,Cherokee,Trailhawk Leather Plus,"$45,395",SUV,3.2L Pentastar VVT V6 w/ESS,9-Spd Auto w/Active Drive II,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_KLJH74_2TL_PRP_APA_XXX_XXX_XXX.jpg,http://www.vernondodge.com/new/Jeep/2017-Jeep-Cherokee-acf618f30a0e0aea4a9cbb01df47ef91.htm,0,1
01bb804b37fc071b142fa793882e0668,,new,2017 Ram 1500 Sport Truck Crew Cab,2017,Ram,1500,Sport,"$65,410",Truck,5.7L HEMI VVT V8 w/FuelSaver MDS,8-Speed TorqueFlite Automatic,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_DS6S98_2TL_PCL_APA_XXX_XXX_XXX.jpg,http://www.vernondodge.com/new/Ram/2017-Ram-1500-9da190880a0e0ae7682674b8b4a80a4d.htm,0,1
02f88ef5e58c92c46664210ec91d8a95,,new,2017 Jeep Cherokee Overland SUV,2017,Jeep,Cherokee,Overland,"$41,782",SUV,3.2L Pentastar VVT V6 w/ESS,9-Speed Automatic,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_KLJS74_27M_PRP_APA_XXX_XXX_XXX.jpg,http://www.vernondodge.com/new/Jeep/2017-Jeep-Cherokee-cfa3eb6f0a0e0ae7513b8f850b715705.htm,0,1
038fa2388899c90693e42fc4c95c0211,,new,2018 Ram 1500 Big Horn Truck Crew Cab,2018,Ram,1500,Big\x20Horn,"$56,250",,5.7L HEMI VVT V8 w/FuelSaver MDS,8-Speed TorqueFlite Automatic,,Diesel Grey/Black,,http://images.dealer.com/autodata/ca/large_stockphoto/2018/CAC80RMT11CB0.jpg,http://www.vernondodge.com/new/Ram/2018-Ram-1500-8547a2e30a0e0ae8145e712d12d6db08.htm,0,0
03db4e35a902bfd5deffa6cf63c200df,,new,2018 Jeep Compass Sport SUV,2018,Jeep,Compass,Sport,"$31,835",SUV,2.4L Tigershark MultiAir I-4,6-Speed Manual,,Black w/Accent Stitch,,http://images.dealer.com/autodata/ca/large_stockphoto-color/2018/CAC80JES151A0/PXJ.jpg,http://www.vernondodge.com/new/Jeep/2018-Jeep-Compass-a2c07b6c0a0e0a6b13730521b478220e.htm,0,1
047d57e0fab485521cdf2e67d3d5e7b7,,new,2018 Dodge Journey SXT SUV,2018,Dodge,Journey,SXT,"$38,905",SUV,3.6L Pentastar VVT V6,6-Speed Automatic,,Black/Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2018&image=CC18_JCEP49_2DK_PRM_APA_XXX_XXX_XXX.jpg,http://www.vernondodge.com/new/Dodge/2018-Dodge-Journey-9f1b4a2e0a0e0a6b0f40c08d2fafb85c.htm,0,0
04b81de7ed258cf41604a46787557ff1,,new,2017 Jeep Cherokee Trailhawk Leather Plus SUV,2017,Jeep,Cherokee,Trailhawk Leather Plus,"$45,145",SUV,3.2L Pentastar VVT V6 w/ESS,9-Spd Auto w/Active Drive II,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_KLJH74_2TL_PXJ_APA_XXX_XXX_XXX.jpg,http://www.vernondodge.com/new/Jeep/2017-Jeep-Cherokee-8e0ca28d0a0e0adf5dc3189670f4174e.htm,0,1
06cd756445ddbc3cfc0472893fc9ba43,,new,2017 Ram 1500 Laramie Truck Crew Cab,2017,Ram,1500,Laramie,"$55,480",Truck,5.7L HEMI VVT V8 w/FuelSaver MDS,8-Speed TorqueFlite Automatic,,Black,,http://images.chryslercanada.ca/images/iof.php?width=640&year=2017&image=CC17_DS6P98_2TH_PWQ_APA_XXX_XXX_XXX.jpg,http://www.vernondodge.com/new/Ram/2017-Ram-1500-e95982120a0e0ae82848060904ed4e81.htm,0,1
070a485183bf206ee68a6fb9cdaddf04,,new,2018 Ram 3500 Laramie Truck Crew Cab,2018,Ram,3500,Laramie,"$82,375",Truck,6.7L Cummins I-6 Turbo Diesel,6-Speed Automatic,,Black/Black,,http://images.dealer.com/autodata/ca/large_stockphoto-color/2018/CAC80RMT135C0/PS2.jpg,http://www.vernondodge.com/new/Ram/2018-Ram-3500-9f1b45820a0e0a6b0f40c08dc93bfcec.htm,0,0
