stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
060426,,new,New 2016 Toyota Yaris SE ,2016,Toyota,Yaris,SE,18685,,4 cyl 1.5l Gasoline,4-Speed Automatic with Overdrive,Classic Silver Metallic,Black,,http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870375/New-2016-Toyota-Yaris-SE-ID668870375|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870378/New-2016-Toyota-Yaris-SE-ID668870378|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870381/New-2016-Toyota-Yaris-SE-ID668870381|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870384/New-2016-Toyota-Yaris-SE-ID668870384|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870387/New-2016-Toyota-Yaris-SE-ID668870387|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870390/New-2016-Toyota-Yaris-SE-ID668870390|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870393/New-2016-Toyota-Yaris-SE-ID668870393|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870396/New-2016-Toyota-Yaris-SE-ID668870396|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870399/New-2016-Toyota-Yaris-SE-ID668870399|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870402/New-2016-Toyota-Yaris-SE-ID668870402|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870405/New-2016-Toyota-Yaris-SE-ID668870405|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870408/New-2016-Toyota-Yaris-SE-ID668870408|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870411/New-2016-Toyota-Yaris-SE-ID668870411|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870414/New-2016-Toyota-Yaris-SE-ID668870414|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870417/New-2016-Toyota-Yaris-SE-ID668870417|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870420/New-2016-Toyota-Yaris-SE-ID668870420|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870423/New-2016-Toyota-Yaris-SE-ID668870423|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870426/New-2016-Toyota-Yaris-SE-ID668870426|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870429/New-2016-Toyota-Yaris-SE-ID668870429|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870432/New-2016-Toyota-Yaris-SE-ID668870432|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870435/New-2016-Toyota-Yaris-SE-ID668870435,http://www.victorytoyota.com/auto/new-2016-toyota-yaris-se-seaside-ca/7586630/,0,0
061340,,new,New 2016 Toyota Corolla S Plus ,2016,Toyota,Corolla,S Plus,21334,,4 cyl 1.8l Gasoline,CVT,Slate Metallic,Amber/Black,,http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858591/New-2016-Toyota-Corolla-SPlus-ID668858591|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858594/New-2016-Toyota-Corolla-SPlus-ID668858594|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858597/New-2016-Toyota-Corolla-SPlus-ID668858597|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858600/New-2016-Toyota-Corolla-SPlus-ID668858600|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858603/New-2016-Toyota-Corolla-SPlus-ID668858603|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858606/New-2016-Toyota-Corolla-SPlus-ID668858606|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858609/New-2016-Toyota-Corolla-SPlus-ID668858609|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858615/New-2016-Toyota-Corolla-SPlus-ID668858615|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858624/New-2016-Toyota-Corolla-SPlus-ID668858624|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858642/New-2016-Toyota-Corolla-SPlus-ID668858642|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858657/New-2016-Toyota-Corolla-SPlus-ID668858657|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858660/New-2016-Toyota-Corolla-SPlus-ID668858660|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858675/New-2016-Toyota-Corolla-SPlus-ID668858675|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858681/New-2016-Toyota-Corolla-SPlus-ID668858681|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858687/New-2016-Toyota-Corolla-SPlus-ID668858687|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858693/New-2016-Toyota-Corolla-SPlus-ID668858693|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858699/New-2016-Toyota-Corolla-SPlus-ID668858699|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858705/New-2016-Toyota-Corolla-SPlus-ID668858705|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858711/New-2016-Toyota-Corolla-SPlus-ID668858711|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668858714/New-2016-Toyota-Corolla-SPlus-ID668858714,http://www.victorytoyota.com/auto/new-2016-toyota-corolla-s-plus-seaside-ca/12516368/,0,0
061356,,new,New 2016 Toyota Yaris SE ,2016,Toyota,Yaris,SE,18725,,4 cyl 1.5l Gasoline,4-Speed Automatic with Overdrive,Blue Streak Metallic,Black,,http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870567/New-2016-Toyota-Yaris-SE-ID668870567|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870573/New-2016-Toyota-Yaris-SE-ID668870573|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870582/New-2016-Toyota-Yaris-SE-ID668870582|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870585/New-2016-Toyota-Yaris-SE-ID668870585|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870591/New-2016-Toyota-Yaris-SE-ID668870591|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870597/New-2016-Toyota-Yaris-SE-ID668870597|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870603/New-2016-Toyota-Yaris-SE-ID668870603|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870609/New-2016-Toyota-Yaris-SE-ID668870609|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870612/New-2016-Toyota-Yaris-SE-ID668870612|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870618/New-2016-Toyota-Yaris-SE-ID668870618|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870624/New-2016-Toyota-Yaris-SE-ID668870624|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870630/New-2016-Toyota-Yaris-SE-ID668870630|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870636/New-2016-Toyota-Yaris-SE-ID668870636|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870642/New-2016-Toyota-Yaris-SE-ID668870642|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870648/New-2016-Toyota-Yaris-SE-ID668870648|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870654/New-2016-Toyota-Yaris-SE-ID668870654|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870660/New-2016-Toyota-Yaris-SE-ID668870660|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870666/New-2016-Toyota-Yaris-SE-ID668870666|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870669/New-2016-Toyota-Yaris-SE-ID668870669|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870672/New-2016-Toyota-Yaris-SE-ID668870672|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668870675/New-2016-Toyota-Yaris-SE-ID668870675,http://www.victorytoyota.com/auto/new-2016-toyota-yaris-se-seaside-ca/12561779/,0,0
061466,,new,New 2016 Toyota Sequoia Platinum ,2016,Toyota,Sequoia,Platinum,66875,,8 cyl 5.7l Gasoline,6-Speed Automatic Electronic,Blizzard Pearl,Graphite,,http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852675/New-2016-Toyota-Sequoia-Platinum-ID668852675|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852678/New-2016-Toyota-Sequoia-Platinum-ID668852678|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852681/New-2016-Toyota-Sequoia-Platinum-ID668852681|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852684/New-2016-Toyota-Sequoia-Platinum-ID668852684|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852687/New-2016-Toyota-Sequoia-Platinum-ID668852687|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852690/New-2016-Toyota-Sequoia-Platinum-ID668852690|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852693/New-2016-Toyota-Sequoia-Platinum-ID668852693|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852696/New-2016-Toyota-Sequoia-Platinum-ID668852696|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852699/New-2016-Toyota-Sequoia-Platinum-ID668852699|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852702/New-2016-Toyota-Sequoia-Platinum-ID668852702|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852705/New-2016-Toyota-Sequoia-Platinum-ID668852705|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852708/New-2016-Toyota-Sequoia-Platinum-ID668852708|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852711/New-2016-Toyota-Sequoia-Platinum-ID668852711|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852714/New-2016-Toyota-Sequoia-Platinum-ID668852714|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852717/New-2016-Toyota-Sequoia-Platinum-ID668852717|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852720/New-2016-Toyota-Sequoia-Platinum-ID668852720|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852723/New-2016-Toyota-Sequoia-Platinum-ID668852723|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852726/New-2016-Toyota-Sequoia-Platinum-ID668852726|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852729/New-2016-Toyota-Sequoia-Platinum-ID668852729|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852732/New-2016-Toyota-Sequoia-Platinum-ID668852732|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668852735/New-2016-Toyota-Sequoia-Platinum-ID668852735,http://www.victorytoyota.com/auto/new-2016-toyota-sequoia-platinum-seaside-ca/13429157/,0,0
070003,,new,New 2017 Toyota Camry SE ,,Toyota,Camry,SE,22559,,4 cyl 2.5l Gasoline,6-Speed Automatic,Celestial Silver Metallic,Ash/Black,,http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/668849237/New-2017-Toyota-Camry-SE-ID668849237|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668849240/New-2017-Toyota-Camry-SE-ID668849240|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668849243/New-2017-Toyota-Camry-SE-ID668849243|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668849246/New-2017-Toyota-Camry-SE-ID668849246|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668849249/New-2017-Toyota-Camry-SE-ID668849249|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668849252/New-2017-Toyota-Camry-SE-ID668849252|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668849255/New-2017-Toyota-Camry-SE-ID668849255|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668849258/New-2017-Toyota-Camry-SE-ID668849258|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668849261/New-2017-Toyota-Camry-SE-ID668849261|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668849264/New-2017-Toyota-Camry-SE-ID668849264|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668849267/New-2017-Toyota-Camry-SE-ID668849267|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/668849270/New-2017-Toyota-Camry-SE-ID668849270|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/668849273/New-2017-Toyota-Camry-SE-ID668849273|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668849276/New-2017-Toyota-Camry-SE-ID668849276|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668849279/New-2017-Toyota-Camry-SE-ID668849279|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668849282/New-2017-Toyota-Camry-SE-ID668849282|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668849285/New-2017-Toyota-Camry-SE-ID668849285|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668849288/New-2017-Toyota-Camry-SE-ID668849288|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668849291/New-2017-Toyota-Camry-SE-ID668849291|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668849294/New-2017-Toyota-Camry-SE-ID668849294|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668849297/New-2017-Toyota-Camry-SE-ID668849297,http://www.victorytoyota.com/auto/new-2017-toyota-camry-se-near_seaside-93955-ca/11144345/,0,1
070005,,new,New 2017 Toyota Camry LE ,,Toyota,Camry,LE,21213,,4 cyl 2.5l Gasoline,6-Speed Automatic,Celestial Silver Metallic,Ash,,http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847926/New-2017-Toyota-Camry-LE-ID668847926|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847929/New-2017-Toyota-Camry-LE-ID668847929|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847932/New-2017-Toyota-Camry-LE-ID668847932|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847935/New-2017-Toyota-Camry-LE-ID668847935|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847938/New-2017-Toyota-Camry-LE-ID668847938|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847941/New-2017-Toyota-Camry-LE-ID668847941|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847944/New-2017-Toyota-Camry-LE-ID668847944|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847947/New-2017-Toyota-Camry-LE-ID668847947|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847950/New-2017-Toyota-Camry-LE-ID668847950|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847953/New-2017-Toyota-Camry-LE-ID668847953|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847956/New-2017-Toyota-Camry-LE-ID668847956|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847959/New-2017-Toyota-Camry-LE-ID668847959|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847962/New-2017-Toyota-Camry-LE-ID668847962|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847965/New-2017-Toyota-Camry-LE-ID668847965|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847968/New-2017-Toyota-Camry-LE-ID668847968|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847971/New-2017-Toyota-Camry-LE-ID668847971|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847974/New-2017-Toyota-Camry-LE-ID668847974|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847977/New-2017-Toyota-Camry-LE-ID668847977|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847980/New-2017-Toyota-Camry-LE-ID668847980|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847983/New-2017-Toyota-Camry-LE-ID668847983|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847986/New-2017-Toyota-Camry-LE-ID668847986|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847989/New-2017-Toyota-Camry-LE-ID668847989|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668847992/New-2017-Toyota-Camry-LE-ID668847992,http://www.victorytoyota.com/auto/new-2017-toyota-camry-le-near_seaside-93955-ca/11144339/,0,1
070052,,new,New 2017 Toyota RAV4 LE ,,Toyota,RAV4,LE,24043,,4 cyl 2.5l Gasoline,6-Speed Automatic,,Black,,http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/915237330/New-2017-Toyota-RAV4-LE-ID915237330|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/915237333/New-2017-Toyota-RAV4-LE-ID915237333|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/915237336/New-2017-Toyota-RAV4-LE-ID915237336|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/915237339/New-2017-Toyota-RAV4-LE-ID915237339|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/915237342/New-2017-Toyota-RAV4-LE-ID915237342|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/915237345/New-2017-Toyota-RAV4-LE-ID915237345|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/915237348/New-2017-Toyota-RAV4-LE-ID915237348|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/915237351/New-2017-Toyota-RAV4-LE-ID915237351|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/915237354/New-2017-Toyota-RAV4-LE-ID915237354|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/915237357/New-2017-Toyota-RAV4-LE-ID915237357|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/915237360/New-2017-Toyota-RAV4-LE-ID915237360|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/915237363/New-2017-Toyota-RAV4-LE-ID915237363|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/915237366/New-2017-Toyota-RAV4-LE-ID915237366|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/915237369/New-2017-Toyota-RAV4-LE-ID915237369|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/915237372/New-2017-Toyota-RAV4-LE-ID915237372|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/915237375/New-2017-Toyota-RAV4-LE-ID915237375|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/915237378/New-2017-Toyota-RAV4-LE-ID915237378|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/915237381/New-2017-Toyota-RAV4-LE-ID915237381|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/915237384/New-2017-Toyota-RAV4-LE-ID915237384|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/915237387/New-2017-Toyota-RAV4-LE-ID915237387|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/915237390/New-2017-Toyota-RAV4-LE-ID915237390,http://www.victorytoyota.com/auto/new-2017-toyota-rav4-le-near_seaside-93955-ca/13383032/,0,1
070059,,new,New 2017 Toyota Yaris iA Base ,,Toyota,Yaris iA,Base,15915,,4 cyl 1l Gasoline,6-Speed Automatic,,Mid Blue Black,,http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668843600/New-2017-Toyota-YarisiA-Base-ID668843600|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668843606/New-2017-Toyota-YarisiA-Base-ID668843606|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668843612/New-2017-Toyota-YarisiA-Base-ID668843612|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668843618/New-2017-Toyota-YarisiA-Base-ID668843618|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668843624/New-2017-Toyota-YarisiA-Base-ID668843624|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668843630/New-2017-Toyota-YarisiA-Base-ID668843630|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668843636/New-2017-Toyota-YarisiA-Base-ID668843636|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668843642/New-2017-Toyota-YarisiA-Base-ID668843642|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668843648/New-2017-Toyota-YarisiA-Base-ID668843648|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/668843654/New-2017-Toyota-YarisiA-Base-ID668843654|http://a2.dealerimages.dealereprocess.com/images/v1/dvp/245/668843657/New-2017-Toyota-YarisiA-Base-ID668843657|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668843660/New-2017-Toyota-YarisiA-Base-ID668843660|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668843663/New-2017-Toyota-YarisiA-Base-ID668843663|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668843666/New-2017-Toyota-YarisiA-Base-ID668843666|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/668843669/New-2017-Toyota-YarisiA-Base-ID668843669|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/668843672/New-2017-Toyota-YarisiA-Base-ID668843672|http://a3.dealerimages.dealereprocess.com/images/v1/dvp/245/668843675/New-2017-Toyota-YarisiA-Base-ID668843675|http://a4.dealerimages.dealereprocess.com/images/v1/dvp/245/668843678/New-2017-Toyota-YarisiA-Base-ID668843678|http://a5.dealerimages.dealereprocess.com/images/v1/dvp/245/668843681/New-2017-Toyota-YarisiA-Base-ID668843681|http://a1.dealerimages.dealereprocess.com/images/v1/dvp/245/668843684/New-2017-Toyota-YarisiA-Base-ID668843684,http://www.victorytoyota.com/auto/new-2017-toyota-yaris_ia-base-near_seaside-93955-ca/13544015/,0,1
070067,,new,New 2017 Toyota Prius v Three 5D Hatchback ,2017,Toyota,Prius v,Three 5D Hatchback,27703,,4 cyl 1.8l Hybrid,CVT,Midnight Black Metallic,Ash,,http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864819/New-2017-Toyota-Priusv-Three5DHatchback-ID668864819|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864825/New-2017-Toyota-Priusv-Three5DHatchback-ID668864825|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864834/New-2017-Toyota-Priusv-Three5DHatchback-ID668864834|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864837/New-2017-Toyota-Priusv-Three5DHatchback-ID668864837|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864843/New-2017-Toyota-Priusv-Three5DHatchback-ID668864843|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864849/New-2017-Toyota-Priusv-Three5DHatchback-ID668864849|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864855/New-2017-Toyota-Priusv-Three5DHatchback-ID668864855|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864861/New-2017-Toyota-Priusv-Three5DHatchback-ID668864861|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864867/New-2017-Toyota-Priusv-Three5DHatchback-ID668864867|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864873/New-2017-Toyota-Priusv-Three5DHatchback-ID668864873|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864879/New-2017-Toyota-Priusv-Three5DHatchback-ID668864879|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864885/New-2017-Toyota-Priusv-Three5DHatchback-ID668864885|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864891/New-2017-Toyota-Priusv-Three5DHatchback-ID668864891|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864897/New-2017-Toyota-Priusv-Three5DHatchback-ID668864897|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864903/New-2017-Toyota-Priusv-Three5DHatchback-ID668864903|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864909/New-2017-Toyota-Priusv-Three5DHatchback-ID668864909|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864915/New-2017-Toyota-Priusv-Three5DHatchback-ID668864915|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864921/New-2017-Toyota-Priusv-Three5DHatchback-ID668864921|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864927/New-2017-Toyota-Priusv-Three5DHatchback-ID668864927|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864933/New-2017-Toyota-Priusv-Three5DHatchback-ID668864933|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864939/New-2017-Toyota-Priusv-Three5DHatchback-ID668864939|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668864945/New-2017-Toyota-Priusv-Three5DHatchback-ID668864945,http://www.victorytoyota.com/auto/new-2017-toyota-prius-v-three-5d-hatchback-seaside-ca/11646656/,0,0
070080,,new,New 2017 Toyota Prius v Five 5D Hatchback FWD ,,Toyota,Prius v,Five 5D Hatchback,35548,,4 cyl 1.8l Hybrid,CVT,,Black,,http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865617/New-2017-Toyota-Priusv-Five5DHatchback-ID668865617|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865620/New-2017-Toyota-Priusv-Five5DHatchback-ID668865620|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865623/New-2017-Toyota-Priusv-Five5DHatchback-ID668865623|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865626/New-2017-Toyota-Priusv-Five5DHatchback-ID668865626|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865629/New-2017-Toyota-Priusv-Five5DHatchback-ID668865629|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865632/New-2017-Toyota-Priusv-Five5DHatchback-ID668865632|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865635/New-2017-Toyota-Priusv-Five5DHatchback-ID668865635|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865638/New-2017-Toyota-Priusv-Five5DHatchback-ID668865638|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865641/New-2017-Toyota-Priusv-Five5DHatchback-ID668865641|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865644/New-2017-Toyota-Priusv-Five5DHatchback-ID668865644|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865647/New-2017-Toyota-Priusv-Five5DHatchback-ID668865647|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865650/New-2017-Toyota-Priusv-Five5DHatchback-ID668865650|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865653/New-2017-Toyota-Priusv-Five5DHatchback-ID668865653|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865656/New-2017-Toyota-Priusv-Five5DHatchback-ID668865656|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865659/New-2017-Toyota-Priusv-Five5DHatchback-ID668865659|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865665/New-2017-Toyota-Priusv-Five5DHatchback-ID668865665|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865671/New-2017-Toyota-Priusv-Five5DHatchback-ID668865671|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865677/New-2017-Toyota-Priusv-Five5DHatchback-ID668865677|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865683/New-2017-Toyota-Priusv-Five5DHatchback-ID668865683|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865689/New-2017-Toyota-Priusv-Five5DHatchback-ID668865689|http://dealerimages.dealereprocess.com/images/v1/dvp/245/668865695/New-2017-Toyota-Priusv-Five5DHatchback-ID668865695,http://www.victorytoyota.com/auto/new-2017-toyota-prius_v-five_5d_hatchback-near_seaside-93955-ca/11774951/,0,1
