stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
11244U,,used,2011 Chevrolet Traverse 2LT,2011,Chevrolet,Traverse,2LT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2011-Chevrolet-Traverse/349779,0,1
11277U,,used,2010 Chevrolet Traverse 2LT,2010,Chevrolet,Traverse,2LT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2010-Chevrolet-Traverse/347912,0,1
12167A,,used,2011 Chevrolet Traverse 2LT,2011,Chevrolet,Traverse,2LT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2011-Chevrolet-Traverse/349709,0,1
12756U,,used,1999 GMC Sierra 2500HD,1999,GMC,Sierra 2500HD,,,,,,,,,,http://www.virdenmainline.com/inventory/Used-1999-GMC-Sierra-2500HD/351790,0,1
13220U,,used,2004 GMC Sierra 2500HD,2004,GMC,Sierra 2500HD,,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2004-GMC-Sierra-2500HD/348001,0,1
13255A,,used,2012 GMC Terrain SLE-1,2012,GMC,Terrain,SLE-1,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2012-GMC-Terrain/348067,0,1
13283,,used,2013 Chevrolet Silverado 1500 LT,2013,Chevrolet,Silverado 1500,LT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2013-Chevrolet-Silverado-1500/348436,0,1
13336,,used,2013 Buick Enclave Leather,2013,Buick,Enclave,Leather,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2013-Buick-Enclave/345172,0,1
13388,,used,2013 GMC Sierra 1500 SLT,2013,GMC,Sierra 1500,SLT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2013-GMC-Sierra-1500/348066,0,1
13411U,,used,2009 GMC Sierra 2500HD,2009,GMC,Sierra 2500HD,,"34,995",,,,,,,http://www.virdenmainline.com/media/mb1001/348392/1500354573276108-large.jpg|http://www.virdenmainline.com/media/mb1001/348392/1500354573949533-large.jpg|http://www.virdenmainline.com/media/mb1001/348392/1500354574576915-large.jpg|http://www.virdenmainline.com/media/mb1001/348392/1500354575131312-large.jpg|http://www.virdenmainline.com/media/mb1001/348392/1500354575632638-large.jpg|http://www.virdenmainline.com/media/mb1001/348392/1500354576133403-large.jpg|http://www.virdenmainline.com/media/mb1001/348392/1500354576783969-large.jpg|http://www.virdenmainline.com/media/mb1001/348392/1500354577538421-large.jpg,http://www.virdenmainline.com/inventory/Used-2009-GMC-Sierra-2500HD/348392,0,1
13708U,,used,2007 Cadillac Escalade Base,2007,Cadillac,Escalade,Base,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2007-Cadillac-Escalade/346655,0,1
14293,,used,2014 GMC Sierra 1500 SLT,2014,GMC,Sierra 1500,SLT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2014-GMC-Sierra-1500/346310,0,1
14519,,used,2014 Chevrolet Cruze 2LT,2014,Chevrolet,Cruze,2LT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2014-Chevrolet-Cruze/349102,0,1
14645U,,used,2011 Chevrolet Equinox 1LT,2011,Chevrolet,Equinox,1LT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2011-Chevrolet-Equinox/347911,0,1
14749U,,used,2010 GMC Terrain SLE-2,2010,GMC,Terrain,SLE-2,"12,995",,,,,,,,http://www.virdenmainline.com/inventory/Used-2010-GMC-Terrain/351948,0,0
14769U,,used,2011 GMC Terrain SLE-2 | AWD | V6,2011,GMC,Terrain,SLE-2 | AWD | V6,"16,995",,,,,,,http://www.virdenmainline.com/media/mb1001/347658/1499749759247390-large.jpg|http://www.virdenmainline.com/media/mb1001/347658/1499749759900195-large.jpg|http://www.virdenmainline.com/media/mb1001/347658/1499749760714598-large.jpg|http://www.virdenmainline.com/media/mb1001/347658/1499749761266799-large.jpg|http://www.virdenmainline.com/media/mb1001/347658/1499749761879357-large.jpg|http://www.virdenmainline.com/media/mb1001/347658/1499749762446998-large.jpg|http://www.virdenmainline.com/media/mb1001/347658/1499749763220243-large.jpg,http://www.virdenmainline.com/inventory/Used-2011-GMC-Terrain/347658,0,1
15341U,,used,2010 Chevrolet Impala LT,2010,Chevrolet,Impala,LT,,,,,,,,,http://www.virdenmainline.com/inventory/Used-2010-Chevrolet-Impala/351059,0,1
