stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
16T024A,,used,2009 Jeep Wrangler X 2D Utility 4WD,2009,Jeep,Wrangler,,"$16,895",,V6 Cylinder Engine,Manual,Silver,,"81,700",http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915309.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915310.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915311.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915312.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915313.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915314.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915315.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915316.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915317.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T024A/3532566_190915318.jpg,http://www.wainalta.com/inventory/2009-jeep-wrangler-x-2d-utility-4wd/,0,1
16T203A,,used,2012 Dodge Ram 2500 Laramie Crew Cab 4WD,2012,Dodge,Ram,1500 Crew Cab 4x4 Laramie,"$29,950",,8 Cylinder Engine,Automatic,Gray,,"153,000",http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062760.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062761.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062762.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062763.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062764.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062765.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062766.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062767.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062768.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062769.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T203A/3632331_219062770.jpg,http://www.wainalta.com/inventory/2012-dodge-ram-2500-laramie-crew-cab-4wd/,0,1
16T211A,,used,2012 Dodge Ram 1500 Sport Crew Cab 4WD,2012,Dodge,Ram,1500 Crew Cab 4x4 Laramie,"27,850.00",,8 Cylinder Engine,Automatic,Silver,,"94,000",http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062817.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062818.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062819.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062820.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062821.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062822.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062823.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062824.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062825.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062826.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T211A/3627586_219062827.jpg,http://www.wainalta.com/inventory/2012-dodge-ram-1500-sport-crew-cab-4wd/,0,1
16T235A,,used,2014 RAM 1500 Crew Cab 4x4 Laramie (140.5,2014,RAM,1500,Crew Cab 4x4 Laramie (140.5,Please Call,,8 Cylinder Engine,Automatic,Maximum Steel,,"153,000",http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913353.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913354.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913355.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913356.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913357.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913358.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913359.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913360.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913361.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913362.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913363.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913364.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913365.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913366.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913367.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T235A/3470742_190913368.jpg,http://www.wainalta.com/inventory/2014-ram-ram-1500-crew-cab-4x4-laramie-140-5-wb-5-7-box/,0,1
16T238A,,used,2013 Dodge Durango Citadel,2013,Dodge,Durango,Citadel,"32,850.00",,8 Cylinder Engine,Automatic,White,,"94,000",http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913314.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913315.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913316.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913317.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913318.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913319.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913320.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913321.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913323.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913324.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913325.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913326.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T238A/3527061_190913327.jpg,http://www.wainalta.com/inventory/2013-dodge-durango-citadel/,0,1
16T240A,,used,2013 Dodge Journey R/T AWD,2013,Dodge,JOURNEY,SXT AWD,"$17,500",,V6 Cylinder Engine,Automatic,White,,"96,000",http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062833.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062834.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062835.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062836.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062837.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062838.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062839.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062840.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062841.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062842.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062843.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062844.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062845.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062846.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062847.jpg|http://www.wainalta.com/wp-content/uploads/UsedVehicles/16T240A/3661742_219062848.jpg,http://www.wainalta.com/inventory/2013-dodge-journey-rt-awd/,0,0
17T004,,new,2017 RAM 1500 Sport,2017,RAM,1500,Sport,Please Call,,8 Cylinder Engine,8-Speed A/T,,,10,http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/32960642.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414729.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414730.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414731.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414733.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414734.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414735.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414736.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414737.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414738.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414739.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414740.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414742.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414743.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414744.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414745.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414746.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414747.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414748.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414749.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T004/3296064_230414750.jpg,http://www.wainalta.com/inventory/2017-ram-1500-sport/,0,1
17T006,,new,2017 Dodge Grand Caravan CVP / SXT,2017,Dodge,Grand,Caravan CVP / SXT,Please Call,,V6 Cylinder Engine,6-Speed A/T,Octane Red,,10,http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/33278932.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926782.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926792.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926802.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926812.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926822.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926832.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926842.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926852.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926862.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T006/3327893_1680926872.jpg,http://www.wainalta.com/inventory/2017-dodge-grand-caravan-cvp-sxt/,0,1
17T007,,new,2017 Dodge Grand Caravan Crew,2017,Dodge,Grand,Caravan Crew,Please Call,,V6 Cylinder Engine,6-Speed A/T,,,10,http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/33278892.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262022.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262032.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262042.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262052.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262062.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262072.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262082.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262092.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262102.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262112.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262122.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T007/3327889_1778262132.jpg,http://www.wainalta.com/inventory/2017-dodge-grand-caravan-crew/,0,1
17T008,,new,2017 RAM 1500 Longhorn,2017,RAM,1500,Longhorn,Please Call,,8 Cylinder Engine,8-Speed A/T,,,10,http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/33305552.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748262.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748272.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748282.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748292.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748302.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748312.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748322.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748332.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748342.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748352.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748362.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748372.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748382.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748392.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748402.jpg|http://www.wainalta.com/wp-content/uploads/NewVehicles/17T008/3330555_1786748412.jpg,http://www.wainalta.com/inventory/2017-ram-1500-longhorn/,0,1
