stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
032c9eb5e187257c6af8e011f0af7eaf,,new,2018 Jeep Cherokee Latitude SUV,2018,Jeep,Cherokee,Latitude,"$28,920",SUV,2.4L I-4 cyl,9 speed automatic,Granite Crystal,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES042A0/PAU.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Cherokee-wasilla-ak-c2476df00a0e0ae7682674b883a28e62.htm,0,1
0499bb4eb07e1cab594154981dd8d464,,new,2018 Dodge Challenger GT Coupe,2018,Dodge,Challenger,GT,"$37,770",Coupe,3.6L V-6 cyl,8 speed automatic,Go Mango,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80DOC192A0/PVP.jpg,https://www.wasilladodge.com/new/Dodge/2018-Dodge-Challenger-wasilla-ak-3de5a7900a0e0a170034bdd24795792e.htm,0,1
06bdebb156ee9bfb3f078c72f8786ed3,,new,2017 Ram 3500 Tradesman Truck Crew Cab,2017,Ram,3500,Tradesman,"$48,875",Truck,6.7L I-6 cyl,6-Speed Manual,Bright Silver,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2017/USC70RMT136A0/PS2.jpg,https://www.wasilladodge.com/new/Ram/2017-Ram-3500-wasilla-ak-a38186b80a0e0a6b1373052108250c24.htm,0,1
08c58ca68c75ac60920229b485441bdc,,new,2018 Jeep Grand Cherokee Laredo SUV,2018,Jeep,Grand Cherokee,Laredo,"$39,975",SUV,3.6L V-6 cyl,8 speed automatic,Diamond Black Crystal Pearlcoat,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES052A0/PXJ.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Grand+Cherokee-wasilla-ak-eb5dfde50a0e0ae7682674b8bbf5534f.htm,0,1
090491215e4c6dc32bf782efae0925a2,,new,2017 Ram 2500 SLT Truck Crew Cab,2017,Ram,2500,SLT,"$46,490",Truck,6.4L V-8 cyl,6 speed automatic,Bright Silver,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2017/USC70RMT126B0/PS2.jpg,https://www.wasilladodge.com/new/Ram/2017-Ram-2500-wasilla-ak-a38187270a0e0a6b13730521d303bfe2.htm,0,1
0ac03e45cd8751e9fd96351aaa7e8d88,,new,2018 Jeep Compass Sport SUV,2018,Jeep,Compass,Sport,"$26,630",SUV,2.4L I-4 cyl,9-Speed Automatic,Diamond Black Crystal Pearlcoat,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES152A0/PXJ.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Compass-wasilla-ak-c2476e720a0e0ae7682674b8a9ca9822.htm,0,1
0f01adb0a9691d5898949c671b089529,,new,2018 Jeep Grand Cherokee Overland SUV,2018,Jeep,Grand Cherokee,Overland,"$57,950",SUV,5.7L V-8 cyl,8 speed automatic,Diamond Black Crystal Pearlcoat,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES052D0/PXJ.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Grand+Cherokee-wasilla-ak-3de5a84d0a0e0a170034bdd23276cce6.htm,0,1
0f22b70d6efcf93170301ae586e520ca,,new,2018 Jeep Cherokee Latitude SUV,2018,Jeep,Cherokee,Latitude,"$27,975",SUV,2.4L I-4 cyl,9 speed automatic,Bright White,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES042A0/PW7.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Cherokee-wasilla-ak-c76d2c270a0e0ae867dfbbaf64ecbc69.htm,0,1
0f824be98c9bf77dcd762785d3d4355e,,new,2017 Ram 1500 Sport Truck Crew Cab,2017,Ram,1500,Sport,"$50,130",Truck,5.7L V-8 cyl,8 speed automatic,Brilliant Black Crystal Pearlcoat,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2017/USC70RMT11CD0/PXR.jpg,https://www.wasilladodge.com/new/Ram/2017-Ram-1500-wasilla-ak-c2476c280a0e0ae7682674b833495ba2.htm,0,1
10eadd4ef0ef3891d7819c45000f3cd5,,new,2018 Ram 3500 Chassis Tradesman/SLT Truck Regular Cab,2018,Ram,3500 Chassis,Tradesman\x2FSLT,"$40,515",Truck,6.4L V-8 cyl,6 speed automatic,Bright White,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMH124A0/PW7.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-3500+Chassis-wasilla-ak-527e6ddd0a0e0aea5282132bfab66507.htm,0,1
17174bb27beb2ce8299218493e273406,,new,2018 Jeep Cherokee Latitude SUV,2018,Jeep,Cherokee,Latitude,"$27,975",SUV,2.4L I-4 cyl,9 speed automatic,Billet Silver,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES042A0/PSC.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Cherokee-wasilla-ak-c2476cf10a0e0ae7682674b8d725a241.htm,0,1
1b8dde1143bc6ac05d9305354f71d309,,new,2018 Jeep Grand Cherokee Limited SUV,2018,Jeep,Grand Cherokee,Limited,"$51,765",SUV,5.7L V-8 cyl,8 speed automatic,Bright White,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES052B0/PW7.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Grand+Cherokee-wasilla-ak-956bd2300a0e0a17779c935f324a3ecd.htm,0,1
1c5fa088d686a0df8d17a5bd5b228a17,,new,2018 Dodge Charger GT Sedan,2018,Dodge,Charger,GT,"$33,685",Sedan,3.6L V-6 cyl,8 speed automatic,Go Mango,Black,,https://images.dealer.com/unavailable_stockphoto.png,https://www.wasilladodge.com/new/Dodge/2018-Dodge-Charger-wasilla-ak-c2476e490a0e0ae7682674b8a4a51dae.htm,0,1
1e32a822d74d4214ee9b3981317e435d,,new,2018 Jeep Compass Sport SUV,2018,Jeep,Compass,Sport,"$26,630",SUV,2.4L I-4 cyl,9-Speed Automatic,Spitfire Orange,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES152A0/PF2.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Compass-wasilla-ak-e12e7a0d0a0e0ae965f9dd84377f1dff.htm,0,1
206777c4b8f9c78555333221f6b7900f,,new,2018 Jeep Compass Trailhawk SUV,2018,Jeep,Compass,Trailhawk,"$34,170",SUV,2.4L I-4 cyl,9 speed automatic,Diamond Black Crystal Pearlcoat,Ruby Red/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES152C0/PXJ.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Compass-wasilla-ak-c76d2bb90a0e0ae867dfbbafe761cbdf.htm,0,1
22ee20f3eec13bbe235aa57d98af6284,,new,2018 Ram 2500 Tradesman Truck Crew Cab,2018,Ram,2500,Tradesman,"$51,285",Truck,6.7L I-6 cyl,6 speed automatic,Bright White,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT125A0/PW7.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-d1b90b550a0e0aea4a9cbb0130df120a.htm,0,1
231ec6daa03bfc38037be27b1a02c4d3,,new,2017 Ram 3500 SLT Truck Mega Cab,2017,Ram,3500,SLT,"$63,175",Truck,6.7L I-6 cyl,6 speed automatic,Granite Crystal,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2017/USC70RMT138A0/PAU.jpg,https://www.wasilladodge.com/new/Ram/2017-Ram-3500-wasilla-ak-e63966590a0e0ae867dfbbafe7623565.htm,0,1
2468f8e508e19d17fd3117d5a5ec6bcf,,new,2018 Jeep Cherokee Limited SUV,2018,Jeep,Cherokee,Limited,"$38,285",SUV,3.2L V-6 cyl,9 speed automatic,Bright White,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES042C0/PW7.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Cherokee-wasilla-ak-61f12bfa0a0e0adf589d058c7613bbac.htm,0,1
264c79667cd1da60c694ab7fee6d1e21,,new,2018 Ram 2500 SLT Truck Crew Cab,2018,Ram,2500,SLT,"$59,560",Truck,6.7L I-6 cyl,6 speed automatic,Blue Streak Pearlcoat,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT125B0/PCL.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-053cf1600a0e0ae867dfbbaf8b3be598.htm,0,1
29b75fd40000ce146efab051d2965d77,,new,2018 Ram 2500 Tradesman Truck Crew Cab,2018,Ram,2500,Tradesman,"$42,880",Truck,6.4L V-8 cyl,6 speed automatic,Maximum Steel,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT126A0/PAR.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-3de5ac070a0e0a170034bdd21abf60db.htm,0,1
2af7d9803afb1981d0a5114cdffb5755,,new,2018 Ram 3500 Laramie Truck Crew Cab,2018,Ram,3500,Laramie,"$64,260",Truck,6.7L I-6 cyl,6 speed automatic,Granite Crystal,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT136C0/PAU.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-3500-wasilla-ak-61f12a0e0a0e0adf589d058c035c8bbf.htm,0,1
2cc52dd2065227ba715d8d052ef2afb7,,new,2018 Jeep Cherokee Latitude SUV,2018,Jeep,Cherokee,Latitude,"$27,975",SUV,2.4L I-4 cyl,9 speed automatic,Billet Silver,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES042A0/PSC.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Cherokee-wasilla-ak-c2476edf0a0e0ae7682674b866f1eec7.htm,0,1
2E254447T,,used,2002 Chevrolet Silverado 3500 LT Truck Extended Cab,2002,Chevrolet,Silverado 3500,Extended Cab,"$17,950",Truck,6.6L V-8 cyl,AUTOMATIC,Victory Red,GRAPHITE,99079,https://pictures.dealer.com/l/lithiacdjramofcllc/0569/5a34c19dd124700dda16d578adb99d48x.jpg,https://www.wasilladodge.com/used/Chevrolet/2002-Chevrolet-Silverado+3500-wasilla-ak-f3ba242a0a0e0ae8284806097b508c6f.htm,0,0
2e75db8df7622f68bf62b1843c0daafe,,new,2018 Jeep Compass Limited SUV,2018,Jeep,Compass,Limited,"$34,615",SUV,2.4L I-4 cyl,9 speed automatic,Pearl White Tri-Coat,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES152D0/PWH.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Compass-wasilla-ak-053cf3700a0e0ae867dfbbaf5f3b06d6.htm,0,1
2f1fdbef8c0abca3fb6c73ad53ea809c,,new,2018 Ram 2500 SLT Truck Crew Cab,2018,Ram,2500,SLT,"$59,560",Truck,6.7L I-6 cyl,6 speed automatic,Bright White,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT125B0/PW7.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-053cf1da0a0e0ae867dfbbafd6ff48fe.htm,0,1
30508dc2d0dc4b7552e01f9cd2131a74,,new,2018 Jeep Cherokee Limited SUV,2018,Jeep,Cherokee,Limited,"$36,000",SUV,2.4L I-4 cyl,9 speed automatic,Diamond Black Crystal Pearlcoat,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES042C0/PXJ.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Cherokee-wasilla-ak-527e67d60a0e0aea5282132bf2634e9f.htm,0,1
327774d20b489f45a441f8cb627e5696,,new,2018 Jeep Grand Cherokee Trailhawk SUV,2018,Jeep,Grand Cherokee,Trailhawk,"$52,360",SUV,5.7L V-8 cyl,8 speed automatic,Bright White,Ruby Red/Black,,https://images.dealer.com/unavailable_stockphoto.png,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Grand+Cherokee-wasilla-ak-579f4a180a0e0aea5282132bd3e93106.htm,0,1
328f1361e2a723dd188e342d97dc94de,,new,2018 Ram 2500 Tradesman Truck Crew Cab,2018,Ram,2500,Tradesman,"$51,185",Truck,6.7L I-6 cyl,6 speed automatic,Delmonico Red Pearlcoat,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT125A0/PRV.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-f5b40a590a0e0ae7682674b8f2c8fa94.htm,0,1
32cc615938403e4ca379882c1e19458b,,new,2018 Jeep Grand Cherokee Limited SUV,2018,Jeep,Grand Cherokee,Limited,"$52,260",SUV,5.7L V-8 cyl,8 speed automatic,Diamond Black Crystal Pearlcoat,Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80JES052B0/PXJ.jpg,https://www.wasilladodge.com/new/Jeep/2018-Jeep-Grand+Cherokee-wasilla-ak-85d6432b0a0e0aea5282132bdd5c0f35.htm,0,1
344ecd7cbf6927cbe8854a918547fcdb,,new,2018 Ram 2500 Tradesman Truck Crew Cab,2018,Ram,2500,Tradesman,"$51,185",Truck,6.7L I-6 cyl,6 speed automatic,Bright White,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT125A0/PW7.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-5ccf38330a0e0ae97a1697c4f102351a.htm,0,1
35ae68087e605aba194f99f1bb51f149,,new,2018 Ram 2500 Tradesman Truck Crew Cab,2018,Ram,2500,Tradesman,"$42,880",Truck,6.4L V-8 cyl,6 speed automatic,Bright White,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT126A0/PW7.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-527e68ab0a0e0aea5282132b7b9025f4.htm,0,1
3624c766bb3c9ecb72631b15f62431c6,,new,2018 Ram 2500 Tradesman Truck Crew Cab,2018,Ram,2500,Tradesman,"$51,185",Truck,6.7L I-6 cyl,6 speed automatic,Bright White,Diesel Gray/Black,,https://images.dealer.com/autodata/us/large_stockphoto-color/2018/USC80RMT125A0/PW7.jpg,https://www.wasilladodge.com/new/Ram/2018-Ram-2500-wasilla-ak-d1b90ad60a0e0aea4a9cbb019a232679.htm,0,1
