stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
A7318M,,used,2010 Acura MDX,2010,Acura,MDX,None,"$12,990",Sport Utility,3.7L V6 Cylinder Engine,AUTOMATIC,black,---,"131,287",https://cdn.carbase.com/dealer/watertownfc/3975530_92239831_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239845_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239858_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239876_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239892_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239909_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239929_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239950_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239975_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92239994_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240011_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240026_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240034_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240050_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240063_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240064_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240072_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240080_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240089_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240094_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240110_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240122_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240141_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240169_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240194_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240221_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240246_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240268_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240278_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3975530_92240301_640.jpg,http://www.watertownfordchrysler.com/inventory/details/used/Acura/MDX/2010/Watertown/South-Dakota/3975530,0,1
B7033A,,used,2015 Chevrolet Cruze,2015,Chevrolet,Cruze,LTZ 4dr Sedan (1.4L 4cyl Turbo 6A),"$11,475",4 Door,1.4L 4 Cylinder Engine,---,RED,---,"18,012",https://cdn.carbase.com/dealer/watertownfc/3944642_91357201_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357202_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357203_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357204_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357205_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357206_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357207_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357208_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357209_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357210_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357211_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357212_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357213_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357214_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357215_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357216_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357217_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357218_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357219_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357220_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3944642_91357221_640.jpg,http://www.watertownfordchrysler.com/inventory/details/used/Chevrolet/Cruze/2015/Watertown/South-Dakota/3944642,0,1
B7033B,,used,2006 Chevrolet Monte Carlo,2006,Chevrolet,Monte Carlo,SS,Please Call,,5.3L 8 CYL. GAS,AUTOMATIC,red,---,"131,075",,http://www.watertownfordchrysler.com/inventory/details/used/Chevrolet/Monte-Carlo/2006/Watertown/South-Dakota/4079321,0,1
B7048A,,used,2016 Buick Verano,2016,Buick,Verano,,"$16,990",4 Door,2.4L 4 Cylinder Engine,AUTOMATIC,---,---,"17,047",https://cdn.carbase.com/dealer/watertownfc/4058288_94357800_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357801_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357802_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357803_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357804_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357805_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357806_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357807_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357808_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357809_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357810_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357811_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357812_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357813_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357814_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357815_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357816_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357817_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357818_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357819_640.jpg|https://cdn.carbase.com/dealer/watertownfc/4058288_94357820_640.jpg,http://www.watertownfordchrysler.com/inventory/details/used/Buick/Verano/2016/Watertown/South-Dakota/4058288,0,0
C7004,,new,2017 Chrysler Pacifica,2017,Chrysler,Pacifica,,"$29,979",Van - Mini,3.6L V6 Cylinder Engine,AUTOMATIC,WHITE,---,0,http://cdn.carbase.com/dealer/watertownfc/3355624_86409648_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409650_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409651_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409653_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409654_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409655_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409657_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409658_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409659_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409660_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409662_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409663_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409664_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409666_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409667_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409669_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409670_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409671_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409673_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409674_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409676_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409677_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409678_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409679_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409681_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409682_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409683_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409685_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409686_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3355624_86409687_640.jpg,http://www.watertownfordchrysler.com/inventory/details/new/Chrysler/Pacifica/2017/Watertown/South-Dakota/3355624,0,1
C7066,,new,2017 Chrysler Pacifica,2017,Chrysler,Pacifica,,"$37,557",,3.6L V6 Cylinder Engine,AUTOMATIC,BROWN,---,117,,http://www.watertownfordchrysler.com/inventory/details/new/Chrysler/Pacifica/2017/Watertown/South-Dakota/3520170,0,1
C7067B,,used,2011 Chevrolet Impala,2011,Chevrolet,Impala,LS,"$7,900",,3.5L V6 Cylinder Engine,AUTOMATIC,SILVER,---,"95,951",,http://www.watertownfordchrysler.com/inventory/details/used/Chevrolet/Impala/2011/Watertown/South-Dakota/4044763,0,1
C7075,,new,2017 Chrysler Pacifica,2017,Chrysler,Pacifica,,"$32,688",Van - Mini,3.6L V6 Cylinder Engine,AUTOMATIC,SILVER,---,0,http://cdn.carbase.com/dealer/watertownfc/3551055_86412766_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412767_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412768_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412769_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412770_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412771_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412772_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412773_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412774_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412775_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412776_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412777_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412778_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412779_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412780_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412781_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412782_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412783_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412784_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412785_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412786_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412787_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412788_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412789_640.jpg|http://cdn.carbase.com/dealer/watertownfc/3551055_86412790_640.jpg,http://www.watertownfordchrysler.com/inventory/details/new/Chrysler/Pacifica/2017/Watertown/South-Dakota/3551055,0,1
C7075B,,used,2008 Chevrolet Avalanche,2008,Chevrolet,Avalanche,LT3 4WD,"$13,990",Pickup - Full Size,5.3L 8 Cylinder Engine,AUTOMATIC,WHITE,---,"164,967",https://cdn.carbase.com/dealer/watertownfc/3939564_93930540_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930541_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930569_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930575_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930579_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930584_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930589_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930591_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930592_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930593_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930594_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930595_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930596_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930602_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930613_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930614_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930615_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930618_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3939564_93930621_640.jpg,http://www.watertownfordchrysler.com/inventory/details/used/Chevrolet/Avalanche/2008/Watertown/South-Dakota/3939564,0,0
C7081,,new,2017 Chrysler Pacifica,2017,Chrysler,Pacifica,,"$30,274",Van - Mini,3.6L V6 Cylinder Engine,AUTOMATIC,SILVER,---,0,https://cdn.carbase.com/dealer/watertownfc/3558164_90941711_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941712_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941713_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941714_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941715_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941716_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941717_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941718_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941719_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941720_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941721_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941722_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941723_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941724_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941725_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941726_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941727_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941728_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941729_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941730_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941731_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941732_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941733_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941734_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941735_640.jpg|https://cdn.carbase.com/dealer/watertownfc/3558164_90941736_640.jpg,http://www.watertownfordchrysler.com/inventory/details/new/Chrysler/Pacifica/2017/Watertown/South-Dakota/3558164,0,1
