stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
15N123A,,used,2003 Chevrolet Venture,2003,Chevrolet,Venture,,Contact Us,,,Automatic,Sandrift Metallic,,,,http://www.weidnerchevrolet.ca/VehicleDetails/used-2003-Chevrolet-Venture--Lacombe-AB/3067052813,0,0
15N142A,,used,2005 Chevrolet Avalanche,2005,Chevrolet,Avalanche,,Contact Us,,,Automatic,Black,,"313,720",,http://www.weidnerchevrolet.ca/VehicleDetails/used-2005-Chevrolet-Avalanche--Lacombe-AB/3010778133,0,1
15N153C,,used,2013 GMC Sierra 1500,2013,GMC,Sierra 1500,,"$25,960",,,Automatic,Stealth Gray Metallic,,"87,185",http://inventory-dmg.assets-cdk.com/3/4/6/13296308643.jpg|http://inventory-dmg.assets-cdk.com/9/2/5/13296307529.jpg|http://inventory-dmg.assets-cdk.com/7/2/1/13296307127.jpg|http://inventory-dmg.assets-cdk.com/2/7/3/13296309372.jpg|http://inventory-dmg.assets-cdk.com/3/9/4/13296310493.jpg|http://inventory-dmg.assets-cdk.com/2/9/3/13296314392.jpg|http://inventory-dmg.assets-cdk.com/9/1/2/13296311219.jpg|http://inventory-dmg.assets-cdk.com/2/3/3/13296312332.jpg|http://inventory-dmg.assets-cdk.com/2/1/3/13296313312.jpg|http://inventory-dmg.assets-cdk.com/7/5/1/13296314157.jpg|http://inventory-dmg.assets-cdk.com/8/7/9/13296314978.jpg|http://inventory-dmg.assets-cdk.com/2/8/2/13678473282.jpg|http://inventory-dmg.assets-cdk.com/chrome/350639/cc_2013GMC005b_01_640_46U.png,http://www.weidnerchevrolet.ca/VehicleDetails/used-2013-GMC-Sierra_1500-SL_Nevada_Edition-Lacombe-AB/2741145143,0,1
15N253,,used,2015 Chevrolet Silverado 1500,2015,Chevrolet,Silverado 1500,,Contact Us,,,Automatic,Deep Ocean Blue Metallic,,,http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/2701863/default/ext_G1K_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/2701863/default/ext_G1K_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/2701863/default/ext_G1K_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/2701863/default/ext_G1K_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/2701863/default/int_H2U_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2015/2701863/default/int_H2U_deg02.jpg|http://inventory-cf.assets-cdk.com/chrome/369819/cc_2015CHE012a_01_640_G1K.png,http://www.weidnerchevrolet.ca/VehicleDetails/used-2015-Chevrolet-Silverado_1500-LTZ-Lacombe-AB/3064315563,0,1
15N305A,,used,2000 Chevrolet Venture,2000,Chevrolet,Venture,,Contact Us,,,Automatic,Gold,,,,http://www.weidnerchevrolet.ca/VehicleDetails/used-2000-Chevrolet-Venture--Lacombe-AB/3067053093,0,0
15P003B,,used,2000 Buick Century,2000,Buick,Century,,Contact Us,,,Automatic,Green,,,,http://www.weidnerchevrolet.ca/VehicleDetails/used-2000-Buick-Century-Custom-Lacombe-AB/3067053123,0,0
15P035B,,used,2005 Chevrolet Impala,2005,Chevrolet,Impala,,Contact Us,,,Automatic,Gray,,"205,675",,http://www.weidnerchevrolet.ca/VehicleDetails/used-2005-Chevrolet-Impala--Lacombe-AB/2992418753,0,1
15P037B,,used,2010 Chevrolet Silverado 1500,2010,Chevrolet,Silverado 1500,,Contact Us,,,Automatic,Black,,"86,875",,http://www.weidnerchevrolet.ca/VehicleDetails/used-2010-Chevrolet-Silverado_1500-WT-Lacombe-AB/2974979333,0,1
16N005,,new,2016 Chevrolet Cruze Limited,2016,Chevrolet,Cruze,,"$25,095",,,Automatic,Champagne Silver Metallic,,,http://inventory-dmg.assets-cdk.com/7/9/0/13834092097.jpg|http://inventory-dmg.assets-cdk.com/5/8/9/13157399985.jpg|http://inventory-dmg.assets-cdk.com/8/6/9/12451469968.jpg|http://inventory-dmg.assets-cdk.com/5/6/0/12451466065.jpg|http://inventory-dmg.assets-cdk.com/6/7/5/12451465576.jpg|http://inventory-dmg.assets-cdk.com/4/0/6/12451464604.jpg|http://inventory-dmg.assets-cdk.com/4/6/0/12451462064.jpg|http://inventory-dmg.assets-cdk.com/2/9/4/13844038492.jpg|http://inventory-dmg.assets-cdk.com/3/6/8/12451462863.jpg|http://inventory-dmg.assets-cdk.com/2/1/6/12451468612.jpg|http://inventory-dmg.assets-cdk.com/5/7/6/12451463675.jpg|http://inventory-dmg.assets-cdk.com/4/9/5/12451464594.jpg|http://inventory-dmg.assets-cdk.com/1/0/7/13834083701.jpg|http://inventory-dmg.assets-cdk.com/chrome/376244/cc_2016CHC380007_01_640_GWT.png,http://www.weidnerchevrolet.ca/VehicleDetails/new-2016-Chevrolet-Cruze_Limited-LTZ-Lacombe-AB/2590796023,0,1
16N007B,,used,2013 Nissan Frontier,2013,Nissan,Frontier,,"$23,900",,,Automatic,Black,,"76,439",http://inventory-dmg.assets-cdk.com/7/3/8/13844117837.jpg|http://inventory-dmg.assets-cdk.com/5/1/8/13844098815.jpg|http://inventory-dmg.assets-cdk.com/2/8/2/13844101282.jpg|http://inventory-dmg.assets-cdk.com/8/7/2/13844101278.jpg|http://inventory-dmg.assets-cdk.com/8/2/7/13844103728.jpg|http://inventory-dmg.assets-cdk.com/5/8/9/13844104985.jpg|http://inventory-dmg.assets-cdk.com/4/6/2/13844107264.jpg|http://inventory-dmg.assets-cdk.com/4/8/4/13844166484.jpg|http://inventory-dmg.assets-cdk.com/5/6/6/13844109665.jpg|http://inventory-dmg.assets-cdk.com/8/3/4/13844110438.jpg|http://inventory-dmg.assets-cdk.com/7/1/2/13844111217.jpg|http://inventory-dmg.assets-cdk.com/1/2/8/13844098821.jpg|http://inventory-dmg.assets-cdk.com/6/0/4/13844117406.jpg|http://inventory-dmg.assets-cdk.com/9/5/9/13844094959.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2013/12741.jpg,http://www.weidnerchevrolet.ca/VehicleDetails/used-2013-Nissan-Frontier--Lacombe-AB/2904942643,0,1
16N007C,,used,2010 Ford Ranger,2010,Ford,Ranger,,Contact Us,,,Manual,N/A,,"73,893",,http://www.weidnerchevrolet.ca/VehicleDetails/used-2010-Ford-Ranger--Lacombe-AB/3035912233,0,1
16N016A,,used,2011 Chevrolet Equinox,2011,Chevrolet,Equinox,,"$9,960",,,Automatic,Cardinal Red Metallic,,,http://inventory-cf.assets-cdk.com/5/7/1/13178210175.jpg|http://inventory-cf.assets-cdk.com/4/3/1/13178210134.jpg|http://inventory-cf.assets-cdk.com/7/2/9/12665024927.jpg|http://inventory-cf.assets-cdk.com/9/9/9/12665024999.jpg|http://inventory-cf.assets-cdk.com/4/7/1/12665025174.jpg|http://inventory-cf.assets-cdk.com/2/4/5/12665026542.jpg|http://inventory-cf.assets-cdk.com/0/3/9/13178209930.jpg|http://inventory-cf.assets-cdk.com/5/5/2/13178210255.jpg|http://inventory-cf.assets-cdk.com/9/5/4/13178210459.jpg|http://inventory-cf.assets-cdk.com/3/5/4/13178210453.jpg|http://inventory-cf.assets-cdk.com/9/7/4/15456226479.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2011/13575.jpg,http://www.weidnerchevrolet.ca/VehicleDetails/used-2011-Chevrolet-Equinox-1LT-Lacombe-AB/2640423213,0,0
16N026,,used,2016 Chevrolet Silverado 1500,2016,Chevrolet,Silverado 1500,LT,Contact Us,,,Unknown/ Other,Gaz Summit White,,"6,809",,http://www.weidnerchevrolet.ca/VehicleDetails/used-2016-Chevrolet-Silverado_1500-LT-Lacombe-AB/3035912243,0,1
16N098A,,used,2010 Chevrolet Equinox,2010,Chevrolet,Equinox,,"$13,900",,,Automatic,Mocha Steel Metallic,,,http://inventory-cf.assets-cdk.com/0/9/4/13349487490.jpg|http://inventory-cf.assets-cdk.com/1/8/3/13349487381.jpg|http://inventory-cf.assets-cdk.com/4/3/0/13349487034.jpg|http://inventory-cf.assets-cdk.com/8/5/8/13349487858.jpg|http://inventory-cf.assets-cdk.com/1/1/9/13349487911.jpg|http://inventory-cf.assets-cdk.com/3/8/9/13349487983.jpg|http://inventory-cf.assets-cdk.com/2/4/5/13349488542.jpg|http://inventory-cf.assets-cdk.com/4/8/8/13349488884.jpg|http://inventory-cf.assets-cdk.com/8/8/1/13349488188.jpg|http://inventory-cf.assets-cdk.com/6/3/3/13349488336.jpg|http://inventory-cf.assets-cdk.com/5/7/8/13349488875.jpg|http://inventory-cf.assets-cdk.com/4/3/5/13349488534.jpg|http://inventory-cf.assets-cdk.com/2/3/7/13349488732.jpg|http://inventory-cf.assets-cdk.com/0/2/1/13678474120.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2010/13578.jpg,http://www.weidnerchevrolet.ca/VehicleDetails/used-2010-Chevrolet-Equinox-LTZ-Lacombe-AB/2757390683,0,1
16N108A,,used,2010 Dodge Grand Caravan,2010,Dodge,Grand Caravan,,"$10,900",,,Automatic,Brilliant Black Pearl,,,http://inventory-cf.assets-cdk.com/5/1/4/14652393415.jpg|http://inventory-cf.assets-cdk.com/5/7/8/14652389875.jpg|http://inventory-cf.assets-cdk.com/9/7/9/14652389979.jpg|http://inventory-cf.assets-cdk.com/9/4/7/14652390749.jpg|http://inventory-cf.assets-cdk.com/7/6/1/14652391167.jpg|http://inventory-cf.assets-cdk.com/3/3/8/14652393833.jpg|http://inventory-cf.assets-cdk.com/4/4/7/14652391744.jpg|http://inventory-cf.assets-cdk.com/9/6/6/14082124669.jpg|http://inventory-cf.assets-cdk.com/6/5/6/14082130656.jpg|http://inventory-cf.assets-cdk.com/9/5/3/14652389359.jpg|http://inventory-cf.assets-cdk.com/5/9/8/14082131895.jpg|http://inventory-cf.assets-cdk.com/5/0/9/14082124905.jpg|http://inventory-cf.assets-cdk.com/5/9/1/14082132195.jpg|http://inventory-cf.assets-cdk.com/9/8/8/15444241889.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2010/13408.jpg,http://www.weidnerchevrolet.ca/VehicleDetails/used-2010-Dodge-Grand_Caravan--Lacombe-AB/2944875673,0,0
