stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
1GJZ7NFGXG1317690,,used,,2016,GMC,Savana 3500,1LS,36623.5,,6L V-8,6 Spd Automatic,,,6148 kms,http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021001.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021002.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021025.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021024.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021021.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021005.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021003.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021006.jpg|http://photos.strathcom.com/image/show/1200x_/CAB90GMV121A01300.jpg|http://photos.strathcom.com/image/show/1200x_/CAB90GMV121A01301.jpg|http://photos.strathcom.com/image/show/1200x_/CAB90GMV121A01302.jpg|http://photos.strathcom.com/image/show/1200x_/CAB90GMV121A01350.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021044.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021018.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021011.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021013.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021028.jpg|http://photos.strathcom.com/image/show/1200x_/USC50GMV142C021012.jpg,https://www.westerngm.com/inventory/used/2016-gmc-savana 3500-edmonton-alberta/14253762,0,0
4C013718,,new,,2017,Buick,ENCORE,Essence,35045,,1.4L I-4,6 Spd Automatic,Winterberry Red Metallic,Ebony,12 kms,//photos.strathcom.com/image/show/1200x_/596690e92624500485f0e503.jpg|//photos.strathcom.com/image/show/1200x_/596691044f92890488bad908.jpg|//photos.strathcom.com/image/show/1200x_/596691d4b04317047c95f99b.jpg|//photos.strathcom.com/image/show/1200x_/596691d4b043170474562763.jpg|//photos.strathcom.com/image/show/1200x_/59669224cd939f0484cf59c5.jpg|//photos.strathcom.com/image/show/1200x_/58b87e59cd939f0494e7f6e4.jpg|//photos.strathcom.com/image/show/1200x_/58b87f444f92895ebb06d281.jpg|//photos.strathcom.com/image/show/1200x_/58b87f484f92895ebcff4e62.jpg|//photos.strathcom.com/image/show/1200x_/58b87c039f40e3047b39d0ef.jpg|//photos.strathcom.com/image/show/1200x_/58b87eb9426c47048d282b14.jpg|//photos.strathcom.com/image/show/1200x_/58b87e6bcd939f04866689af.jpg|//photos.strathcom.com/image/show/1200x_/58b87e15e2faf6047a704d6f.jpg|//photos.strathcom.com/image/show/1200x_/58b87d17145c366a3cd87513.jpg|//photos.strathcom.com/image/show/1200x_/58b87d23145c366a3dc8c2bd.jpg|//photos.strathcom.com/image/show/1200x_/58b87c219f40e30474d2d980.jpg|//photos.strathcom.com/image/show/1200x_/58b87e87cd939f0485c04109.jpg|//photos.strathcom.com/image/show/1200x_/58b87f724f92895eba64d3fd.jpg|//photos.strathcom.com/image/show/1200x_/58b87f764f92895ebcff4e63.jpg|//photos.strathcom.com/image/show/1200x_/58b87e92cd939f0484ccad23.jpg|//photos.strathcom.com/image/show/1200x_/58b87d3b145c366a3b692bc9.jpg|//photos.strathcom.com/image/show/1200x_/58b87eec426c47048e723429.jpg|//photos.strathcom.com/image/show/1200x_/58b87e75b04317047c936761.jpg|//photos.strathcom.com/image/show/1200x_/58b87ef4426c47048e72342a.jpg|//photos.strathcom.com/image/show/1200x_/596690eb2624500488e08ffa.jpg|//photos.strathcom.com/image/show/1200x_/USC70BUS041A022003.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/8439585,0,0
4C019927,,new,,2017,Buick,ENCORE,Preferred,25789,,1.4L I-4,6 Spd Automatic,Graphite Grey Metallic,Ebony,192 kms,https://i0.wp.com/photos.strathcom.com/image/show/1200x_/5963a48f145c360488fb713f.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/589506902624500487c7346f.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/589506b8b0431704738aa068.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/589507b14f92895eba647396.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/589506a2e2faf60479a49a17.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/589506a6e2faf6047a6ff0ae.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/58950735426c4704860d697f.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/589507ca4f92895eb9253669.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/589505199f40e3047a304100.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/5895074b426c47048e71d7d6.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/589507e24f92895ebb06721b.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/589505ea145c366a3e431aa0.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/589505f0145c366a3cd812c7.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/5895053e9f40e30473a026b4.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/589506e92624500487c73472.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/589506f02624500487c73473.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/58eef7afe2faf6047a70e960.jpg?ssl=1,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/8759647,0,1
4C025694,,new,,2017,Buick,ENCORE,Preferred,25230,,1.4L I-4,6 Spd Automatic,Ebony Twilight Metallic,Ebony,4 kms,//photos.strathcom.com/image/show/1200x_/596672534f92890496cbe025.jpg|//photos.strathcom.com/image/show/1200x_/596672b7e2faf60479a7a7f9.jpg|//photos.strathcom.com/image/show/1200x_/5966731b426c470487b91ee6.jpg|//photos.strathcom.com/image/show/1200x_/596672564f92890496cbe026.jpg|//photos.strathcom.com/image/show/1200x_/59667325b0431704738d93ad.jpg|//photos.strathcom.com/image/show/1200x_/59667375cd939f0486693581.jpg|//photos.strathcom.com/image/show/1200x_/582e84c2e2faf6047a6ee487.jpg|//photos.strathcom.com/image/show/1200x_/582e84f1426c47048e70ca81.jpg|//photos.strathcom.com/image/show/1200x_/582e84f8426c4704870856ae.jpg|//photos.strathcom.com/image/show/1200x_/582e84639f40e3047a2f32df.jpg|//photos.strathcom.com/image/show/1200x_/582e833c262450047eb8edc5.jpg|//photos.strathcom.com/image/show/1200x_/582e8396b04317044e4b3641.jpg|//photos.strathcom.com/image/show/1200x_/582e84749f40e3047b38678d.jpg|//photos.strathcom.com/image/show/1200x_/582e84efe2faf6047bdce775.jpg|//photos.strathcom.com/image/show/1200x_/582e8458145c366a3b67a568.jpg|//photos.strathcom.com/image/show/1200x_/582e835a262450047cf436cc.jpg|//photos.strathcom.com/image/show/1200x_/582e8529426c4704860c5b12.jpg|//photos.strathcom.com/image/show/1200x_/582e84959f40e304739f19c9.jpg|//photos.strathcom.com/image/show/1200x_/582e836e262450047eb8edc6.jpg|//photos.strathcom.com/image/show/1200x_/582e83cbb04317044cd2710c.jpg|//photos.strathcom.com/image/show/1200x_/582e84ac9f40e30474d16dfd.jpg|//photos.strathcom.com/image/show/1200x_/582e839126245004876cbf87.jpg|//photos.strathcom.com/image/show/1200x_/582e8490145c366a3cd6ee11.jpg|//photos.strathcom.com/image/show/1200x_/59667325b04317047d127b1e.jpg|//photos.strathcom.com/image/show/1200x_/USC70BUS041A022002.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/7076757,0,0
4C028392,,new,,2017,Buick,ENCORE,Base,25140,,1.4L I-4,6 Spd Automatic,Ebony Twilight Metallic,Ebony,4 kms,//photos.strathcom.com/image/show/1200x_/582e77844f92895eba6354d3.jpg|//photos.strathcom.com/image/show/1200x_/582e76eee2faf6047a6ee47a.jpg|//photos.strathcom.com/image/show/1200x_/582e76f7e2faf60479a38b0d.jpg|//photos.strathcom.com/image/show/1200x_/582e75b0b04317044cd27107.jpg|//photos.strathcom.com/image/show/1200x_/582e76929f40e3047a2f32d4.jpg|//photos.strathcom.com/image/show/1200x_/582e756c262450047eb8edbb.jpg|//photos.strathcom.com/image/show/1200x_/582e77b34f92895eb924187b.jpg|//photos.strathcom.com/image/show/1200x_/582e771ce2faf6047a6ee47b.jpg|//photos.strathcom.com/image/show/1200x_/582e75d4b04317044e4b363a.jpg|//photos.strathcom.com/image/show/1200x_/582e7729e2faf6047bdce76b.jpg|//photos.strathcom.com/image/show/1200x_/582e7692145c366a3cd6ee08.jpg|//photos.strathcom.com/image/show/1200x_/582e76c29f40e3047b386783.jpg|//photos.strathcom.com/image/show/1200x_/582e7751cd939f0486652385.jpg|//photos.strathcom.com/image/show/1200x_/582e77e14f92895ebb05527b.jpg|//photos.strathcom.com/image/show/1200x_/582e774be2faf6047859ef57.jpg|//photos.strathcom.com/image/show/1200x_/582e7752e2faf6047bdce76c.jpg|//photos.strathcom.com/image/show/1200x_/582e760bb04317044cd27108.jpg|//photos.strathcom.com/image/show/1200x_/582e76ec9f40e3047a2f32d5.jpg|//photos.strathcom.com/image/show/1200x_/582e76ca145c366a3dc73b43.jpg|//photos.strathcom.com/image/show/1200x_/582e7795426c47048e70ca75.jpg|//photos.strathcom.com/image/show/1200x_/582e778bcd939f0494e69149.jpg|//photos.strathcom.com/image/show/1200x_/582e75da262450047cf436c2.jpg|//photos.strathcom.com/image/show/1200x_/582e75e0262450047da276cd.jpg|//photos.strathcom.com/image/show/1200x_/USC70BUS041A022002.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/7076746,0,0
4C030077,,new,,2017,Buick,ENCORE,Base,24845,,1.4L I-4,6 Spd Automatic,Summit White,Ebony,4 kms,//photos.strathcom.com/image/show/1200x_/58376167426c47048d26e338.jpg|//photos.strathcom.com/image/show/1200x_/5837609c145c366a3cd71659.jpg|//photos.strathcom.com/image/show/1200x_/58376177426c4704860c7e2b.jpg|//photos.strathcom.com/image/show/1200x_/583760c09f40e3047b388a7b.jpg|//photos.strathcom.com/image/show/1200x_/583760b1145c366a3b67cda5.jpg|//photos.strathcom.com/image/show/1200x_/58376174cd939f0484cb6a28.jpg|//photos.strathcom.com/image/show/1200x_/5837616fb04317047ebd2d47.jpg|//photos.strathcom.com/image/show/1200x_/5837616ae2faf6047bdd0ac6.jpg|//photos.strathcom.com/image/show/1200x_/5837619f426c47048e70ed92.jpg|//photos.strathcom.com/image/show/1200x_/5837618fcd939f048665460f.jpg|//photos.strathcom.com/image/show/1200x_/583762254f92895ebcfdf500.jpg|//photos.strathcom.com/image/show/1200x_/5837622b4f92895eb924401a.jpg|//photos.strathcom.com/image/show/1200x_/583760fa9f40e304739f3c93.jpg|//photos.strathcom.com/image/show/1200x_/5837619db04317047f8737cd.jpg|//photos.strathcom.com/image/show/1200x_/58375fdf26245004876ce6f1.jpg|//photos.strathcom.com/image/show/1200x_/583760f7145c366a3e421de2.jpg|//photos.strathcom.com/image/show/1200x_/583761afb04317047d6915ba.jpg|//photos.strathcom.com/image/show/1200x_/583761b6b043170480d80991.jpg|//photos.strathcom.com/image/show/1200x_/583761bcb043170480d80992.jpg|//photos.strathcom.com/image/show/1200x_/583761cecd939f0486654611.jpg|//photos.strathcom.com/image/show/1200x_/5837600526245004876ce6f3.jpg|//photos.strathcom.com/image/show/1200x_/5837626a4f92895eb924401c.jpg|//photos.strathcom.com/image/show/1200x_/583761c8e2faf6047a6f07b2.jpg|//photos.strathcom.com/image/show/1200x_/583761dbb04317047f8737cf.jpg|//photos.strathcom.com/image/show/1200x_/USC70BUS041A022001.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/7088485,0,0
4C031084,,new,,2017,Buick,ENCORE,Preferred,24735,,1.4L I-4,6 Spd Automatic,Summit White,Ebony,0 kms,http://photos.strathcom.com/image/show/1200x_/58ed56d2426c4704870a57d0.jpg|http://photos.strathcom.com/image/show/1200x_/58ed55fd4f92890496c9e560.jpg|http://photos.strathcom.com/image/show/1200x_/58ed54d4145c366a3dc96054.jpg|http://photos.strathcom.com/image/show/1200x_/58ed54d5145c366a3e441b3c.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5677cd939f0485c0d6c9.jpg|http://photos.strathcom.com/image/show/1200x_/58ed54d9145c366a3dc96055.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5643b04317047c94023a.jpg|http://photos.strathcom.com/image/show/1200x_/58ed56289f40e3047b259752.jpg|http://photos.strathcom.com/image/show/1200x_/58ed56e0426c47048d28c299.jpg|http://photos.strathcom.com/image/show/1200x_/58ed54dc145c366a3e441b3d.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5654b04317047d108322.jpg|http://photos.strathcom.com/image/show/1200x_/58ed568acd939f0485c0d6ca.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5655b04317047c94023b.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5614e2faf6047bdee87c.jpg|http://photos.strathcom.com/image/show/1200x_/58ed56f3426c4704860e5bca.jpg|http://photos.strathcom.com/image/show/1200x_/58ed54f0145c366a3e441b3e.jpg|http://photos.strathcom.com/image/show/1200x_/58ed568fcd939f0494e88c93.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5619e2faf6047a70e43a.jpg|http://photos.strathcom.com/image/show/1200x_/58ed565bb043170474542f66.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5691cd939f0484cd4280.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5669b04317047c94023c.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5627e2faf6047bdee87d.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5706426c4704860e5bcb.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5501145c366a3dc96057.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5707426c47048d28c29b.jpg|http://photos.strathcom.com/image/show/1200x_/58ed5504145c366a3e441b3f.jpg|http://photos.strathcom.com/image/show/1200x_/58ed562ce2faf6047a70e43b.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/11770072,0,0
4C044235,,new,,2017,Buick,ENCORE,Sport Touring,27565,,1.4L I-4,6 Spd Automatic,Quicksilver Metallic,Ebony,4 kms,//photos.strathcom.com/image/show/1200x_/58eef8af4f92890496c9eaf5.jpg|//photos.strathcom.com/image/show/1200x_/58eef8f8b04317047c9407a3.jpg|//photos.strathcom.com/image/show/1200x_/58eef996426c47048d28c810.jpg|//photos.strathcom.com/image/show/1200x_/58eef92ecd939f0484cd47c9.jpg|//photos.strathcom.com/image/show/1200x_/58eef8b7e2faf6047a70e963.jpg|//photos.strathcom.com/image/show/1200x_/58eef8f9b0431704745434a4.jpg|//photos.strathcom.com/image/show/1200x_/5859c0e5b043170480d87776.jpg|//photos.strathcom.com/image/show/1200x_/5859c1894f92895ebcfe616f.jpg|//photos.strathcom.com/image/show/1200x_/5859c0f8b043170480d87777.jpg|//photos.strathcom.com/image/show/1200x_/5859c00e145c366a3b6839b8.jpg|//photos.strathcom.com/image/show/1200x_/5859c0fbcd939f048665a7ae.jpg|//photos.strathcom.com/image/show/1200x_/5859bed3262450047da308fd.jpg|//photos.strathcom.com/image/show/1200x_/5859c12d426c4704860ce104.jpg|//photos.strathcom.com/image/show/1200x_/5859c1b94f92895ebb05e5a8.jpg|//photos.strathcom.com/image/show/1200x_/5859c0f6e2faf6047bdd6dbd.jpg|//photos.strathcom.com/image/show/1200x_/5859c0089f40e3047b38ecf2.jpg|//photos.strathcom.com/image/show/1200x_/5859c04b145c366a3e428b28.jpg|//photos.strathcom.com/image/show/1200x_/5859c15f426c4704860ce105.jpg|//photos.strathcom.com/image/show/1200x_/5859c13fcd939f048665a7af.jpg|//photos.strathcom.com/image/show/1200x_/5859c1ed4f92895ebcfe6170.jpg|//photos.strathcom.com/image/show/1200x_/5859bf1e262450047cf4ca46.jpg|//photos.strathcom.com/image/show/1200x_/5859c1fa4f92895ebb05e5a9.jpg|//photos.strathcom.com/image/show/1200x_/5859c2004f92895eb924aa40.jpg|//photos.strathcom.com/image/show/1200x_/58eef78f145c366a3b69cfaa.jpg|//photos.strathcom.com/image/show/1200x_/USC70BUS041A022000.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/7139802,0,0
4C047971,,new,,2017,Buick,ENCORE,Sport Touring - DEMO SALE!,32560,,1.4L I-4,6 Spd Automatic,Winterberry Red Metallic,Ebony,4439 kms,//photos.strathcom.com/image/show/1200x_/595f0576426c47048e74a9fd.jpg|//photos.strathcom.com/image/show/1200x_/595f04eccd939f0485c2b238.jpg|//photos.strathcom.com/image/show/1200x_/595f049db04317047d124a8c.jpg|//photos.strathcom.com/image/show/1200x_/595f03d84f92890496cbb073.jpg|//photos.strathcom.com/image/show/1200x_/595f03dc4f92890487889736.jpg|//photos.strathcom.com/image/show/1200x_/595f03dc4f92890488baa81e.jpg|//photos.strathcom.com/image/show/1200x_/5859b497e2faf6047bdd6d9a.jpg|//photos.strathcom.com/image/show/1200x_/5859b4c7cd939f048665a789.jpg|//photos.strathcom.com/image/show/1200x_/5859b4f3426c47048d274635.jpg|//photos.strathcom.com/image/show/1200x_/5859b3ec145c366a3dc7d0e8.jpg|//photos.strathcom.com/image/show/1200x_/5859b4afe2faf604785a7444.jpg|//photos.strathcom.com/image/show/1200x_/5859b3f6145c366a3dc7d0e9.jpg|//photos.strathcom.com/image/show/1200x_/5859b4e2cd939f048665a78a.jpg|//photos.strathcom.com/image/show/1200x_/5859b3c99f40e3047a2fb8b1.jpg|//photos.strathcom.com/image/show/1200x_/5859b2be26245004876d5246.jpg|//photos.strathcom.com/image/show/1200x_/5859b51a426c4704860ce0e3.jpg|//photos.strathcom.com/image/show/1200x_/5859b2ca262450047eb98031.jpg|//photos.strathcom.com/image/show/1200x_/5859b500cd939f0494e715a2.jpg|//photos.strathcom.com/image/show/1200x_/5859b5ae4f92895eb924aa25.jpg|//photos.strathcom.com/image/show/1200x_/5859b518b04317047f87a6c3.jpg|//photos.strathcom.com/image/show/1200x_/5859b5bc4f92895eba63e781.jpg|//photos.strathcom.com/image/show/1200x_/5859b4f2e2faf60479a41087.jpg|//photos.strathcom.com/image/show/1200x_/5859b548426c4704860ce0e4.jpg|//photos.strathcom.com/image/show/1200x_/595f03d34f92890488baa81d.jpg|//photos.strathcom.com/image/show/1200x_/USC70BUS041A022003.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/7139801,0,0
4C066840,,new,,2017,Buick,ENCORE,Preferred,25295,,1.4L I-4,6 Spd Automatic,Black Cherry Metallic,Ebony,4 kms,//photos.strathcom.com/image/show/1200x_/58eef83c9f40e3047691130e.jpg|//photos.strathcom.com/image/show/1200x_/58eef81ce2faf6047a70e961.jpg|//photos.strathcom.com/image/show/1200x_/58eef8ff426c4704860e6134.jpg|//photos.strathcom.com/image/show/1200x_/58eef863b04317047d108870.jpg|//photos.strathcom.com/image/show/1200x_/58eef8ff426c47048d28c80e.jpg|//photos.strathcom.com/image/show/1200x_/58eef8469f40e3047b259cac.jpg|//photos.strathcom.com/image/show/1200x_/58b0c232e2faf60479a4e3a6.jpg|//photos.strathcom.com/image/show/1200x_/58b0c22a2624500485ee3488.jpg|//photos.strathcom.com/image/show/1200x_/58b0c23ee2faf604785b4619.jpg|//photos.strathcom.com/image/show/1200x_/58b0c244e2faf60479a4e3a7.jpg|//photos.strathcom.com/image/show/1200x_/58b0c3824f92895eba64c182.jpg|//photos.strathcom.com/image/show/1200x_/58b0c05f9f40e30473a070b9.jpg|//photos.strathcom.com/image/show/1200x_/58b0c2ff426c47048e72222a.jpg|//photos.strathcom.com/image/show/1200x_/58b0c2562624500485ee3489.jpg|//photos.strathcom.com/image/show/1200x_/58b0c16e145c366a3b6918be.jpg|//photos.strathcom.com/image/show/1200x_/58b0c26fe2faf60479a4e3a8.jpg|//photos.strathcom.com/image/show/1200x_/58b0c277e2faf604785b461a.jpg|//photos.strathcom.com/image/show/1200x_/58b0c320426c47048d2818d7.jpg|//photos.strathcom.com/image/show/1200x_/58b0c2dacd939f0494e7e4dd.jpg|//photos.strathcom.com/image/show/1200x_/58b0c2e2cd939f0484cc9b37.jpg|//photos.strathcom.com/image/show/1200x_/58b0c0a19f40e3047b39bebe.jpg|//photos.strathcom.com/image/show/1200x_/58b0c3d04f92895ebcff3bb9.jpg|//photos.strathcom.com/image/show/1200x_/58b0c2f4cd939f048666781d.jpg|//photos.strathcom.com/image/show/1200x_/58b0c2facd939f0485c02f00.jpg|//photos.strathcom.com/image/show/1200x_/58eef819e2faf604785bf508.jpg|//photos.strathcom.com/image/show/1200x_/USC70BUS041A022005.jpg,https://www.westerngm.com/inventory/new/2017-buick-encore-edmonton-alberta/8036149,0,0
