stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
3221,,used,,,,,,,,L ,,,,0 kms,https://i2.wp.com/www.westperimeter.com/wp-content/uploads/2016/02/photo-coming-soon.jpg?ssl=1,http://www.westperimeter.com/inventory/used/---winnipeg-manitoba/12242481,0,1
4572,,used,,2013,Ford,TRANSIT CONNECT,XLT !!!NOW REDUCED!!!,16987,,2L I-4,4 Spd Automatic,White,Grey,41405 kms,,http://www.westperimeter.com/inventory/used/2013-ford-transit connect-winnipeg-manitoba/5348422,0,1
4727,,used,,2010,Mazda,Tribute,GS V6 4 Wheel Drive **PRICE REDUCED**,12486,,3L V-6,6 Spd Automatic,Blue,Grey,118562 kms,https://i2.wp.com/photos.strathcom.com/image/show/1200x_/568b68f1b0431768b5641700.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/568b68f126245069611e414b.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/568b68f09f40e3692204d228.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/568b68f0e2faf65f98e62ed0.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/568b68f1262450695f252884.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/568b68f19f40e36923848536.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/568b68f1e2faf65f99026925.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/568b68f19f40e3692204d229.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/568b68f1b0431768b5641701.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/568b68f1b0431768b8bba212.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/568b68f1262450695f252885.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/578873ef426c476a2e13e695.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/568b68f1e2faf65f97f48a44.jpg?ssl=1,http://www.westperimeter.com/inventory/used/2010-mazda-tribute-winnipeg-manitoba/6021356,0,0
4735,,used,,2009,Chevrolet,HHR,LS Mini-Cargo,7486,,2.2L I-4,Automatic,White,Grey,118410 kms,https://i0.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9d9f40e369258532c0.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9db0431768b61a6be3.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9e26245069611eaeae.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9ee2faf65f9902d979.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9e26245069625fab48.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9ee2faf65f961c27a9.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9eb0431768b61a6be4.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9e9f40e3692384f6aa.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9ee2faf65f98e69f8f.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9eb0431768b744a1b2.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9e9f40e3692384f6ac.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9ee2faf65f97f4fb6b.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9e9f40e3692384f6ab.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/569ddb9eb0431768b8bc1133.jpg?ssl=1,http://www.westperimeter.com/inventory/used/2009-chevrolet-hhr-winnipeg-manitoba/6041679,0,0
4797-1,,used,,2008,Nissan,Rogue,"S **UNDER $10, 000**",9988,,2.5L I-4,CVT,Grey,Grey,118145 kms,,http://www.westperimeter.com/inventory/used/2008-nissan-rogue-winnipeg-manitoba/7733074,0,1
4809,,used,,2012,Nissan,Versa,1.8 S,9487,,1.8L I-4,4 Spd Automatic,Grey,Grey,54323 kms,https://i2.wp.com/www.westperimeter.com/wp-content/uploads/2016/02/photo-coming-soon.jpg?ssl=1,http://www.westperimeter.com/inventory/used/2012-nissan-versa-winnipeg-manitoba/11408539,0,0
4826,,used,,2015,Chevrolet,Cruze,2LS Bluetooth,12986,,1.8L I-4,Automatic,Grey,Black,20243 kms,https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5e2faf60479b9f79b.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b0431704779fef15.jpg|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3047d4ba70e.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3047d4ba70f.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3046fdd13ee.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5e2faf6047704e388.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3046e9ec252.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b04317046e9146f9.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b0431704779fef16.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5e2faf60479b9f79c.jpg|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b0431704779fef17.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b04317046e9146f8.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa6e2faf6047704e389.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa6b0431704779fef18.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5e2faf60479b9f79b.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b0431704779fef15.jpg|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3047d4ba70e.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3047d4ba70f.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3046fdd13ee.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5e2faf6047704e388.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa59f40e3046e9ec252.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b04317046e9146f9.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b0431704779fef16.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5e2faf60479b9f79c.jpg|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b0431704779fef17.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa5b04317046e9146f8.jpg|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa6e2faf6047704e389.jpg|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/56f22aa6b0431704779fef18.jpg,http://www.westperimeter.com/inventory/used/2015-chevrolet-cruze-winnipeg-manitoba/6171795,0,1
4841,,used,,2012,Ford,F-150,XL 8' BOX EXC COND,14986,,L ,6 Spd Automatic,White,Grey,60667 kms,https://i2.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd2e2faf604765919da.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd29f40e3046fdde13d.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd2b04317046fdb0ae6.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd29f40e3046e9f9045.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd2e2faf60479bac4d6.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd2b04317046fdb0ae7.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd2b04317046e922822.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd2b04317046fdb0ae8.jpg?ssl=1|https://i2.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd39f40e3047c6c6328.jpg?ssl=1|https://i0.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd3b04317046fdb0ae9.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd29f40e3046e9f9046.jpg?ssl=1|https://i1.wp.com/photos.strathcom.com/image/show/1200x_/570ddcd3e2faf604785f4744.jpg?ssl=1,http://www.westperimeter.com/inventory/used/2012-ford-f-150-winnipeg-manitoba/6213148,0,0
4850,,used,,2015,Ram,ProMaster City,SLT Lease or Finance,22484,,2.4L I-4,,White,Black,335 kms,,http://www.westperimeter.com/inventory/used/2015-ram-promaster city-winnipeg-manitoba/6233878,0,0
4862,,used,,2015,Ram,ProMaster City,ST LEASE OR FINANCE,21984,,2.4L I-4,Automatic,White,Black,809 kms,,http://www.westperimeter.com/inventory/used/2015-ram-promaster city-winnipeg-manitoba/6263950,0,1
4877,,used,,2015,GMC,Savana 2500,Lease or Finance,25984,,L V-8,6 Spd Automatic,White,Grey,14814 kms,,http://www.westperimeter.com/inventory/used/2015-gmc-savana 2500-winnipeg-manitoba/6317722,0,0
