stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
172813A,,used,2010 GMC Acadia,2010,GMC,Acadia,SL,Contact Us,,3.6L V6 24V GDI DOHC,Automatic,Brown,N/A,,http://inventory-cf.assets-cdk.com/9/3/0/15429784039.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2010/13160.jpg,http://www.wheatonsaskatoon.com/VehicleDetails/used-2010-GMC-Acadia-SLE1-Saskatoon-SK/3058834363,0,1
172835,,new,2017 Cadillac ATS Sedan,2017,Cadillac,ATS Sedan,Luxury AWD,"$50,115",,2.0L I4 16V GDI DOHC Turbo,Automatic,Phantom Gray Metallic,Light Platinum With Jet Black Accents,,http://inventory-cf.assets-cdk.com/1/4/6/15495838641.jpg|http://inventory-cf.assets-cdk.com/0/6/6/15495838660.jpg|http://inventory-cf.assets-cdk.com/5/9/6/15495838695.jpg|http://inventory-cf.assets-cdk.com/2/5/7/15495838752.jpg|http://inventory-cf.assets-cdk.com/5/1/8/15495838815.jpg|http://inventory-cf.assets-cdk.com/6/5/8/15495838856.jpg|http://inventory-cf.assets-cdk.com/5/9/8/15495838895.jpg|http://inventory-cf.assets-cdk.com/2/3/9/15495838932.jpg|http://inventory-cf.assets-cdk.com/1/7/9/15495838971.jpg|http://inventory-cf.assets-cdk.com/0/1/0/15495839010.jpg|http://inventory-cf.assets-cdk.com/9/4/0/15495839049.jpg|http://inventory-cf.assets-cdk.com/4/9/0/15495839094.jpg|http://inventory-cf.assets-cdk.com/3/3/1/15495839133.jpg|http://inventory-cf.assets-cdk.com/3/7/1/15495839173.jpg|http://inventory-cf.assets-cdk.com/8/1/2/15495839218.jpg|http://inventory-cf.assets-cdk.com/7/5/2/15495839257.jpg|http://inventory-cf.assets-cdk.com/8/9/2/15495839298.jpg|http://inventory-cf.assets-cdk.com/9/3/3/15495839339.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/ext_G7Q_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/ext_G7Q_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/ext_G7Q_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/ext_G7Q_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/ext_G7Q_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/ext_G7Q_deg06.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/int_H2P_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/int_H2P_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/int_H2P_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/int_H2P_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3297303/default/int_H2P_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/385022/cc_2017CAC200002_01_640_G7Q.png,http://www.wheatonsaskatoon.com/VehicleDetails/new-2017-Cadillac-ATS_Sedan-Luxury_AWD-Saskatoon-SK/2840593943,0,0
172837,,new,2017 Cadillac CTS Sedan,2017,Cadillac,CTS Sedan,Luxury Collection AWD,"$58,835",,3.6L V6 24V GDI DOHC,Automatic,Black Raven,Jet Black w/Jet Black Accents,,http://inventory-cf.assets-cdk.com/2/7/4/15489012472.jpg|http://inventory-cf.assets-cdk.com/9/8/4/15489012489.jpg|http://inventory-cf.assets-cdk.com/1/1/5/15489012511.jpg|http://inventory-cf.assets-cdk.com/9/5/5/15489012559.jpg|http://inventory-cf.assets-cdk.com/0/0/6/15489012600.jpg|http://inventory-cf.assets-cdk.com/6/3/6/15489012636.jpg|http://inventory-cf.assets-cdk.com/1/7/6/15489012671.jpg|http://inventory-cf.assets-cdk.com/8/0/7/15489012708.jpg|http://inventory-cf.assets-cdk.com/9/3/7/15489012739.jpg|http://inventory-cf.assets-cdk.com/8/7/7/15489012778.jpg|http://inventory-cf.assets-cdk.com/6/1/8/15489012816.jpg|http://inventory-cf.assets-cdk.com/1/5/8/15489012851.jpg|http://inventory-cf.assets-cdk.com/2/8/8/15489012882.jpg|http://inventory-cf.assets-cdk.com/0/2/9/15489012920.jpg|http://inventory-cf.assets-cdk.com/9/4/9/15489012949.jpg|http://inventory-cf.assets-cdk.com/1/9/9/15489012991.jpg|http://inventory-cf.assets-cdk.com/6/2/0/15489013026.jpg|http://inventory-cf.assets-cdk.com/7/5/0/15489013057.jpg|http://inventory-cf.assets-cdk.com/6/9/0/15489013096.jpg|http://inventory-cf.assets-cdk.com/0/3/1/15489013130.jpg|http://inventory-cf.assets-cdk.com/7/6/1/15489013167.jpg|http://inventory-cf.assets-cdk.com/4/0/2/15489013204.jpg|http://inventory-cf.assets-cdk.com/6/3/2/15489013236.jpg|http://inventory-cf.assets-cdk.com/9/6/2/15489013269.jpg|http://inventory-cf.assets-cdk.com/1/0/3/15489013301.jpg|http://inventory-cf.assets-cdk.com/7/2/3/15489013327.jpg|http://inventory-cf.assets-cdk.com/8/7/3/15489013378.jpg|http://inventory-cf.assets-cdk.com/7/0/4/15489013407.jpg|http://inventory-cf.assets-cdk.com/4/4/4/15489013444.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/ext_GBA_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/ext_GBA_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/ext_GBA_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/ext_GBA_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/ext_GBA_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/ext_GBA_deg06.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/int_H0Y_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/int_H0Y_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/int_H0Y_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/int_H0Y_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3284043/default/int_H0Y_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/383814/cc_2017CAC110001_01_640_GBA.png,http://www.wheatonsaskatoon.com/VehicleDetails/new-2017-Cadillac-CTS_Sedan-Luxury_Collection_AWD-Saskatoon-SK/2840593923,0,1
172837A,,used,2011 Cadillac CTS Sedan,2011,Cadillac,CTS,None,Contact Us,,270HP 3.0L V6 Cylinder Engine,Manual,Black,N/A,,http://inventory-cf.assets-cdk.com/0/4/2/15495929240.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2011/13188.jpg,http://www.wheatonsaskatoon.com/VehicleDetails/used-2011-Cadillac-CTS_Sedan--Saskatoon-SK/3070336803,0,0
172860A,,used,2011 Buick Lucerne,2011,Buick,Lucerne,CX,"$15,500",,3.9L V6 12V MPFI OHV Flexible Fuel,Automatic,Black,N/A,,http://inventory-cf.assets-cdk.com/4/3/9/15495875934.jpg|http://inventory-cf.assets-cdk.com/9/6/9/15495875969.jpg|http://inventory-cf.assets-cdk.com/1/0/0/15495876001.jpg|http://inventory-cf.assets-cdk.com/7/2/0/15495876027.jpg|http://inventory-cf.assets-cdk.com/6/5/0/15495876056.jpg|http://inventory-cf.assets-cdk.com/8/7/0/15495876078.jpg|http://inventory-cf.assets-cdk.com/2/0/1/15495876102.jpg|http://inventory-cf.assets-cdk.com/5/2/1/15495876125.jpg|http://inventory-cf.assets-cdk.com/3/5/1/15495876153.jpg|http://inventory-cf.assets-cdk.com/3/7/1/15495876173.jpg|http://inventory-cf.assets-cdk.com/2/0/2/15495876202.jpg|http://inventory-cf.assets-cdk.com/8/2/2/15495876228.jpg|http://inventory-cf.assets-cdk.com/1/7/2/15495876271.jpg|http://inventory-cf.assets-cdk.com/5/9/2/15495876295.jpg|http://inventory-cf.assets-cdk.com/1/2/3/15495876321.jpg|http://inventory-cf.assets-cdk.com/1/5/3/15495876351.jpg|http://inventory-cf.assets-cdk.com/5/7/3/15495876375.jpg|http://inventory-cf.assets-cdk.com/6/9/3/15495876396.jpg|http://inventory-cf.assets-cdk.com/4/2/4/15495876424.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2011/13894.jpg,http://www.wheatonsaskatoon.com/VehicleDetails/used-2011-Buick-Lucerne-CX-Saskatoon-SK/3004529493,0,0
172898,,new,2017 Cadillac XTS,2017,Cadillac,XTS,Luxury,"$58,945",,3.6L V6 24V GDI DOHC,Automatic,Radiant Silver Metallic,Medium Titanium With Jet Black Accents,,http://inventory-cf.assets-cdk.com/1/9/3/15495839391.jpg|http://inventory-cf.assets-cdk.com/6/3/4/15495839436.jpg|http://inventory-cf.assets-cdk.com/9/6/4/15495839469.jpg|http://inventory-cf.assets-cdk.com/9/0/5/15495839509.jpg|http://inventory-cf.assets-cdk.com/4/4/5/15495839544.jpg|http://inventory-cf.assets-cdk.com/4/8/5/15495839584.jpg|http://inventory-cf.assets-cdk.com/1/2/6/15495839621.jpg|http://inventory-cf.assets-cdk.com/3/5/6/15495839653.jpg|http://inventory-cf.assets-cdk.com/6/8/6/15495839686.jpg|http://inventory-cf.assets-cdk.com/6/1/7/15495839716.jpg|http://inventory-cf.assets-cdk.com/4/4/7/15495839744.jpg|http://inventory-cf.assets-cdk.com/6/8/7/15495839786.jpg|http://inventory-cf.assets-cdk.com/0/2/8/15495839820.jpg|http://inventory-cf.assets-cdk.com/6/4/8/15495839846.jpg|http://inventory-cf.assets-cdk.com/4/8/8/15495839884.jpg|http://inventory-cf.assets-cdk.com/0/2/9/15495839920.jpg|http://inventory-cf.assets-cdk.com/5/5/9/15495839955.jpg|http://inventory-cf.assets-cdk.com/3/9/9/15495839993.jpg|http://inventory-cf.assets-cdk.com/1/6/0/15495840061.jpg|http://inventory-cf.assets-cdk.com/6/9/0/15495840096.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_GAN_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_GAN_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_GAN_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_GAN_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_GAN_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_GAN_deg06.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFE_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFE_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFE_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFE_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFE_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/384227/cc_2017CAC190001_01_640_GAN.png,http://www.wheatonsaskatoon.com/VehicleDetails/new-2017-Cadillac-XTS-Luxury-Saskatoon-SK/2859864623,0,0
172900,,new,2017 Cadillac XTS,2017,Cadillac,XTS,Luxury,"$62,230",,3.6L V6 24V GDI DOHC,Automatic,Crystal White Tricoat,Shale With Cocoa Accents,,http://inventory-cf.assets-cdk.com/3/5/7/15283493753.jpg|http://inventory-cf.assets-cdk.com/6/7/7/15283493776.jpg|http://inventory-cf.assets-cdk.com/2/9/7/15283493792.jpg|http://inventory-cf.assets-cdk.com/7/1/8/15283493817.jpg|http://inventory-cf.assets-cdk.com/5/4/8/15283493845.jpg|http://inventory-cf.assets-cdk.com/9/6/8/15283493869.jpg|http://inventory-cf.assets-cdk.com/7/8/8/15283493887.jpg|http://inventory-cf.assets-cdk.com/4/1/9/15283493914.jpg|http://inventory-cf.assets-cdk.com/1/4/9/15283493941.jpg|http://inventory-cf.assets-cdk.com/4/6/9/15283493964.jpg|http://inventory-cf.assets-cdk.com/2/8/9/15283493982.jpg|http://inventory-cf.assets-cdk.com/3/0/0/15283494003.jpg|http://inventory-cf.assets-cdk.com/0/2/0/15283494020.jpg|http://inventory-cf.assets-cdk.com/3/4/0/15283494043.jpg|http://inventory-cf.assets-cdk.com/7/6/0/15283494067.jpg|http://inventory-cf.assets-cdk.com/3/8/0/15283494083.jpg|http://inventory-cf.assets-cdk.com/6/9/0/15283494096.jpg|http://inventory-cf.assets-cdk.com/7/1/1/15283494117.jpg|http://inventory-cf.assets-cdk.com/7/2/1/15283494127.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_G1W_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_G1W_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_G1W_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_G1W_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_G1W_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/ext_G1W_deg06.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFD_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFD_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFD_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFD_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3283653/default/int_AFD_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome/384227/cc_2017CAC190001_01_640_G1W.png,http://www.wheatonsaskatoon.com/VehicleDetails/new-2017-Cadillac-XTS-Luxury-Saskatoon-SK/2859864523,0,1
172900A,,used,2014 Chrysler 300,2014,Chrysler,300,C,"$24,900",,5.7L V8 16V MPFI OHV,Automatic,White,N/A,,http://inventory-cf.assets-cdk.com/9/4/5/15495923549.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/16769.jpg,http://www.wheatonsaskatoon.com/VehicleDetails/used-2014-Chrysler-300-C-Saskatoon-SK/3058835413,0,0
172923A,,used,2014 Dodge Grand Caravan,2014,Dodge,Grand Caravan,SXT 4dr Minivan (3.6L 6cyl 6A),"$19,999",,3.6L V6 24V MPFI DOHC,Automatic,Beige,N/A,,http://inventory-cf.assets-cdk.com/0/1/1/15458368110.jpg|http://inventory-cf.assets-cdk.com/7/2/1/15458368127.jpg|http://inventory-cf.assets-cdk.com/0/6/1/15458368160.jpg|http://inventory-cf.assets-cdk.com/9/8/1/15458368189.jpg|http://inventory-cf.assets-cdk.com/4/2/2/15458368224.jpg|http://inventory-cf.assets-cdk.com/6/5/2/15458368256.jpg|http://inventory-cf.assets-cdk.com/6/8/2/15458368286.jpg|http://inventory-cf.assets-cdk.com/6/1/3/15458368316.jpg|http://inventory-cf.assets-cdk.com/7/4/3/15458368347.jpg|http://inventory-cf.assets-cdk.com/6/7/3/15458368376.jpg|http://inventory-cf.assets-cdk.com/6/0/4/15458368406.jpg|http://inventory-cf.assets-cdk.com/5/3/4/15458368435.jpg|http://inventory-cf.assets-cdk.com/2/7/4/15458368472.jpg|http://inventory-cf.assets-cdk.com/0/2/5/15458368520.jpg|http://inventory-cf.assets-cdk.com/8/5/5/15458368558.jpg|http://inventory-cf.assets-cdk.com/9/8/5/15458368589.jpg|http://inventory-cf.assets-cdk.com/0/3/6/15458368630.jpg|http://inventory-cf.assets-cdk.com/0/6/6/15458368660.jpg|http://inventory-cf.assets-cdk.com/6/9/6/15458368696.jpg|http://inventory-cf.assets-cdk.com/5/2/7/15458368725.jpg|http://inventory-cf.assets-cdk.com/6/5/7/15458368756.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2014/21955.jpg,http://www.wheatonsaskatoon.com/VehicleDetails/used-2014-Dodge-Grand_Caravan-SE%2FSXT___Power_Windows-Saskatoon-SK/3042151563,0,1
172923B,,used,2013 Chevrolet Sonic,2013,Chevrolet,Sonic,Hatchback LS Manual,"$11,500",,1.8L I4 16V MPFI DOHC,Automatic,Gray,N/A,,http://inventory-cf.assets-cdk.com/1/7/3/15495928371.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2013/14298.jpg,http://www.wheatonsaskatoon.com/VehicleDetails/used-2013-Chevrolet-Sonic-LT-Saskatoon-SK/3067801153,0,0
