stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
401989X,,used,"Ford GT For Sale: Winnipeg, MB., Canada",2006,Ford,GT,,"$459,980",None,8 CYL,Manual,Black,Black,240,http://www.winnipegusedcars.com/wp-content/uploads/2016/04/0a25c493-b126-4349-8cc4-d9e844380386-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/1d62a1eb-e5b6-462d-b2f0-ca1f2c21cd95-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/c26bf225-c0dc-4a42-abba-414c86caf47b-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/3ca537ab-949a-46c9-9a28-1703bd9a8f6b-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/493d9737-e753-4137-a97b-b3ec8c78fa10-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/033a84c6-2188-4bf9-980f-d96ec83ffdc0-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/9d0861ff-d01c-4a59-aa20-deda25bacc9a-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/e8f6fa7a-e85b-42f9-8e6a-22ab6d3abeb1-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/8304ef3f-296c-4683-8125-8d8f24e7e512-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/a8e6b109-fc2d-4b9a-9ecc-a182ff604304-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/85a75f45-340d-45f9-b77e-66c233babe4b-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/04/87ec1126-2616-434e-8790-8f4571c5b403-762x385.jpg,http://www.winnipegusedcars.com/listings/ford-gt-for-sale-winnipeg-mb-canada/,0,0
5124,,used,"2016 Tesla Model X P90D For Sale In Winnipeg! Insane Mode, Autopilot, 7 Pass, Premium, Navigation, AWD - LOADED!",2016,Tesla,Model X ,,"$164,888",SUV,Electric,None,Black,Ultra White ,1332,http://www.winnipegusedcars.com/wp-content/uploads/2017/03/10th_Logo_ListingPhoto_MODELX-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9485-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9499-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9495-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9492-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9497-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9473-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9476-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9479-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9500-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9472-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_9612-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_6252-1080x720-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_6253-1080x720-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_6254-1080x720-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/IMG_6255-1080x720-762x456.jpg,http://www.winnipegusedcars.com/listings/2016-tesla-model-x-p90d-insane-mode-awd-autopilot-premium-nav-backup-cam-panoramicwindshield/,0,0
5211,,used,"2011 Audi R8 Spyder (R tronic) For Sale In Winnipeg | Carbon Fibre, Bang & Olufsen Sound, AWD - Convertible",2011,Audi,R8,,"$109,980",Convertible,4.2L V8,Automatic,Black,Black,67600,http://www.winnipegusedcars.com/wp-content/uploads/2017/06/10thAnniversary_Listing_Cover55-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/NewShowroom_USE3-762x456.jpg,http://www.winnipegusedcars.com/listings/2011-audi-r8-4-2-r-tronic-carbon-fibre-bang-olufsen-sound-awd-spyder/,0,1
5228A,,used,2007 Land Rover Range Rover For Sale In Winnipeg | Supercharged,2007,Land Rover,Range Rover,,"$21,280",SUV,4.2L V8,6 Speed Automatic,Silver,Grey,119780,http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2550-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2552-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2553-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2554-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2555-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2556-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2557-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2559-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2560-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2562-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2563-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2590-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2564-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2565-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2566-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2567-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2568-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2569-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2570-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2571-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2573-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2574-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2575-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2576-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2578-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2579-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2582-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2583-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2584-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2586-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2587-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2588-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2591-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2592-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2594-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2595-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2597-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/NewShowroom_USE3-762x456.jpg,http://www.winnipegusedcars.com/listings/2007-land-rover-range-rover-for-sale-in-winnipeg-supercharged/,0,1
5267B,,used,"2011 Mercedes-Benz GL350 For Sale In Winnipeg | 7-Passenger, DVD, Navigation, Backup Camera, AWD - SUV",2011,Mercedes-Benz,GL350,,"$29,888",SUV,V-6 cyl,7 Speed Automatic,Grey,Black,121541,http://www.winnipegusedcars.com/wp-content/uploads/2017/05/10thAnniversary_Listing_Cover18-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5628-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5630-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5631-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5632-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5633-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5635-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5708-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5709-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5710-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5713-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5714-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5715-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5716-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5717-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5718-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5719-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5720-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5722-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5723-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5724-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5727-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5729-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5730-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5738-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5731-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5733-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5734-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5735-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5736-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/05/IMG_5737-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/NewShowroom_USE3-762x456.jpg,http://www.winnipegusedcars.com/listings/2011-mercedes-benz-gl350-7-pass-dvd-nav/,0,0
5302,,used,"2014 Mercedes-Benz ML350 BlueTEC 4MATIC For Sale In WINNIPEG! AMG Chrome Package, Navigation, LOADED AWD SUV!",2014,Mercedes-Benz,ML350,,"$45,980",SUV,3.0L V6 Diesel,7 Speed Automatic,Blue,Brown,50947,http://www.winnipegusedcars.com/wp-content/uploads/2017/02/10th_Logo_ListingPhoto_Template16-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7273-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7274-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7275-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7276-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7277-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7278-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7279-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7284-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7286-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7287-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7288-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7289-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7290-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7291-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7293-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7295-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7297-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7298-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7300-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7302-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7306-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7307-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7308-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7310-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7311-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7312-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7314-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7316-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7318-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7319-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7320-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7321-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7326-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7328-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7330-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7332-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/02/IMG_7280-1024x683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2016/03/f0099bc5-267d-4e42-b0ed-d2d710d57450-762x385.jpg,http://www.winnipegusedcars.com/listings/2014-mercedes-benz-ml350-bluetec-4matic-for-sale-in-winnipeg-amg-chrome-package-navigation-loaded-awd-suv/,0,1
5302A,,used,2010 Jeep Wrangler Unlimited Sahara For Sale In Winnipeg,2010,Jeep,Wrangler Unlimited Sahara,,"$23,980",SUV,3.8L V6,6 Speed Manual,Black,Black,134120,http://www.winnipegusedcars.com/wp-content/uploads/2017/07/10thAnniversary_Listing_Coverj-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0792-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0793-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0794-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0795-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0796-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0798-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0799-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0800-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0801-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0802-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0804-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0805-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0806-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0808-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0809-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0810-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0812-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0811-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0815-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0816-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0817-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0818-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0819-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0820-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0822-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0826-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0827-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/07/MG_0828-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/NewShowroom_USE3-762x456.jpg,http://www.winnipegusedcars.com/listings/2010-jeep-wrangler-unlimited-sahara-for-sale-in-winnipeg/,0,0
5306A,,used,"2012 BMW X1 xDrive28i For Sale In Winnipeg | Navigation, Dual Sunroof",2012,BMW,X1,,"$18,780",SUV,2.0L I-4 Cyl,8 Speed Automatic,Black,Tan/Black,80040,http://www.winnipegusedcars.com/wp-content/uploads/2017/06/10thAnniversary_Listing_Cover20-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8288-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8289-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8290-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8291-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_85701-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_85711-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8572-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8573-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8574-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8576-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8577-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8578-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8579-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8580-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8582-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8584-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8593-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8594-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8595-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/NewShowroom_USE3-762x456.jpg,http://www.winnipegusedcars.com/listings/2012-bmw-x1-xdrive-28i-for-sale-in-winnipeg-navigation-dual-sunroof/,0,1
5306B,,used,"2008 Chrysler Aspen 5.7L Hemi For Sale In Winnipeg | Limited, 7 Passenger, Navi, DVD, Sunroof",2008,Chrysler,Aspen,,"$10,980",SUV,5.7L V8,5-Speed Automatic,Beige,Tan,163080,http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2673-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2674-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2675-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2676-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2677-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2678-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2679-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2681-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2683-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2690-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2691-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2695-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2696-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2697-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2698-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2699-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2700-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2701-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2702-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2703-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2704-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2706-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2709-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2710-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2711-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2712-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2714-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2716-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2717-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2724-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2718-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2719-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2720-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2721-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2723-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/08/MG_2725-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/NewShowroom_USE3-762x456.jpg,http://www.winnipegusedcars.com/listings/2008-chrysler-aspen-5-7l-hemi-for-sale-in-winnipeg-limited-7-passenger-navi-dvd-sunroof/,0,0
5309A,,used,"2008 Subaru Impreza WRX For Sale In Winnipeg | Heated Seats, AWD",2008,Subaru,Impreza WRX,,"$14,980",Hatchback,2.5L H-4 Cyl,5 Speed Manual,Dark Grey,Black,139510,http://www.winnipegusedcars.com/wp-content/uploads/2017/06/10thAnniversary_Listing_Cover14-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8027-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8028-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8029-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8030-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8031-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8032-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8035-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8036-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8037-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8039-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8040-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8041-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8042-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8045-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8047-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8049-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/06/MG_8052-762x456.jpg|http://www.winnipegusedcars.com/wp-content/uploads/2017/03/NewShowroom_USE3-762x456.jpg,http://www.winnipegusedcars.com/listings/2008-subaru-impreza-wrx-for-sale-in-winnipeg-awd/,0,1
