stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
00142,,used,2000 Toyota 4Runner SR5 Wagon,2000,Toyota,4Runner,SR5,Please Call,Wagon,3.4L V6 ; DOHC 24V,Automatic,,,189955,http://images.dealer.com/autodata/us/large_stockphoto-color/2000/USB00TOS072B1/1C0.jpg,http://www.wysupchryslerdodge.com/used/Toyota/2000-Toyota-4Runner-69d447cf0a0e0ae7682674b87e6ea715.htm,0,1
00449,,used,2000 Plymouth Grand Voyager SE Van; Extended,2000,Plymouth,Grand Voyager,,Please Call,Van/Minivan,3.3L V6 ; FFV,,,,,http://images.dealer.com/autodata/us/large_stockphoto/2000/USB00PDV021B0.jpg,http://www.wysupchryslerdodge.com/used/Plymouth/2000-Plymouth-Grand+Voyager-794783e30a0e0ae7682674b8a56051fa.htm,0,1
00483,,used,2000 Chevrolet S10 Cab; Regular,2000,Chevrolet,S10,null,Please Call,Truck,2.2L L4,,Blue,,142701,http://images.dealer.com/autodata/us/large_stockphoto/2000/USB00CHT161A0.jpg,http://www.wysupchryslerdodge.com/used/Chevrolet/2000-Chevrolet-S10-a79c4e810a0e0a6b13730521ae86e956.htm,0,1
01001,,used,2001 Jeep Grand Cherokee Laredo Wagon,2001,Jeep,Grand Cherokee,Laredo 4WD,Please Call,Wagon,4.0L L6 (242 CID),Automatic,Gray,,187782,http://images.dealer.com/autodata/us/large_stockphoto/2001/USB10JDS052A0.jpg,http://www.wysupchryslerdodge.com/used/Jeep/2001-Jeep-Grand+Cherokee-45c7ea6d0a0e0a6b1373052121f06244.htm,0,1
01187,,used,2001 Dodge Caravan Sport Van; Passenger,2001,Dodge,Caravan,Sport,Please Call,Van/Minivan,3.3L V6 ; FFV,,,,146093,http://images.dealer.com/autodata/us/large_stockphoto/2001/USB10DDV141B0.jpg,http://www.wysupchryslerdodge.com/used/Dodge/2001-Dodge-Caravan-efb6c3f00a0e0aea4a9cbb011fc8cbe9.htm,0,1
01711,,used,2002 Dodge Dakota SLT Cab; Club,2002,Dodge,Dakota,SLT Club Cab,Please Call,Truck,4.7L V8,,Red,,78027,http://images.dealer.com/autodata/us/large_stockphoto-color/2002/USB20DDT074B0/PR4.jpg,http://www.wysupchryslerdodge.com/used/Dodge/2002-Dodge-Dakota-a27a41310a0e0a6b1373052160f82af7.htm,0,1
02212,,used,2002 Mazda Protege5 Base Hatchback,2002,Mazda,Protege5,,Please Call,Hatchback,2.0L L4 ; DOHC,,,,181467,http://images.dealer.com/autodata/us/large_stockphoto/2002/USB20MAC131A0.jpg,http://www.wysupchryslerdodge.com/used/Mazda/2002-Mazda-Protege5-421b14c90a0e0ae97a1697c422181abc.htm,0,1
02234,,used,2002 GMC Yukon Wagon,2002,GMC,Yukon,,Please Call,Wagon,5.3L V8 ; FFV,,Pewter,,247067,http://images.dealer.com/autodata/us/large_stockphoto-color/2002/USB20GMS032A0/11U.jpg,http://www.wysupchryslerdodge.com/used/GMC/2002-GMC-Yukon-2d81b3d30a0e0adf4f118ae6626d43a4.htm,0,0
02527P,,used,2002 Chrysler Prowler Base Convertible,2002,Chrysler,Prowler,,Please Call,Convertible,3.5L V6 ; SOHC 24V,Automatic,,,14600,http://pictures.dealer.com/w/wysupchryslerdodgecllc/0495/8b7a5cfcd2dc85d08a809d8ebd3302ccx.jpg?imwidth=640|http://pictures.dealer.com/w/wysupchryslerdodgecllc/0318/d049bef560762a03b55dfe8edee8fc8bx.jpg?imwidth=640|http://pictures.dealer.com/w/wysupchryslerdodgecllc/1600/55737502d39b5133c3795c6021188f5ex.jpg?imwidth=640|http://pictures.dealer.com/w/wysupchryslerdodgecllc/1895/8f7bfeec543ef4de0e098ce8a490d72dx.jpg?imwidth=640,http://www.wysupchryslerdodge.com/used/Chrysler/2002-Chrysler-Prowler-e56d04000a0e0ae965f9dd84dbae9493.htm,0,0
02711,,used,2002 Dodge Dakota SLT Cab; Club,2002,Dodge,Dakota,SLT Club Cab,Please Call,Truck,4.7L V8,,Red,,78027,http://images.dealer.com/autodata/us/large_stockphoto-color/2002/USB20DDT074B0/PR4.jpg,http://www.wysupchryslerdodge.com/used/Dodge/2002-Dodge-Dakota-a27a41310a0e0a6b1373052160f82af7.htm,0,1
