stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
115606,,used,,2015,Chevrolet,Trax,LS,Please Call,SUV,4 - Cyl,Automatic,Brown,Black,24775,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731528/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731529/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731530/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731531/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731532/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731533/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731534/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731535/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731536/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731537/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731538/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731539/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731540/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731541/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731542/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731543/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731544/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731545/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5731546/XXL,http://yorkdaleford.com/view/used-2015-chevrolet-trax-117620/,0,1
143000,,used,,2016,Chrysler,200,Limited,Please Call,Sedan,4 - Cyl,Automatic,Gloss Black,Black,3755,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149609/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149610/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149611/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149612/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149613/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149614/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149615/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149616/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149617/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149618/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149619/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149620/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149621/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149622/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149623/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149624/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149625/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149626/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149627/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149628/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149629/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149630/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149631/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149632/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149633/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149634/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6149635/XXL?ts=20170920,http://yorkdaleford.com/view/used-2016-chrysler-200-148334/,0,0
61000,,used,,2016,Toyota,RAV4,LE,Please Call,Sport Utility,4 Cylinder Engine,Other,Alpine White,Black,42412,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040973/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040974/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040975/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040976/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040977/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040978/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040979/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040980/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040981/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040982/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040983/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040984/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040985/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040986/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040987/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040988/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040989/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040990/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040991/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040992/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040993/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040994/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040995/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040996/XXL,http://yorkdaleford.com/view/used-2016-toyota-rav4-141689/,0,1
650036,,used,,2016,Nissan,Pathfinder,SV,Please Call,SUV,6 - Cyl,Automatic,Gray,Black,10646,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855699/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855700/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855701/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855702/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855703/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855704/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855705/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855706/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855707/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855708/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855709/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855710/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855711/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855712/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855713/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855714/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855715/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855716/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855717/XXL,http://yorkdaleford.com/view/used-2016-nissan-pathfinder-131733/,0,1
81015,,used,,2016,Toyota,Corolla,LE,Please Call,4dr Car,4 Cylinder Engine,Other,Barcelona Red Metallic,Gray,32109,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040862/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040863/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040864/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040865/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040866/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040867/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040868/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040869/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040870/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040871/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040872/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040873/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040874/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040875/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040876/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040877/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040878/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040879/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040880/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040881/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040882/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040883/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6040884/XXL,http://yorkdaleford.com/view/used-2016-toyota-corolla-141684/,0,1
B01497,,used,,2016,Ford,Escape,Titanium,Please Call,SUV,4 - Cyl,Automatic,White,Black,15677,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855650/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855651/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855652/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855653/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855654/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855655/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855656/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855657/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855658/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855659/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855660/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855661/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855662/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855663/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855664/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855665/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855666/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855667/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855668/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855669/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855670/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855671/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855672/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855673/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5855674/XXL,http://yorkdaleford.com/view/used-2016-ford-escape-131731/,0,1
FFF8284,,new,,2017,Ford,F-150,XL,50749,Crew Cab Pickup - Short Bed,8 Cylinder Engine,Automatic,Shadow Black,,0,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6020834/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6020835/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6020836/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/6020837/XXL,http://yorkdaleford.com/view/new-2017-ford-f-150-140578/,0,1
Y,,new,,2016,Ford,Transit Wagon,XL,37884.04425,Full-size Passenger Van,V6 Cylinder Engine,Automatic,Magnetic Metallic,,0,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/2254426/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/2254427/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/2254428/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/2254429/XXL,http://yorkdaleford.com/view/new-2016-ford-transit-wagon-84980/,0,1
Y01126,,new,,2016,Ford,Escape,Titanium,38439,Sport Utility,4 Cylinder Engine,Automatic,Shadow Black Metallic,,0,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/1192930/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/1192931/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/1192932/XXL|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/1192933/XXL,http://yorkdaleford.com/view/new-2016-ford-escape-55653/,0,1
Y2742,,new,,2017,Ford,Edge,Sport,52489,Sport Utility,V6 Cylinder Engine,Automatic,Shadow Black,EBONY PERF,0,http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5570542/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5570543/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5570544/XXL?ts=20170920|http://car-dealer-media.azurewebsites.net/pictures/show/1022/36/5570545/XXL?ts=20170920,http://yorkdaleford.com/view/new-2017-ford-edge-122271/,0,0
