Customer,URL,,GUID
Abbotsford Nissan,https://www.abbotsfordnissan.com,abbotsfordnissan,15857549
Action Auto,http://www.actionautochryslerdodgejeep.com/,actionautochryslerdodgejeep,24638723
All American Chevrolet,http://www.aachevy.com/	,aachevy,50762476
All Star RV,https://www.allstarrv.ca/,allstarrvca,51636919
Allways Atascosa CDJR,https://www.atascosacdj.com/,atascosacdj,15750316
Allways Boerne,https://www.allwaysboerne.com/,allwaysboerne,50762482
Allways Chevrolet,https://www.allwayschevy.com/,allwayschevy,38036328
Amarillo Hyundai,https://www.amarillohyundai.com,amarillohyundai,50762677
Andres Electronic Experts,http://www.andreselectronicexperts.com/   http://www.andreswireless.com/,andreselectronicexperts,31531844
Authentic Stone,https://www.authenticstone.ca/,authenticstone,51735572
Auto Gallery Of Winnipeg,https://www.autogalleryofwinnipeg.com/,autogalleryofwinnipeg,31531576
Auto Max Sarnia,,,33917905
AutoCanada Inc.,https://www.401dixiehyundai.com/,401dixiehyundai,
AutoFlyte,https://www.performancechryslerjeepcenterville.com/,performancechryslerjeepcenterville,51636899
AutosByNelson,http://www.autosbynelson.com/,autosbynelson,15758820
AutosByNelson of Mount Airy,https://www.mountairydeals.com/,mountairydeals,50762756
Axelrod Buick GMC,https://www.axelrodbuickgmc.com/,axelrodbuickgmc,33353692
Bannister Cadillac Kelowna,https://www.cadillackelowna.com/,cadillackelowna,50650988
Bannister Chevrolet Buick GMC Edson,https://www.bannistergm.com/,bannistergm,50650999
Bannister Ford Dawson Creek,https://www.bannisterford.com/,bannisterford,31531944
Bannister GM Vernon,https://www.bannisters.com/,bannisters,33650623
Bannister Honda,http://www.bannisterhonda.com,bannisterhonda,31531998
Bannister Kelowna,http://www.bannisterkelowna.com,bannisterkelowna,33650624
Barber Motors,http://www.barbermotors.com,barbermotors,31530693
Basswood Chrysler Dodge Jeep Ram,https://www.basswoodcdjr.com,basswoodcdjr,20895964
BCS Auto Sales,http://bcsautosales.ca/,ca/,26949006
Bean Chevrolet Buick GMC Corvette,http://www.beancars.ca,beancars,26949034
Beardmore Chevrolet,https://www.beardmorechevy.com/,beardmorechevy,51718810
Beardmore Hyundai,https://www.beardmorehyundai.com/,beardmorehyundai,51718809
Beardmore Subaru,https://www.beardmoresubaru.com/,beardmoresubaru,38034661
Beaverton Nissan,,,54408874
Ben R Auto Sales,http://benrauto.com/,com/,31531412
Bennett GM,http://www.bennettgm.com/,bennettgm,15858188
Benson Ford,https://www.bensonford.net/,bensonford,15759934
Benson Hyundai,https://www.bensonhyundai.com/,bensonhyundai,33916470
Benson Kia,https://www.bensonkia.com/,bensonkia,33916295
Benson Nissan Easley,https://www.nissaneasley.com/,nissaneasley,51757443
Benson Nissan Spartanburg,https://www.bensonnissan.com/,bensonnissan,15760165
Bill Alexander Ford,http://www.billalexanderford.com/,billalexanderford,38036686
BMW Gallery,https://www.bmwgallery.ca/,bmwgallery,50110387
BMW Motorcycles of Seattle,https://www.bmwmcseattle.com/,bmwmcseattle,55053366
Bocker Auto Group,http://www.bockerautogroup.com/,bockerautogroup,26949097
Boeckman Ford Inc,https://www.boeckmanford.net/,boeckmanford,15751997
Boundary Ford,http://www.boundarymotorsports.com/,boundarymotorsports,19992413
Brandl Auto Connection,https://www.brandlautoconnection.com/,brandlautoconnection,33917331
Brantford Hyundai,https://www.brantfordhyundai.ca,brantfordhyundai,19992415
Browns Chevrolet Buick GMC,https://www.brownschev.com,brownschev,50830113
Browns Elkader GM,https://www.4brownsgm.com/,4brownsgm,50916052
Bruce Hyundai,https://www.brucehyundai.com/,brucehyundai,50830144
Bruce Walters Ford Lincoln Kia,https://www.brucewaltersford.net,brucewaltersford,33915909
Budget Builders,http://www.budgetbuilders.co,budgetbuilders,50830145
Butler Lexus of South Atlanta,https://www.butlerlexussouthatlanta.com/,butlerlexussouthatlanta,15761452
Byrider Albany,https://www.byrider.com/,byrider,50830260
C&H Auto Sales,https://www.candhautosales.com/,candhautosales,54117846
Calgary BMW,https://calgarybmw.ca/,ca/,33918941
Calgary Honda,https://www.calgaryhonda.ca/,calgaryhonda,50110391
Cam Clark Ford Airdrie,https://www.camclarkfordairdrie.com/,camclarkfordairdrie,30807791
Cam Clark Ford Canmore,https://www.canmorecamclarkford.com/,canmorecamclarkford,33918944
Cam Clark Ford Olds,https://www.camclarkfordolds.ca/,camclarkfordolds,39725520
Cambrian Ford,https://www.cambrianford.com/,cambrianford,35711048
Campbell River Toyota,https://www.campbellrivertoyota.com,campbellrivertoyota,31531821
Campkins RV Centre,https://www.campkins.com,campkins,19992419
Carimex Auto Sales Waterloo,http://www.carimex.ca/,carimex,35711074
Carlyle Chevrolet Buick GMC,http://www.carlylegm.ca/,carlylegm,30167208
Carriage Automotive Group,https://www.choosecarriage.com/,choosecarriage,54012991
Carriage Kia,https://www.carriagekia.com/,carriagekia,43013535
Carriage Kia of Woodstock,https://www.carriagekiawoodstock.com/,carriagekiawoodstock,38029295
Carriage Mitsubishi,https://www.carriagemitsubishi.com/,carriagemitsubishi,38029294
Carriage Nissan,https://www.carriagenissan.com/,carriagenissan,50842268
Carter Cadillac 1,https://www.cartercadillacbc.com/,cartercadillacbc,50842276
Carter GM Burnaby 1,https://www.cartergm.com/,cartergm,33650660
Carter GM Burnaby 2,https://www.cartergm.com/,cartergm,33650660
Carter GM Northshore 1,https://www.carternorthshore.com/,carternorthshore,52892087
Carter GM Northshore 2,https://www.carternorthshore.com/,carternorthshore,52892087
CBC Automotive Marketing,https://www.briantoliverford.net/,briantoliverford,50842402
Centennial Honda,http://www.centennialhonda.com/,centennialhonda,32491274
Centennial Mazda,https://www.centennialmazda.ca/,centennialmazda,32490993
Centennial Nissan of Charlottetown,http://www.centennialnissanofcharlottetown.com/,centennialnissanofcharlottetown,32490992
Centennial Nissan of Summerside,http://www.centennialnissanofsummerside.com/,centennialnissanofsummerside,50842406
Centerline RV,https://www.centerlineauto.com/,centerlineauto,30808097
Central Plains Co-op,http://www.centralplainsco-op.ca/,centralplainsco-op,24893540
Chatham Nissan,http://chathamnissan.com/,com/,35712978
Citte Center,https://cittecenter.com/,com/,20895739
Clark Cullen Group,http://www.clarkcullengroup.ca,clarkcullengroup,50842906
ClickNition,https://www.apollorvsales.com.au/,apollorvsales,50843122
Coast Mountain GM,http://www.coastmountaingm.com,coastmountaingm,19992425
Cochrane Nissan,https://www.cochranenissan.com/,cochranenissan,30910273
Colony Chevrolet GMC Buick,https://www.colonychevgmcbuick.com/,colonychevgmcbuick,33650497
Company of Cars,https://www.companyofcars.com/,companyofcars,52877633
Company of Cars Kelowna,https://www.companyofcars.com/kelowna/,companyofcars,54013001
Cook County Ford,http://cookford.com,com,19992426
Coos Bay Toyota,https://www.coosbaytoyota.com/,coosbaytoyota,15752782
Coralville Used Car Superstore,https://www.coralvillesuperstore.com/,coralvillesuperstore,20896549
Country Hills Volkswagen,https://www.chvw.ca/,chvw,50110503
