"No","Id","Name","Status","Id","GUID","Name","Cron","Domain","Status","Account","Id","Profile Id","Data Pull","Id","Data Pull","Id","Data Pull","Id","Data Pull"
"1","602e27bbc2954e001e38d0ec","400 Infiniti",0,"602e27bdc2954e001e38d0ee","No Id","400 Infiniti","400infiniti","400infiniti.com",0,"","","","","","","","","123456789","Yes"
"4","614349a0dd30fec4d7c1786f","Adams Auto Sales",0,"614349a2dd30fec4d7c17874","No Id","Adams Auto Sales","adamsautosales","adamsautosales.co",1,"false","UA-127273656-25","","","483-415-7680","Yes","","","",""
"6","61c433681af603bc3917ee6c","Adventure RV Centre",0,"61c433721af603bc3917ee82","No Id","Adventure RV Centre","adventurervctrcom","adventurervctr.com",1,"","","","","","","","","",""
"7","614348e0dd30fec4d7bd70e2","Alexandria Camping Centre",0,"614348e2dd30fec4d7bd70e7","No Id","Alexandria Camping Centre","alexandriacampingcentre","alexandriacampingcentre.com",1,"false","UA-113480963-39","","","","","2853051344944430","Yes","",""
"10","61434a2fdd30fec4d7c4543c","All Roads Dodge",0,"61434a31dd30fec4d7c45441","No Id","All Roads Dodge","allroadsdodge","allroadsdodge.ca",1,"false","UA-134636584-41","","","","","","","",""
"11","602e2669c2954e001e38ce0b","All Star Family Ford",0,"602e266bc2954e001e38ce0d","No Id","All Star Family Ford","allstarford","allstarford.us",0,"false","UA-141626127-24","","","","","","","",""
"12","602e274cc2954e001e38cff4","All Star Honda",0,"602e274ec2954e001e38cff6","No Id","All Star Honda","allstarhonda","allstarhonda.com",0,"false","UA-146366686-15","","","","","","","",""
"13","61434f11dd30fec4d7ca9899","All Star RV",0,"61434f13dd30fec4d7ca989e","No Id","All Star RV","allstarrvca","allstarrv.ca",1,"","","","","","","358461022177379","Yes","",""
"21","6143482bdd30fec4d7ba02df","Arlington Nissan",0,"6143482ddd30fec4d7ba02e4","No Id","Arlington Nissan","arlingtonnissan","arlingtonnissan.com",1,"false","UA-6377702-4","","","","","1496579023713389","Yes","",""
"22","602e1a09c2954e001e3783e0","Auffenberg",0,"602e1a0dc2954e001e3783e2","No Id","Auffenberg of Carbondale","auffenbergcarbondale","auffenbergcarbondale.com",0,"","","","","","","1478758055495486","Yes","",""
"35","602e2183c2954e001e38c25e","Auto Canada",0,"61434957dd30fec4d7bffc90","No Id","Sherwood Park Hyundai","sphyundai","sphyundai.com",1,"false","UA-124252380-26","","","","","","","",""
"36","602e2183c2954e001e38c25e","Auto Canada",0,"61434964dd30fec4d7c03a38","No Id","Airdrie Chrysler Dodge Jeep","airdriedodge","airdriedodge.com",1,"false","UA-124252380-33","","","","","","","",""
"37","602e2183c2954e001e38c25e","Auto Canada",0,"6143496cdd30fec4d7c05b91","No Id","Eastern Chrysler","easternchrysler","easternchrysler.com",1,"false","UA-124252380-34","","","","","","","",""
"39","602e2183c2954e001e38c25e","Auto Canada",0,"61434bc3dd30fec4d7ca6eae","No Id","Hyatt Infiniti","hyattinfiniticalgary","hyattinfiniticalgary.com",1,"","","","","","","","","",""
