Customer Name,CRON ID,Internal Dashboard ID,Analytics Email,Analytics,Facebook,Pixel,Google,Bing,CSM,Google Ad Ops Manager,Facebook Ad Ops Manager
Aa Canada Inc,aacanadainccom,,,"UA-190651803-74	",377007563636225,2299304586859033,,,,,
Abbotsford Nissan,abbotsfordnissan,602e2733c2954e001e38cfb9,smediaanalytic@gmail.com,UA-146366686-5,795096410924522,468702830375563,861-042-1098,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Abbotsford Volkswagen,abbotsfordvw,,,"UA-40179181-1	",1737091343190323,240292802970576,,,,,
Action Auto,actionautochryslerdodgejeep,602e152dc2954e001e378361,smediawebmastertool@gmail.com,UA-91021639-14,1280806468623980,1656189031351877,,,Ryan Yuhasz,,Nhoel Ditona
Acura of Bellevue,acuraofbellevuecom,,,"UA-185710316-57	",,,759-369-9366,,,,
Adventure RV,adventurervca,602e28c9c2954e001e38d335,smediaanalytic@gmail.com,UA-156597236-23,1279605075763227,2602221863438668,,,Devin Howell-Shiplack,,Kryzelle Campus
Alfa Romeo Windsor Ontario,alfaromeoofsouthwesternontario,602e1538c2954e001e37836a,,UA-42553815-2,1122279861143309,1118618394884438,,,Ryan Yuhasz,,Nhoel Ditona
All American Chevrolet,aachevy,602e267ac2954e001e38ce2c,smediaanalytic@gmail.com,UA-141626127-23,2863018907311084,,,,Devin Howell-Shiplack,,
All Star RV,allstarrvca,,,"UA-190651803-45	",358461022177379,583940355481059,,,,,
Allways Boerne,allwaysboernecom,602e2b9dc2954e001e38d95c,smediaanalytic@gmail.com,UA-179984697-50,449861079330940,3441273022655927,,,Devin Howell-Shiplack,,
Allways CDJR,atascosacdjcom,602e2ba2c2954e001e38d965,smediaanalytic@gmail.com,UA-179984697-51,354056589202919,687799598834326,,,Ryan Yuhasz,,Kryzelle Campus
Allways Chevrolet,allwayschevycom,602e2be5c2954e001e38d9eb,smediaanalytic@gmail.com,UA-185710316-24,281674853292938,418642852907863,,,Ryan Yuhasz,,
Amarillo Hyundai,amarillohyundai,602e24f9c2954e001e38cab0,smediaanalytic@gmail.com,UA-130939443-44,,,,,Devin Howell-Shiplack,,
Andres Electronic Experts,andreselectronicexperts,602e22c5c2954e001e38c581,smediawebmastertool@gmail.com,UA-36553819-1,1496422863729005,130504787601326,697-438-0109,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Appel Ford,appelford,602e1a03c2954e001e3783d9,smediawebmastertool@gmail.com,UA-104745206-23,1478766825494609,290997054734776,,,Grant Criddle,,Esperanza San Jose
Audi Winnipeg,audiwinnipegcom,,,UA-171699954-69,,,,,,,
Auto Canada,,,,,,,,,Grant Criddle,,
Auto Court Dunedin,autocourtnetnz,602e2a69c2954e001e38d6d7,smediaanalytic@gmail.com,UA-167380325-47,1166750270333655,871550623357034,,,Kaleah Baker,,Esperanza San Jose
Auto Gallery of Winnipeg,autogalleryofwinnipeg,602e2419c2954e001e38c8a2,smediaanalytic@gmail.com,UA-169324917-12,1952070524925830,273420353862728,453-629-0425,,Ryan Yuhasz,,Nhoel Ditona
Auto Price Canada,autopricecanada,,,"UA-143782155-3	",466764164651658,786172395084988,,,,,
AutoDream,autodreamconz,602e2b2fc2954e001e38d87a,smediaanalytic@gmail.com,UA-171699954-84,358730645253290,322310345739994,,,Grant Criddle,,Esperanza San Jose
Automax Sarnia,automaxsarniacom,,,"UA-171699954-85	",2110833629047558,3470308043008249,,,,,
Autos By Nelson,autosbynelson,602e2347c2954e001e38c6b7,smediawebmastertool@gmail.com,UA-111241337-36,1595387567165867,316003072245015,512-027-9350,156003424,Erin Richmond,Homi Khan,
AutosByNelson of Mount Airy,mountairydeals,602e2358c2954e001e38c6e6,smediawebmastertool@gmail.com,UA-111241337-37,231163774743589,949821515517238,334-094-3800,,Grant Criddle,,Arnel Ditona
Axelrod Buick GMC,axelrodbuickgmc,602e2620c2954e001e38cd65,smediaanalytic@gmail.com,UA-42866640-1,617360305398308,2325724624413491,,,Kaleah Baker,,Esperanza San Jose
Aztec Chevrolet Buick Gmc,aztecautoplexcom,,,"UA-190651803-77	",523584348638228,556746201141723,,,,,
Bannister Cadillac Kelowna,cadillackelownacom,,smediaanalytic@gmail.com,UA-190651803-53,500790637584150,2053652491537668,593-029-4452,,,,
Bannister Ford Dawson Creek,bannisterford,602e25b3c2954e001e38cc66,smediaanalytic@gmail.com,UA-122092463-22,395977101248999,331127024438056,310-828-5484,156002882,Erin Richmond,Umer Khan,Arnel Ditona
Bannister GM Edson ,bannistergmcom,,smediaanalytic@gmail.com,UA-185710316-95,,,898-820-1909,,,,
Bannister GM Vernon,bannisters,602e257bc2954e001e38cbe6,smediaanalytic@gmail.com,UA-42073537-1,395390771380985,714027492342178,859-937-1576,,Erin Richmond,Umer Khan,
Bannister Honda,bannisterhonda,602e19b9c2954e001e378393,smediawebmastertool@gmail.com,UA-91021639-35,1246282678743026,1758210974498883,426-078-4225,156002883,Erin Richmond,,
Bannister Kelowna,bannisterkelowna,602e19c2c2954e001e37839c,smediawebmastertool@gmail.com,UA-81637209-49,1246290985408862,1035770543233461,252-687-9577,,Erin Richmond,Umer Khan,Arnel Ditona
Barber Motors,barbermotors,602e19afc2954e001e378388,smediaanalytic@gmail.com,UA-122092463-1,958571910847439,1179762155384565,451-710-0704,156002978,Kaleah Baker,Umer Khan,Esperanza San Jose
Barnes Harley-Davidson Kamloops,barneshdkamloops,5fb6c42e94138d001dfde539,smediawebmastertool@gmail.com,UA-48013392-10,557441454904943,289840598289211,,,Devin Howell-Shiplack,,Kryzelle Campus
Barnes Harley-Davidson Langley 1,barneshdlangley,,smediawebmastertool@gmail.com,UA-48013392-10,1507893632581928,289840598289211,,,Devin Howell-Shiplack,,Kryzelle Campus
Barnes Harley-Davidson Victoria,barneshdvictoria,5fb6c42e94138d001dfde539,smediawebmastertool@gmail.com,UA-48013392-10,2279682112262363,289840598289211,,,Devin Howell-Shiplack,,Kryzelle Campus
Barrie Mitsubishi,barriemitsubishica,602e2946c2954e001e38d44e,smediaanalytic@gmail.com,UA-157545294-24,795230637656563,498001291142184,494-660-9962,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
