GUID,Customer Name,Internal Dashboard ID,Google Ads Account ID,Google Ads Account Name,Engaged Prospect : Google Analytics Conversion Goal,Google Analytics Account Name,GoogleAnalyticsEmail,Google Analytics Property,Google Analytics View ID,Facebook Account ID,Facebook Account Name,MS Advertising Bing Account No.,Bing Account ID,MS Advertising Account Name,CRON ID,Google Analytics UA-ID,Facebook Pixel ID,Trial,Active,Matches Internal Dashboard Credentials,Verification Assigned @reuben@smedia.ca ,Verifed as Correct?,Notes,CSM,Google Ad Ops Manager,Facebook Ad Ops Manager,Duplicate Keys (T/F),Duplicate Google Analytics View IDs(T/F),FB GA Soure / Medium,Group ID,Group Name,PR Sheet ID,PR Sheet Link,Domain
15857549,Abbotsford Nissan,602e2733c2954e001e38cfb9,861-042-1098,Abbotsford Nissan,1,AI Button(9) (146366686),smediaanalytic@gmail.com,Abbotsford Nissan,200819079,795096410924522,Abbotsford Nissan,,,,abbotsfordnissan,UA-146366686-5,468702830375563,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,14azFJdGDyO8hlySRK5_VTQhWGMv0HJSfEufAGlwJZE0,https://docs.google.com/spreadsheets/d/14azFJdGDyO8hlySRK5_VTQhWGMv0HJSfEufAGlwJZE0,abbotsfordnissan.com
24638723,Action Auto,602e152dc2954e001e378361,,,1,Facebook Accounts (2) (91021639),smediawebmastertool@gmail.com,Action Auto,141078920,1280806468623980,Action Auto,,,,actionautochryslerdodgejeep,UA-91021639-14,1656189031351870,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,1Ik3XT2mzcW-9rWwC34VAVCvZs6mizLZcp_thUFPC-No,https://docs.google.com/spreadsheets/d/1Ik3XT2mzcW-9rWwC34VAVCvZs6mizLZcp_thUFPC-No,actionautochryslerdodgejeep.com
40745767,Adventure RV,602e28c9c2954e001e38d335,,,1,AI Button (12) (156597236),smediaanalytic@gmail.com,Adventure RV,210170326,1279605075763227,Adventure RV,,,,adventurervca,UA-156597236-23,2602221863438660,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1_aY6ciWwt9nze9ChHf0Exs1EtxM8Y8XYntRY4ldgEjs,https://docs.google.com/spreadsheets/d/1_aY6ciWwt9nze9ChHf0Exs1EtxM8Y8XYntRY4ldgEjs,adventurerv.ca
51636901,Alfa Romeo Windsor Ontario,602e1538c2954e001e37836a,,,2,smedia (42553815),marshalsmedia@gmail.com,,117540838,1122279861143309,Alfa Romeo,,,,alfaromeoofsouthwesternontario,UA-42553815-2,1118618394884430,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1504cMRbqDoPrYCFllhcjOR2G0HIg74VK6nwgzSY03ik,https://docs.google.com/spreadsheets/d/1504cMRbqDoPrYCFllhcjOR2G0HIg74VK6nwgzSY03ik,alfawindsor.ca
50762476,All American Chevrolet,602e267ac2954e001e38ce2c,,,3,AI Button(7) (141626127),smediaanalytic@gmail.com,All Amercian Chevrolet,197193682,2863018907311084,All Amercian Chevrolet,,,,aachevy,UA-141626127-23,-,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1gAguTvC9ZFEa9MYz34wScEn7kzc9vTgVzvGI9AebabQ,https://docs.google.com/spreadsheets/d/1gAguTvC9ZFEa9MYz34wScEn7kzc9vTgVzvGI9AebabQ,aachevy.com
50762677,Amarillo Hyundai,602e24f9c2954e001e38cab0,,,1,AI Button(3) (130939443),smediaanalytic@gmail.com,Amarillo Hyundai,189606202,,,,,,amarillohyundai,UA-130939443-44,-,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1HFv5qWV802DLJFpr9pa6H89E_di2itBbZsQFlU7Qu_4,https://docs.google.com/spreadsheets/d/1HFv5qWV802DLJFpr9pa6H89E_di2itBbZsQFlU7Qu_4,amarillohyundai.com
31531844,Andres Electronic Experts,602e22c5c2954e001e38c581,697-438-0109,Andre's Electronic Experts,15,Andre's Electronics (36553819),smediawebmastertool@gmail.com,Andre's Electronic Experts >> Smedia View,66423208,1496422863729005,Andre's Electronics,,,,andreselectronicexperts,UA-36553819-1,130504787601326,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,19Hg5SHa5OJ4uZXD7vsem5XlbNA4EHXiQQbgLUYNW_7Q,https://docs.google.com/spreadsheets/d/19Hg5SHa5OJ4uZXD7vsem5XlbNA4EHXiQQbgLUYNW_7Q,andreselectronicexperts.com
15749609,Appel Ford,602e1a03c2954e001e3783d9,,,1,Fb Accounts(5),smediawebmastertool@gmail.com,Appel Ford,160347638,1478766825494609,Appel Ford,,,,appelford,UA-104745206-23,290997054734776,FALSE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,appelford.com
18609798,Auto Canada,602e2183c2954e001e38c25e,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,Haroon,TRUE,Resolved - Parent Account,,,,FALSE,FALSE,,,,,,#N/A
43091366,Auto Court Dunedin,602e2a69c2954e001e38d6d7,,,1,A1 Button (17) (167380325),smediaanalytic@gmail.com,Auto Court Dunedin,220427977,1166750270333655,Auto Court Dunedin,,,,autocourtnetnz,UA-167380325-47,871550623357034,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1GO28hvvUx9gkv6eOBETtlqt6Bj0WbNhO6g0VgZz3peg,https://docs.google.com/spreadsheets/d/1GO28hvvUx9gkv6eOBETtlqt6Bj0WbNhO6g0VgZz3peg,autocourt.net.nz
31531576,Auto Gallery of Winnipeg,602e2419c2954e001e38c8a2,453-629-0425,Auto Gallery of Winnipeg,1,A1 Button (18) (169324917),smediaanalytic@gmail.com,Auto Gallery of Winnipeg,221463333,1952070524925830,Auto Gallery of Winnipeg,,,,autogalleryofwinnipeg,UA-169324917-12,273420353862728,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,1TWTq80kg9OOALC9fizrbZ8G0sXBriTOGo3M6WReRB6k,https://docs.google.com/spreadsheets/d/1TWTq80kg9OOALC9fizrbZ8G0sXBriTOGo3M6WReRB6k,autogalleryofwinnipeg.com
50762688,Autos By Nelson,602e2347c2954e001e38c6b7,512-027-9350,Autos By Nelson - sMedia,1,Fb Accounts(8),smediawebmastertool@gmail.com,Autos By Nelson,168381186,1595387567165867,Autos By Nelson,F1255LSP,156003424,Autos By Nelson,autosbynelson,UA-111241337-36,316003072245015,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1TbZyPvQ12G-2QTCFD0cAAsWVQTn3oZ8FWIbuprVFuYk,https://docs.google.com/spreadsheets/d/1TbZyPvQ12G-2QTCFD0cAAsWVQTn3oZ8FWIbuprVFuYk,autosbynelson.com
50762756,AutosByNelson of Mount Airy,602e2358c2954e001e38c6e6,334-094-3800,Autos By Nelson of Mt Airey,1,Fb Accounts(8),smediawebmastertool@gmail.com,Autos By Nelson Mt Airey,168397207,231163774743589,Autos by Nelson Mt Airy V.2,,,,mountairydeals,UA-111241337-37,949821515517238,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,AG-0011,Nelson,1DI6w3SVyhd5N8B2vRJ68rRNddUWUgSwMmbBqSBoyA8E,https://docs.google.com/spreadsheets/d/1DI6w3SVyhd5N8B2vRJ68rRNddUWUgSwMmbBqSBoyA8E,mountairydeals.com
43091373,AutoDream,602e2b2fc2954e001e38d87a,,,1,A1 Button (19) (171699954),smediaanalytic@gmail.com,AutoDream - New Zealand,229780808,358730645253290,Autodream,,,,autodreamconz,UA-171699954-84,322310345739994,FALSE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,autodream.co.nz
33353692,Axelrod Buick GMC,602e2620c2954e001e38cd65,,,3,AI Button(6) (140422192),smediaanalytic@gmail.com,Axelrod Buick GMC,201876759,617360305398308,Axelrod Buick GMC,,,,axelrodbuickgmc,UA-42866640-1,2325724624413490,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,1lYYC0Q75c_04w64yC0Paa6jSEdhGpDODTmHbfdaDV8w,https://docs.google.com/spreadsheets/d/1lYYC0Q75c_04w64yC0Paa6jSEdhGpDODTmHbfdaDV8w,axelrodbuickgmc.com
31531944,Bannister Ford Dawson Creek,602e25b3c2954e001e38cc66,310-828-5484,Bannister Ford,1,Custom Accounts (122092463),smediaanalytic@gmail.com,Bannister Ford,194732939,395977101248999,Bannister Ford,F125Z75P,156002882,Bannister Ford,bannisterford,UA-122092463-22,331127024438056,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,AG-0001,Bannister,1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,https://docs.google.com/spreadsheets/d/1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,bannisterford.com
33650623,Bannister GM Vernon,602e257bc2954e001e38cbe6,859-937-1576,Bannister GM Vernon,1,Bannister GM Vernon (42073537),smediaanalytic@gmail.com,Bannisters.com >> SMedia View,193583182,395390771380985,Bannister GM Vernon,,,,bannisters,UA-42073537-1,714027492342178,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,AG-0001,Bannister,1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,https://docs.google.com/spreadsheets/d/1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,bannisters.com
31531998,Bannister Honda,602e19b9c2954e001e378393,426-078-4225,Bannister Honda,1,Fb Accounts(2) (91021639),smediawebmastertool@gmail.com,Bannister Honda,142491119,1246282678743026,Bannister Honda,F125YT7F,156002883,Bannister Honda,bannisterhonda,UA-91021639-35,1758210974498880,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,AG-0001,Bannister,1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,https://docs.google.com/spreadsheets/d/1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,bannisterhonda.com
33650624,Bannister Kelowna,602e19c2c2954e001e37839c,252-687-9577,Bannister Kelowna,1,Fb Accounts (81637209),smediawebmastertool@gmail.com,Bannister kelowna,139031055,1246290985408862,Bannister GM Kelowna,,,,bannisterkelowna,UA-81637209-49,1035770543233460,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,AG-0001,Bannister,1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,https://docs.google.com/spreadsheets/d/1ICn8A_jDR0xPH0ujWPJU2-DPzoMoja1mhF3IAdjOyTs,bannisterkelowna.com
50650999,Bannister GM Edson ,,898-820-1909,Bannister GM Edson ,1,AI Button(21) (185710316),smediaanalytic@gmail.com,Bannister Chevrolet Buick GMC Edson,237907858,,,,,,bannistergmcom,UA-185710316-95,-,TRUE,FALSE,FALSE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,#N/A
50650988,Bannister Cadillac Kelowna,,593-029-4452,Bannister Cadillac,1,AI Button (22)(190651803),smediaanalytic@gmail.com,Bannister Cadillac Kelowna,240528207,500790637584150,Bannister Cadillac Kelowna,,,,cadillackelownacom,UA-190651803-53,2053652491537660,TRUE,TRUE,FALSE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,1TOr_BYGhJ9posEQVwBBZe1LynEa3Ivc-hmWN4cb9anY,https://docs.google.com/spreadsheets/d/1TOr_BYGhJ9posEQVwBBZe1LynEa3Ivc-hmWN4cb9anY,#N/A
31530693,Barber Motors,602e19afc2954e001e378388,451-710-0704,Barbers,1,Custom Accounts (122092463),smediaanalytic@gmail.com,Barber Motors,178320776,958571910847439,Barber Motors,F125P7MG,156002978,Barber Motors,barbermotors,UA-122092463-1,1179762155384560,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,1UASn23GJ2THH5W0bZP1nMXdzbqjc9ziHLi_2vH9bzX8,https://docs.google.com/spreadsheets/d/1UASn23GJ2THH5W0bZP1nMXdzbqjc9ziHLi_2vH9bzX8,barbermotors.com
31532054,Barnes Harley-Davidson Kamloops,5fb6c42e94138d001dfde539,,,3,Barnes Wheaton (48013392),smediawebmastertool@gmail.com,Barnes HD Landing Page  > SMedia View,204764503,557441454904943,Barnes Harley-Davidson Kamloops V2,,,,barneshdkamloops,UA-48013392-10,289840598289211,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,AG-0002,Barnes Harley-Davidson,17XAeaKdtMcDhdhcOxZIMFm1-kKuuwO37bHn3yFNr1WM,https://docs.google.com/spreadsheets/d/17XAeaKdtMcDhdhcOxZIMFm1-kKuuwO37bHn3yFNr1WM,barneshd.com
51636905,Barnes Harley-Davidson Langley 1,,,,3,Barnes Wheaton (48013392),smediawebmastertool@gmail.com,Barnes HD Landing Page  > SMedia View,204764503,1507893632581928,Barnes Harley-Davidson Langley,,,,barneshdlangley,UA-48013392-10,289840598289211,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,AG-0002,Barnes Harley-Davidson,17XAeaKdtMcDhdhcOxZIMFm1-kKuuwO37bHn3yFNr1WM,https://docs.google.com/spreadsheets/d/17XAeaKdtMcDhdhcOxZIMFm1-kKuuwO37bHn3yFNr1WM,#N/A
50762760,Barnes Harley-Davidson Victoria,,,,3,Barnes Wheaton (48013392),smediawebmastertool@gmail.com,Barnes HD Landing Page  > SMedia View,204764503,2279682112262363,Barnes Harley-Davidson Victoria,,,,barneshdvictoria,UA-48013392-10,289840598289211,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,AG-0002,Barnes Harley-Davidson,17XAeaKdtMcDhdhcOxZIMFm1-kKuuwO37bHn3yFNr1WM,https://docs.google.com/spreadsheets/d/17XAeaKdtMcDhdhcOxZIMFm1-kKuuwO37bHn3yFNr1WM,#N/A
35712173,Barrie Mitsubishi,602e2946c2954e001e38d44e,494-660-9962,Barrie Mitsubishi,1,A1 Button (13) (157545294),smediaanalytic@gmail.com,Barrie Mitsubishi,211745536,795230637656563,Barrie Mitsubishi,,,,barriemitsubishica,UA-157545294-24,498001291142184,FALSE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,barriemitsubishi.ca
33650315,Barry Cullen Chevrolet Cadillac,5fc87bfaaec401001d0dbb53,922-323-8795,Barry Cullen,16,Barry Cullen (66263818),marshalsmedia@gmail.com,Barry Cullen,106710587,1439676096070349,Barry Cullen Chevrolet Cadillac,,,,barrycullen,UA-66263818-1,138744430048738,FALSE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,barrycullen.com
31532359,Basant Motors,602e265bc2954e001e38cdec,,,1,AI Button(7) (141626127),smediaanalytic@gmail.com,Basant Motors,196922231,,,,,,basantmotors,UA-141626127-18,1103536236523850,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1bXCe8AqGUvgU7W7AhdKs6yieDJsYjURPI3Y147aOopM,https://docs.google.com/spreadsheets/d/1bXCe8AqGUvgU7W7AhdKs6yieDJsYjURPI3Y147aOopM,basantmotors.com
20895964,Basswood Chrysler Dodge Jeep Ram,602e2308c2954e001e38c622,,,1,Fb Accounts(7),smediawebmastertool@gmail.com,Basswood Chrysler Dodge Jeep Ram,165547189,1543928578978433,Basswood Chrysler Dodge Jeep Ram,,,,basswoodcdjr,UA-109667713-25,508780916166136,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1EyXxZ_bLTQjnwlHxAcc0V9RGC95pghd1nEf_EioNWnM,https://docs.google.com/spreadsheets/d/1EyXxZ_bLTQjnwlHxAcc0V9RGC95pghd1nEf_EioNWnM,basswoodcdjr.com
32490960,Bathurst Toyota,602e2675c2954e001e38ce21,,,3,AI Button(7) (141626127),smediaanalytic@gmail.com,Bathurst Toyota,197178025,2362173664017500,Bathurst Toyota,,,,bathursttoyotaca,UA-141626127-25,432751347308407,FALSE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,bathursttoyota.ca
26949006,BCS Auto Sales,5fb6c28c94138d001dfde4e7,987-348-7337,BCS auto sales,3,Budget Car Sales (52885798),smediaanalytic@gmail.com,www.bcsautosales.ca,207676453,409359729995166,Budget Car Sales,,,,budgetcarsales,UA-52885798-2,1616860978456680,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,1lPlkwOFDNgr3BokjUKZI8d54juZOpMa5bXLcuBizj5s,https://docs.google.com/spreadsheets/d/1lPlkwOFDNgr3BokjUKZI8d54juZOpMa5bXLcuBizj5s,bcsautosales.ca
26949034,Bean Chevrolet Buick GMC Corvette,602e237fc2954e001e38c745,348-758-6111,Bean Chev,1,Fb Accounts(9)(113480963),smediawebmastertool@gmail.com,Bean Chevrolet Buick GMC Corvette,169037638,1602943466410277,Bean Chevrolet Buick GMC,,,,beancars,UA-113480963-1,184823942271170,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1Tq3JCTMB6daojDWv_9AazmASbicTIq09cXic-BNf80o,https://docs.google.com/spreadsheets/d/1Tq3JCTMB6daojDWv_9AazmASbicTIq09cXic-BNf80o,beancars.ca
38034661,Beardmore Subaru,5fb6c40194138d001dfde514,,,1,A1 Button (15) (161444828),smediaanalytic@gmail.com,Beardmore Subaru,215945840,2916188358456739,Beardmore Subaru,,,,beardmoresubarucom,UA-161444828-28,294355244885767,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1TkR2GMQd31WYvJYWlGD8VnP8IbNK7_751xO2VPWgfTI,https://docs.google.com/spreadsheets/d/1TkR2GMQd31WYvJYWlGD8VnP8IbNK7_751xO2VPWgfTI,beardmoresubaru.com
51718810,Beardmore Chevrolet,,,,1,AI Button (18) (169324917),smediaanalytic@gmail.com,Beardmore Chevrolet,221599625,,,,,,beardmorechevycom,UA-169324917-19,-,FALSE,TRUE,FALSE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1w2lsN4tenLppwkXpqivvx9KCcVI9RDD_e8HwpyRomuA,https://docs.google.com/spreadsheets/d/1w2lsN4tenLppwkXpqivvx9KCcVI9RDD_e8HwpyRomuA,#N/A
51718809,Beardmore Hyundai,,,,1,AI Button (19) (171699954),smediaanalytic@gmail.com,Beardmore Hyundai,230038160,,,,,,beardmorehyundaicom,UA-171699954-91,-,FALSE,TRUE,FALSE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1iIetPy13EE5sR2xZKJmifd7j1jiJOYwlY4C3fY5J2Cc,https://docs.google.com/spreadsheets/d/1iIetPy13EE5sR2xZKJmifd7j1jiJOYwlY4C3fY5J2Cc,#N/A
51717946,Beck & Masten Buick GMC North,,781-625-8700,Beck & Masten North,1,Fb Accounts(4),smediawebmastertool@gmail.com,Beck & Masten Buick GMC North,154263093,,,,,,beckmastennorth,UA-100014029-17,999878727150218,TRUE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,#N/A
51717950,Beck & Masten Buick GMC South,,,,1,AI Button(9) (146366686),smediaanalytic@gmail.com,Beck and Masten South,201459428,,,,,,beckmastensouth,UA-146366686-18,1221156938238780,TRUE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,#N/A
31531412,Ben R Auto Sales,602e24b5c2954e001e38ca0d,,,1,Custom Accounts (122092463),smediaanalytic@gmail.com,Ben R Auto Sales,186386381,305447353414271,Ben R Auto Sales,,,,benrauto,UA-122092463-7,273788376660687,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1yEwtGBurOA7HTA3W1I54D_6WMJbgKdKDzbEYFw7ZQ6k,https://docs.google.com/spreadsheets/d/1yEwtGBurOA7HTA3W1I54D_6WMJbgKdKDzbEYFw7ZQ6k,benrauto.com
15858188,Bennett GM,602e2199c2954e001e38c293,309-847-3181,Bennett GM,3,BennettGM (56150902),marshalsmedia@gmail.com,BennettGM,93041104,958576130847017,Bennet GM,,,,bennettgm,UA-56150902-1,1018756058165880,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,15agVxdLhPUslZej9N-WdTrecQ2UJdfZMoNIqsOmSTz0,https://docs.google.com/spreadsheets/d/15agVxdLhPUslZej9N-WdTrecQ2UJdfZMoNIqsOmSTz0,bennettgm.com
15759934,Benson Ford,602e2a38c2954e001e38d66c,,,1,AI Button (16),smediaanalytic@gmail.com,Benson Ford,219087294,898501373971291,Benson Auto Group - Benson Ford,,,,bensonfordnet,UA-165690643-45,2903265553105670,FALSE,TRUE,TRUE,Haroon,TRUE,,Corbin Senchuk,,Nhoel,FALSE,FALSE,facebook.com_smedia / social,AG-0003,Benson,1wdmuvel8rKPYAsftSUSGUtphGNgxNAbQaF5MS9viOLo,https://docs.google.com/spreadsheets/d/1wdmuvel8rKPYAsftSUSGUtphGNgxNAbQaF5MS9viOLo,bensonford.net
33916470,Benson Hyundai,602e2b05c2954e001e38d827,,,1,AI Button (19),smediaanalytic@gmail.com,Benson Hyundai,228272508,354962642358041,Benson Hyundai,,,,bensonhyundaicom,UA-171699954-55,628730787781580,FALSE,FALSE,TRUE,Haroon,TRUE,,Corbin Senchuk,,Nhoel,FALSE,FALSE,facebook.com_smedia / social,,,,,bensonhyundai.com
33916295,Benson Kia,602e2753c2954e001e38d001,,,1,AI Button(9) (146366686),smediaanalytic@gmail.com,Benson Kia,201523237,538685533542258,Benson Auto Group - Benson KIA,,,,bensonkia,UA-146366686-20,523081591601889,FALSE,TRUE,TRUE,Haroon,TRUE,,Corbin Senchuk,,Nhoel,FALSE,FALSE,facebook.com_smedia / social,AG-0003,Benson,19JKgogNEzTDbRV_UUz7heafXp7LgpXi0iWr29_G9qsk,https://docs.google.com/spreadsheets/d/19JKgogNEzTDbRV_UUz7heafXp7LgpXi0iWr29_G9qsk,bensonkia.com
15760165,Benson Nissan Spartanburg,602e2b93c2954e001e38d946,,,1,AI Button (20),smediaanalytic@gmail.com,Benson NIssan Spartanburg,232328470,367144024603226,Benson Nissan Spartanburg,,,,bensonnissancom,UA-179984697-52,420552865775235,FALSE,TRUE,TRUE,Haroon,TRUE,,Corbin Senchuk,,Nhoel,FALSE,FALSE,facebook.com_smedia / social,AG-0003,Benson,1EEHAE_TO-a8moUu0LG-7iYU4zvFMCJQRYj3WVd3ItlU,https://docs.google.com/spreadsheets/d/1EEHAE_TO-a8moUu0LG-7iYU4zvFMCJQRYj3WVd3ItlU,bensonnissan.com
51757443,Benson Nissan Easley,602e2a7cc2954e001e38d702,,,1,AI Button (18),smediaanalytic@gmail.com,Benson Nissan Easley,221447204,700327503844217,Benson Auto Group - Benson Nissan Easley,,,,nissaneasleycom,UA-169324917-15,1214643152222620,FALSE,TRUE,TRUE,Haroon,TRUE,,Corbin Senchuk,,Nhoel,FALSE,FALSE,facebook.com_smedia / social,AG-0003,Benson,13kXr1xdrHZ_mShzN0tE5fnIxexHcOeMG8TVByBlelZU,https://docs.google.com/spreadsheets/d/13kXr1xdrHZ_mShzN0tE5fnIxexHcOeMG8TVByBlelZU,nissaneasley.com
38036686,Bill Alexander Ford,602e2848c2954e001e38d22b,,,1,AI Button (11) (151218577),smediaanalytic@gmail.com,Bill Alexander Ford,206746274,435329027153800,Bill Alexander Ford,,,,billalexanderford,UA-151218577-22,430310627661442,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,,,1PZMcLLvwPmz5K2l5tLl7mLCeGgpEZLdFn_pdOO3ZxtM,https://docs.google.com/spreadsheets/d/1PZMcLLvwPmz5K2l5tLl7mLCeGgpEZLdFn_pdOO3ZxtM,billalexanderford.com
50762763,Blackbridge Harley-Davidson,602e258bc2954e001e38cc06,,,3,Blackbridge Harley-Davidson,smediaanalytic@gmail.com,Blackbridge Harley-Davidson,197420268,,,F125SYUT,156002851,Black Bridge HD,blackbridgeharley,UA-107855023-1,836700106676243,FALSE,FALSE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,,,blackbridgeharley.com
50110387,BMW Gallery,602e28d6c2954e001e38d352,,,1,A1 Button (12) (156597236),smediaanalytic@gmail.com,BMW Gallery,210571104,540705096105202,BMW Gallery,,,,bmwgalleryca,UA-156597236-40,832135313554165,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,facebook.com_smedia / social,AG-0004,Dilawri Alberta,1J52QMJk9vyMwjWTgHBRn4ZM1NlM-rZb5p4BhNmt56aM,https://docs.google.com/spreadsheets/d/1J52QMJk9vyMwjWTgHBRn4ZM1NlM-rZb5p4BhNmt56aM,bmwgallery.ca
26949097,Bocker Auto Group,602e2278c2954e001e38c4ca,,,1,Fb Accounts(3),smediawebmastertool@gmail.com,Bocker Chevrolet Buick GMC Cadillac Parts,147717682,1331133250257968,Bocker Auto Group,,,,bockerautogroup,UA-96122244-12,1344192185638560,FALSE,TRUE,TRUE,Haroon,TRUE,,,,,FALSE,FALSE,,,,1aobEvYo6CqFpTPsLEDGF4gJOeQAEaAYfSUz4fmcuaPQ,https://docs.google.com/spreadsheets/d/1aobEvYo6CqFpTPsLEDGF4gJOeQAEaAYfSUz4fmcuaPQ,bockerautogroup.com
